	sněžník–N	Sněžník–N						
\	nadevše–D	nadevšecko–D						
	dědkovatět–V	zdědkovatět–V						
	inercie–N	inertní–A						
\	zdřepěný–A	zdřepnělý–A						
	litice–N	Litice–N						
\	šťuchat–V	šťouchat–V						
\	rozžíhat–V	rozžínat–V						
\	světnice–N	sednice–N						
\	uherčina–N	uherština–N						
\	spodky–N	spodek–N						
	manšaft–N	mančaft–N						
\	ovečka–N	ovčička–N						
	ziskulačný–A	ziskulačnictví–N						
\	zástřeší–N	zástřeška–N						
\	vrboví–N	vrbí–A						
\	Franc–N	Franci–N						
\	tipec–N	típek–N						
\	vyšklíbačný–A	vyšklebačný–A						
	šestispřeží–NC	šestispřežení–NC						
\	lepost–N	lepota–N						
\	tajtrlík–N	tajtrdlík–N						
\	přemetnout–V	přemet–N						
\	pohmat–N	ohmat–N						
\	klovat–V	klubat–V						
\	zněmčilec–N	zněmčenec–N						
\	výměník–N	vejměník–N						
\	kyrilice–N	cyrilice–N						
\	kozačka–N	kozák–N						
\	Edvard–N	Eduard–N						
\	kompliment–N	komplement–N						
	Tibet–N	tibet–N						
\	uchrupnout–V	uchroupnout–V						
\	nákupčí–N	nákupce–N						
	Kolín–N	kolínský–A						
\	bezvýjimečný–A	bezvýminečný–A						
\	vechtrovna–N	vochtrovna–N						
\	ždibec–N	žďabec–N						
\	pyl–N	pel–N						
	léto–N	letoucí–A						
\	lázně–N	lázeňský–N						
\	pochechtávat–V	pochichtávat–V						
	ochomýtat–V	ochomejtat–V						
	David–N	Davídek–N						
	Kuzbas–N	kuzbaský–A						
\	vavřiňák–N	vavřinčák–N						
\	vytřepávat–V	vytřípat–V						
	sklenice–N	sklínka–N						
\	průchodní–A	průchodicí–A						
\	velký–A	převeliký–A						
	znát–V	neznání–N						
	chlístat–V	chlejstat–V						
	skříň–N	skřínečka–N						
\	Žid–N	židovečka–N						
\	zakletec–N	zaklenec–N						
	Litoměřice–N	litoměřický–A						
	podolí–N	Podolí–N						
\	výletovat–V	výletit–V						
\	oposičník–N	opozičník–N						
\	roztírací–A	roztěrač–N						
	Turek–N	turek–N						
\	synagóga–N	synagogální–A						
\	plsní–A	plstní–A						
	ledakam–D	ledaskam–D						
\	basketbal–NC	balista–N						
\	žbrynda–N	žbrunda–N						
\	vázomotorický–A	vasomotorický–A						
	fotrovatět–V	zfotrovatět–V						
\	puntík–N	punkt–N						
\	jař–N	jeř–N						
\	tarbuš–N	tarbúš–N						
	vědro–N	vědárko–N						
	lechtat–V	lechtivý–A						
\	dolízavý–A	dolézavý–A						
	Kanaán–N	kananejský–A						
\	slupka–N	šupka–N						
	otevřít–V	odevřít–V						
\	pochlebnictví–N	pochlebenství–N						
\	najevo–D	jev–N						
\	vybulit–V	vybulat–V						
\	záviděníhodný–AC	závidný–A						
	apotéka–N	apatyka–N						
\	švagr–N	švagřička–N						
\	jura–N	Jura–N						
	uzdravitel–N	uzdravitelkyně–N						
\	kůlna–N	kolna–N						
\	kůzle–N	kozle–N						
\	Potěmkin–N	Poťomkin–N						
\	vojančina–N	vojenčina–N						
\	šerbet–N	sorbet–N						
	úrodný–A	přeúrodný–A						
\	dehydratace–N	dehydrace–N						
	vrah–N	vrahoušek–N						
\	jikrnáč–N	jikernáč–N						
\	nepomíjivý–None	nepomíjejícnost–N						
\	zdaleka–D	daleký–A						
\	ponenáhlu–D	poznenáhlu–D						
\	rabín–N	rabí–N						
\	arsenál–N	arzenál–N						
\	křáp–N	křám–N						
\	ohlížet–V	obhlížet–V						
\	lehoučký–A	lehýnký–A						
\	výpomoc–N	pomoc–N						
\	paládium–N	palladium–N						
\	Edmund–N	Edmond–N						
	Zdeňka–N	Zdenička–N						
	přehmátnout–V	přehmat–N						
	drive–N	drajv–N						
\	vyšpánovat–V	vyšpánkovat–V						
\	chumáč–N	chomáč–N						
\	Gustav–N	Augustin–N						
\	safe–N	safesový–N						
\	západní–A	Západoevropan–N						
\	izomer–NC	isomer–N						
\	zalechtat–V	zaloktat–V						
\	poklice–N	puklička–N						
\	perchta–N	perychta–N						
	veselí–N	veselový–A						
