	žalovat–V	žalovavý–A						
	líbat–V	líbavý–A						
	dramaturg–N	dramaturgyně–N						
	otrok–N	otrokyně–N						
	Řek–N	Řekyně–N						
	rek–N	rekyně–N						
	prorok–N	prorokyně–N						
	vrah–N	vrahyně–N						
	voják–N	vojákyně–N						
	podruh–N	podruhyně–N						
\	všudybyl–NC	všudybylý–A						
	dávnověk–N	dávnověký–A						
	osmihlas–N	osmihlasý–A						
	zlatokvět–N	zlatokvětý–A						
	zlatovous–N	zlatovousý–A						
	šedověk–N	šedověký–A						
	bystrozrak–N	bystrozraký–AC						
	jednohlas–N	jednohlasý–A						
	zlatoháv–N	zlatohávý–A						
	bezbřehý–A	bezbřeze–D						
	dlouhý–A	dlouze–D						
	vlahý–A	vlaze–D						
	blahý–A	blaze–D						
	předlouhý–A	předlouze–D						
	drahý–A	draze–D						
	přeubohý–A	přeuboze–D						
	nebohý–A	neboze–D						
	předrahý–A	předraze–D						
	durativum–N	durativní–A						
	sedativum–N	sedativní–A						
	apelativum–N	apelativní–A						
	augmentativum–N	augmentativní–A						
	deminutivum–N	deminutivní–A						
	imperfektivum–N	imperfektivní–A						
	imperfektum–N	imperfektní–A						
	tunel–N	tunýlek–N						
	model–N	modýlek–N						
	ředitel–N	ředitýlek–N						
	kostel–N	kostýlek–N						
	učitel–N	učitýlek–N						
	uhel–N	uhýlek–N						
	fotel–N	fotýlek–N						
	letohrad–N	letohrádek–N						
	příklad–N	příkládek–N						
	řad–N	řádek–N						
	strnad–N	strnádek–N						
	poklad–N	pokládek–N						
	vklad–N	vkládek–N						
	vychovanec–N	vychovanka–N						
	stachanovec–N	stachanovka–N						
	věštec–N	věštka–N						
\	Moravec–N	Moravka–N						
	vyvolenec–N	vyvolenka–N						
	biřmovanec–N	biřmovanka–N						
	cvičenec–N	cvičenka–N						
	dvojenec–N	dvojenka–N						
	odchovanec–N	odchovanka–N						
	prádlo–N	prádelní–A						
	křídlo–N	křídelní–A						
	žrádlo–N	žrádelní–A						
	jídlo–N	jídelní–A						
\	žluťoučký–A	žluťounký–A						
\	krásňoučký–A	krásňounký–A						
\	hloupoučký–A	hloupounký–A						
\	čerňoučký–A	čerňounký–A						
\	mírňoučký–A	mírňounký–A						
\	droboučký–A	drobounký–A						
\	chuďoučký–A	chuďounký–A						
\	volňoučký–A	volňounký–A						
\	neviňoučký–A	neviňounký–A						
\	nemocenský–A	nemocenské–N						
	uzený–A	uzené–N						
	stojný–A	stojné–N						
	výslužný–A	výslužné–N						
	portský–A	portské–N						
	vepřový–A	vepřové–N						
	jízdný–A	jízdné–N						
\	výsměch–N	výsměšek–N						
	hřích–N	hříšek–N						
	zápach–N	zápašek–N						
	vrch–N	vršek–N						
	vrtoch–N	vrtošek–N						
	čachr–N	čachřík–N						
	pulovr–N	pulovřík–N						
	orchestr–N	orchestřík–N						
	kvádr–N	kvádřík–N						
	půllitr–N	půllitřík–N						
	kmotr–N	kmotřík–N						
	flastr–N	flastřík–N						
	Petr–N	Petřík–N						
	Ela–N	Elinka–N						
	Klára–N	Klárinka–N						
	Lojza–N	Lojzinka–N						
\	čuba–N	čubinka–N						
\	bota–N	botinka–N						
\	karafa–N	karafinka–N						
	Manča–N	Mančinka–N						
	zima–N	ziminka–N						
	Sláva–N	Slávinka–N						
	suchar–N	suchárek–N						
	špejchar–N	špejchárek–N						
	fukar–N	fukárek–N						
	husar–N	husárek–N						
	ovar–N	ovárek–N						
	tolar–N	tolárek–N						
	ogar–N	ogárek–N						
	krejcar–N	krejcárek–N						
\	zbořeniště–N	zbořenisko–N						
\	rumiště–N	rumisko–N						
\	těžiště–N	těžisko–N						
\	rašeliniště–N	rašelinisko–N						
\	kutiště–N	kutisko–N						
\	štěrkoviště–N	štěrkovisko–N						
\	spáleniště–N	spálenisko–N						
\	řepniště–N	řepnisko–N						
	zvukomalba–NC	zvukomalebný–AC						
	volba–N	volebný–A						
	kresba–N	kresebný–A						
	krajinomalba–NC	krajinomalebný–AC						
	povahokresba–NC	povahokresebný–A						
\	virus–N	vir–N						
\	klérus–N	klér–N						
\	stimulus–N	stimul–N						
\	luxus–N	lux–N						
\	majordomus–N	majordom–N						
\	vilikus–N	vilik–N						
\	sexus–N	sex–N						
\	tetanus–N	tetan–N						
	druhohory–N	druhohorní–A						
	třetihory–N	třetihorní–A						
	prvohory–N	prvohorní–A						
	čtvrtohory–N	čtvrtohorní–AC						
	kasematy–N	kasematní–A						
	pandekty–N	pandektní–A						
\	marodér–N	marodérství–N						
\	preceptor–N	preceptorství–N						
\	pobratim–N	pobratimství–N						
\	misogyn–N	misogynství–N						
\	selfmademan–N	selfmademanství–N						
\	nohsled–N	nohsledství–N						
\	kustod–N	kustodství–N						
\	kazisvět–N	kazisvětství–N						
\	obol–N	obolus–N						
\	zodiak–N	zodiakus–N						
\	kult–N	kultus–N						
\	sex–N	sexus–N						
\	abort–N	abortus–N						
\	tetan–N	tetanus–N						
\	Saturn–N	Saturnus–N						
\	Cerber–N	Cerberus–N						
	šetřil–N	šetřílek–N						
	spořil–N	spořílek–N						
	šklebil–N	šklebílek–N						
	škádlil–N	škádlílek–N						
	blouznil–N	blouznílek–N						
	škrtil–N	škrtílek–N						
	žvanil–N	žvanílek–N						
	chlubil–N	chlubílek–N						
	vidina–N	vidinný–A						
	zlota–N	zlotný–A						
	výzdoba–N	výzdobný–A						
	včela–N	včelný–A						
\	zora–N	zorný–A						
	úmluva–N	úmluvný–A						
	strefa–N	strefný–A						
	odbor–N	odbory–N						
