	deštivý–A	deštivo–D						
	vrchovatý–A	vrchovato–D						
	vichřivý–A	vichřivo–D						
	přetěžký–A	přetěžko–D						
	krušný–A	krušno–D						
	chladný–A	chladno–D						
	vzdušný–A	vzdušno–D						
	zimný–A	zimno–D						
	převysoký–A	převysoko–D						
	šumný–A	šumno–D						
\	nevolný–A	nevolno–D						
	zvučný–A	zvučno–D						
	úklidný–A	úklidno–D						
	přesnadný–A	přesnadno–D						
	líný–A	líno–D						
	vzlétavý–A	vzlétavo–D						
	teplý–A	teplo–D						
	holý–A	holo–D						
	plochý–A	plocho–D						
	křivý–A	křivo–D						
	lahodný–A	lahodno–D						
	voňavý–A	voňavo–D						
	šeredný–A	šeredno–D						
	zimavý–A	zimavo–D						
	tichý–A	ticho–D						
	mrazný–A	mrazno–D						
	kraťounký–A	kraťounko–D						
	úžasný–A	úžasno–D						
	velebný–A	velebno–D						
	větřivý–A	větřivo–D						
	děsný–A	děsno–D						
	řiďounký–A	řiďounko–D						
	dusný–A	dusno–D						
	nízký–A	nízko–D						
	lehoučký–A	lehoučko–D						
	závratný–A	závratno–D						
	prudký–A	prudko–D						
	zpěvný–A	zpěvno–D						
	nepamětný–A	nepamětno–D						
	mrtvý–A	mrtvo–D						
	mdlý–A	mdlo–D						
	prašný–A	prašno–D						
	zdravý–A	zdravo–D						
	pustý–A	pusto–D						
	špatný–A	špatno–D						
	veseloučký–A	veseloučko–D						
\	přečastý–A	přečasto–D						
	oblačný–A	oblačno–D						
	tuhý–A	tuho–D						
	vlhkavý–A	vlhkavo–D						
	suchounký–A	suchounko–D						
	radostný–A	radostno–D						
	tajný–A	tajno–D						
	těsný–A	těsno–D						
	převeselý–A	převeselo–D						
	nizounký–A	nizounko–D						
	bouřlivý–A	bouřlivo–D						
	kluzký–A	kluzko–D						
	trapný–A	trapno–D						
	mírný–A	mírno–D						
	syrový–A	syrovo–D						
	nenávratný–None	nenávratno–D						
	smutný–A	smutno–D						
	krátký–A	krátko–D						
	vlahoučký–A	vlahoučko–D						
	úzkostný–A	úzkostno–D						
	milounký–A	milounko–D						
	sporý–A	sporo–D						
	hrozný–A	hrozno–D						
	ponurý–A	ponuro–D						
	strašný–A	strašno–D						
	mrazivý–A	mrazivo–D						
	blizounký–A	blizounko–D						
	žalný–A	žalno–D						
	předrahý–A	předraho–D						
	klidný–A	klidno–D						
	slunečný–A	slunečno–D						
	trudný–A	trudno–D						
	mlhavý–A	mlhavo–D						
	hlučný–A	hlučno–D						
	pošmourný–A	pošmourno–D						
	příjemný–A	příjemno–D						
	blátivý–A	blátivo–D						
\	předaleký–A	předaleko–D						
	stydný–A	stydno–D						
	hnusný–A	hnusno–D						
	divý–A	divo–D						
	vonný–A	vonno–D						
	vlažný–A	vlažno–D						
	vlhavý–A	vlhavo–D						
	rušný–A	rušno–D						
	předlouhý–A	předlouho–D						
	kratičký–A	kratičko–D						
	zatažený–A	zataženo–D						
	úsměvný–A	úsměvno–D						
	vlahý–A	vlaho–D						
	marný–A	marno–D						
	laciný–A	lacino–D						
	mírňoučký–A	mírňoučce–D						
	měkoučký–A	měkoučce–D						
	přesladký–A	přesladce–D						
	vlhký–A	vlhce–D						
	hloupoučký–A	hloupoučce–D						
	tenoučký–A	tenoučce–D						
	modrounký–A	modrounce–D						
	pitomoučký–A	pitomoučce–D						
	jemňounký–A	jemňounce–D						
	skromňounký–A	skromňounce–D						
	droboučký–A	droboučce–D						
	bělounký–A	bělounce–D						
	suchounký–A	suchounce–D						
	velký–A	velce–D						
	krotký–A	krotce–D						
	ubohoučký–A	ubohoučce–D						
	volňoučký–A	volňoučce–D						
	obojaký–A	obojace–D						
	křepký–A	křepce–D						
	světlounký–A	světlounce–D						
	daleký–A	dalece–D						
	lehoučký–A	lehoučce–D						
	vazký–A	vazce–D						
	neviňoučký–A	neviňoučce–D						
	kratičký–A	kratičce–D						
	kluzký–A	kluzce–D						
	hezounký–A	hezounce–D						
	nízký–A	nízce–D						
	horký–A	horce–D						
	blizounký–A	blizounce–D						
	hezoučký–A	hezoučce–D						
	přehluboký–A	přehluboce–D						
	růžovoučký–A	růžovoučce–D						
	útloboký–A	útloboce–D						
	břitký–A	břitce–D						
	útloučký–A	útloučce–D						
	kraťounký–A	kraťounce–D						
	skrovňoučký–A	skrovňoučce–D						
	čisťoučký–A	čisťoučce–D						
	široký–A	široce–D						
	slaboulinký–A	slaboulince–D						
	něžňounký–A	něžňounce–D						
	hlaďounký–A	hlaďounce–D						
	řídký–A	řídce–D						
	prostinký–A	prostince–D						
	milounký–A	milounce–D						
\	převeliký–A	převelice–D						
	kulaťounký–A	kulaťounce–D						
	přetěžký–A	přetěžce–D						
	tichoučký–A	tichoučce–D						
	teninký–A	tenince–D						
	těžký–A	těžce–D						
	chuďoučký–A	chuďoučce–D						
	uzoučký–A	uzoučce–D						
	dvojaký–A	dvojace–D						
	přehořký–A	přehořce–D						
	slabounký–A	slabounce–D						
	vysoký–A	vysoce–D						
	blízký–A	blízce–D						
	samotinký–A	samotince–D						
	řemen–N	řemenný–A						
	vichor–N	vichorný–A						
	živočichopis–NC	živočichopisný–AC						
	povahopis–N	povahopisný–A						
	vrubopis–N	vrubopisný–A						
	rozchod–N	rozchodný–A						
	výběr–N	výběrný–A						
	soupis–N	soupisný–A						
	černozem–NC	černozemný–A						
	výškoměr–N	výškoměrný–A						
	závitořez–N	závitořezný–AC	%					
	šestiměr–N	šestiměrný–A						
	výpros–N	výprosný–A						
	med–N	medný–A						
	úkon–N	úkonný–A						
	zlatotřpyt–N	zlatotřpytný–AC	%					
	přírodozpyt–NC	přírodozpytný–AC						
	zlatoděj–N	zlatodějný–A						
	žalozpěv–NC	žalozpěvný–A						
	záslib–N	záslibný–A						
	zvukoměr–N	zvukoměrný–A						
	kostižer–NC	kostižerný–A						
	věrozvěst–N	věrozvěstný–AC	%					
	rež–N	režný–A						
	úkoj–N	úkojný–A						
	úklid–N	úklidný–A						
	útvar–N	útvarný–A						
	zákaz–N	zákazný–A						
	výškopis–N	výškopisný–A						
	zub–N	zubný–A						
	křeč–N	křečný–A						
	kmet–N	kmetný–A						
	výparoměr–N	výparoměrný–A						
	vír–N	vírný–A						
	zvukovod–NC	zvukovodný–A						
	zápřež–N	zápřežný–A						
	zlatozář–N	zlatozářný–A						
	zvukosled–N	zvukosledný–AC	%					
	zteč–N	ztečný–A						
	dvanáctistěn–NC	dvanáctistěnný–AC						
	půhon–N	půhonný–A						
	šepot–N	šepotný–A						
	převod–N	převodný–A						
	srážkoměr–NC	srážkoměrný–AC						
	řehot–N	řehotný–A						
