\	trošku–D	trošičku–D						
\	troška–N	trošičku–D						
\	trošku–D	trošinečku–D						
\	troška–N	trošinečku–D						
\	úřad–N	ouřada–N						
\	úřada–N	ouřada–N						
	onehdy–D	onehda–D						
\	onehdá–D	onehda–D						
\	říjiště–N	řevniště–N						
\	řevnice–N	řevniště–N						
\	pastva–N	pastviště–N						
\	pastvisko–N	pastviště–N						
\	schválně–D	zvláště–D						
	zvlášť–D	zvláště–D						
\	obzvláštní–A	obzvláště–D						
	obzvlášť–D	obzvláště–D						
\	zástupce–N	zastupitelkyně–N						
	zastupitel–N	zastupitelkyně–N						
	učitel–N	učitelkyně–N						
\	učitelka–N	učitelkyně–N						
\	Jablonné–N	jablonský–A						
\	Jablonná–N	jablonský–A						
\	záložní–A	záloženský–A						
	záložna–N	záloženský–A						
\	ďubkovaný–A	ďubkovitý–A						
\	ďubkatý–A	ďubkovitý–A						
\	zrníčkovitý–A	zrnéčkovitý–A						
\	zrnečkovitý–A	zrnéčkovitý–A						
	kámen–N	kamének–N						
\	kamínek–N	kamének–N						
	plamen–N	plamének–N						
\	plamínek–N	plamének–N						
\	sluníčko–N	slunečko–N						
\	slunce–N	slunečko–N						
	prkýnko–N	prkýnečko–N						
\	prkénko–N	prkýnečko–N						
	řemeslo–N	řemeslíčko–N						
\	řemesílko–N	řemeslíčko–N						
	posedění–N	poseděníčko–N						
\	posezení–N	poseděníčko–N						
	Janík–N	Janíček–N						
\	Jan–N	Janíček–N						
	pán–N	páníček–N						
\	páneček–N	páníček–N						
\	Jenda–N	Jeníček–N						
	Jan–N	Jeníček–N						
\	žalmový–A	žalmovní–A						
	žalm–N	žalmovní–A						
	meliorace–N	meliorativní–A						
\	meliorativum–N	meliorativní–A						
\	Padova–N	paduánský–A						
	Padua–N	paduánský–A						
\	trojský–A	trojánský–A						
	Trója–N	trojánský–A						
\	oříšek–N	Voříšek–N						
	voříšek–N	Voříšek–N						
	Tomiš–N	Tomíšek–N						
\	Tomek–N	Tomíšek–N						
\	namále–D	málo–D						
\	pramalý–A	málo–D						
\	namále–D	málo–N						
\	pramalý–A	málo–N						
\	malý–A	málo–N						
	teplounký–A	teplounko–N						
\	teplo–A	teplounko–N						
\	tichoučký–A	tichounko–D						
	ticho–N	tichounko–D						
\	hůl–N	hůlečka–N						
\	hůlčička–N	hůlečka–N						
\	uzdička–N	uzdečka–N						
	uzda–N	uzdečka–N						
\	vrata–N	vrátečka–N						
	vrátka–N	vrátečka–N						
\	dírka–N	dírečka–N						
\	díra–N	dírečka–N						
	hrouda–N	hrudný–A						
\	výhrůžný–A	výhrožný–A						
\	výhružný–A	výhrožný–A						
\	obilní–A	obilný–A						
	obilí–N	obilný–A						
\	blata–N	blatný–A						
	bláto–N	blatný–A						
	stavba–N	stavebný–A						
\	stavební–A	stavebný–A						
	kvadrát–N	kvadratický–A						
\	kvadrátní–A	kvadratický–A						
\	syntéza–N	synthetický–A						
\	syntetický–A	synthetický–A						
	skříň–N	skřínka–N						
\	skříňka–N	skřínka–N						
	duše–N	douška–N						
\	doušek–N	douška–N						
\	proužek–N	proužka–N						
	prouha–N	proužka–N						
	haluz–N	halouzka–N						
\	haluzka–N	halouzka–N						
	záda–N	zádíčka–N						
\	zádička–N	zádíčka–N						
\	rumištní–A	rumní–A						
\	rumiště–N	rumní–A						
\	honor–N	honorární–A						
\	honorář–N	honorární–A						
\	nadít–V	nadání–N						
\	měsíčný–A	měsíční–A						
\	čepování–N	výčepní–N						
	výčep–N	výčepní–N						
	klenba–N	klenební–A						
\	klenbový–A	klenební–A						
\	Zuzka–N	Zuzička–N						
\	Zuza–N	Zuzička–N						
\	hrabičky–N	hrabička–N						
	hrabice–N	hrabička–N						
\	hůl–N	holička–N						
\	holič–N	holička–N						
\	šňůra–N	šňůrčička–N						
	šňůrka–N	šňůrčička–N						
	vějice–N	vějička–N						
\	věječka–N	vějička–N						
\	urbární–A	urbariální–A						
\	urbář–N	urbariální–A						
\	korálový–A	korální–A						
	korál–N	korální–A						
	špicl–N	špiclík–N						
\	špic–N	špiclík–N						
\	drobítek–N	drobínek–N						
\	drobek–N	drobínek–N						
\	vítr–N	větřínek–N						
	větřík–N	větřínek–N						
\	Viktorka–N	Viktorie–N						
	Viktor–N	Viktorie–N						
\	barometr–NC	metrie–N						
\	chronometr–NC	metrie–N						
\	batymetr–NC	metrie–N						
\	planimetr–N	metrie–N						
	prázdný–A	prázdno–N						
\	naprázdno–D	prázdno–N						
\	větrnost–N	větrno–D						
	větrný–A	větrno–D						
\	různě–D	různo–N						
	různý–A	různo–N						
\	čekan–N	čekana–N						
\	čakan–N	čekana–N						
\	pískoviště–N	pískovna–N						
\	písečník–N	pískovna–N						
\	šlechtička–N	šlechtična–N						
\	vrboviště–N	vrbovisko–N						
\	vrbisko–N	vrbovisko–N						
\	sardinský–A	Sardinsko–N						
\	Sardinie–N	Sardinsko–N						
	Tyrolsko–N	Tyrolák–N						
\	Tyrolan–N	Tyrolák–N						
\	šesterák–N	šesták–N						
\	šesťák–N	šesták–N						
\	lemon–N	lemoun–N						
\	limon–N	lemoun–N						
\	Šalomoun–N	šalamoun–N						
	Šalamoun–N	šalamoun–N						
\	stopka–N	stopička–N						
	stopa–N	stopička–N						
	kopa–N	kopička–N						
\	kopice–N	kopička–N						
\	Iberoamerika–N	americký–A						
\	olympijský–A	olympický–A						
	Olymp–N	olympický–A						
\	pidimužík–N	mužický–A						
	mužik–N	mužický–A						
\	daleko–D	dál–N						
\	zdáli–D	dál–N						
	Mates–N	mates–N						
\	matjes–N	mates–N						
\	Frank–N	francký–A						
\	franský–A	francký–A						
	Franky–N	francký–A						
	jakž–D	jakžtakž–D						
\	taktak–D	jakžtakž–D						
\	křáp–N	křamp–N						
\	křám–N	křamp–N						
\	kámen–N	kam–D						
\	kampak–D	kam–D						
\	zatáhnout–V	tah–N						
\	průtah–N	tah–N						
\	prosvítat–V	světlo–D						
\	průsvit–N	světlo–D						
\	rabín–N	rabi–N						
\	rabí–N	rabi–N						
\	vesničan–N	vesňan–N						
\	vesní–A	vesňan–N						
\	skopový–A	skopové–N						
\	skopová–N	skopové–N						
						
