	Kanaán–N	Kananejec–N						
\	waltz–N	wals–N						
\	vejřit–V	vejrat–V						
\	Kristina–N	Kristýna–N						
	Labrador–N	labrador–N						
\	vzrůstný–A	vzrostný–A						
\	zeměnín–N	zemanín–N						
\	Kunka–N	Kunhuta–N						
\	explosivní–A	explozivní–A						
\	Peršan–N	peršan–N						
	Anglie–N	anglický–A						
\	oblezlý–A	olezlý–A						
	četný–A	přečetný–A						
\	helium–N	hélium–N						
	nazpět–D	nazpátek–D						
\	skica–N	škica–N						
	slavný–A	přeslavný–A						
\	tenoučký–A	tenoulince–D						
\	Míla–N	Miluše–N						
\	pašalik–N	pašalík–N						
	corpus–N	korpus–N						
\	vrboví–N	vrbí–N						
\	magacín–N	magazín–N						
\	potaď–D	potad–D						
\	jen–N	jenjen–D						
\	krejcar–N	grejcar–N						
\	záklasek–N	záklasník–N						
	žandarm–N	žandár–N						
\	uvozdřený–A	uvozhřený–A						
\	obchůzka–N	obcházka–N						
\	výměničný–A	výměnický–A						
\	zhrdání–N	zhrda–D						
	semafor–N	Semafor–N						
	útěžek–N	outěžek–N						
\	Lothar–N	Lotar–N						
	Sokrates–N	sokratický–A						
\	pozitiv–N	positivní–A						
\	puclák–N	punclák–N						
\	stůček–N	štučka–N						
\	beztvarý–A	beztvárný–A						
	tamtéž–D	tamže–D						
\	vousatět–V	vousy–N						
\	šufan–N	žufánek–N						
\	vikev–N	vika–N						
	zdání–N	zdáníčko–D						
\	balšán–N	balšám–N						
	Tanganika–N	tanganický–A						
\	fluviální–A	fluviatilní–A						
\	parenchym–N	parenchymatózní–A						
	evangelium–N	evangelický–A						
\	rejdovací–A	rýdovací–A						
\	Bára–N	Barbora–N						
	kapsa–N	kapesní–A						
\	šnaps–N	šnába–N						
\	osmiúhlý–AC	osmiúhelný–A						
\	žblabuňka–N	žbluňka–N						
	horňák–N	Horňák–N						
	businessman–NC	byznysmen–N						
\	napilno–D	pilný–A						
\	bambuska–N	bambusovka–N						
	krutý–A	překrutý–A						
	skrupule–N	skrupulózní–A						
	Jura–N	jura–N						
\	jahodí–N	jahodiní–N						
\	sochařit–V	sochat–V						
	lešení–N	lešeňový–A						
\	průplach–N	proplach–N						
\	mobilární–A	mobiliární–A						
	mystérium–N	mysteriózní–A						
	nechuť–N	nechutenství–N						
\	vochle–N	vochlovačka–N						
\	ramadán–N	ramazán–N						
\	Bretagne–N	Bretonec–N						
\	doopravdový–A	doopravdovský–A						
\	grobián–N	krobián–N						
\	Líba–N	Liba–N						
\	žíla–N	žilenka–N						
	věnec–N	vínek–N						
	Medusa–N	medúza–N						
\	rondo–N	rondó–N						
\	zápec–N	zápeceň–N						
	Balkán–N	balkán–N						
\	trojboký–AC	tříboký–A						
\	Afrikán–N	afrikán–N						
\	Polák–N	polsko–N						
\	štymovat–V	štimovat–V						
	Indián–N	indián–N						
\	suchý–A	zasucha–D						
\	virvál–N	virvar–N						
	Němec–N	Němce–N						
\	troška–N	trošinku–D						
\	strádání–N	strast–N						
\	tvrďák–N	tvrďas–N						
	hrdlořez–NC	Hrdlořezy–N						
\	šrot–N	šrotýř–N						
	Dobšiná–N	dobšinský–A						
\	zpovolna–D	zpovolně–D						
\	rozdavač–N	rozdávačka–N						
\	chuděra–N	chudera–N						
\	zmršček–N	zmrštěk–N						
\	odevšad–D	odevšud–D						
\	džentlmen–N	gentleman–NC						
	schéma–N	schémátko–N						
\	velbloud–N	verbloud–N						
\	flaška–N	flaše–N						
\	provaz–N	provázeček–N						
	divný–A	předivný–A						
	cyklus–N	cyklický–A						
	shledaná–N	neshledaná–N						
\	mastidlo–N	omastek–N						
\	rozevlátý–A	rozvlálý–A						
\	uštipný–A	úštěpný–A						
\	klozet–N	kloset–N						
\	Skot–N	škot–N						
	Etrurie–N	Etrusk–N						
\	dadaismus–N	dada–N						
	ledakde–D	ledaskde–DC						
\	rezek–N	zrzek–N						
\	trumbera–N	troubera–N						
\	uchechtnout–V	uchichtnout–V						
	blokový–A	blokáč–N						
\	zpravodaj–N	zpravodavce–N						
	Aram–N	Aramejec–N						
\	jakž–D	jak–D						
\	odiv–N	obdiv–N						
\	skalník–N	skalák–N						
\	vyžalovat–V	vyslovit–V						
\	dmychadlo–N	dmuchadlo–N						
\	unce–N	uncia–N						
	Dunaj–N	dunajský–A						
