	ručník	ručníček	N-k --> N-ček		LINK ALREADY PRESENT
	ručník	ručníček	N-ík --> N-íček		LINK ALREADY PRESENT
					
*	dobový	dubovka	A-ový --> N-ovka	CHANGE: o -> u	
*	dobový	dubovka	A-ý --> N-ka	CHANGE: o -> u	
	dubový	dubovka	A-ový --> N-ovka		
	dubový	dubovka	A-ý --> N-ka		
					
*	dílový	dělovka	A-ový --> N-ovka	CHANGE: í -> ě	
*	dílový	dělovka	A-ý --> N-ka	CHANGE: í -> ě	
	dělový	dělovka	A-ový --> N-ovka		
	dělový	dělovka	A-ý --> N-ka		
					
*	obloudit	obluzení	V-dit --> N-zení	CHANGE: ou -> u	
*	obloudit	obluzení	V-dit --> N-zení	CHANGE: ou -> u	LINK ALREADY PRESENT
*	oblouzený	obluzení	A-ý --> N-í	CHANGE: ou -> u	
*	obluzený	obluzení	A-ý --> N-í		
					
*	ochozený	ochuzení	A-ý --> N-í	CHANGE: o -> u	
	ochudit	ochuzení	V-dit --> N-zení		LINK ALREADY PRESENT
*	ochuzený	ochuzení	A-ý --> N-í		
					
*	posvítit	posvěcení	V-tit --> N-cení	CHANGE: í -> ě	
*	posvěcený	posvěcení	A-ý --> N-í		
	posvětit	posvěcení	V-tit --> N-cení		LINK ALREADY PRESENT
					
*	svítit	svěcení	V-tit --> N-cení	CHANGE: í -> ě	
*	svěcený	svěcení	A-ý --> N-í		
	světit	svěcení	V-tit --> N-cení		LINK ALREADY PRESENT
					
*	vysvícený	vysvěcení	A-ý --> N-í	CHANGE: í -> ě	
*	vysvěcený	vysvěcení	A-ý --> N-í		
	vysvětit	vysvěcení	V-tit --> N-cení		LINK ALREADY PRESENT
					
*	zasvítit	zasvěcení	V-tit --> N-cení	CHANGE: í -> ě	
*	zasvěcený	zasvěcení	A-ý --> N-í		
	zasvětit	zasvěcení	V-tit --> N-cení		LINK ALREADY PRESENT
					
*	blbovzdorný	blbuvzdornost	A-ý --> N-ost	CHANGE: o -> u	
	blbuvzdorný	blbuvzdornost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	bojný	bujnost	A-ý --> N-ost	CHANGE: o -> u	
	bujný	bujnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	bídný	bědnost	A-ý --> N-ost	CHANGE: í -> ě	
	bědný	bědnost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	chroupavý	chrupavost	A-ý --> N-ost	CHANGE: ou -> u	
	chrupavý	chrupavost	A-ý --> N-ost		LINK ALREADY PRESENT
					
*	dotíravý	dotěravost	A-ý --> N-ost	CHANGE: í -> ě	
	dotěravý	dotěravost	A-ý --> N-ost		LINK ALREADY PRESENT
					
