128 GROUPS FOR RULE COMBINATION: N-e --> A-ký, N-k --> A-cký				
				
obchodník	obchodnický	N-k --> A-cký	CHANGE: í -> i	
				
odbornice	odbornický	N-e --> A-ký		
odborník	odbornický	N-k --> A-cký	CHANGE: í -> i	
				
odpadlice	odpadlický	N-e --> A-ký		
odpadlík	odpadlický	N-k --> A-cký	CHANGE: í -> i	
				
orlice	orlický	N-e --> A-ký		
orlík	orlický	N-k --> A-cký	CHANGE: í -> i	
				
osadnice	osadnický	N-e --> A-ký		
osadník	osadnický	N-k --> A-cký	CHANGE: í -> i	
				
panovnice	panovnický	N-e --> A-ký		
panovník	panovnický	N-k --> A-cký	CHANGE: í -> i	
				
pekelnice	pekelnický	N-e --> A-ký		
pekelník	pekelnický	N-k --> A-cký	CHANGE: í -> i	
				
plukovnice	plukovnický	N-e --> A-ký		
plukovník	plukovnický	N-k --> A-cký	CHANGE: í -> i	
				
poddůstojnice	poddůstojnický	N-e --> A-ký		
poddůstojník	poddůstojnický	N-k --> A-cký	CHANGE: í -> i	
				
podnájemnice	podnájemnický	N-e --> A-ký		
podnájemník	podnájemnický	N-k --> A-cký	CHANGE: í -> i	
				
podporučice	podporučický	N-e --> A-ký		
podporučík	podporučický	N-k --> A-cký	CHANGE: í -> i	
				
podvodnice	podvodnický	N-e --> A-ký		
podvodník	podvodnický	N-k --> A-cký	CHANGE: í -> i	
				
podílnice	podílnický	N-e --> A-ký		
podílník	podílnický	N-k --> A-cký	CHANGE: í -> i	
				
poručice	poručický	N-e --> A-ký		
poručík	poručický	N-k --> A-cký	CHANGE: í -> i	
				
poručnice	poručnický	N-e --> A-ký		
poručník	poručnický	N-k --> A-cký	CHANGE: í -> i	
				
požárnice	požárnický	N-e --> A-ký		
požárník	požárnický	N-k --> A-cký	CHANGE: í -> i	
				
praporčice	praporčický	N-e --> A-ký		
praporčík	praporčický	N-k --> A-cký	CHANGE: í -> i	
				
prostopášnice	prostopášnický	N-e --> A-ký		
prostopášník	prostopášnický	N-k --> A-cký	CHANGE: í -> i	
				
prostřednice	prostřednický	N-e --> A-ký		
prostředník	prostřednický	N-k --> A-cký	CHANGE: í -> i	
				
právnice	právnický	N-e --> A-ký		
právník	právnický	N-k --> A-cký	CHANGE: í -> i	
				
průkopnice	průkopnický	N-e --> A-ký		
průkopník	průkopnický	N-k --> A-cký	CHANGE: í -> i	
				
průmyslnice	průmyslnický	N-e --> A-ký		
průmyslník	průmyslnický	N-k --> A-cký	CHANGE: í -> i	
				
průzkumnice	průzkumnický	N-e --> A-ký		
průzkumník	průzkumnický	N-k --> A-cký	CHANGE: í -> i	
				
přeběhlice	přeběhlický	N-e --> A-ký		
přeběhlík	přeběhlický	N-k --> A-cký	CHANGE: í -> i	
				
překupnice	překupnický	N-e --> A-ký		
překupník	překupnický	N-k --> A-cký	CHANGE: í -> i	
				
sekernice	sekernický	N-e --> A-ký		
sekerník	sekernický	N-k --> A-cký	CHANGE: í -> i	
				
sklepnice	sklepnický	N-e --> A-ký		
sklepník	sklepnický	N-k --> A-cký	CHANGE: í -> i	
				
skrblice	skrblický	N-e --> A-ký		
skrblík	skrblický	N-k --> A-cký	CHANGE: í -> i	
				
smrtelnice	smrtelnický	N-e --> A-ký		
smrtelník	smrtelnický	N-k --> A-cký	CHANGE: í -> i	
				
společnice	společnický	N-e --> A-ký		
společník	společnický	N-k --> A-cký	CHANGE: í -> i	
				
spoluvlastnice	spoluvlastnický	N-e --> A-ký		
spoluvlastník	spoluvlastnický	N-k --> A-cký	CHANGE: í -> i	
				
stavebnice	stavebnický	N-e --> A-ký		
stavebník	stavebnický	N-k --> A-cký	CHANGE: í -> i	
				
stolovnice	stolovnický	N-e --> A-ký		
stolovník	stolovnický	N-k --> A-cký	CHANGE: í -> i	
				
strojnice	strojnický	N-e --> A-ký		
strojník	strojnický	N-k --> A-cký	CHANGE: í -> i	
				
strážnice	strážnický	N-e --> A-ký		
strážník	strážnický	N-k --> A-cký	CHANGE: í -> i	
				
státnice	státnický	N-e --> A-ký		
státník	státnický	N-k --> A-cký	CHANGE: í -> i	
				
stříbrnice	stříbrnický	N-e --> A-ký		
stříbrník	stříbrnický	N-k --> A-cký	CHANGE: í -> i	
				
svobodnice	svobodnický	N-e --> A-ký		
svobodník	svobodnický	N-k --> A-cký	CHANGE: í -> i	
				
světoběžnice	světoběžnický	N-e --> A-ký		
světoběžník	světoběžnický	N-k --> A-cký	CHANGE: í -> i	
				
svůdnice	svůdnický	N-e --> A-ký		
svůdník	svůdnický	N-k --> A-cký	CHANGE: í -> i	
				
tanečnice	tanečnický	N-e --> A-ký		
tanečník	tanečnický	N-k --> A-cký	CHANGE: í -> i	
				
tlumočnice	tlumočnický	N-e --> A-ký		
tlumočník	tlumočnický	N-k --> A-cký	CHANGE: í -> i	
				
trosečnice	trosečnický	N-e --> A-ký		
trosečník	trosečnický	N-k --> A-cký	CHANGE: í -> i	
				
trpaslice	trpaslický	N-e --> A-ký		
trpaslík	trpaslický	N-k --> A-cký	CHANGE: í -> i	
				
tábornice	tábornický	N-e --> A-ký		
táborník	tábornický	N-k --> A-cký	CHANGE: í -> i	
				
uprchlice	uprchlický	N-e --> A-ký		
uprchlík	uprchlický	N-k --> A-cký	CHANGE: í -> i	
				
učednice	učednický	N-e --> A-ký		
učedník	učednický	N-k --> A-cký	CHANGE: í -> i	
				
varhanice	varhanický	N-e --> A-ký		
varhaník	varhanický	N-k --> A-cký	CHANGE: í -> i	
				
velkoobchodnice	velkoobchodnický	N-e --> A-ký		
velkoobchodník	velkoobchodnický	N-k --> A-cký	CHANGE: í -> i	
				
vlastnice	vlastnický	N-e --> A-ký		
vlastník	vlastnický	N-k --> A-cký	CHANGE: í -> i	
				
vražednice	vražednický	N-e --> A-ký		
vražedník	vražednický	N-k --> A-cký	CHANGE: í -> i	
				
vrstevnice	vrstevnický	N-e --> A-ký		
vrstevník	vrstevnický	N-k --> A-cký	CHANGE: í -> i	
				
válečnice	válečnický	N-e --> A-ký		
válečník	válečnický	N-k --> A-cký	CHANGE: í -> i	
				
vápenice	vápenický	N-e --> A-ký		
vápeník	vápenický	N-k --> A-cký	CHANGE: í -> i	
				
výtržnice	výtržnický	N-e --> A-ký		
výtržník	výtržnický	N-k --> A-cký	CHANGE: í -> i	
				
výtvarnice	výtvarnický	N-e --> A-ký		
výtvarník	výtvarnický	N-k --> A-cký	CHANGE: í -> i	
				
výzkumnice	výzkumnický	N-e --> A-ký		
výzkumník	výzkumnický	N-k --> A-cký	CHANGE: í -> i	
				
zahradnice	zahradnický	N-e --> A-ký		
zahradník	zahradnický	N-k --> A-cký	CHANGE: í -> i	
				
začátečnice	začátečnický	N-e --> A-ký		
začátečník	začátečnický	N-k --> A-cký	CHANGE: í -> i	
				
zbohatlice	zbohatlický	N-e --> A-ký		
zbohatlík	zbohatlický	N-k --> A-cký	CHANGE: í -> i	
				
zdravotnice	zdravotnický	N-e --> A-ký		
zdravotník	zdravotnický	N-k --> A-cký	CHANGE: í -> i	
				
zlatnice	zlatnický	N-e --> A-ký		
zlatník	zlatnický	N-k --> A-cký	CHANGE: í -> i	
				
zpovědnice	zpovědnický	N-e --> A-ký		
zpovědník	zpovědnický	N-k --> A-cký	CHANGE: í -> i	
				
zákaznice	zákaznický	N-e --> A-ký		
zákazník	zákaznický	N-k --> A-cký	CHANGE: í -> i	
				
zámečnice	zámečnický	N-e --> A-ký		
zámečník	zámečnický	N-k --> A-cký	CHANGE: í -> i	
				
zápasnice	zápasnický	N-e --> A-ký		
zápasník	zápasnický	N-k --> A-cký	CHANGE: í -> i	
				
zápecnice	zápecnický	N-e --> A-ký		
zápecník	zápecnický	N-k --> A-cký	CHANGE: í -> i	
				
závodnice	závodnický	N-e --> A-ký		
