^acido
^aden
^adipo
^aero
^afro
^agro
^akro
^aku
^akva
^alkoho
^alo
^amino
^andr
^angio
^ante
^anti
^antropo
^arci
^arche
^archeo
^archi
^aroma
^art
^arterio
^artro
^astro
^audio
^auto
^bacilo
^bakterio
^balneo
^barvo
^bas
^bathy
^baty
^benzíno
^bio
^blaho
^blasto
^bledě
^bledo
^blesko
^blesku
^boje
^brady
^brachy
^bronchi
^broncho
^caro
^cefalo
^cech
^celo
^centri-/centro
^cézaro
^cirk
^cirkum
^cosmo
^cyklo
^cysto
^cyto
^čajo
^čaro
^časo
^daleko
^dálko
^dálno
^darmo
^data
^dato
^deci
^děje
^deka
^demo
^démono
^dendro
^derm
^derma
^dermato
^dermo
^desmo
^dia
^digi
^disko
^dlanito
^dlouho
^dobro
^dolno
^drobno
^dřevo
^ducha
^duto
^dynamo
^džez
^echt
^eko
^ekto
^ekvi
^elektro
^embryo
^encefalo
^endo
^energo
^entero
^ento
^epi
^erc
^erytro
^etno
^euro
^evropo
^exo
^extra
^extro
^fagie
^fágie
^farmako
^faryng
^fero
^ferri
^ferro
^fibrino
^fibro
^fit
^fitnes
^flebo
^fono
^foto
^fren
^freno
^fyto
^fyzio
^gala
^galvano
^gastro
^geo
^geronto
^giga
^gramo
^gril
^gumo
^hadro
^halogen
^heli
^helio
^hemi
^hepato
^hetero
^hier
^hifi
^hi-fi
^hipo
^histio
^histo
^hlavo
^holo
^homeo
^homo
^horno
^horo
^hromo
^hrubo
^hrůzo
^hurá
^hydro
^hygro
^hyper
^hypno
^hypo
^hypsi
^hypso
^hyster
^chemo
^chiro
^chol
^chondro
^christo
^chromato
^chromo
^chrono
^ideo
^idio
^ichtyo
^ikono
^ileo
^indo
^indoor
^info
^infra
^inline
^inte
^inter
^intra
^intro
^ionto
^irido
^ischio
^izo
^jako
^jakoby
^jazyko
^jazz(o)
^jemno
^jiho
^jino
^juxta
^kalci
^kalcium
^kameno
^karb
^karcino
^kardio
^karyo
^kávo
^každo
^kefal
^kefalo
^kerato
^kilo
^kino
^klepto
^klimato
^kmeno
^knih
^kolono
^kombi
^kontra
^kontro
^kosmo
^koso
^kovo
^kranio
^kraso
^krátko
^krimi
^kristo
^kruho
^krve
^krvo
^kryo
^krypto
^kryto
^křivo
^kvazi
^květo
^kyano
^kyber
^lakto
^land
^landes
^lano
^lant
^laryng
^lávo
^ledo
^lehko
^lepto
^lesklo
^leuko
^levo
^libo
^lido
^licho
^lino
^lipo
^listo
^litho
^lito
^logo
^lymf
^lyro
^lži
^makro
^malo
^málo
^mammo
^mamo
^mast
^maxi
^medio
^medo
^mega
^megalo
^melan
^melano
^melo
^memo
^meningo
^meno
^meta
^meteo
^metro
^mezi
^mezo
^mezzo
^midi
^mikro
^mili
^milo
^milost
^mimo
^mini
^mino
^míro
^míru
^místo
^mix(o)
^mlado
^mléko
^mnoha
^mnoho
^mobil
^mono
^monstr
^morfo
^moto
^mravo
^muko
^multi
^myelo
^myko
^myo
^myto
^mýto
^myxo
^nafto
^naho
^nano
^narko
^národně
^národo
^naso
^nazo
^nefro
^nekro
^neo
^neuro
^nitro
^nízko
^nomo
^normo
^noto
^novo
^obr
^óbr
^odonto
^ohně
^ohni
^ohňo
^oligo
^onko
^online
^onto
^onycho
^organo
^orto
^oscilo
^osteo
^ostro
^oto
^outdoor
^ovo
^oxy
^pachy
^paleo
^pan
^pankreato
^panto
^paro
^pato
^pedi
^pedo
^peri
^perlo
^pero
^peřeno
^pestro
^petro
^pidi
^piko
^pikto
^písmo
^plagio
^play
^plazmo
^pleo
^pleur
^plexi
^plno
^plodo
^plocho
^plosko
^plyno
^pneu
^pneumo
^polo
^poly
^porno
^post
^pra
^prach
^pravo
^právo
^profi
^prokt
^promo
^prosto
^proti
^předo
^přímo
^pseudo
^psycho
^ptako
^ptáko
^pykno
^pyo
^pyro
^radio
^rádoby
^rekta
^rekto
^rentgeno
^repre
^repro
^retikul
^retino
^retro
^rino
^rodo
^rodu
^ropo
^rovno
^ruko
^rukou
^ruso
^různo
^růžo
^rybo
^rychlo
^sádro
^sacharo
^sakro
^samo
^sarko
^satiricko
^sebe
^seismo
^seleno
^semeno
^semi
^séro
^servo
^severo
^sex
^sféro
^schizo
^sidero
^ski
^skia
^sklero
^sklo
^skolio
^skoro
^slabo
^sladko
^slovo
^smutno
^snědo
^sněho
^sněhu
^sobě
^sociál
^socio
^sólo
^somato
^soukromo
^spasmo
^speed
^speleo
^spiro
^spolu
^staro
^státo
^stejno
^steno
^stereo
^stíno
^strato
^stromo
^středo
^sudo
^sucho
^super
^supra
^svato
^své
^světa
^světle
^světlo
^světo
^synchro
^šéf
^šero
^širo
^široko
^šroubo
^tabáko
^tacho
^tachy
^také
^taky
^tanko
^taxi
^teen
^technicko
^techno
^tele
^tělo
^temno
^tenko
^teplo
^tera
^termo
^tetra
^těžko
^thio
^tio
^tlusto
^tmavě
^tmavo
^tono
^tóno
^top
^toxiko
^toxo
^trafo
^trans
^tranz
^tromb
^truc
^truchlo
^tupo
^turbo
^tvrdo
^typo
^tyrano
^ufo
^uhlo
^úhlo
^ultra
^uni
^úzko
^vakuo
^vědecko
^vejco
^věko
^vel
^vele
^velko
^velo
^veřejno
^větro
^vice
^více
^video
^vino
^víno
^vlasti
^vlno
^vnitro
^vodo
^vojensko
^vše
^všeho
^východo
^vysoko
^vzdoro
^vzducho
^web
^xeno
^xer
^zado
^zákono
^západo
^země
^zimo
^zkázo
^zkázy
^zlo
^znovu
^zoo
^zvěro
^žáro
^žáru
^život
^života
^životo
^životu
