hypotéza: pokud dáme OK a původy se liší, tak vítězí vyšší?						
OK	DIFF	křemen	křemík	['p.']	křemen	['všesl.', 'p.', 'r.', 'csl.', 'psl.', 'ie.']
OK	DIFF	křtít	křesťan	['sthn.', 'lat.']	křest	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'sthn.', 'lat.', 'ř.', 's.', 'mak.']
OK	DIFF	kříž	křižmo	['sthn.', 'lat.', 'ř.']	kříž	['p.', 'ch.', 'stsl.', 'jsl.', 'severoit.', 'vlat.', 'lat.']
OK	DIFF	kříž	křižník	['něm.']	kříž	['p.', 'ch.', 'stsl.', 'jsl.', 'severoit.', 'vlat.', 'lat.']
DISCONNECT	DIFF	kůň	kůň	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'předie.', 'kelt.', 'ie.', 'něm.']	kónický	['fr.', 'lat.', 'ř.']
OK	DIFF	kora	kůra	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stisl.', 'lat.', 'alb.', 'arm.', 'ie.']	korek	['něm.', 'lat.']
OK	DIFF	kur	kurník	['něm.']	kur	['všesl.', 'p.', 'stsl.', 'psl.', 'ukr.', 'lit.', 'lat.']
OK	DIFF	kutit	kutit	['hl.', 'r.', 'csl.', 'psl.', 'ie.']	kutat	['č.', 'slk.', 'něm.']
OK	DIFF	kyselý	kyslík	['lat.', 'ř.']	kyselý	['všesl.', 'p.st.', 'r.', 'stsl.', 'psl.', 'ie.']
DISCONNECT	DIFF	lámat	lámat	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'stpr.', 'stisl.', 'stangl.', 'něm.', 'ie.']	dolomit	['fr.']
homonymie	DIFF	léč	léčka	['stč.', 'stč.', 'str.', 'stsl.', 'psl.', 'lit.', 'ie.']	leč	['p.']
homonymie	DIFF	lekat	leklý	['p.']	lekat	['č.', 'stč.']
OK	DIFF	letět	letět	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'lit.', 'lot.', 'střhn.', 'ř.', 'ie.']	leták	['am.-angl.', 'něm.']
homonymie	DIFF	líný	líný	['stč.', 'p.', 'r.', 'ch.', 's.', 'stsl.', 'psl.', 'lit.', 'lat.', 'ie.', 'gót.', 'angl.', 'ř.']	lenoch	['něm.', 'sthn.']
DISCONNECT	DIFF	lámat	lomit	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'stpr.', 'stisl.', 'stangl.', 'něm.', 'ie.']	dolomit	['fr.']
DISCONNECT	DIFF	los	losos	['p.', 'r.', 'psl.', 'lit.', 'lot.', 'něm.', 'stisl.', 'toch.', 'bsl.', 'oset.', 'ie.']	los	['něm.', 'angl.']
OK	DIFF	luna	luneta	['fr.', 'lat.']	luna	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lat.', 'ie.', 'stpr.', 'střir.', 'ř.', 'av.']
COMPOUND	DIFF	magor	magor	['č.']	fantazmagorie	['fr.', 'ř.']
DISCONNECT	DIFF	mašle	mašlovačka	['všesl.', 'p.', 'r.', 'stsl.', 'psl.']	mašle	['něm.']
homonymie	DIFF	mat	matný	['stč.', 'střhn.', 'č.', 'stfr.', 'lat.']	mat	['něm.', 'it.', 'per.']
DISCONNECT	DIFF	mést	metál	['fr.', 'it.', 'něm.']	mést	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'balt.', 'lit.', 'lot.', 'ie.']
OK	DIFF	mše	misál	['střlat.', 'lat.']	mešní	['slk.', 'p.', 'sln.', 'slov.', 'sthn.', 'lat.']
DISCONNECT	DIFF	mřít	morek	['něm.']	mor	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.']
OK	DIFF	mour	mourovatý	['p.', 'r.', 'sln.', 'č.']	mour	['slk.', 'psl.', 'lit.', 'střir.', 'arm.', 'ie.']
OK	DIFF	mýt	mýval	['něm.']	mýdlo	['psl.']
OK	DIFF	bít	náboj	['č.', 'něm.', 'stpr.', 'sti.', 'č.']	bič	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'č.', 'něm.', 'všesl.', 'ch.', 'gót.', 'lat.', 'ř.', 'ie.', 'lit.', 'sti.']
OK	DIFF	moci	nemoc	['p.', 'vsl.', 'jsl.']	moc	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'germ.', 'gót.', 'něm.', 'angl.', 'ie.', 'č.']
homonymie	DIFF	balit	obalit	['stč.']	balík	['maď.']
OK	DIFF	jít	obchod	['č.', 'slk.', 'p.']	chodit	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ř.', 'sti.', 'ie.']
DISCONNECT	DIFF	čít	očistec	['pozdnělat.', 'lat.']	čidlo	['stč.', 'všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'ie.', 'lat.', 'ř.', 'sti.', 'něm.']
OK	DIFF	kora	okoralý	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stisl.', 'lat.', 'alb.', 'arm.', 'ie.']	korek	['něm.', 'lat.']
OK	DIFF	koukat	okounět	['stč.', 'stp.', 'ukr.', 'lot.', 'lat.', 'č.']	koukat	['č.', 'slk.', 'luž.', 'něm.']
OK	DIFF	okres	okrsek	['stč.', 'r.', 'stsl.', 'polab.', 'č.', 'lit.']	okres	['p.', 'něm.']
OK	DIFF	ostrý	ostříž	['sln.']	ostruha	['stč.', 'p.', 'r.', 'psl.']
OK	DIFF	pan	paňáca	['něm.', 'it.']	pan	['stč.', 'luž.', 'p.', 'jsl.', 'vsl.', 'zsl.', 'stč.', 'psl.', 'ř.', 'sti.']
OK	DIFF	roh	paroh	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'lot.', 'stpr.', 'bsl.', 'ie.', 'něm.']	kozoroh	['csl.', 'lat.']
OK	DIFF	pastorovat	pastorek	['sln.', 'csl.', 'psl.', 'lit.']	pastor	['lat.']
homonymie	DIFF	pata	patka	['něm.', 'fr.']	pata	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'afghán.', 'ie.', 'něm.']
homonymie	DIFF	pět	pět	['všesl.', 'p.', 'r.', 'ch.', 's.', 'stsl.', 'psl.', 'ř.']	pěnkava	['slk.', 'sln.', 'něm.', 'it.', 'ř.', 'bret.', 'maď.']
COMPOUND	DIFF	klíč	petrklíč	['č.', 'střlat.', 'něm.']	klíč	['stč.', 'všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'stir.', 'lat.', 'ř.', 'ie.', 'něm.']
DISCONNECT	DIFF	pískat	píštěl	['něm.', 'lat.']	pískat	['všesl.', 'p.', 'r.', 'ch.', 'stsl.', 'psl.', 'lot.']
OK	DIFF	plát	plameňák	['něm.', 'šp.', 'lat.', 'niz.']	plamen	['všesl.', 'p.', 'r.', 'stsl.', 'psl.']
DISCONNECT	DIFF	planý	plaňka	['něm.', 'střhn.', 'pozdnělat.', 'vlat.', 'lat.', 'ř.', 'něm.']	pláň	['stč.', 'sln.', 'ukr.', 'psl.', 'ie.', 'lit.', 'lat.']
OK	DIFF	plášť	plášť	['všesl.', 'p.', 'r.', 'stsl.', 'psl.']	baloňák	['něm.', 'fr.', 'it.', 'germ.']
homonymie	DIFF	plát	plátek	['něm.', 'lat.', 'ř.']	plát	['stsl.', 'psl.', 'ie.', 'lit.', 'stisl.']
DISCONNECT	DIFF	plenit	plenér	['fr.']	plen	['všesl.', 'p.', 'r.', 'csl.', 'ch.', 'stsl.', 'psl.', 'lit.', 'lot.', 'slov.', 'ie.', 'sthn.', 'ř.', 'sti.']
OK	DIFF	plyn	plynout	['p.', 'psl.', 'r.']	plyn	['p.', 'sln.', 'č.']
OK	DIFF	čekat	počkat	['stč.', 'všesl.', 'p.', 'hl.', 'ukr.', 'b.', 'stsl.', 'psl.', 'r.', 'sti.', 'ie.']	čekanka	['lat.', 'něm.']
OK	DIFF	zřít	podezřelý	['p.', 'r.', 'lat.']	názor	['všesl.', 'p.st.', 'r.', 'stsl.', 'psl.', 'lit.']
OK	DIFF	man	podmanit	['stč.']	man	['střhn.']
OK	DIFF	hlava	pohlavár	['s.']	hlava	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'sthn.', 'lat.', 'arm.', 'ie.']
homonymie	DIFF	kořit	pokora	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lot.', 'sthn.', 'lat.', 'ir.', 'ř.', 'ie.']	koření	['něm.']
OK	DIFF	krýt	pokrytec	['lat.', 'ř.']	krov	['stsl.', 'psl.', 'ie.']
OK	DIFF	jmout	ponětí	['r.']	jímat	['stč.', 'všesl.', 'p.', 'str.', 'stsl.', 'psl.', 'lit.', 'lat.', 'ie.']
DISCONNECT	DIFF	popel	popelín	['něm.', 'fr.', 'angl.']	popel	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'stpr.', 'lit.', 'ie.', 'lat.', 'ř.', 'sti.']
OK	DIFF	ruka	poručit	['stč.']	poručík	['r.', 'p.', 'č.', 'fr.', 'pozdnělat.']
OK	DIFF	vít	povidla	['č.', 'p.', 'něm.']	navinulý	['stč.']
OK	DIFF	práce	práce	['stč.', 'zsl.', 'psl.', 'sln.', 'b.', 'č.', 'slov.', 'ie.']	pracant	['it.']
homonymie	DIFF	hnát	prohnaný	['něm.', 'střhn.']	hnát	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'lit.', 'stisl.', 'stir.', 'lat.', 'ř.', 'sti.', 'chet.', 'ie.']
OK	DIFF	pruh	pruh	['p.', 'ukr.', 'sln.', 'psl.']	popruh	['č.', 'p.']
OK	DIFF	dům	přídomek	['p.']	doma	['ie.']
OK	DIFF	jmout	příjemný	['r.', 'něm.']	jímat	['stč.', 'všesl.', 'p.', 'str.', 'stsl.', 'psl.', 'lit.', 'lat.', 'ie.']
homonymie	DIFF	kořit	příkoří	['všesl.', 'psl.', 'lit.', 'stlat.', 'ie.', 'lat.', 'ř.', 'sthn.', 'p.', 'r.', 'stsl.', 'lot.', 'ir.']	koření	['něm.']
OK	DIFF	psát	psanec	['lat.']	písmo	['všesl.', 'p.', 'r.', 'psl.']
OK	DIFF	ráj	rajče	['něm.', 'slk.', 'pozdnělat.', 'ř.']	ráj	['všesl.', 'p.', 'r.', 'stsl.', 'psl.', 'av.', 'írán.', 'sti.', 'lat.']
homonymie	DIFF	robit	robot	['r.', 'r.']	podrobit	['stč.', 'č.']
