jihoafricko
africko
americko
anglicko
bolševicko
demokraticko
eskymácko
hornicko
indicko
jablonecko
kapitalisticko
kaplicko
katolicko
komunisticko
kupecko
labužnicko
libkovicko
marxisticko
mexicko
mostecko
námořnicko
myslivecko
mělnicko
otrocko
pytlácko
slušovicko
svazácko
turecko
valticko
vesnicko
vřecko
zednicko
zápasnicko
českoamericko
českobudějovicko
řecko
řeznicko
šlechticko
