bobravskě
Bělěhrad
Chvostkěvič
Chvostkěvičův
Karatkěvič
Karatkěvičův
Kwět
Kwětův
megarskě
turkitskě
agonizujícě
arě
botnickě
zbřidlě
dlouhokřídlě
dolnooharskě
dvanáctihlasě
dvojtvarě
dvojvypuklě
dvouklasě
dvoutvarě
filozofskě
hořkokyselě
itackě
jedinkě
jemňounkě
kruhosvalě
křemešnickě
liliotvarě
marsilkotvarě
masenkotvarě
smáčklě
merlíkotvarě
mutilujícě
místokrálovskě
negřě
nihilizujícě
nilosaharskě
nízkorostlě
přeostrě
dopadlě
plavuňotvarě
podmrzlě
poloklabonosě
pololesklě
polonezávislě
polosuchě
poloteplě
poloumělě
polozkamenělě
pozdníě
pořečtělě
prokořenělě
pásosvalě
převeledobrě
rosolovkotvarě
staroměstkě
stejnokřídlě
střízličě
tajnokřídlě
temnopásě
tlustoocasě
trojúhlě
trubkonosě
velenedobrě
rozevláě
vlěčňák
navětralě
souvěkě
červenokorě
šarinilskě
šestirukě
šmoulě
