m_None	kryptografie_N(en); lakmus_N(en); sukně_N(en); poslanec_N(en); materiál_N(en); improvizovat_V(en); uvést_V(en); příkaz_N(en); přenos_N(en); vydělat_V(en); hybnost_N(en); profesor_N(en); zápasit_V(en); pluk_N(en); rozmar_N(en); směr_N(fr); pod-_None(en); opovrhovat_V(en); pochlebovat_V(en); diagram_N(en); usadit_V(en); mrazit_V(en); clo_N(en); vřískat_V(en); funkční_A(en); samet_N(en); vzpírat_V(en); kvalifikovat_V(en); požadovat_V(en); kladný_A(en); vévoda_N(en); tlumočit_V(en); nouze_N(en); pronajmout_V(en); spojenec_N(en); hrnec_N(en); aklimatizovat_V(en); šílený_A(en); volně_D(en); džbán_N(en); portrét_N(en); plán_N(en); sádra_N(en); ženit_V(en); porcelán_N(en); lid_N(en); statek_N(en); vektorový_A(en); housle_N(en); kvalifikace_N(en); otvor_N(en); uprchlík_N(en); stupeň_N(fr); sou-_None(en); princip_N(en); milionář_N(en); protiklad_N(en); provést_V(en); hora_N(en); ukázat_V(en); mluvčí_N(en); záporný_A(en); samo-_None(en); rozklad_N(en); učenec_N(en); nutit_V(en); astmatický_A(en); zmocněnec_N(en); režim_N(en); rozvoj_N(en); hedvábí_N(en); potopit_V(en); spolupracovat_V(en); vzrušit_V(en); evropský_A(en); pohyb_N(en); vazač_N(en); panika_N(en); bádat_V(en); smůla_N(en); styl_N(en); korál_N(en); šálek_N(en); kritizovat_V(en); všude_D(en); alkoholický_A(en); oko_N(en); smetana_N(en); posun_N(en); choroba_N(en); -átor_None(en); imunitní_A(en); slonovina_N(en); podivný_A(en); moment síly_N(en); popel_N(en); odletět_V(en); průzkum_N(en); rez_N(en); sklep_N(en); prvočíselný_A(en); komisař_N(en); mlýn_N(en); lovit_V(en); loutka_N(en); darwinismus_N(en); posuv_N(en); uskutečnit_V(en); úhrn_N(en); pokrok_N(en); cit_N(en); odjet_V(en); přiletět_V(en); přístroj_N(en); kolo_N(en); programovat_V(en); sluch_N(en); katalog_N(en); instruktor_N(en); krach_N(en); švýcarský_A(en); metrický_A(en); položka_N(en); šum_N(en); spolu-_None(en); zuřit_V(en); znepokojit_V(en); před-_None(en); -áč_None(en); ruka_N(fr); balit_V(en); sad_N(en); vklad_N(en); načrtnout_V(en); hloupý_A(en); tep_N(en); aktualizovat_V(en); grilovat_V(en); své-_None(en); sebe-_None(en); lístek_N(en); odejít_V(en); trasa_N(en); flambovat_V(en); nebohý_A(en); lino_N(en); ladit_V(en); pruh_N(en); třpytit_V(en); pohrdat_V(en); řevnit_V(en); sport_N(en); obuv_N(en); unést_V(en); krýt_V(en); mrzet_V(en); závod_N(en); třískat_V(en); přizpůsobit_V(en); úcta_N(en); sběr_N(en); rozptýlit_V(en); organizér_N(en); bezpečný_A(en); parametr_N(en); vysoká škola_N(en); kvalitativní_A(en); hostit_V(en); synchronizovat_V(en); adoptovat_V(en); kvantitativní_A(en); kladka_N(en); kvantifikátor_N(en); násilný_A(en); zmocnit_V(en); obal_N(en); ministr_N(en); náboženský_A(en); tání_N(en); upravit_V(en); laik_N(en); harmonický_A(en); rozpad_N(en); míle_N(en); arci-_None(en); kancelář_N(en); slunečnice_N(en); rostlina_N(en)
f_None	kryptografie_N(en); poslanec_N(en); tenis_N(en); konkurenční_A(en); -logie_None(en); přísný_A(en); věrný_A(en); tvrdohlavý_A(en); sleva_N(en); profesor_N(en); poklad_N(en); jedinečný_A(en); šňůra_N(en); ohebný_A(en); normální_A(en); plavit_V(en); maska_N(en); společenský_A(en); usadit_V(en); marný_A(en); clo_N(en); samet_N(en); kvalifikovat_V(en); kladný_A(en); matematický_A(en); spořivý_A(en); naplnit_V(en); popravit_V(en); ordinální_A(en); šílený_A(en); zločinný_A(en); litina_N(en); hygiena_N(en); osnova_N(en); kvalifikace_N(en); stupeň_N(fr); dalekozraký_A(en); sou-_None(en); veličina_N(en); báze_N(en); připravený_A(en); transakce_N(en); surový_A(en); záporný_A(en); samo-_None(en); komponenta_N(en); skvrna_N(en); řídký_A(en); pokladna_N(en); spolupracovat_V(en); evropský_A(en); knihovnictví_N(en); řevnivý_A(en); uskutečnitelný_A(en); kavárna_N(en); průzkumník_N(en); útočný_A(en); bezpečnost_N(en); totožný_A(en); podobný_A(en); -nomie_None(en); oko_N(en); spálit_V(en); smetana_N(en); choroba_N(en); imunitní_A(en); komise_N(en); pravák_N(en); libovolný_A(en); rozumný_A(en); popel_N(en); vážný_A(en); mlýn_N(en); účinnost_N(en); krátkozraký_A(en); četnost_N(en); mast_N(en); kritika_N(en); filozofický_A(en); kvasit_V(en); praktický_A(en); derivace_N(en); vhodný_A(en); prohnaný_A(en); kolo_N(en); -óza_None(en); metrický_A(en); spolu-_None(en); funkcionální_A(en); před-_None(en); součást_N(en); regulace_N(en); utěšit_V(en); flétna_N(en); posílit_V(en); ušlechtilý_A(en); pedagogika_N(en); balit_V(en); dohodnout_V(en); hloupý_A(en); sazba_N(en); kariéra_N(en); pružný_A(en); své-_None(en); sebe-_None(en); použitelný_A(en); nástupce_N(en); infekce_N(en); trasa_N(en); skříňka_N(en); chrabrý_A(en); náplň_N(en); býložravý_A(en); nervový_A(en); ladit_V(en); souvislý_A(en); obecný_A(en); úcta_N(en); nerozhodný_A(en); intenzionální_A(en); koleda_N(en); sezóna_N(en); macecha_N(en); násilný_A(en); univerzál_N(en); roura_N(en); volnočasový_A(en); pochopitelný_A(en); šroubovice_N(en); kognitivní_A(en); upravit_V(en); přehlídka_N(en); samice_N(en); vyplnit_V(en); dobročinný_A(en); kancelář_N(en)
n_None	šílený_A(en); zdůvodnit_V(en); zpracovat_V(en); znaménko_N(en); oplodnit_V(en); násilný_A(en); pohrdat_V(en); obuv_N(en); choroba_N(en); krýt_V(en); centrum_N(en); uvést_V(en); třískat_V(en); vektorový_A(en); kmitat_V(en); skřípnout_V(en); přizpůsobit_V(en); smažit_V(en); dilema_N(en); sou-_None(en); sklep_N(en); zedník_N(en); plánování_N(en); provést_V(en); shrnout_V(en); rozhraní_N(en); zaměřit_V(en); uhlí_N(en); dusit_V(en); středisko_N(en); záporný_A(en); loutka_N(en); soused_N(en); opovrhovat_V(en); kvasit_V(en); určení_N(en); připustit_V(en); odůvodnit_V(en); signál_N(en); šít_V(en); pochlebovat_V(en); podstatný_A(en); třísknout_V(en); obdržet_V(en); mrazit_V(en); kolo_N(en); programovat_V(en); vřískat_V(en); programování_N(en); vzrušit_V(en); spolu-_None(en); funkcionální_A(en); znepokojit_V(en); vzpírat_V(en); mecenáš_N(en); nasazení_N(en); kladný_A(en); bádat_V(en); harmonický_A(en); tlumočit_V(en); načrtnout_V(en); ocenit_V(en); zjednodušit_V(en); grilovat_V(en); sebe-_None(en); sát_V(en); osvítit_V(en); strategický_A(en); ordinální_A(en); přiskřípnout_V(en); flambovat_V(en); vřísknout_V(en); ladit_V(en); kmitání_N(en)
cs_None	ex-_None(en); -ec_None(en); ob-_None(en); -ův_None(en); do-_None(en); -ivo_None(en); -ka_None(en); za-_None(en); nad-_None(en); -ný_None(en); mili-_None(en); -ice_None(en); -at_None(en); s-_None(en); osteo-_None(en); -ní_None(en); -ost_None(en); při-_None(en); pod-_None(en); bez-_None(en); -ek_None(en); vy-_None(en); pseudo-_None(en); -ství_None(en); nitro-_None(en); -in_None(en); -ový_None(en); -ičitý_None(en); ne-_None(en); sobě-_None(en); na-_None(en); -stvo_None(en); -ník_None(en); intra-_None(en); před-_None(en); od-_None(en); tří-_None(en); pra-_None(en); -tel_None(en); sebe-_None(en); -ský_None(en); -ota_None(en)
český_A	Čechy_N(pl); Česko_N(cs); Češka_N(pl); -ský_None(fr); čeština_N(pl); Čech_N(pl); Český_N(cs); Česká_N(cs); Česko_N(pl); česko-slovensko-polsko-maďarský_A(cs); Čech_N(fr); Čeští_N(cs); Čechy_N(cs); česky_D(pl); Čechoameričan_N(cs); Česko_None(fr); Čechy_N(de); Česko_N(de); Čech_N(de); Českých_N(cs); Čechy_None(fr); česky_D(cs); Čech_N(cs)
vražda_N	sebevražda_N(pl); vyvraždit_V(cs); sebevražda_N(cs); vraždit_V(cs); vrah_N(pl); vražedný_A(pl); zavraždit_V(cs); vrahoun_N(cs); vraždychtivost_N(cs); vražedkyně_N(pl); vražedný_A(cs); vraždychtivý_A(cs); vražedkyně_N(cs); povraždit_V(cs); vražedlný_A(cs); vraždit_V(pl); sebevrah_N(pl)
Čech_N	Čechy_N(pl); Český_N(cs); Česko_N(cs); Češka_N(pl); Češka_N(de); Češka_N(cs); Čechy_N(cs); Česká_N(cs); český_A(pl); Česko_None(fr); Čechyně_N(cs); Česko_N(de); češství_N(cs); Čechy_None(fr); česky_D(cs); Česko_N(pl)
vraždit_V	sebevražda_N(pl); vyvraždit_V(cs); sebevražda_N(cs); vražda_N(fr); vrah_N(pl); vražedný_A(pl); zavraždit_V(cs); vražda_N(cs); vražedkyně_N(pl); vražda_N(pl); vražedný_A(cs); vražedkyně_N(cs); povraždit_V(cs); vražedlný_A(cs); sebevrah_N(pl)
vrah_N	vyvraždit_V(cs); sebevražda_N(cs); vraždit_V(cs); zavraždit_V(cs); vražedný_A(pl); vražný_A(cs); vražda_N(cs); vraždychtivost_N(cs); vrahoun_N(cs); vražda_N(pl); vraždychtivý_A(cs); vražedkyně_N(cs); povraždit_V(cs); vraždit_V(pl); sebevrah_N(pl)
pracovník_N	pracoviště_N(pl); práce_N(de); pracující_N(cs); pracovitý_A(pl); pracovní_A(fr); spolupráce_N(pl); práce_N(cs); pracant_N(pl); pracovat_V(cs); práce_N(fr); pracovnice_N(cs); pracovní_A(cs); pracovat_V(fr); pracovní_A(de)
