Alexandr	Saša
Pankrác	Bonifác
Václava	Vendula
biograf	biják
chtivý	burčákochtivý
dárce	službodárce
gen	fibrinogen
gen	kalyptrogen
dojít	došedší
pojít	pošedší
povyjít	povyšedší
vyjít	vyšedší
kripl	zkormucovat
lyzin	fibrinolyzin
metr	bilirubinometr
plán	raketoplán
raketa	rachomejtle
rex	methylaminorex
ský	házenářskost
ský	házenářsky
stanice	trafostanice
tombak	tumpachový
téka	filmotéka
