Franců	frank
Franců	frank
Franka	Franky,Franke,frank
Frankia	Franky
Frankie	Franke,Franky
Franko	Franky
Frantic	František
Frantice	František
Franče	Franke
Frick	Fric
Fryštak	Fryšták
Fryštácko	Fryšták
Fryštáček	Fryšták
Fára	fara
Galanta	galantní
Galante	galantní
Gale	Gal
Gale	Gal
Gale	Gal
Galera	galéra
Galicia	Galicie
Galicin	Galicie
Galileo	Galilea
Galileo	Galilea
Galileo	Galilea
Galén	Galen
Gamina	gamin
Gandhí	Gándhí
Gellnar	Gellner
General	generál
General	generál
Genova	gen
Geodézie	geodezie
Georgievský	Georgiev
Georgijev	Georgij
Gerlache	Gerlach
Germaina	Germain
Germaine	Germain
German	Germán
Gestvík	gesto
Gete	Get
Ghaní	Ghana
Ghání	Ghana
Gilk	Gil
Gira	giro
Glajchová	glajchovat
Grado	grad
Grafite	grafit
Granat	granát
Granite	granit
Greenville	Grenville
Gráf	graf
Gudžarátec	Gudžarát
Gulaš	guláš
Gumotextilka	gumotextil
Gurdžár	Gurdžar
Habánov	habán
Habáň	habán
Habřinka	habřina
Hajduček	hajdučit
Haját	hajat
Haldane	halda
Hale	hala
Hale	hala
Hanna	Hana
Harcovna	harcovat
Hare	Harare
Harmonit	harmonie
Hasištejnský	Hasištejn
Hastrmanová	hastrman
Haussman	Haussmann
Havraň	havran
Haňa	Hana,Haná
Heck	hec
Hecová	hecovat
Heine	Hein
Heini	Hein
Heino	Hein
Hejna	Hejnice,hejno
Hejný	Hejnice,hejno
Hekaté	hekat
Helene	Helena
Herman	Hermann
Hindustan	Hindustán
Hlavatý	hlava,Hlava
Hlemýždí	hlemýžď
Hlinice	Hlinka
Hlinička	Hlinka
Hlinky	Hlinka
Hlouček	hloučit
Hlubinka	hlubina
Hlučínský	Hlučín
Hnaník	hnanec
Hochmann	Hochman
Hodice	hodit
Hodinka	hodinkář
Hodonínka	Hodonín
Holaň	Holan
Holohlavy	holohlavý
Holán	Holan
Holáň	Holan
Honore	honor
Honoré	honor
Horka	horký
Horky	horký,Horka
Horký	Horka
Horne	horna
Hornice	horna
Horno	horna
Hornák	horňák
Hornát	hornatý
Horní	horna
Horník	Hornik
Horný	horna
Horný	horna
Horácko	Horác
Horňáček	horňák
Horšice	horšit
Hovora	hovor
Hovězí	Hověz
Hrabí	hrabě
Hrabětice	Hraběta
Hrach	hrách
Hradiský	Hradisko
Hrant	hrana
Hraník	hraničník
Hrdly	hrdlo
Hroněk	Hroník
Hrozek	Hroza
Hrušky	hruška
Hrácha	hrách
Hubay	huba
Hubna	hubnout
Hudecký	Hudec
Hudek	Hudec
Hulan	hulán
Hulánová	hulán
Humpoláková	humpolák
Hurbanovo	Hurban
Hust	hustý
Husár	husar
Hábr	habr
Háda	hádat
Háje	háj,Háj
Háy	Hay
Hérakleios	Hérakleitos
Hřebecký	hřebec
Hřebek	hřebec
Ignace	Ignác
Ignát	Ignác
Imam	imám
Imobilia	imobilie
Indonesie	Indonésie
Ionov	ion
Irene	Irena
Ischia	ischias
Ivič	Ivičič
Iván	Ivan
Ištvan	Ištván
Jablunka	Jablunkov
Janak	Janák
Jandák	Janda
Jary	jarý
Javorie	Javorin
Javorina	Javorin
Jedlí	jedle
Jelení	Jelena
Jelimán	jeliman
Jesenice	Jesenin
Jeseň	jesen
Jestřábka	jestřáb
Jestřábský	jestřáb
Jevišovicko	Jevišovice
Jihlavák	Jihlava
Jiranek	Jiránek
Jiřinský	jiřina
Jordan	Jordán
Jordan	Jordán
Jordan	Jordán
Joze	Joza
Juanův	Juan
Jude	Judea
Jugoslavie	Jugoslávie
Juliánka	Julián
Juliánov	Julián
Jungman	Jungmann
Juste	justice
Justo	Just
Justy	Just
Justyna	Justýna
Jíno	jíní
Jíně	jíní,jiný
Jůn	Jon
Kabonil	kabonit
Kadett	kadet
Kadár	Kádár
Kaine	Kain
Kajetan	Kajetán
Kajetánka	Kajetán
Kakata	kakat
Kalikst	Kalik
Kalin	Kalinin
Kalinec	Kalinin
Kalinič	Kalinin
Kaly	kalý
Kameno	Kamený
Kamení	Kamený
Kampan	kampaň
Kampelik	kampelička
Kampelík	kampelička
Kamča	Kamčatka
Kanaan	Kanaán
Kanal	kanál
Kanclíř	kancléř
Kannan	Kanaán
Kanoute	kanout
Kanáda	Kanada
Kapelní	kapelničit
Kapilárie	kapilára
Kaprálik	kaprál,Kaprál
Karmazin	Karmazín
Kaste	kasta
Kastilia	Kastilie
Kasáč	Kasák
Kat	kát
Kate	kat
Kateřinice	Kateřina
Kateřinky	Kateřina
Kati	kat
Katyně	Katyna
Kavalíř	kavalír
Kaván	Kavan
Kača	káča
Kača	káča
Kašparec	Kašpar
Kašparů	Kašpar
Kašparů	Kašpar
Kašperk	Kašper
Kašperka	Kašper
Kašperko	Kašper
Kašpersko	Kašper
Kaštanov	kaštan
Kerouack	Kerouac
Keňo	Keňa
Kikujo	Kikuj
Kirovský	Kirov
Klara	Klára
Klat	klát
Klatovák	Klatovy
Kleine	Klein
Kleine	Klein
Klepač	Klepáč
Klepetko	klepeto
Klimíček	Klimek
Klina	klinika
Kline	klinika
Klinka	klinkat
Kloboučky	klobouk
Klofát	klofat
Klokočí	klokoč
Kloos	Klos
