				
*	šerý	šírat	A-ý --> V-at	CHANGE: e -> í
*	širý	šírat	A-ý --> V-at	CHANGE: i -> í
*	šírý	šírat	A-ý --> V-at	
				
*	štítkový	štítkovat	A-ý --> V-at	
*	štětkový	štítkovat	A-ý --> V-at	CHANGE: ě -> í
				
*	štítový	štítovat	A-ý --> V-at	
*	štětový	štítovat	A-ý --> V-at	CHANGE: ě -> í
				
	---------------------------------			
	23 GROUPS FOR RULE COMBINATION: A-ný --> V-it, A-ý --> V-it			
				
*	branný	bránit	A-ný --> V-it	CHANGE: a -> á
*	braný	bránit	A-ý --> V-it	CHANGE: a -> á
				
*	divný	divit	A-ný --> V-it	
*	divý	divit	A-ý --> V-it	
				
	dlouhý	dloužit	A-ý --> V-it	CHANGE: h -> ž
*	dlužný	dloužit	A-ný --> V-it	CHANGE: u -> ou
				
*	drahný	dražit	A-ný --> V-it	CHANGE: h -> ž
	drahý	dražit	A-ý --> V-it	CHANGE: h -> ž
				
*	druhý	družit	A-ý --> V-it	CHANGE: h -> ž
*	družný	družit	A-ný --> V-it	
				
*	kalný	kalit	A-ný --> V-it	
*	kalý	kalit	A-ý --> V-it	
				
*	kořenný	kořenit	A-ný --> V-it	
*	kořený	kořenit	A-ý --> V-it	
				
	mnohý	množit	A-ý --> V-it	CHANGE: h -> ž
*	množný	množit	A-ný --> V-it	
				
*	mytý	mýtit	A-ý --> V-it	CHANGE: y -> ý
*	mýtný	mýtit	A-ný --> V-it	
				
*	obranný	obránit	A-ný --> V-it	CHANGE: a -> á
*	obraný	obránit	A-ý --> V-it	CHANGE: a -> á
				
*	plavný	plavit	A-ný --> V-it	
*	plavý	plavit	A-ý --> V-it	
				
*	ranný	ranit	A-ný --> V-it	
*	raný	ranit	A-ý --> V-it	
				
*	ruměnný	ruměnit	A-ný --> V-it	
*	ruměný	ruměnit	A-ý --> V-it	
				
*	rusý	rušit	A-ý --> V-it	CHANGE: s -> š
*	rušný	rušit	A-ný --> V-it	
				
*	směnný	směnit	A-ný --> V-it	
*	směný	směnit	A-ý --> V-it	
				
*	soudný	soudit	A-ný --> V-it	
*	sudý	soudit	A-ý --> V-it	CHANGE: u -> ou
				
*	sprostný	sprostit	A-ný --> V-it	
*	sprostý	sprostit	A-ý --> V-it	
				
	vlahý	vlažit	A-ý --> V-it	CHANGE: h -> ž
*	vlažný	vlažit	A-ný --> V-it	
				
*	zastřelý	zastřelit	A-ý --> V-it	
*	zástřelný	zastřelit	A-ný --> V-it	CHANGE: á -> a
				
*	zlatný	zlatit	A-ný --> V-it	
	zlatý	zlatit	A-ý --> V-it	
				
*	čelný	čílit	A-ný --> V-it	CHANGE: e -> í
*	čilý	čílit	A-ý --> V-it	CHANGE: i -> í
				
*	škaredný	škaredit	A-ný --> V-it	
	škaredý	škaredit	A-ý --> V-it	
				
*	živný	živit	A-ný --> V-it	
*	živý	živit	A-ý --> V-it	
				
	---------------------------------			
	12 GROUPS FOR RULE COMBINATION: A-ný --> V-it			
				
*	hlasný	hlásit	A-ný --> V-it	CHANGE: a -> á
*	hlásný	hlásit	A-ný --> V-it	
				
*	hrozný	hrozit	A-ný --> V-it	
*	hrůzný	hrozit	A-ný --> V-it	CHANGE: ů -> o
				
*	křižný	křížit	A-ný --> V-it	CHANGE: i -> í
*	křížný	křížit	A-ný --> V-it	
				
*	pohonný	pohonit	A-ný --> V-it	
*	půhonný	pohonit	A-ný --> V-it	CHANGE: ů -> o
				
*	rozvažný	rozvážit	A-ný --> V-it	CHANGE: a -> á
*	rozvážný	rozvážit	A-ný --> V-it	
				
*	svažný	svážit	A-ný --> V-it	CHANGE: a -> á
*	svážný	svážit	A-ný --> V-it	
				
*	tvárný	tvářit	A-ný --> V-it	CHANGE: r -> ř
*	tvářný	tvářit	A-ný --> V-it	
				
*	tížný	tížit	A-ný --> V-it	
*	těžný	tížit	A-ný --> V-it	CHANGE: ě -> í
				
*	vratný	vrátit	A-ný --> V-it	CHANGE: a -> á
*	vrátný	vrátit	A-ný --> V-it	
				
*	věstný	věštit	A-ný --> V-it	CHANGE: s -> š
*	věštný	věštit	A-ný --> V-it	
				
*	řasný	řasit	A-ný --> V-it	
*	řásný	řasit	A-ný --> V-it	CHANGE: á -> a
				
*	škodný	škodit	A-ný --> V-it	
*	škůdný	škodit	A-ný --> V-it	CHANGE: ů -> o
				
	---------------------------------			
	9 GROUPS FOR RULE COMBINATION: A-rý --> V-řit, A-ý --> V-it			
				
	bystrý	bystřit	A-rý --> V-řit	
	bystrý	bystřit	A-ý --> V-it	CHANGE: r -> ř
				
	kyprý	kypřit	A-rý --> V-řit	
	kyprý	kypřit	A-ý --> V-it	CHANGE: r -> ř
				
	modrý	modřit	A-rý --> V-řit	
	modrý	modřit	A-ý --> V-it	CHANGE: r -> ř
				
	mokrý	mokřit	A-rý --> V-řit	
	mokrý	mokřit	A-ý --> V-it	CHANGE: r -> ř
				
	ostrý	ostřit	A-rý --> V-řit	
	ostrý	ostřit	A-ý --> V-it	CHANGE: r -> ř
				
	pestrý	pestřit	A-rý --> V-řit	
	pestrý	pestřit	A-ý --> V-it	CHANGE: r -> ř
				
	čirý	čiřit	A-rý --> V-řit	
	čirý	čiřit	A-ý --> V-it	CHANGE: r -> ř
				
	šerý	šeřit	A-rý --> V-řit	
	šerý	šeřit	A-ý --> V-it	CHANGE: r -> ř
				
*	šerý	šířit	A-rý --> V-řit	CHANGE: e -> í
*	širý	šířit	A-rý --> V-řit	CHANGE: i -> í
*	šírý	šířit	A-rý --> V-řit	
*	šírý	šířit	A-ý --> V-it	CHANGE: r -> ř
				
	---------------------------------			
	6 GROUPS FOR RULE COMBINATION: A-ký --> V-čit, A-ý --> V-it			
				
	divoký	divočit	A-ký --> V-čit	
	divoký	divočit	A-ý --> V-it	CHANGE: k -> č
				
	jinaký	jinačit	A-ký --> V-čit	
	jinaký	jinačit	A-ý --> V-it	CHANGE: k -> č
				
	křepký	křepčit	A-ký --> V-čit	
	křepký	křepčit	A-ý --> V-it	CHANGE: k -> č
				
	měkký	měkčit	A-ký --> V-čit	
	měkký	měkčit	A-ý --> V-it	CHANGE: k -> č
				
	tenký	tenčit	A-ký --> V-čit	
	tenký	tenčit	A-ý --> V-it	CHANGE: k -> č
				
	veliký	veličit	A-ký --> V-čit	
	veliký	veličit	A-ý --> V-it	CHANGE: k -> č
				
	---------------------------------			
	4 GROUPS FOR RULE COMBINATION: A-chý --> V-šit, A-ý --> V-it			
				
	lichý	lišit	A-chý --> V-šit	
	lichý	lišit	A-ý --> V-it	CHANGE: ch -> š
				
	plachý	plašit	A-chý --> V-šit	
	plachý	plašit	A-ý --> V-it	CHANGE: ch -> š
				
	suchý	sušit	A-chý --> V-šit	
	suchý	sušit	A-ý --> V-it	CHANGE: ch -> š
				
	tichý	tišit	A-chý --> V-šit	
	tichý	tišit	A-ý --> V-it	CHANGE: ch -> š
				
	---------------------------------			
	3 GROUPS FOR RULE COMBINATION: A-ý --> V-it			
				
	mírný	mírnit	A-ý --> V-it	
*	měrný	mírnit	A-ý --> V-it	CHANGE: ě -> í
				
*	přesný	přísnit	A-ý --> V-it	CHANGE: e -> í
	přísný	přísnit	A-ý --> V-it	
				
*	vozený	voženit	A-ý --> V-it	CHANGE: z -> ž
*	vožený	voženit	A-ý --> V-it	
				
	---------------------------------			
	3 GROUPS FOR RULE COMBINATION: A-ý --> V-ět			
				
*	kosatý	košatět	A-ý --> V-ět	CHANGE: s -> š
				
	zrzavý	zrzavět	A-ý --> V-ět	
				
	řeřavý	řeřavět	A-ý --> V-ět	
				
	---------------------------------			
	1 GROUPS FOR RULE COMBINATION: A-ný --> V-it, A-rý --> V-řit, A-ý --> V-it			
				
*	sporný	spořit	A-ný --> V-it	CHANGE: r -> ř
*	sporý	spořit	A-rý --> V-řit	
*	sporý	spořit	A-ý --> V-it	CHANGE: r -> ř
				
	---------------------------------			
	1 GROUPS FOR RULE COMBINATION: A-ý --> V-nout			
				
*	horký	hořknout	A-ý --> V-nout	CHANGE: r -> ř
	hořký	hořknout	A-ý --> V-nout	
