# derivations that will be added to DeriNet based on Etym dict derivations list
# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 395 new probably correct derivation, cca 97,5 % precision
derivation	parent
huhňat#V???---??-??I??	huhlat#V????--??-??I??
hypnotický#AA???----??---?	hypnóza#NNF??-----A---?
hypnotikum#NNN??-----A---?	hypnóza#NNF??-----A---?
hypotetický#AA???----??---?	hypotéza#NNF??-----A---?
imperátor#NNM??-----A---?	impérium#NNN??-----A---?
imperiální#AA???----??---?	impérium#NNN??-----A---?
infikovat#V????--??-??B??	infekce#NNF??-----A---?
institut#NNI??-----A---?	instituce#NNF??-----A---?
intendance#NNF??-----A---?	intendant#NNM??-----A---?
intenzivní#AA???----??---?	intenzita#NNF??-----A---?
interesantní#AA???----??---?	interes#NNI??-----A---?
inverzní#AA???----1?---?	inverze#NNF??-----A---?
jazzman#NNM??-----A---?	jazz#NNI??-----A---?
výjev#NNI??-----A---?	jevit#V????--??-??I??
najevo#Db-------------	jevit#V????--??-??I??
jihnout#V????--??-??I??	jih#NNI??-----A---?
jikernáč#NNM??-----A---?	jikra#NNF??-----A---?
jinam#Db-------------	jiný#AA???----??---?
sněmovat#V????--??-??I??	sněm#NNI??-----A---?
jubilovat#V????--??-??I??	jubileum#NNN??-----A---?
judikatura#NNF??-----A---?	judikát#NNI??-----A---?
@jinovatka#NNF??-----A---?	jíní#NNN??-----A---?
jogistický#AA???----??---?	jóga#NNF??-----A---?
kameraman#NNM??-----A---?	kamera#NNF??-----A---?
kandidovat#V????--??-??I??	kandidát#NNM??-----A---?
kanonýr#NNM??-----A---?	kanon#NNI??-----A---?
karikovat#V????--??-??I??	karikatura#NNF??-----A---?
katalyzační#AA???----??---?	katalýza#NNF??-----A---?
katecheta#NNM??-----A---?	katechismus#NNI??-----A---?
katecheze#NNF??-----A---?	katechismus#NNI??-----A---?
zákeřný#AA???----??---?	keř#NNI??-----A---?
kleštit#V????--??-??I??	klestit#V????--??-??I??
přikleknout#V????--??-??P??	klečet#V????--??-??I??
kmih#NNI??-----A---?	kmihat#V????--??-??I??
předkmih#NNI??-----A---?	kmihat#V????--??-??I??
zákmih#NNI??-----A---?	kmihat#V????--??-??I??
knoflíkovitý#AA???----??---?	knoflík#NNI??-----A---?
koheze#NNF??-----A---?	koherence#NNF??-----A---?
kohoutit#V????--??-??I??	kohout#NNI??-----A---?
koketerie#NNF??-----A---?	koketa#NNF??-----A---?
kolabovat#V????--??-??I??	kolaps#NNI??-----A---?
kolportáž#NNF??-----A---?	kolportovat#V????--??-??I??
kombajnista#NNM??-----A---?	kombajn#NNI??-----A---?
dokonce#Db-------------	konec#NNI??-----A---?
konferovat#V????--??-??I??	konference#NNF??-----A---?
konstanta#NNF??-----A---?	konstantní#AA???----??---?
konstituovat#V????--??-??B??	konstituce#NNF??-----A---?
konvertor#NNI??-----A---?	konvertovat#V????--??-??I??
kopytnatý#AA???----??---?	kopyto#NNN??-----A---?
korodovat#V????--??-??I??	koroze#NNF??-----A---?
kosmopolita#NNM??-----A---?	kosmopolitismus#NNI??-----A---?
překot#NNI??-----A---?	překotný#AA???----??---?
koudelník#NNM??-----A---?	koudel#NNF??-----A---?
kukátko#NNN??-----A---?	koukat#V????--??-??I??
kov#NNI??-----A---?	kovat#V????--??-??I??
kreativní#AA???----??---?	kreace#NNF??-----A---?
zakrvavit#V????--??-??P??	krev#NNF??-----A---?
kuchyňka#NNF??-----A---?	kuchyň#NNF??-----A---?
kuchyňský#AA???----??---?	kuchyň#NNF??-----A---?
kuchař#NNM??-----A---?	kuchyň#NNF??-----A---?
kuchtit#V????--??-??I??	kuchyň#NNF??-----A---?
kudlat#V????--??-??I??	kudla#NNF??-----A---?
kulturistika#NNF??-----A---?	kultura#NNF??-----A---?
skupina#NNF??-----A---?	kupa#NNF??-----A---?
kurzor#NNI??-----A---?	kurs#NNI??-----A---?
kvestura#NNF??-----A---?	kvestor#NNM??-----A---?
kvadratura#NNF??-----A---?	kvadrát#NNI??-----A---?
károvaný#AA???----??---?	káro#NNN??-----A---?
kávovina#NNF??-----A---?	káva#NNF??-----A---?
kafírna#NNF??-----A---?	kafe#NNN??-----A---?
kšeftsman#NNM??-----A---?	kšeft#NNI??-----A---?
lávka#NNF??-----A---?	lavice#NNF??-----A---?
zalehnout#V????--??-??P??	ležet#V????--??-??I??
slehnout#V????--??-??P??	ležet#V????--??-??I??
přilehnout#V????--??-??P??	ležet#V????--??-??I??
letmý#AA???----??---?	letět#V????--??-??I??
lichokopytník#NNM??-----A---?	lichý#AA???----??---?
lidé#NNMP?-----A---?	lid#NNIS?-----A----
lidičky#NNMP?-----A---?	lid#NNIS?-----A----
ligista#NNM??-----A---?	liga#NNF??-----A---?
limita#NNF??-----A---?	limit#NNI??-----A---?
lineární#AA???----??---?	linie#NNF??-----A---?
lotynka#NNF??-----A---?	loto#NNN??-----A---?
louhovitý#AA???----??---?	louh#NNI??-----A---?
lučinatý#AA???----??---?	louka#NNF??-----A---?
slupnout#V????--??-??P??	lupat#V????--??-??I??
letopis#NNI??-----A---?	léto#NNN??-----A---?
máti#NNF??-----A---?	matka#NNF??-----A---?
přimáčknout#V????--??-??P??	mačkat#V????--??-??I??
medovinový#AA???----??---?	med#NNI??-----A---?
medailon#NNI??-----A---?	medaile#NNF??-----A---?
meritorní#AA???----??---?	meritum#NNN??-----A---?
zamezit#V????--??-??P??	mez#NNF??-----A---?
vymezit#V????--??-??P??	mez#NNF??-----A---?
mezkovitý#AA???----??---?	mezek#NNM??-----A---?
mečoun#NNM??-----A---?	meč#NNI??-----A---?
mikrobiální#AA???----??---?	mikrob#NNI??-----A---?
milostpán#NNM??-----A---?	milost#NNF??-----?---?
minomet#NNI??-----A---?	mina#NNF??-----A---?
mlecí#AA???----1?---?	mlít#V????--??-??I??
nadmořský#AA???----??---?	moře#NNN??-----A---?
mrzký#AA???----??---?	mrzet#V????--??-??I??
muskulatura#NNF??-----A---?	muskulární#AA???----1?---?
pomyslet#V??????????????	mysl#NNF??-----A---?
vymyslet#V??????????????	mysl#NNF??-----A---?
promyslet#V??????????????	mysl#NNF??-----A---?
odmyslet#V??????????????	mysl#NNF??-----A---?
přemýšlet#V????--??-??I??	mysl#NNF??-----A---?
neolitický#AA???----??---?	neolit#NNI??-----A---?
nanic#Db-------------	nic#Db-------------
nanicovatý#AA???----??---?	nic#Db-------------
nitrolebeční#AA???----1?---?	nitro#NNN??-----A---?
nitrožilní#AA???----1?---?	nitro#NNN??-----A---?
odpočatý#AA???----??---?	odpočinout#V????--??-??P??
okluzní#AA???----??---?	okluze#NNF??-----A---?
op#NNM??-----A---?	opice#NNF??-----A---?
orlice#NNF??-----A---?	orel#NNM??-----A---?
orodovník#NNM??-----A---?	orodovat#V????--??-??I??
paleolitický#AA???----??---?	paleolit#NNI??-----A---?
patentka#NNF??-----A---?	patent#NNI??-----A---?
patetický#AA???----??---?	patos#NNI??-----A---?
nedopatření#NNN??-----A---?	patřit#V????--??-??I??
pendlovky#NNFP?-----A---?	pendlovat#V????--??-??I??
psovský#AA???----??---?	pes#NNM??-----A---?
bezpečí#NNN??-----A---?	péče#NNF??-----A---?
pindík#NNI??-----A---?	pinďour#NNM??-----A---?
rozplavba#NNF??-----A---?	plavat#V????--??-??I??
