# Derivations intermediate from 'srov'
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# EtymDict: "derivation" is maybe derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"

# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct



parent	grandparent	derivation
egalizovat#V????--??-??I??	ekvilibristika#NNF??-----A---?	ekvivalentní#AA???----??---?
eklektický#AA???----??---?	elegán#NNM??-----A---?	ekloga#NNF??-----A---?
elevovat#V????--??-??I??	elév#NNM??-----A---?	elevace#NNF??-----A---?
relevance#NNF??-----A---?	elév#NNM??-----A---?	irelevantní#AA???----??---?
baryt#NNI??-----A---?	embargo#NNN??-----A---?	bar#NNI??-----A---?
embolus#NNI??-----A---?	emblém#NNI??-----A---?	embolie#NNF??-----A---?
cyklon#NNI??-----A---?	encyklika#NNF??-----A---?	cyklus#NNI??-----A---?
encyklopédie#NNF??-----A---?	encyklika#NNF??-----A---?	encyklopedie#NNF??-----A---?
clavichord#NNI??-----A---?	enkláva#NNF??-----A---?	klávesa#NNF??-----A---?
exkluze#NNF??-----A---?	enkláva#NNF??-----A---?	exkluzivní#AA???----??---?
absence#NNF??-----A---?	entita#NNF??-----A---?	esence#NNF??-----A---?
teizmus#NNI??-----A---?	entropie#NNF??-----A---?	ateismus#NNI??-----A---?
těžký#AA???----??---?	epenteze#NNF??-----A---?	teze#NNF??-----A---?
demiurg#NNM??-----A---?	epidemie#NNF??-----A---?	demokracie#NNF??-----A---?
fyzický#AA???----??---?	epifýza#NNF??-----A---?	fyzika#NNF??-----A---?
autogen#NNI??-----A---?	epigon#NNM??-----A---?	geneze#NNF??-----A---?
epenteze#NNF??-----A---?	epiteton#NNN??-----A----	teze#NNF??-----A---?
methoda#NNF??-----A---?	epizoda#NNF??-----A---?	metoda#NNF??-----A---?
onomatopoie#NNF??-----A---?	epopej#NNF??-----A---?	onomatopoický#AA???----??---?
drezura#NNF??-----A---?	erekce#NNF??-----A---?	korigovat#V????--??-??B??
argon#NNI??-----A---?	erg#NNI??-----A---?	energie#NNF??-----A---?
rudiment#NNI??-----A---?	erudice#NNF??-----A---?	rudimentární#AA???----??---?
abrupce#NNF??-----A---?	erupce#NNF??-----A---?	korupce#NNF??-----A---?
bastard#NNM??-----A---?	erupce#NNF??-----A---?	bankrot#NNI??-----A---?
examinovat#V????--??-??I??	esej#NNI??-----A---?	examinátor#NNM??-----A---?
erekce#NNF??-----A---?	eskorta#NNF??-----A---?	korigovat#V????--??-??B??
deprese#NNF??-----A---?	espreso#NNN??-----A---?	pres#NNI??-----A---?
spirituelní#AA???----1?---?	esprit#NNI??-----A---?	spiritismus#NNI??-----A---?
aspiráta#NNF??-----A---?	esprit#NNI??-----A---?	špiritus#NNI??-----A---?
atak#NNI??-----A---?	estakáda#NNF??-----A---?	atakovat#V????--??-??I??
ethika#NNF??-----A---?	étos#NNI??-----A---?	etika#NNF??-----?---?
ethno#NNNS?-----A----	etnický#AA???----??---?	etno#NNNS?-----A----
status#NNI??-----A---?	etáž#NNF??-----A---?	statický#AA???----??---?
charizma#NNN??-----A---?	eucharistie#NNF??-----A---?	charisma#NNN??-----A---?
amfora#NNF??-----A---?	euforie#NNF??-----A---?	metafora#NNF??-----A---?
gen#NNI??-----A---?	eugenika#NNF??-----A---?	genetika#NNF??-----A---?
amortizovat#V????--??-??B??	eutanazie#NNF??-----A---?	smrt#NNF??-----A---?
aviso#NNN??-----A---?	evidence#NNF??-----A---?	revidovat#V????--??-??I??
advokát#NNM??-----A---?	evokovat#V????--??-??B??	provokovat#V????--??-??I??
absces#NNI??-----A---?	exces#NNI??-----A---?	proces#NNI??-----A---?
hegemon#NNI??-----A---?	exegeze#NNF??-----A---?	hegemonie#NNF??-----A---?
asociovat#V????--??-??I??	exekuce#NNF??-----A---?	sekvence#NNF??-----A---?
presumovat#V????--??-??I??	exemplář#NNI??-----A---?	presumpce#NNF??-----A---?
inhalovat#V????--??-??I??	exhalace#NNF??-----A---?	inhalace#NNF??-----A---?
humanizmus#NNI??-----A---?	exhumace#NNF??-----A---?	humanita#NNF??-----A---?
aklamovat#V????--??-??I??	exklamace#NNF??-----A---?	deklamovat#V????--??-??I??
komunikovat#V????--??-??B??	exkomunikovat#V????--??-??B??	komunikace#NNF??-----A---?
sekret#NNI??-----A---?	exkrement#NNI??-----A---?	sekrece#NNF??-----A---?
diskurz#NNI??-----A---?	exkurs#NNI??-----A---?	konkurs#NNI??-----A---?
epizoda#NNF??-----A---?	exodus#NNI??-----A---?	metoda#NNF??-----A---?
empirický#AA???----??---?	experiment#NNI??-----A---?	expert#NNM??-----A---?
exponovat#V????--??-??B??	exponát#NNI??-----A---?	expozice#NNF??-----A---?
kontrahovat#V????--??-??I??	extrakt#NNI??-----A---?	kontrakce#NNF??-----A---?
abstraktum#NNN??-----A---?	extrakt#NNI??-----A---?	abstraktní#AA???----??---?
introverze#NNF??-----A---?	extrovert#NNM??-----A---?	introvert#NNM??-----A---?
avers#NNI??-----A---?	extrovert#NNM??-----A---?	averze#NNF??-----A---?
metastáze#NNF??-----A---?	extáze#NNF??-----A---?	metastáza#NNF??-----A---?
asistovat#V????--??-??I??	extáze#NNF??-----A---?	existence#NNF??-----?---?
afazie#NNF??-----A---?	fabule#NNF??-----A---?	fáma#NNF??-----A---?
rafinovat#V????--??-??I??	fajn#Db-------------	finesa#NNF??-----A---?
efekt#NNI??-----A---?	faksimile#NNN??-----A---?	fakt#NNI??-----A---?
disimilovat#V????--??-??B??	faksimile#NNN??-----A---?	asimilovat#V????--??-??B??
faksimile#NNN??-----A---?	faktor#NNI??-----A---?	fakt#NNI??-----A---?
faktor#NNI??-----A---?	faktor#NNM??-----A---?	fakt#NNI??-----A---?
faktor#NNM??-----A---?	fakulta#NNF??-----A---?	fakt#NNI??-----A---?
falzifikovat#V????--??-??B??	faleš#NNF??-----A----	falzifikát#NNI??-----A---?
fandit#V????--??-??I??	fanatik#NNM??-----A---?	fanoušek#NNM??-----A---?
fanfaron#NNM??-----A---?	fanfára#NNF??-----A---?	fanfarón#NNM??-----A---?
magor#NNM??-----A---?	fantazie#NNF??-----A---?	fantazmagorie#NNF??-----A---?
ekologie#NNF??-----A---?	fara#NNF??-----A---?	diecéze#NNF??-----A---?
biřmovat#V????--??-??I??	farma#NNF??-----A---?	firma#NNF??-----A---?
fašizmus#NNI??-----A---?	fascikl#NNI??-----A---?	fašismus#NNI??-----A---?
fakulta#NNF??-----A---?	fazona#NNF??-----A---?	fakt#NNI??-----A---?
fabulovat#V????--??-??I??	fatální#AA???----??---?	fáma#NNF??-----A---?
fasona#NNF??-----A---?	faseta#NNF??-----A---?	fasáda#NNF??-----A---?
epidemie#NNF??-----A---?	federace#NNF??-----A---?	konfident#NNM??-----A---?
folie#NNF??-----A---?	fejeton#NNI??-----A---?	fólie#NNF??-----A---?
feminizmus#NNI??-----A---?	femininum#NNN??-----A---?	feminismus#NNI??-----A---?
dryják#NNI??-----A---?	ferina#NNM??-----A---?	zvíře#NNN??-----A---?
diference#NNF??-----A---?	fertilita#NNF??-----A---?	konference#NNF??-----A---?
fazeta#NNF??-----A---?	fetiš#NNI??-----A---?	fakt#NNI??-----A---?
Filip#NNM??-----A---?	fikaný#AA???----??---?	filip#NNM??-----A---?
cela#NNF??-----A---?	filatelie#NNF??-----A---?	teleologie#NNF??-----A---?
defilé#NNNXX-----A----	filigránský#AA???----??---?	filé#NNNXX-----A----
iluminovat#V????--??-??I??	filumenie#NNFP?-----A---?	iluminace#NNF??-----A---?
definovat#V????--??-??B??	finance#NNF??-----A---?	finiš#NNI??-----A---?
pískat#V????--??-??I??	fistule#NNF??-----A---?	píšťala#NNF??-----A---?
fetiš#NNI??-----A---?	fit#AAXXX----1A----	fakt#NNI??-----A---?
afix#NNI??-----A---?	fixovat#V????--??-??I??	krucifix#NNI??-----A---?
flik#NNI??-----A---?	flek#NNI??-----A---?	flikovat#V????--??-??I??
deflorovat#V????--??-??P??	fleret#NNI??-----A---?	flóra#NNF??-----A---?
buzola#NNF??-----A---?	flinta#NNF??-----A---?	puška#NNF??-----A---?
fluktuovat#V????--??-??I??	fluidum#NNN??-----A---?	fluktuace#NNF??-----A---?
flám#NNI??-----A---?	flundra#NNF??-----A---?	flámovat#V????--??-??I??
fluidum#NNN??-----A---?	fluor#NNI??-----A---?	fluktuace#NNF??-----A---?
flota#NNF??-----A---?	flusat#V????--??-??I??	flotila#NNF??-----A---?
klaustrofobní#AA???----??---?	fobie#NNF??-----A---?	klaustrofobie#NNF??-----A---?
xenofobní#AA???----??---?	fobie#NNF??-----A---?	xenofobie#NNF??-----A---?
foukat#V????--??-??I??	fofr#NNI??-----A---?	fukar#NNI??-----A---?
bochník#NNI??-----A---?	fofr#NNI??-----A---?	fokus#NNI??-----A---?
fejeton#NNI??-----A---?	foliant#NNI??-----A---?	fólie#NNF??-----A---?
fundovat#V????--??-??I??	fond#NNI??-----A---?	fundovaný#AA???----??---?
fundament#NNI??-----A---?	fond#NNI??-----A---?	fundamentální#AA???----??---?
difuze#NNF??-----A---?	fondán#NNI??-----A---?	fúze#NNF??-----A---?
psychiatrie#NNF??-----A---?	foniatrie#NNF??-----A---?	psychiatr#NNM??-----A---?
backhand#NNI??-----A---?	forhont#NNI??-----A---?	forhend#NNI??-----A---?
fedrovat#V????--??-??I??	forhont#NNI??-----A---?	fortel#NNI??-----A---?
forhont#NNI??-----A---?	forhont#NNM??-----A---?	forhend#NNI??-----A---?
forhont#NNM??-----A---?	forota#NNF??-----A---?	fortel#NNI??-----A---?
forte#Db-------------	forte#NNNXX-----A----	piano#NNN??-----A---?
porta#NNF??-----A---?	fortna#NNF??-----A---?	portál#NNI??-----A---?
forota#NNF??-----A---?	forvard#NNM??-----A---?	forhend#NNI??-----A---?
forvard#NNI??-----A---?	foršus#NNI??-----A---?	forota#NNF??-----A---?
pater#NNM??-----A---?	fotr#NNM??-----A---?	páter#NNM??-----A---?
fofr#NNI??-----A---?	foyer#NNI??-----A---?	fokus#NNI??-----A---?
fragment#NNI??-----A---?	frak#NNI??-----A---?	fraktura#NNF??-----A---?
crnkat#V????--??-??I??	frkat#V????--??-??I??	frnknout#V????--??-??P??
afrikáta#NNF??-----A---?	froté#AAXXX----1A----	frikce#NNF??-----A---?
fotr#NNM??-----A---?	fráter#NNM??-----A---?	páter#NNM??-----A---?
funebrální#AA???----1?---?	funus#NNI??-----A---?	funebrák#NNM??-----A---?
fičet#V????--??-??I??	funět#V????--??-??I??	fučet#V????--??-??I??
galantní#AA???----??---?	gala#AAXXX----1A----	galán#NNM??-----A---?
galantérie#NNF??-----A---?	gala#AAXXX----1A----	galanterie#NNF??-----A---?
garant#NNM??-----A---?	garnitura#NNF??-----A---?	garance#NNF??-----A---?
avantgarda#NNF??-----A---?	garnitura#NNF??-----A---?	garda#NNF??-----A---?
diabetes#NNI??-----A----	gatě#NNFP?-----A----	hať#NNF??-----A---?
gatě#NNFP?-----A----	gatě#NNNP?-----A----	hať#NNF??-----A---?
želé#NNNXX-----A----	gel#NNI??-----A---?	želatina#NNF??-----A---?
chlad#NNI??-----A---?	gel#NNI??-----A---?	chladný#AA???----??---?
eugenika#NNF??-----A---?	genealogie#NNF??-----A---?	gen#NNI??-----A---?
epigon#NNM??-----A---?	genealogie#NNF??-----A---?	geneze#NNF??-----A---?
džentlmen#NNM??-----A---?	generální#AA???----1?---?	generace#NNF??-----A---?
generel#NNI??-----A---?	genitál#NNI??-----A---?	generace#NNF??-----A---?
pregnance#NNF??-----A---?	genitál#NNI??-----A---?	pregnantní#AA???----??---?
diskriminovat#V????--??-??B??	gestapo#NNN??-----A---?	policie#NNF??-----A---?
gel#NNI??-----A---?	glaciál#NNI??-----A---?	glazura#NNF??-----A---?
hlédat#V????--??-??I??	glanc#NNI??-----A---?	hledět#V????--??-??I??
glorifikovat#V????--??-??B??	gloriola#NNF??-----A---?	glorifikace#NNF??-----A---?
agnostik#NNM??-----A---?	gnozeologie#NNF??-----A---?	gnóma#NNN??-----A---?
prognoza#NNF??-----A---?	gnozeologie#NNF??-----A---?	prognóza#NNF??-----A---?
diagram#NNI??-----A---?	grafém#NNI??-----A---?	graf#NNI??-----A---?
grandiozní#AA???----1?---?	grand#NNM??-----A---?	grandiózní#AA???----??---?
gravitovat#V????--??-??I??	gravidita#NNF??-----A---?	gravitace#NNF??-----A---?
granit#NNI??-----A---?	grenadina#NNF??-----A---?	granát#NNI??-----A---?
gatě#NNNP?-----A----	griotka#NNF??-----A---?	ocet#NNI??-----A---?
hrubý#AA???----??---?	grobián#NNM??-----A---?	hrubián#NNM??-----A---?
apokryf#NNI??-----A---?	groteska#NNF??-----A---?	krypta#NNF??-----A---?
agregovat#V????--??-??I??	grémium#NNN??-----A---?	kongregace#NNF??-----A---?
exhibice#NNF??-----A---?	habilitovat#V????--??-??I??	hábit#NNI??-----A---?
eskorta#NNF??-----A---?	rehabilitace#NNF??-----A---?	rekce#NNF??-----A---?
fitink#NNI??-----A---?	hacienda#NNF??-----A---?	fakt#NNI??-----A---?
hajzl#NNI??-----A---?	hajzl#NNM??-----A---?	prevít#NNM??-----A---?
fotogenický#AA???----??---?	halogen#NNI??-----A---?	fosgen#NNI??-----A---?
genealogie#NNF??-----A---?	halogen#NNI??-----A---?	autogen#NNI??-----A---?
balkon#NNI??-----A---?	hampejz#NNI??-----A---?	hambalek#NNI??-----A---?
doba#NNF??-----A---?	handrkovat#V????--??-??I??	hádat#V????--??-??I??
hořet#V???---??-??I??	harant#NNM??-----A---?	oharek#NNI??-----A---?
softver#NNI??-----A---?	hardware#NNI??-----A---?	software#NNI??-----A---?
kout#V????--??-??I??	havíř#NNM??-----A---?	kovat#V????--??-??I??
hnout#V????--??-??P??	hebký#AA???----??---?	hbitý#AA???----??---?
hýkat#V????--??-??I??	hekat#V????--??-??I??	hejkat#V????--??-??I??
halogen#NNI??-----A---?	herbicid#NNI??-----A---?	genocida#NNF??-----A---?
dezert#NNI??-----A---?	heroický#AA???----??---?	servis#NNI??-----A---?
huhlat#V????--??-??I??	hihňat#V???---??-??I??	huhňat#V???---??-??I??
glanc#NNI??-----A---?	hledat#V????--??-??I??	hlídat#V????--??-??I??
zář#NNF??-----A---?	hledat#V????--??-??I??	záře#NNF??-----A---?
žaloudek#NNI??-----A---?	hltat#V????--??-??I??	žaludek#NNI??-----A---?
knedlik#NNI??-----A---?	hníst#V????--??-??I??	knedlík#NNI??-----A---?
dadaizmus#NNI??-----A---?	hobby#NNNXX-----A----	dadaismus#NNI??-----A---?
holý#AA???----??---?	hoch#NNM??-----A---?	holka#NNF??-----A---?
handrkovat#V????--??-??I??	hodina#NNF??-----A---?	hod#NNI??-----A---?
antonymum#NNN??-----A---?	homonymum#NNN??-----A---?	synonymum#NNN??-----A---?
anonym#NNI??-----A---?	homonymum#NNN??-----A---?	onomastika#NNF??-----A---?
exhumovat#V????--??-??B??	homunkulus#NNM??-----A---?	humanismus#NNI??-----A---?
permon#NNM??-----A---?	horník#NNM??-----A---?	permoník#NNM??-----A---?
hospital#NNI??-----A---?	hospic#NNI??-----A---?	hospitalizovat#V????--??-??B??
botel#NNI??-----A---?	hospic#NNI??-----A---?	hotel#NNI??-----A---?
hospic#NNI??-----A---?	hosteska#NNF??-----A---?	hotel#NNI??-----A---?
hapat#V????--??-??I??	houně#NNF??-----A---?	hop#NNI??-----A---?
housle#NNFP?-----A---?	houska#NNF??-----A---?	hudba#NNF??-----A---?
houska#NNF??-----A---?	hovor#NNI??-----A---?	hudba#NNF??-----A---?
hovno#NNN??-----A---?	hovado#NNN??-----A---?	humno#NNN??-----A---?
harant#NNM??-----A---?	hořký#AA???----??---?	horký#AA???----??---?
hrabat#V????--??-??I??	hrb#NNI??-----A---?	hřbet#NNI??-----A---?
hřížit#V????--??-??I??	pohroužit#V????--??-??P??	pohřížit#V????--??-??P??
halabala#Db-------------	hulákat#V????--??-??I??	halekat#V????--??-??I??
svištět#V????--??-??I??	hvězda#NNF??-----A---?	svist#NNI??-----A---?
analysa#NNF??-----A---?	hydrolýza#NNF??-----A---?	analýza#NNF??-----A---?
hymnus#NNI??-----A---?	hymen#NNI??-----A---?	hymna#NNF??-----A---?
zhebat#V????--??-??I??	hynout#V????--??-??I??	zhebnout#V????--??-??P??
cholera#NNF??-----A---?	hypochondrie#NNF??-----A---?	melancholie#NNF??-----A---?
epiteton#NNI??-----A---6	hypotéza#NNF??-----A---?	teze#NNF??-----A---?
žebro#NNN??-----A---?	hřebík#NNI??-----A---?	žebřík#NNI??-----A---?
řepa#NNF??-----A---?	hřebík#NNI??-----A---?	řepík#NNI??-----A---?
hrb#NNI??-----A---?	hřebík#NNI??-----A---?	hrabat#V????--??-??I??
hřmít#V????--??-??I??	hřivna#NNF??-----A---?	ohromný#AA???----??---?
idiocie#NNF??-----A---?	idiom#NNI??-----A---?	idiot#NNM??-----A---?
humidní#AA???----??---?	idiosynkrazie#NNF??-----A---?	humor#NNI??-----A---?
anotovat#V????--??-??I??	iglú#NNNXX-----A----	nota#NNF??-----A---?
gnozeologie#NNF??-----A---?	iglú#NNNXX-----A----	agnosticismus#NNI??-----A---?
filumenie#NNFP?-----A---?	ilustrovat#V????--??-??B??	iluminace#NNF??-----A---?
image#NNF??-----A---?	image#NNI??-----A---?	imaginace#NNF??-----A---?
image#NNI??-----A---?	image#NNNXX-----A----	imaginace#NNF??-----A---?
image#NNNXX-----A----	imitovat#V????--??-??B??	imaginace#NNF??-----A---?
contact#NNI??-----A---?	impertinentní#AA???----??---?	kontinent#NNI??-----A---?
transplantovat#V????--??-??B??	implantace#NNF??-----A---?	transplantace#NNF??-----A---?
display#NNI??-----A---?	implicitní#AA???----??---?	explicitní#AA???----??---?
implicite#Db-------------	implikovat#V????--??-??B??	komplikovat#V????--??-??I??
exponát#NNI??-----A---?	import#NNI??-----A---?	export#NNI??-----A---?
transportovat#V????--??-??B??	import#NNI??-----A---?	transport#NNI??-----A---?
import#NNI??-----A---?	impozantní#AA???----??---?	imponovat#V????--??-??I??
exprese#NNF??-----A---?	impresionismus#NNI??-----A---?	expresionismus#NNI??-----A---?
expres#Db-------------	impresionismus#NNI??-----A---?	deprese#NNF??-----A---?
represe#NNF??-----A---?	impresário#NNM??-----A---?	represálie#NNF??-----A---?
pulz#NNI??-----A---?	impuls#NNI??-----A---?	puls#NNI??-----A---?
apel#NNI??-----A---?	impuls#NNI??-----A---?	interpelace#NNF??-----A---?
empir#NNI??-----A---?	impérium#NNN??-----A---?	empír#NNI??-----A---?
entomologie#NNF??-----A---?	individuum#NNN??-----A---?	atom#NNI??-----A---?
deviza#NNF??-----A---?	individuum#NNN??-----A---?	dividenda#NNF??-----A---?
destruovat#V????--??-??I??	industriální#AA???----??---?	konstrukce#NNF??-----A---?
fatální#AA???----??---?	infant#NNM??-----A---?	infantilní#AA???----1?---?
hacienda#NNF??-----A---?	infekce#NNF??-----A---?	defekt#NNI??-----A---?
reforma#NNF??-----A---?	informovat#V????--??-??B??	forma#NNF??-----A---?
hereze#NNF??-----A---?	inherentní#AA???----1?---?	adheze#NNF??-----A---?
ejakulovat#V????--??-??I??	injekce#NNF??-----A---?	ejakulace#NNF??-----A---?
rekognoskovat#V????--??-??B??	inkognito#Db------------?	rekognoskace#NNF??-----A---?
inkognito#Db------------?	inkognito#NNN??-----A---?	rekognoskace#NNF??-----A---?
gestapo#NNN??-----A---?	inkoust#NNI??-----A---?	kriminální#AA???----??---?
nový#AA???----??---?	inovace#NNF??-----A---?	novum#NNN??-----A---?
esprit#NNI??-----A---?	inspirovat#V????--??-??B??	aspirovat#V????--??-??I??
etáž#NNF??-----A---?	instituce#NNF??-----A---?	statut#NNI??-----A---?
industriální#AA???----??---?	instrukce#NNF??-----A---?	instrument#NNI??-----A---?
izolovat#V????--??-??B??	inzulin#NNI??-----A---?	izolace#NNF??-----A---?
impertinence#NNF??-----A---?	intarzie#NNF??-----A---?	kontingent#NNI??-----A---?
elegance#NNF??-----A---?	intelekt#NNI??-----A---?	elita#NNF??-----A---?
externí#AA???----??---?	interiér#NNI??-----A---?	exteriér#NNI??-----A---?
valit#V????--??-??I??	interval#NNI??-----A---?	val#NNI??-----A---?
avantýra#NNF??-----A---?	intervence#NNF??-----A---?	prevence#NNF??-----A---?
interview#NNI??-----A---?	interview#NNNXX-----A----	revue#NNF??-----A---?
hattrick#NNI??-----A---?	intrika#NNF??-----A---?	trik#NNI??-----A---?
devalvovat#V????--??-??B??	invalida#NNM??-----A---?	validita#NNF??-----A---?
vehikulum#NNN??-----A---?	invektiva#NNF??-----A---?	vehikl#NNI??-----A---?
intervenovat#V????--??-??B??	invence#NNF??-----A---?	prevence#NNF??-----A---?
extroverze#NNF??-----A---?	inverze#NNF??-----A---?	konverze#NNF??-----A---?
genitál#NNI??-----A---?	inženýr#NNM??-----A---?	génius#NNM??-----A---?
herbicid#NNI??-----A---?	inženýr#NNM??-----A---?	gen#NNI??-----A---?
iniciativa#NNF??-----A---?	itinerář#NNI??-----A---?	jít#V???---??-??I??
hodina#NNF??-----A---?	jaro#NNN??-----A---?	hod#NNI??-----A---?
zajikat#V????--??-??I??	jektat#V????--??-??I??	zajíkat#V????--??-??I??
vyjekat#V????--??-??P??	jektat#V????--??-??I??	vyjeknout#V????--??-??P??
hovor#NNI??-----A---?	jesle#NNFP?-----A---?	housle#NNFP?-----A---?
kdy#Db-------------	kudy#Db-------------	kde#Db------------?
jas#NNI??-----A---?	jistý#A????----??---?	jasný#AA???----??---?
již#Db-------------	již#Db------------6	už#Db-----------?-
břit#NNI??-----A---?	jmout#V????--??-??B??	vzít#V????--??-??P??
edikt#NNI??-----A---?	judikát#NNI??-----A---?	jurisdikce#NNF??-----A---?
srát#V????--??-??I??	junda#NNF??-----A---?	sranda#NNF??-----A---?
jiný#AA???----??---?	junior#NNM??-----A---?	jinoch#NNM??-----A---?
junior#NNM??-----A---?	junker#NNM??-----A---?	jinoch#NNM??-----A---?
judikát#NNI??-----A---?	just#Db-------------	jurisdikce#NNF??-----A---?
adjustovat#V????--??-??I??	just#Db-------------	justice#NNF??-----A---?
junker#NNI??-----A---?	juta#NNF??-----A---?	junior#NNM??-----A---?
útroba#NNF??-----A---?	játra#NNN??-----A---?	útroby#NNFP?-----A---?
nitro#NNN??-----A---?	játra#NNN??-----A---?	vnitřek#NNI??-----A---?
junta#NNF??-----A---?	jóga#NNF??-----A---?	jho#NNN??-----A----
dlabat#V????--??-??I??	kabonit#V????--??-??I??	kadlub#NNI??-----A---?
komihat#V????--??-??I??	kabonit#V????--??-??I??	komíhat#V????--??-??I??
baba#NNF??-----A---?	kakadu#NNM??-----A----	máma#NNF??-----A---?
kakadu#NNM??-----A----	kakadu#NNNXX-----A----	čokoláda#NNF??-----A---?
kalý#AA???----??---?	kal#NNI??-----A---?	kalina#NNF??-----A---?
inženýr#NNM??-----A---?	kancerogenní#AA???----??---?	gen#NNI??-----A---?
diskant#NNI??-----A---?	kancionál#NNI??-----A---?	kantáta#NNF??-----A---?
cukr#NNI??-----A---?	kandovaný#AA???----??---?	cukrkandl#NNI??-----A---?
kanon#NNI??-----A---?	kanovník#NNM??-----A---?	kánon#NNI??-----A---?
biceps#NNI??-----A---?	kapilára#NNF??-----A---?	kapitola#NNF??-----A---?
kapilára#NNF??-----A---?	kapitulovat#V????--??-??I??	kapitola#NNF??-----A---?
kropit#V????--??-??I??	kapat#V????--??-??I??	krápat#V????--??-??I??
kaple#NNF??-----A---?	kapota#NNF??-----A---?	kápě#NNF??-----A---?
anticipovat#V????--??-??B??	kapsa#NNF??-----A---?	kapacita#NNF??-----A---?
kastel#NNI??-----A---?	kaput#AAXXX----1A----	kastlík#NNI??-----A---?
kapsa#NNF??-----A---?	kapírovat#V????--??-??I??	kapacita#NNF??-----A---?
chopit#V????--??-??P??	kapírovat#V????--??-??I??	chápat#V????--??-??I??
fleret#NNI??-----A---?	karfiol#NNI??-----A---?	flóra#NNF??-----A---?
autokar#NNI??-----A---?	kargo#NNN??-----A---?	kára#NNF??-----A---?
karikatura#NNF??-----A---?	kariéra#NNF??-----A---?	kára#NNF??-----A---?
kariéra#NNF??-----A---?	karoserie#NNF??-----A---?	kára#NNF??-----A---?
incidence#NNF??-----A---?	kasino#NNN??-----A---?	kadence#NNF??-----A---?
katar#NNI??-----A---?	katar#NNM??-----A---?	rýma#NNF??-----A---?
disidence#NNF??-----A---?	katedra#NNF??-----A---?	sedět#V????--??-??I??
exodus#NNI??-----A---?	katoda#NNF??-----A---?	metoda#NNF??-----A---?
holokaust#NNI??-----A---?	katolický#AA???----??---?	holocaust#NNI??-----A---?
dimenze#NNF??-----A---?	kauce#NNF??-----A---?	čít#V????--??-??I??
cena#NNF??-----A---?	kazajka#NNF??-----A---?	kázeň#NNF??-----A---?
kopule#NNF??-----A---?	kbelík#NNI??-----A---?	kupole#NNF??-----A---?
kapírovat#V????--??-??I??	keson#NNI??-----A---?	kapsa#NNF??-----A---?
kinetika#NNF??-----A---?	kinematografie#NNF??-----A---?	kinetický#AA???----??---?
clearing#NNI??-----A---?	klarinet#NNI??-----A---?	deklarace#NNF??-----A---?
klasika#NNF??-----A---?	deklasovat#V????--??-??B??	klasický#AA???----??---?
deklinovat#V????--??-??I??	klient#NNM??-----A---?	deklinace#NNF??-----A---?
klient#NNI??-----A---?	klitoris#NNI??-----A---?	klinika#NNF??-----A---?
klohnit#V????--??-??I??	kloktat#V????--??-??I??	klokotat#V????--??-??I??
chlopeň#NNF??-----A---?	klopotit#V????--??-??I??	klopit#V????--??-??I??
klapnout#V????--??-??P??	klopotit#V????--??-??I??	klepat#V????--??-??I??
rachat#V????--??-??I??	klopotit#V????--??-??I??	rachotit#V????--??-??I??
klopýtnout#V????--??-??P??	klopotit#V????--??-??I??	klopýtat#V????--??-??I??
klauzule#NNF??-----A---?	klozet#NNI??-----A---?	klauzura#NNF??-----A---?
klopotit#V????--??-??I??	klusat#V????--??-??I??	klopýtat#V????--??-??I??
krk#NNI??-----A---?	klučit#V????--??-??I??	krčit#V????--??-??I??
blekotat#V????--??-??I??	klábosit#V????--??-??I??	blábolit#V????--??-??I??
pučet#V????--??-??I??	poklad#NNI??-----A---?	pukat#V????--??-??I??
bít#V????--??-??I??	poklad#NNI??-----A---?	boj#NNI??-----A---?
klaka#NNF??-----A---?	klíč#NNI??-----A---?	klika#NNF??-----A---?
klozet#NNI??-----A---?	klíč#NNI??-----A---?	klášter#NNI??-----A---?
hřeb#NNI??-----A---?	klíčit#V????--??-??I??	hřebík#NNI??-----A---?
klát#V????---?-??I??	klíčit#V????--??-??I??	kel#NNI??-----A----
mihat#V????--??-??I??	kmitat#V????--??-??I??	míhat#V????--??-??I??
fňukat#V????--??-??I??	kněz#NNM??-----?---?	kňučet#V????--??-??I??
kodifikovat#V????--??-??B??	kodex#NNI??-----A---?	kodifikace#NNF??-----A---?
itinerář#NNI??-----A---?	koitus#NNI??-----A---?	jít#V???---??-??I??
koka#AAXXX----1A----	koka#NNF??-----A---?	kokain#NNI??-----A---?
koktail#NNI??-----A---?	kokpit#NNI??-----A---?	koktejl#NNI??-----A---?
pitbullteriér#NNM??-----A---?	kokpit#NNI??-----A---?	pitbul#NNM??-----A---?
intelekt#NNI??-----A---?	kolekce#NNF??-----A---?	lekce#NNF??-----A---?
kůl#NNI??-----A---?	kolo#NNN??-----A---?	kůlna#NNF??-----A---?
