# derivations that will be added to DeriNet based on Etym dict derivations list
# there is intermediate node between the derivation and the new parent its connected to
# in the etym dict there is a derivation between parent and intermediate node but intermediate node isnt root
# so insted of connecting this derivation to the parent we connect root of the intermediate node (derivation column)

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 341 probably correct new derivations, cca 75 % precision

derivation	parent	intermediate_node
revmatizmus#NNI??-----A---?	revma#NNN??-----A---?	revmatismus#NNI??-----A---?
rez#NNF??-----A----	rez#NNI??-----A---?	rezavý#AA???----??---?
*drobit#V????--??-??I??	robot#NNI??-----A---?	robotizovat#V????--??-??B??
rock#NNIS?-----A----	rock#AAXXX----1A----	rockový#AA???----??---?
zárod#NNI??-----A---?	rod#NNI??-----A---?	zárodek#NNI??-----A---?
řinout#V????--??-??I??	ronit#V????--??-??I??	výron#NNI??-----A---?
rub#NNI??-----A---?	roubit#V????--??-??I??	zárubeň#NNF??-----A---?
zarudat#V????--??-??I??	rudý#AA???----??---?	zarudnout#V????--??-??P??
vyrudat#V????--??-??I??	rudý#AA???----??---?	vyrudnout#V????--??-??P??
*dívka#NNF??-----A---?	rusý#AA???----??---?	rusovláska#NNF??-----A---?
porouchat#V????--??-??P??	rušit#V????--??-??I??	porucha#NNF??-----A---?
rozradostnět#V????--??-??P??	rád#AC???-----?----	rozradostněný#AA???----??---?
*hojit#V????--??-??I??	rána#NNF??-----A---?	ranhojič#NNM??-----A---?
raný#AA???----??---?	ráno#Db-------------	ranní#AA???----1?---?
sada#NNF??-----A---?	sad#NNI??-----A---?	sadový#AA???----??---?
zasahat#V????--??-??I??	sahat#V????--??-??I??	zasáhnout#V????--??-??P??
sardel#NNI??-----A---?	sardel#NNF??-----A---?	sardelový#AA???----??---?
satanizmus#NNI??-----A---?	satan#NNM??-----A---?	satanismus#NNI??-----A---?
satelit#NNI??-----A---?	satelit#NNM??-----A---?	satelitní#AA???----1?---?
scénáristika#NNF??-----A---?	scéna#NNF??-----A---?	scenáristický#AA???----??---?
*souprava#NNF??-----A---?	sedět#V????--??-??I??	sedačka#NNF??-----A---?
sekretář#NNM??-----A---?	sekretář#NNI??-----A---?	sekretářka#NNF??-----A---?
selektiva#NNF??-----A---?	selekce#NNF??-----A---?	selektivní#AA???----??---?
sen#NNI??-----A---?	sen#NNI??-----A---?	snový#AA???----??---?
separatizmus#NNI??-----A---?	separovat#V????--??-??B??	separatismus#NNI??-----A---?
septik#NNI??-----A---?	sepse#NNF??-----A---?	septický#AA???----??---?
sexus#NNI??-----A---?	sex#NNI??-----A---?	sexuální#AA???----??---?
*noha#NNF??-----A---?	silon#NNI??-----A---?	silonka#NNF??-----A---?
skaut#NNM??-----A---?	skaut#NNI??-----A---?	skautka#NNF??-----A---?
skicnout#V????--??-??P??	skica#NNF??-----A---?	skicovat#V????--??-??I??
skinhead#NNM??-----A---?	skinhead#NNXXX-----A----	skinheadský#AA???----??---?
skreč#NNF??-----A---?	skreč#NNI??-----A---?	skrečovat#V????--??-??B??
skvět#V???---??-??I??	skvít#Vf--------A----	skvost#NNI??-----A---?
*ladit#V????--??-??I??	sladký#AA???----??---?	sladidlo#NNN??-----A---?
naposled#Db-------------	poslední#AA???----??---?	naposledy#Db-------------
*lovit#V????--??-??I??	slovo#NNN??-----A---?	úsloví#NNN??-----A---?
*klobouk#NNI??-----A---?	sláma#NNF??-----A---?	slamák#NNI??-----A---?
smeč#NNF??-----A---?	smeč#NNI??-----A---?	smečovat#V????--??-??I??
smradit#V????--??-??I??	smrdět#V????--??-??I??	nasmradit#V????--??-??P??
smutnět#V??????????????	smutný#A????----??---?	zesmutnět#V????--??-??P??
sok#NNM??-----A---?	sok#NNI??-----A---?	sokyně#NNF??-----A---?
sokol#NNM??-----?---?	sokol#NNI??-----A---?	sokolí#AA???----1?---?
sopranista#NNM??-----A---?	soprán#NNI??-----A---?	sopranistka#NNF??-----A---?
*úzký#AA???----??---?	soužit#V????--??-??I??	sužovat#V????--??-??I??
*dát#V????--??-??P??	napospas#Db-------------	vydat#V????--??-??P??
spravedlný#AA???----??---?	spravedlivý#A????----??---?	spravedlnost#NNF??-----?---?
spray#NNI??-----A----	sprej#NNI??-----A---?	sprejový#AA???----??---?
pravý#AA???----??---?	správa#NNF??-----A---?	spravovat#V????--??-??I??
prospěch#NNI??-----A---?	spět#V????--??-??I??	prospět#V????--??-??P??
spěchat#V????--??-??I??	spěch#NNI??-----A---?	spěšný#AA???----??---?
*starat#V????--??-??I??	starý#NNM??-----A---?	zastarat#V????--??-??P??
step#NNF??-----A----	step#NNI??-----A---?	stepní#AA???----1?---?
*letoun#NNM??-----A---?	stihnout#V????--??-??P??	stíhačka#NNF??-----A---?
postlat#V????--??-??P??	stlát#V????--??-??I??	postel#NNF??-----A---?
streptokok#NNI??-----A---?	streptokok#NNM??-----A---?	streptokokový#AA???----1?---?
stydět#V????--??-??I??	ostouzet#V????--??-??I??	ostuda#NNF??-----A---?
vystydat#V????--??-??I??	stydnout#V????--??-??I??	vystydnout#V????--??-??P??
zastydat#V????--??-??I??	stydnout#V????--??-??I??	zastydnout#V????--??-??P??
*stín#NNI??-----A---?	stěna#NNF??-----A---?	zástěna#NNF??-----A---?
*stihat#V????--??-??I??	stěžovat#V????--??-??I??	stížnost#NNF??-----?---?
*pistol#NNF??-----A---?	stříkat#V????--??-??I??	stříkačka#NNF??-----A---?
sesout#V????--??-??P??	sunout#V????--??-??I??	sesuv#NNI??-----A---?
vsout#V????--??-??P??	sunout#V????--??-??I??	vsunout#V????--??-??P??
vysout#V????--??-??P??	sunout#V????--??-??I??	vysunout#V????--??-??P??
*vát#V????--??-??I??	svatý#NNM??-----A---?	svátost#NNF??-----?---?
svora#NNF??-----A---?	svorný#A????----??---?	svorka#NNF??-----A---?
svízel#NNI??-----A---?	svízel#NNF??-----A---?	svízelný#AA???----??---?
syfilis#NNFXX-----A----	syfilis#NNI??-----A---?	syfilitik#NNM??-----A---?
syntagma#NNF??-----A---?	syntagma#NNN??-----A---?	syntagmatický#AA???----??---?
*ledví#NNN??-----A---?	síť#NNF??-----A---?	síťovka#NNF??-----A---?
tabula#NNF??-----A---?	tabule#NNF??-----A---?	tabulový#AA???----??---?
vztáhat#V????--??-??I??	táhnout#V????--??-??I??	vztáhnout#V????--??-??P??
talent#NNI??-----A---?	talent#NNM??-----A---?	talentový#AA???----??---?
tenor#NNM??-----A---?	tenor#NNI??-----A---?	tenorový#AA???----??---?
terapeutika#NNF??-----A---?	terapie#NNF??-----A---?	terapeutický#AA???----??---?
stýsknout#Vf--------A----	teskný#AA???----??---?	stesk#NNI??-----A---?
tetan#NNI??-----A---?	tetanus#NNI??-----A---?	tetanový#AA???----??---?
*tovar#NNI??-----A---?	textil#NNI??-----A---?	textilka#NNF??-----A---?
ztichat#V????--??-??I??	tichý#A????----??---?	ztichnout#V????--??-??P??
tip#AAXXX----1A----	tip#NNI??-----A---?	tipovat#V????--??-??I??
tlesk#NNI??-----A---?	tleskat#V????--??-??I??	potlesk#NNI??-----A---?
topor#NNI??-----A---?	topořit#V????--??-??I??	toporný#AA???----??---?
*thrash#NNI??-----A---?	trať#NNF??-----A---?	traťový#AA???----??---?
*triko#NNN??-----A---?	trik#NNI??-----A---?	trikový#AA???----??---?
*trávit#V????--??-??I??	tráva#NNF??-----A---?	travička#NNF??-----A---?
ztuhat#V????--??-??I??	tuhý#A????----??---?	ztuhnout#V????--??-??P??
tuha#NNF??-----A---?	tuha#Db-------------	tuhový#AA???----??---?
*oheň#NNI??-----A---?	tábor#NNI??-----A---?	táborák#NNI??-----A---?
tábor#NNI??-----A---?	tábor#NNM??-----A---?	táborový#AA???----??---?
@tíha#NNF??-----A---?	těžit#V????--??-??I??	těžnice#NNF??-----A---?
ucho#NNN??-----A---?	ucho#NNF??-----A----	ouško#NNN??-----A---?
*uzda#NNF??-----A---?	udice#NNF??-----A---?	udidlo#NNN??-----A---?
urbanistika#NNF??-----A---?	urbanismus#NNI??-----A---?	urbanistický#AA???----??---?
utilita#NNF??-----A---?	utilitarismus#NNI??-----A---?	utilitární#AA???----??---?
zvadat#V????--??-??I??	vadnout#V????--??-??I??	zvadnout#V????--??-??P??
varhany#NNFP?-----A---?	varhany#NNIP?-----A---?	varhanní#AA???----1?---?
variance#NNF??-----A---?	varianta#NNF??-----A---?	variantní#AA???----??---?
velikáš#NNM??-----A---?	velký#AA???----??---?	velikášský#AA???----??---?
venerologie#NNF??-----A---?	venerický#AA???----??---?	venerologický#AA???----??---?
večer#NNI??-----A---?	večer#Db-------------	večerní#AA???----1?---?
*etiketa#NNF??-----A---?	viset#V???---??-??I??	visačka#NNF??-----A---?
*viset#V???---??-??I??	vízum#NNN??-----A---?	vízový#AA???----??---?
*velhat#V????--??-??P??	vlhký#AA???----??---?	vlhnout#V????--??-??I??
*sůl#NNF??-----A---?	volit#V????--??-??I??	svolit#V????--??-??P??
vraždit#V????--??-??I??	vrah#NNM??-----A---?	vražedkyně#NNF??-----A---?
vrhač#NNM??-----A---?	vrhnout#V????--??-??P??	vrhačka#NNF??-----A---?
převržený#AA???----??---?	vrhnout#V????--??-??P??	přívrženec#NNM??-----A---?
*zavrhat#V????--??-??I??	vrhnout#V????--??-??P??	zavrhnout#V????--??-??P??
Vysoký#NNM??-----A---?	vysoký#AA???----??---?	vysočina#NNF??-----A---?
vzdušit#V????--??-??P??	vzduch#NNI??-----A---?	odvzdušnit#V????--??-??P??
vzteklit#V????--??-??P??	vztek#NNI??-----A---?	rozvzteklit#V????--??-??P??
vášnit#V????--??-??I??	vášeň#NNF??-----A---?	vášnivý#AA???----??---?
vojevodit#V????--??-??I??	vévoda#NNM??-----A---?	vévodit#V????--??-??I??
*vina#NNF??-----A---?	víno#NNN??-----A---?	vinice#NNF??-----A---?
zavinout#V????--??-??P??	vít#V????--??-??I??	zavíjet#V????--??-??I??
*řídit#V????--??-??I??	vítr#NNI??-----A---?	větrák#NNI??-----A---?
Watt#NNM??-----A---?	watt#NNI??-----A---?	wattový#AA???----??---?
zákrs#NNM??-----A---?	zakrslý#AA???----??---?	zákrsek#NNI??-----A---?
začít#V????--??-??P??	začít#V????--??-??P??	začínat#V????--??-??I??
brojit#V????--??-??I??	zbroj#NNF??-----A---?	zbrojovka#NNF??-----A---?
*zelí#NNN??-----A---?	zelený#AA???----??---?	zelinář#NNM??-----A---?
zet#V???---??-??I??	zet#NNNXX-----A----	zející#AG???-----?---?
zima#NNF??-----A---?	zima#Db-------------	zimní#AA???----1?---?
fotoaparát#NNI??-----A---?	zrcadlo#NNN??-----A---?	zrcadlovka#NNF??-----A---?
*lék#NNI??-----A---?	zub#NNI??-----A---?	zubař#NNM??-----A---?
zvát#V????--??-??I??	zvát#N??????????????	zvaný#AA???----??---?
zvěr#NNI??-----A---?	zvěř#NNF??-----A---?	zvěrstvo#NNN??-----A---?
*číst#V????--??-??I??	účet#NNI??-----A---?	zúčtovat#V????--??-??P??
náčelní#AA???----1?---?	čelo#NNN??-----A---?	náčelník#NNM??-----A---?
čepel#NNF??-----A---?	čepel#NNI??-----A---?	čepelka#NNF??-----A---?
člen#NNI??-----?---?	člen#NNM??-----?---?	členský#AA???----??---?
čmel#NNM??-----A---?	čmelák#NNM??-----A---?	čmelík#NNM??-----A---?
čundrat#V????--??-??I??	čundr#NNI??-----A---?	čundrovat#V????--??-??I??
*jednota#NNF??-----A---?	řezat#V????--??-??I??	řezačka#NNF??-----A---?
řečit#V????--??-??I??	říci#V????--??-??P??	řečený#AA???----??---?
zašedat#V????--??-??I??	šedý#AA???----??---?	zašedlý#AA???----??---?
úškleb#NNI??-----A---?	šklebit#V????--??-??I??	úšklebek#NNI??-----A---?
záškodný#AA???----??---?	škoda#NNF??-----A---?	záškodník#NNM??-----A---?
škrob#NNI??-----A---?	škrob#NNM??-----A---?	škrobový#AA???----??---?
šmáknout#V????--??-??P??	šmak#NNI??-----A---?	pošmáknout#V????--??-??P??
šnek#NNM??-----A---?	šnek#NNI??-----A---?	šnečí#AA???----1?---?
*zub#NNI??-----A---?	špice#NNF??-----A---?	špičák#NNI??-----A---?
štába#NNM??-----A---?	štáb#NNI??-----A---?	štábní#AA???----1?---?
*prach#NNI??-----A---?	šum#NNI??-----A---?	šumák#NNI??-----A---?
švitora#NNM??-----A---?	švitořit#V????--??-??I??	švitorka#NNF??-----A---?
Ševcov#NNM??-----A---?	švec#NNM??-----A---?	ševcovský#AA???----??---?
*vézt#V????--??-??I??	žebřík#NNI??-----A---?	žebřiňák#NNI??-----A---?
žralok#NNM??-----A---?	žralok#NNI??-----A---?	žraločí#AA???----1?---?
živit#V????--??-??I??	živý#A????----??---?	živný#AA???----??---?
