Rudohoří
Tichomoří
aerofobie
aerofobní
agorafobie
agronomie
akropole
andromanie
anemometr
angloamerický
anglofil
anglofob
anglofrancouzské
antecedence
antifašista
antipendium
antropologie
antropomorfismus
archanděl
arcibiskup
arcibáseň
astronomie
autodidakt
automontér
autostráda
bakteriochlór
bakteriofobie
bakteriofág
bakterioterapie
balneologie
barometr
barometrický
barvolesk
barvomluva
barvoměr
barytron
bastrumpeta
batymetrie
batysféra
bibliobus
bibliofil
bibliofilie
bibliotéka
bifokální
bikarbonát
biocentrický
bioelektřina
biograf
blahodárný
blahojasný
blahovůle
blastocyt
blastogenní
bledolící
bledorůžový
bleděkaštanový
bleděmodrý
bleděčervený
bleskojasný
bleskoperý
bleskosvod
bohabojný
boholidský
bohopustý
bohovláda
bohulibý
bojechtivý
brachykefalie
bystrozraký
bílerudý
bílerůžový
bílečervený
bílešedý
bíločervený
bělohorský
bělorůžový
běločervený
břichomluvec
břichopas
bůhvíco
bůhvíjaký
bůhvíkam
bůhvíkde
bůhvíkdy
bůhvíkolik
bůhvíkolikátý
bůhvíodkud
bůhvíproč
bůhvíčí
caropapežství
carovrah
centimetr
chemoterapie
chladnokrevný
chladnomilný
chlorofyl
chlorovodík
chorobopis
chromofotografie
chromogen
chromonikl
chromoplast
chronograf
chrysolit
chrómnikl
chudokvětý
chvalopění
chválychtivý
cizojazyčný
cizomilný
copak
cukrobaron
cukrovar
cyklometr
cyklopropan
daktyloskopie
dalekohled
dalekovysoký
dalekovýchodní
darmodej
decimetr
dekagram
demografie
demokracie
dendrolit
dendrometrie
desetidenní
desetistěn
devadesátiletý
devatenáctiletý
devítidenní
devítisetletý
devětadevadesát
devětadvacet
devětsetletý
diazomethan
divoskvoucí
divotvorný
divoženka
divukrásný
divuplný
dlanitodílný
dlanitoklaný
dlanitosečný
dlouhodobý
dlouhohrající
dobromyslný
dobropis
dobročinný
dolnorakouský
domobrana
domorodý
drahocenný
drahokam
drobnokvětý
drsnolistý
druhorozený
druhostranný
druhotvar
drvoštěp
drátoměr
drátoštěrkový
duchamorný
duchovědný
duchověrec
duhojas
duholesklý
dušervoucí
dvaadevadesát
dvaadvacet
dvacetiletý
dvacetistránkový
dvanáctidenní
dvanáctičlenný
dvojbarevný
dvojklaný
dvojkolí
dvojlomný
dvojnásobný
dvojsečnázbraň
dvojstranný
dvojčlen
dvoucentimetrový
dvoudveřový
dvoukorunový
dvouletka
dvouletý
dvoulistý
dvoulitrový
dvoumetrový
dvouprocentní
dvousetkorunový
dvoutisícový
dvoučetný
dvěstěletý
dvěstěmetrový
dynamometr
dynamomotor
dálkoměr
dálkovod
dálnopis
dálnovýchodní
dávnominulý
dávnověk
díkůvzdání
dějepis
dělolijec
dělostřelba
dřevocementový
dřevokaz
dřevoplynový
ektoparazit
ekvivalence
elektrifikace
elektrokymograf
elektroléčba
elektroměr
elektroprovoz
endoparazit
endoskopie
energocentrála
entomologie
erotoman
erotomanie
etnografie
exoparazit
extrasystola
fenyloctová
ferochróm
fialovočervený
fialovožlutý
filosemita
fonogenický
fonograf
fonometr
fotoamatér
fotoaparát
fotoemise
fotometr
frankofil
fysiografie
fytogenní
fytogeografie
fytohormon
fyzioterapie
galvanometr
galvanoterapie
gastroskop
gastrotomie
generálbas
generálmajor
generálmarš
generálporučík
geografie
geolog
geologie
geometrie
gramofon
gramojehla
gramoměnič
hebkolící
hektolitr
heliofilní
heliotropický
hematologie
hematoxylin
hemisféra
hemoglobin
hemolýza
hemorrhagie
hemostatikum
heterodoxie
hexapod
hipogryf
hipolog
hipomobilní
histochemie
histogeneze
hladkokorý
hladkolesklý
hlavobol
hlavohruď
hlavolam
hlinitopísčitý
hlubokodaleký
hlubokomořský
hlubokosáhlý
hmyzohubný
hnědobílý
hnědokorý
hnědozem
hnědočervený
hněděčervený
hojnokvětý
holobradý
holokrystalický
holožír
homocentrický
homonymie
horkohlavý
hornorýnský
horolezec
horotvorný
hořkokyselý
hořkomandlový
hořkosladký
hrdomyslný
hrdopyšný
hrdoskvoucí
hromobití
hromohlasný
hromovládce
hrubohlasý
hrubomletý
hrůzodivý
hrůzoplodný
hrůzostrašný
hustohustý
hustoměr
