přednasraný	nasraný
předladění	ladění
předledvina	ledvina
předlhůtný	lhát
předměšťan	měšťan
koniášství	Koniáš
Moconá	Moc
Čirá	čirý
předparlament	parlament
předobrozenec	obrozenec
předobrotivý	dobrotivý
přednostování	přednost
předopeřený	opeřený
přednáškovné	přednáškový
kolbenkář	Kolbenka
knedlíčkář	knedlíček
klíčnictví	klíčnický
klubíčkovitý	klubíčko
klinkáček	Klinkáč
keříkovitý	keřík
předpůlnoční	půlnoční
předpředejít	předejít
předpředloni	předloni
předpírat	podepřít
kavárnictví	kavárnický
kaučukovitý	kaučuk
Jursitzká	Jursitzky
kartáčkovitý	kartáček
předrážený	předražit
předrůstat	předrost
karakulsky	karakulský
kapáneček	kapánek
kapitulanství	kapitulantský
kandizovaný	kandidovat
kančilovitý	kančil
Čermná	Černý
kamišovitý	kamiš
kachlářství	kachlářský
kachlíkář	kachlík
Morawská	Morawski
kabrňáctví	kabrňák
Brtínská	Brtinský
předtištěný	tištěný
jungmannovec	Jungmann
julínkovatět	Julínek
julínkovština	julínkovský
jeskyňkář	jeskyně
předzárodečný	zárodečný
předzavádět	zavádět
Brusná	brusný
přehledno	přehledný
přehloubaný	hloubaný
Josenská	Mosenský
přehlušit	hluchý
přehojný	hojný
přehoušel	housle
překabácení	překabátit
překabácený	překabátit
jednomužství	jednomužný
Sowinská	Sovinský
překotění	překotit
překotěný	překotit
přelahodný	lahodný
překypřet	kypřit
překysličit	kyslík
přelyrizovaný	lyrizovaný
přepelichat	pelichat
přeošklivý	ošklivý
Jižná	jižný
přeperlivý	perlivý
přeonačit	onak
přerybněný	pře
přeprsatět	prs
přesdvědčit	svědčit
přepláštit	plášť
přepodstatnit	podstatný
Budkovská	budkovský
přeslušnět	slušný
přesládlý	sládnout
přeskromný	skromný
přesnaživý	snaživý
Ježená	ježený
přesvobodný	svobodný
přesáknout	sáknout
přetáhnutý	přetáhnout
Woleská	Voleský
útěkářství	útěkářský
přezajímavý	zajímavý
převáděčství	převaděčský
přezvěřit	zvířit
jablkovec	jablkový
úplňkovitý	úplněk
jabkovice	jablkový
přichutění	přichutit
přichutěný	přichutit
Sněžná	sněžný
Smědá	Smělý
Wozniacká	Wozniak
interessantnost	interesantní
Smrčná	Smrt
Smolná	smolný
přidělanka	přidělaný
přidělovač	přidělovat
Mustafá	Mustafa
Údolná	údolný
připlešatět	plešatět
Slupečná	Slup
zčipernět	čiperný
zčlověčit	člověk
zúpornět	úporný
přisouvnout	přisouvat
přirůstavost	přirůstat
Javorná	Javora
zázračit	zázrak
Jasenská	Jasanský
Slavkovská	slavkovský
závisláctví	závislácký
hňupství	hňup
přitištěný	tištěný
přivolavatel	přivolávat
Bábá	Bába
zátišovitý	zátiší
Sladkowská	Sladkowski
hádačství	hadačský
zápůjčna	zápůjční
Málkovská	málkovský
příborníček	příborník
Bílá	Bílý
Skowroňská	Skowroňski
zámečničit	zámečník
Březnovská	Března
Sklená	sklený
Břilická	Bilický
přímokorovací	přímokorovat
zvědečtět	zvědečtit
zvýraznět	výrazný
přírodnictví	radnický
přímrazek	přimrazit
zvířetinky	zvířetina
přístrojíček	přístroj
husákovština	husákovský
zvniternět	vniterný
zveřejnět	veřejný
Zabawská	Zabavský
hrudovitost	hroudovitý
Mříčná	říčný
zumělečtět	zumělečtit
zumdlený	umdlít
půlměsíčkovitý	půlměsíček
ztvárnět	tvárný
zubatět	zubatý
zubařství	zubařský
ztělesněnec	ztělesněný
hrbolkovitý	hrbolek
ztragičtět	tragický
ztklivět	tklivý
půltisíciletí	půltisíciletý
ztesklivět	tesklivý
ztatařit	tata
radilství	radil
zrútění	zrútit
rakařství	rak
zrovnovážit	rovnovážný
zryšavět	ryšavět
zrozkošnět	rozkošný
zrozšafnět	rozšafný
raubířství	raubířský
zrohatět	rohatý
honáctví	honácký
Itzá	Itz
Itzá	Itz
zrašelinět	rašelina
zraňovač	zraňovat
Zalevská	Zálevský
zpříšernět	příšerný
způvabnit	půvabný
zrabiátnit	rabiát
zpřítomnět	přítomný
zpříkladnit	příkladný
rekrutační	rekrutovat
zpánovitět	pánovitý
zpráškovatět	vráskovatět
roentgenův	rentgen
rezovatět	rezovatý
zpupkatět	pupkatý
zpupkovatět	pupek
zprůzračnit	průzračný
hněvanec	hněvaný
hněvanec	hněvaný
rohovnictví	rohovnický
zpryskyřičnatět	pryskyřičnatý
zprostopášnit	prostopášný
zpronikavět	pronikávat
zpreciznit	precizní
zprašivět	prašivý
zpraktičtět	zpraktičtit
zpovrchnit	povrchní
zprachovatět	vrchovatět
rozchvátit	zvát
zposupnět	posupný
zposvátnit	posvátný
zposvátnět	posvátný
zpopelnatělý	popelnatý
zpolštářkovatět	polštářek
