reálsocializmus	reálsocialismus
simultaneizmus	simultaneismus, simultánní
eurorealizmus	eurorealismus, realizmus
ultrarevizionizmus	ultrarevizionismus
indianizmus	indiánský, indium
efektivizmus	efektivní, efekt, efektní
elektrotropizmus	elektrotropismus, elektroterapie
humanitizmus	humanita, humánní, humanitní
nacionálsocializmus	nacionálsocialismus
paralogizmus	paralogismus
paleomagnetizmus	paleomagnetický
monogenizmus	monogenismus
mitterrandizmus	mitterrandismus
šarlatanizmus	šarlatán, šarlatánský, šarlatanismus
europesimizmus	europesimismus
independentizmus	independentismus
metalogizmus	metalogika, lego, metalogický, legizmus
saprofytizmus	saprofyt, saprofytismus, saprofytický
neologizmus	neologismus, neologický, neologistický
breatharianizmus	breathariánský, breatharián
metrarchizmus	metrarchie
proletarizmus	proletarismus
biokolonializmus	biokolonialismus
dikrotizmus	dikrotismus
idealizmus	idealismus, idea, ideální, ideál
experimentalizmus	experimentální, experiment
ultranacionalizmus	ultranacionalismus, ultranacionalistický, ultranacionalista
hungarizmus	hungarismus, hungaristický, hungarista
sigmatizmus	sigma
absentismus	absentizmus, absence
galikanizmus	galikánský, galikanismus
ruralizmus	ruralismus, rurální
biomechanizmus	biomechanika, biomechanik, biomechanismus, mechanizmus
profétizmus	profetický, profétismus
velkohungarizmus	velkohungarismus
kostumbrizmus	kostumbristický
luddizmus	luddismus
merkantilizmus	merkantilismus, merkantilní, merkantilie
divizionizmus	divizionismus, divize
byzantinizmus	byzantinismus
hominizmus	hominismus
mechanicizmus	mechanický, mechanicismus, mechanika
patriarchalizmus	patriarchální
argyrizmus	argyrismus
panpsychizmus	psychizmus, panpsychismus, pumpa
xantorizmus	xantorismus
manažerizmus	manažér
intimizmus	intimní, intimovat
psychovitalizmus	psychovitalismus
panafrikanizmus	panafrikanismus, panafrický
gestualizmus	gestualismus
enviromentalizmus	enviromentalismus, enviromentální
maďarizmus	maďarismus
perónizmus	perón, perónismus
okasionializmus	okasionialismus
syndikalizmus	syndikalismus, syndikovat, syndikalistický
karambolismus	karambola
difuzionizmus	difuzionismus
kofeinizmus	kofein
anabaptizmus	anabaptismus, baptizmus
letrismus	letrizmus
externizmus	externí, externismus, externista
malthuzianizmus	malthuzián, malthuziánský, malthusiánský, malthuzianismus
antinomizmus	antinomismus
sebeerotizmus	sebeerotismus
supranaturalizmus	naturalizmus, supranaturální
neoromantizmus	neoromantický, romantizmus
fedonizmus	fedonismus
revivalizmus	revival, revivalismus
ultramodernizmus	modernizmus
indeterminizmus	determinizmus, indeterminismus
geotropizmus	geotropismus, geotropický
hujerizmus	hujerismus, hujer
gaullizmus	gaullismus
dysfemizmus	dysfemismus
pleonazmus	pleonasmus
muralizmus	muralismus, murální
avanturizmus	avantura
biocentrizmus	biocentrum, centrizmus, biocentrický, centrum, biocentrismus
feromagnetizmus	feromagnetický, feromagnetismus
rusofilizmus	rusofil, rusofilní, rusofilský, rusofilismus
bhaktizmus	bhaktismus, bhaktický
metalizmus	metalismus, metalický, metal
marginalizmus	marginální, marginalismus
donatizmus	donatismus
reaganizmus	reaganismus
neoprimitivizmus	primitivizmus
postsurrealizmus	postsurrealismus, postsurrealistický
kinetizmus	kinetismus, kinetický, kinetika
polyteizmus	polyteismus, teizmus, meta
bioorganizmus	bioorganismus, organizmus
neodadaizmus	neodadaismus
revizionizmus	revizionismus, revize, revizionistický, revizionista
pluralizmus	plurální, pluralismus, plurál
panteizmus	panteismus, pant
montanizmus	montanismus, montanista
postkomunizmus	komunizmus, komuna
panslavizmus	slavizmus
masochizmus	masochismus
katenoteizmus	katenoteismus
bronchospazmus	bronchospasmus
augustinizmus	augustinský
jansenizmus	jansenismus, jansenista
asynchronizmus	asynchronie, synchronizmus, asynchronismus, synchronismus, asynchron, synchron
austroslavizmus	slavizmus
monopluralizmus	monopluralismus, pluralizmus, pluralismus
kryptorchizmus	kryptorchismus, krypta
revmatizmus	revma, revmatik, revmatický
didaktizmus	didaktický, didaktismus
amenzalizmus	amenzalismus
ultrakolonializmus	ultrakolonialismus
unitarizmus	unitární, unitarismus, unita, unitaristický
poverizmus	poverismus, verizmus, verismus
sylogizmus	sylogismus
višnuizmus	višnuismus, višnuistický
tribalizmus	tribalismus
toryizmus	toryismus
solidarizmus	solidární, solida, solidaristický
makaronizmus	makaronismus, makaron, makarón
husitizmus	husitismus
slovakizmus	slovakismus
přímus	přimísit, přemísit
talmudizmus	talmud, talmudský
brežněvizmus	brežněvismus
rigorizmus	rigorismus
odinizmus	odinismus
gestaltizmus	gestaltismus
cézannizmus	cézannismus
cézarizmus	cézarismus
hylozoismus	hylozoizmus
socrealizmus	realizmus, socrealismus
maskulinizmus	maskulinismus, maskulinní
vokalizmus	vokalický, vokální
antropocentrizmus	antropocentrismus, antropocentrický, centrizmus, centrický, centrismus
italismus	italizmus, italický
metamorfizmus	metamorfovat, metamorfický
postfordizmus	fordizmus, ford
obskurantizmus	obskurant, obskurantní, obskurantský
normatizmus	norma
defétizmus	defétismus
autotropizmus	autotropismus
šivaizmus	šivaismus
vegetarianismus	vegetarianizmus, vegetarián, vegetariánizmus, vegetariánský
pársizmus	párský, pársismus
austromarxizmus	marxizmus
absurdizmus	absurdní
majorizmus	majorismus, major, majorista
barokizmus	barok
parnasizmus	parnasismus
byronizmus	byronský
nihilizmus	nihilismus
laboretizmus	laboretismus
hegelianizmus	hegelián, hegeliánský
ultraizmus	ultraismus, ultra
flagelantizmus	flagelantismus, flagelant
melanizmus	melanismus, melanin
nomádizmus	nomád, nomádský, nomádismus
budhizmus	budhismus
mazdakizmus	mazda
saudosizmus	saudosismus
idylizmus	idylický, idyla, idylismus, idylik
instinktivizmus	instinktivní, instinkt
separatizmus	separatismus, separátní, separativní, separát
psychizmus	psychismus, psychický
akméizmus	akméismus, akméistický
ahistorizmus	historizmus, ahistorismus
vagabundizmus	vagabund, vagabundovat, vagabundismus
egofuturizmus	egofuturistický, egofuturismus, egofuturista
kvakerizmus	kvaker, kvakerismus
revanšizmus	revanšismus, revanš
nelogizmus	nelogismus
neronizmus	neronský, neronismus
eurokomunizmus	eurokomunismus
ludibrionizmus	ludibrionismus
hydrotropizmus	hydrotropismus, hydrotropní
recidivizmus	recidiva, recidivní
prozaizmus	próza, prozaický
proporcionalizmus	proporcionální, proporce
bohemizmus	bohemismus
etatizmus	etatismus, etát
egodeizmus	egodeismus
scientizmus	scientismus
piktorializmus	piktorialismus
šmeralizmus	šmeralismus
neosocializmus	socializmus
euhemerismus	euhemerizmus
prohibicionizmus	prohibice, prohibicionistický
microsoftcentrizmus	microsoftcentrismus, centrizmus
fotorealizmus	fotorealismus, foto
plutonizmus	pluton, plutonský, plutonický, plutonismus
legitimizmus	legitimní
švejkizmus	švejk
hotentotizmus	hotentot, hotentotský, hotentotismus
etylizmus	ethyl
anarchosyndikalizmus	syndikalizmus, anarchosyndikalista
plenérizmus	plenérismus, plen, plenér
fatalizmus	fatalismus, fatální, fatovat
wertherizmus	wertherismus
prerafaelizmus	prerafaelismus
pacifizmus	pacifik, pacifismus, pacifický
evropeizmus	evropeismus, evropský
nativizmus	nativní, nativismus
anabolizmus	anabolismus, anabolie
egotizmus	egotismus, ego
sekcionalizmus	sekce
polyfyletizmus	polyfyletismus, polyfyletický
neptunizmus	neptunismus
illyrismus	illyrizmus, illyrský, ilyrizmus
dimorfizmus	dimorfie, dimorfní
panarabizmus	panarabismus
termomagnetizmus	termomagnetický
blefarospazmus	blefarospasmus
titoizmus	titoismus
patetizmus	patetický, patetismus
manicheizmus	manicheismus, manicheistický
fototropizmus	fototropismus
polygenetizmus	polygenetický, polygenetismus
preformizmus	preformismus
novoromantizmus	novoromantický
irénizmus	irénismus
synkretizmus	synkretický
technicizmus	technický, etnický
izolacionalizmus	izolace, izolovat, izolovaný, izolacionalismus
feminizmus	feminismus
imanentizmus	imanentismus, imanentní, imanence
nepotizmus	nepot, nepotismus
panlogizmus	panlogismus
pleomorfizmus	pleomorfismus
