Valníčková	Valníček
Alamuddinová	Alamuddin
Křesálková	Křesálek
Lillyová	Lilly
Valentíková	Valentík
Valenzuelová	Valenzuela
Valečíková	Valečík
Albertiová	Alberti
Liljebergová	Liljeberg
Křemečková	Křemeček
Křenková	Křenek
Valenzová	Valenz, Vala
Valentovičová	Valentovič
Křejčířová	Křejčíř, Krejčíř
Křeháčková	Křeháček
Limbergová	Limberg
Kňourková	Kňourek
Valenová	Valena, Valen, Valenka, Valenca
Valensová	Valens
Valentieneová	Valentine
Vitásková	Vitásek
Vitázková	Vitázek, Viták
Vitáčková	Vitáček
Valentiová	Valenti, Valentia, Valencia
Valentineová	Valentine, Valentiner, Valentina, Valentin
Köttnerová	Küttner
Valencová	Valenca
Lindertová	Lind
Köpckeová	Köpke
Valenciová	Valencia, Valencio, Valencie
Alegríová	Alegre
Valdrová	Valda
Valchařová	Valchař
Valatová	Vala
Alexijevičová	Alexijevič
Valchářová	Valchař
Vivodová	Vidov
Kábelová	Kábele
Lipaová	Lipa, Lipo
Aliová	Alia, Ali, Alin, Alida
Kyrianová	Kyrián
Lipová	Lipo, Lipa, Lípa, Lipus
Kyselevová	Kysela, Kyselov
Kyselková	Kyselka
Vafková	Vafek
Vaganovová	Vaginov
Aljoškinová	Aljoška
Liscová	Lisec, Lisko
Vičánková	Vičánek
Allbrightová	Albright
Vachulová	Vachala, Vachel
Vachoušková	Vachoušek
Vachovcová	Vachovec
Višková	Vicko, Vik
Kylianová	Kylián
Vackovcová	Vackovec, Vackov
Vacková	Vacke, Vackov
Vachálková	Vachálek
Vachková	Vachek, Vácha
Vachlová	Vachel
Uřičářová	Uřičář
Uřidilová	Uřidil
Kwaczková	Kwaczek
Alpiová	Alpa, Alpy
Kvítková	Kvítek
Květnová	Květná
Uytvancková	Uytvanck
Utíkalová	Utěkal
Kuželuhová	Kuželuh
Kvačková	Kvaček
Vlastová	Vlasta
Kužílková	Kužílek
Liuová	Li
Alvarezová	Alvarez
Kuščáková	Kučák
Kušová	Kuška
Kušiaková	Kuciak
Urubková	Urubek
Kuřáková	Kuďák, Kučák, Kuťák, Kurák
Kuřinová	Kuřina
Alšová	Aleš, Alba, Alpa
Vlašáková	Vlasák
Vlašánková	Vlašánek
Vlačková	Vlaček
Kučírková	Kučík, Kučírek
Urbanovičová	Urbanovič
Uribová	Uribe
Amadová	Amado
Amanarová	Aman
Kuvčáková	Kufčák, Kulčák
Urbášková	Urbášek
Urbancová	Urbanec
Urbaníková	Urbaník
Urbanczyková	Urbanczyk
Kutálková	Kutálek
Kutílková	Kutílek, Kutík
Kurťáková	Kurták
Kutanová	Kučan, Kuban, Kukan
Lněníčková	Lněníček, Lněnička
Vlášková	Vlaška
Kusová	Kuse, Kuss, Kusý
Voblizová	Vobliza
Vnoučková	Vnouček
Ambuhlová	Ambühl
Vlčková	Vlčko, Vlček
Lobečová	Lobeč
Amelová	Agel
Voběrková	Voběrek
Vocásková	Vocásek
Kurtincová	Kurtinec
Lobčová	Lobeč
Locková	Lock, Locke
Kurincová	Kurinec
Vodseďálková	Vodseďálek
Vodáčková	Vodáček
Umlášková	Umlášek
Kupčová	Kupča, Kupka, Kupčo
Vodřejcová	Vodřejc
Lohrmannová	Lohmann
Voetová	Voe
Ulmonová	Ulmon
Ulmová	Ulm, Ulma
Lokajíčková	Lokajíček
Kuppischová	Kuppisch
Kuprová	Kupr
Loitová	Loi, Lois
