oblomovština	oblomovský, Oblomovský
kráterkovitý	kráterek, krátko
králíkovitý	králík, králíček
čtyrkolkář	čtyrkolka, čtyřkolka
krtičnatý	krtek, drčet
kroužkář	kroužek, Kroužek
Borovná	Boro, Boron
Mirzá	Mirza, Mirný
čepičkatý	čepička, čepice, Čepička
krabičkovitý	krabička, krabice
Kamenná	Kamen, Kama
kozáctví	kozácký, kozák
kovárenství	kovárenský, kovárna
kovbojství	kovbojský, kovboj
přebolavý	bolavý, přebolet
přebrzděný	brzdit, pře
kouskovitý	kousek, houska
přecitlivět	citlivý, přecitlivý
předeprat	prát, přát, drápat, Prát, plát
přebyteček	přebytek, byteček
předbíhač	předebíhat, předbíhat
předklonný	předklon, předklonit, klonit, klon
předhodit	hodit, podhodit, hodný, hod
předkolaudační	kolaudační, kolaudace
předkoncepční	koncepční, koncepce
předkoncertní	koncertní, koncert
předlepený	lepený, lepit, lep, přelepit
Branná	Braný, branný, Ranný
kolíkovitý	kolík, kolíček, kolek, Kolík
předobchodní	obchodní, obchod
Čilá	čilý, Bilý
Bražná	Braha, Braný, Braga, Brach, Bra
kláskovitý	klásek, Klásek
klubkovitý	klubko, klubkový
kličkař	klička, klik, klika, klíč
předpjavší	předepsat, předepnout
předplacenkář	předplacenka, předplacený, předplacení
předprodejna	předprodej, prodej, prodejna
kladívkovitý	kladívko, kladí
kašlíček	kašlík, kachlík, Kašlík, kablík
kašpárkovitý	kašpárek, kašparka
předreprodukční	reprodukční, reprodukce, produkční
předpřádat	příst, přást
kavárenství	kavárenský, kavárna
katarství	katarský, katar, kattarský
předrevitalizační	revitalizační, revitalizace
předrážka	drážka, předráždit
kapitalisační	kapitalizace, kapitalisace
kapavčitý	kapavka, kapavý, kapat
kaněný	kanit, káně
kaoliniticky	kaolinitický, kaolin, kaolinický
kameňáček	kameňák, Kameňák, kamenáč
Brtná	brtný, Vrtný
jílkovitý	jílek, jíl, Jílek
předtestování	testovat, testovaný
předtleskaný	tleskaný, tleskat
předvářet	předvést, předvidat
jogurtíček	jogurtík, jogurt
předzávěrečný	závěrečný, závěrka, závěr
předzvědný	předzvědět, zvědný
předzvětrat	zvětrat, větrat
předůkladný	úkladný, důkladný
předůstojný	důstojný, ústojný, stát, stojný
předřaďovač	předřazovat, předřazovaný
přehrádečný	přehrádka, hrádek
přehrudí	hrudí, hrouda, Hruda, Hrouda
přejasnět	jasnět, jasný, jasnit, přejasný
přehustění	přehustit, hustý, hustit
přehvězdit	hvězda, hvězdný
přehvězděný	přehvězdit, hvězda, hvězdný
přelodit	loď, lozit
přelouhovaný	louhování, louhovaný
překultivovanec	překultivovaný, překultivovat, kultivovanec
překvapit	kvapit, kvap
překýčovitý	kýčovitý, kýčový, kýč
přemotorizovaný	motorizovaný, motorizace
přeobratný	obratný, obrat
přeodborný	oborný, odborný
přepeřit	pero, pýřit, pepřit
přepjavší	přepít, přepnout, přeptat, přepájet
přeozdobný	ozdoba, ozdobný
přeroubovanec	přeroubovaný, roubovanec
přepěstěný	pěstit, pěstěný
přepřáhnout	přepřahat, přepřah
přeposírat	popírat, pozírat, poprat
přesložitý	složitý, sloha
přestátnit	stát, státní, státník
přetahovaná	přetahovaný, přetahovávaný
přestoupit	stoupit, stupit, stoupa
přetmavit	tmavý, tmavo, tmavět
přeteplit	teplý, plet
převlastnění	vlastní, vlastnit
jansky	janský, Janský, skinský, manský
přezapáchat	zapáchat, zapíchat, zapáchnout, zapchat
jalovcovitý	jalovec, jalovcový, jalovcoví, jalový
převážnět	vážnět, převážný, převážený, převážit, převážet, vážní
převčelit	čelit, čelo
přečistotný	čistotný, přečistit, čistota, čisto, přečistý
jakešovec	Jakeš, jak
přeúslužný	úslužný, služný
jablkovitý	jablkový, jablko
přibrzděný	přibrzdit, brzdit
úklonkář	úklonka, úklonek, úklona, úklon
Wroňská	Wronský, Wroňski
přijavší	přijmout, přijet, přidat
přikazatel	přikázat, kazatel
indeterminovaný	determinovaný, determinovat
přimrznout	mrznout, přimrzat
přimáčknout	mačkat, přimačkat, mačka
přimílat	mlít, přilít, mlat, přemílat
Jedlá	Jedelský, jedlý
zřemeslnit	řemeslný, řemeslo
zčervavět	červavět, červavý
zčistění	zčistit, čistit, čistění
zúspornit	úsporný, sporný, spor, záporný
zúzkostnit	úzkostný, úzkost, úzkostně
zúskostnit	úzkostný, úzkost
přispíšit	spěch, spěšný
přisevší	přisít, přisát, přispat, přijít, přischnout
přisliznout	sliz, slíznout
Bystrá	bystrý, Bistrý
hřebíčkář	hřebíček, Hřebíček
Jasenná	Jasen, Jasín
přivíjet	přivést, přivézt, přivinout, víjet
přizapáchat	zapáchat, zapíchat
Slaná	Slaný, slaný
Bánská	Čánský, bánský, Lánský
Bákubá	Bákuba, Bakuba
hájenství	hájenský, hájený, hájení, hajný
zárubnice	zárubník, záruba, zárub
příjímající	přijímat, přejímat, jímat
zápařiště	zapařit, pářit, zapářit, pařit, zapřít
Mírzá	Mirza, Mírza
Skalná	Kalný, skalný
Músá	Músa, Musa, Rusý
Jamnická	Jamnický, Jahnický
zvěčnět	věčný, věčnost, věčno
zvěcnět	věcný, věc
zvážnit	vážný, vážní, vážit, vážnět, vážno, vážně
zvukařina	zvukařský, zvuk
zvráštět	vráštit, zvráštit, vraštit
zvlídnit	vlídný, vlídnět, vládný
zvodnět	vodní, vodný, voda, zvodit
zurčitět	určitý, učitý, zurčit
hroznýší	hrozný, hroznýš, hrůzný, hrozen
zuhelnět	uhelný, zuhelnit
hrnkovitý	hrnek, Hrnka
hrobnictví	hrobnický, hrobní
ztělesnět	tělesný, tělesno, tělesnit
ztruchlivět	truchlivý, truchlit
hrbolovitý	hrbol, hrb
Jabná	Jabe, Jamný
ztrávitelný	ztrávit, trávit, strávit
ztulačit	tulák, tlačit
ztesknět	teskný, tesknit
zrůměnit	měnit, růměný
zrádcovatý	zrádce, zrádcovat
rastafariánství	rastafariánský, rastafan
Zaháňská	Zahaňský, Zaháň
Zajíčkovská	Zajíček, Zajíčkov
zrníčkovitý	zrníčko, zrnéčkovitý, zrníčkový
zrnkovitý	zrnko, zrnkový
zreálnět	reálný, realný, reální
zrcadliště	zrcadlo, zrcadlit
zradostnit	radostný, radost
zpřístupnět	přístupný, přístup
zpřízemnit	přízemní, přízemně
zpřízvučnět	přízvučný, přízvuk
zpříšernit	příšerný, příšera
zpříjemnět	příjemný, příjem
zpřírodnit	přírodní, příroda
zprůsvitnit	průsvitný, průsvit
zprázdnět	prázdný, prázdno
zprůměrnit	průměrný, průměr
zprůchodnět	průchodný, průchodní
zprůmyslnět	průmysl, průmyslný
hniličkovatý	hnilička, Hnilička
zpružnět	pružný, vzpružit
zprotivnět	zprotivět, protivný, zprotivit, zprotivění
zprotivět	protivit, zprotivit
zprostornit	prostorný, sporný, sport
zpropadliště	zpropadnout, propadliště, propadlo, propadlík, propadlice, propadnout
zprosebnit	prosebný, prosba
rovnoběžnostěn	rovnoběžnost, rovnoběžný, rovnoběžně
zprogresivnit	progresivní, progrese
zprašnět	prašný, prasný
zpozemštět	pozemštit, zpozemštit
rozbolestnit	bolestný, bolest
zpopulárnit	populární, populár
zpopelnět	popelný, popel, popelna
zpoplatnit	poplatný, platný, patlat, pat, poplatit
Celecká	Telecký, Velecký
rozemílat	mlít, rozemlít, omílat, umílat
rozepjavší	rozepnout, rozepsat
rozeslat	doslat, zlát
rozjařit	jařina, jaro, jar
zpohodlnit	pohodlný, pohodlnět
rozplamenit	plemenit, plamenný, plamen
rozlehat	lehat, lehnout, leh, léhat, ležet, lehlý
rozplizat	plizovat, rozpliznout
zplamenit	plamen, plamenný, plemenit
rozstavět	stavět, rozestavit, svět
zostnatět	statnět, statný
zpapírovět	papírový, papírovat
rozstřiknout	stříknout, stříkat, stříhnout, rozstříkat
roztesknět	tesknit, teskný, roztesknit, teskno
zoperetnit	operetní, opereta
zopernit	operní, perný
zopatrnět	opatrný, patrný
zopačit	opak, opakovat
rozvrtit	vrtět, vrtat, rozvrtat, vrtný, vrch, rover
rozčílení	rozčílit, rozčilit
zohnivět	ohnivý, oheň, ohnívat
zohyzdnit	ohyzdný, ohyzdit
zobchodnit	obchodní, obchod, obchodně
zodbornit	odborný, odbor
znásobnit	násobný, zános
znuděnec	znuzený, znuděný
znožený	znojit, znořit
rýdovací	rýdovat, rýsovat
havlovština	havlovský, havelský
růžkovitý	růžek, růžkový, rožek
hatění	hatit, katit
znešvařit	svařit, výřit
znevýraznit	výrazný, výraz
znormalizovanec	znormalizovaný, znormalisovaný, znormalizovat
zneprůchodnět	průchodní, průchodný
znesmělit	smělý, směle
znetečnět	netečný, tečný, ztečný
zneplodnit	plodný, plodní, plodně
znepojízdnit	pojízdný, pojízdní
znemravnět	mravní, mravný
zneprůjezdnit	průjezdný, průjezdní, zprůjezdnit
zneklidnit	klidnit, klidný
zneklidnět	klidnět, zklidnět
znemocnět	nemocný, nemoc
znechutit	nechuť, chuť
zmírnět	mírnit, zmírnit, mírno
zmravnit	mravný, mravní, mravně, mrav
zmizivší	zmizet, mizet
zmlsnět	mlsný, mls
zlatotepecky	zlatotepecký, zlato
graciosnost	graciesní, graciosní, graciózní
gottwaldovec	Gottwaldov, Gottwald, Gottwaldův
Chotiná	Chotin, Chotina
zkrkavčit	krkavec, krkavý, krkavčí, krkavče
zklestění	zklestit, klestit
gobelinářka	gobelín, gobelin
zhniličit	hniličet, hniličit
Chvalovská	Chvalovský, Chvalov, Chválov
zeťovství	zeťovský, zeť
zežlutění	zežlutit, zažlutět
zežlutěný	zežlutit, zažlutět
zezlomyslnět	zlomyslný, zlomysl
zezpátečnit	zpáteční, zpátečník, páteční
zezápadnit	západní, západník, zpádnět
zevnějškost	zevnějšek, zevnější
zesvátečnět	sváteční, svátečnost
zesínaný	zsinat, zesinat
zesvátečnit	sváteční, svát
zestraničtět	stranický, stranit, zestraničtit
zestručnět	stručný, stručnost
zesrdečnět	srdečný, srdeční, srdce
zesplatnit	splatný, platný
zeslužebnit	služebný, služba, služební
zesmluvnit	smluvní, smlouva, smluvit
zesmyslnit	smyslný, smysl
zesměšnit	směšný, směsný, smět, směnit
zesilnět	silný, slint
zemdlenost	zmdlený, zamdlený
zděravit	díra, děravý
zděšenec	zděšený, zdušený
zduševnět	duševní, zduševnit
zdostupnit	dostupný, dostup
zcukernět	cukerný, zcukernit
zchrastit	chrastit, chrast, chrást, chřastit
zchudačit	chudák, chudý
zchorobnět	chorobný, chorobnost
zbědnělý	zbídnět, zbídnit
zbytkáček	zbytkák, zbytkáč
zbohatět	bohatit, bohatnout, bohatý, zbohatit
zbanálnit	banální, banát, banán
zažadatel	zažádat, zabádat
zažalostit	žalostit, žalost, žalostný
zažlutět	žlutý, žlutat, zažlutit, žlutit, žluť, žluto
gadžův	gadža, Gadžo
sebeobelhat	obelhat, belhat
zašlapit	šlapat, zašlápnout
zašišatělý	šišatět, zašišatit
začistění	začistit, čistění, čistit, čistý
začíslit	číslo, čílit
zazvěřit	zvířit, zvíře, věřit
zavírač	zavírat, zapírat, zatírat, zadírat
zazapáchat	zapáchat, páchat
zazděnec	zazděný, zazdění
zavčelit	včela, včelí
zavržený	zavrhnout, zavrznout
zavrhat	vrhat, vrhavý, trhat
zavlhat	velhat, vlhat
zaumazat	mazat, umazat, mazávat
zavrtivší	zavrtět, zavrtat, zavrtnout
zavaděč	zavádět, zavést
zatřásknout	třasknout, třísknout
zatíženec	zatížený, zatížit, tížený
zatržený	zatrhnout, zatrhat, zatrčet
zatravnatit	travnatý, travnatě
zatrudnit	trudný, trud, trudit
zatižitelnost	zatížitelný, zatažitelný
zastřižení	zastřihnout, zastříhnout
zastenávatelný	zastenat, zasténávat
zastesknit	tesknit, teskný
zastájit	stáj, stát
zasměrnit	směr, smět, smír, směrný
Hradská	Hradský, hradský
zarudnět	rudní, rudný
zaruměnět	ruměný, ruměnost, ruměnit
zasažení	zasáhnout, zasazit, zasázet, zasadit
zasažený	zasáhnout, zasazit, zasázet, zasadit
zapraštit	praštit, praštět
zapyšnět	pyšný, pych
zapřadení	zapřádat, zapřát
zapřahat	zapřáhnout, spřáhnout
