oblomovština	oblomovský, Oblomovský
vylévárna	vylévat, vylívat
zasípnout	zasípat, sepsat, sepnout
světnice	svět, světlík, světec, světlý, světský
přijmutí	přijmout, jmout
plevelovitý	plevel, plevelit
předtransformační	transformační, transformace
znudnit	nudný, nudno, nudit
slůňátko	slůně, sloň
vzorňačka	vzorňák, vzorný
obuvárna	obuv, obouvat
dvouvěta	dvouvětný, dvojka, dvouvětý
všedňoučce	všedňoučký, všední
podpodlažní	podlažní, podloha, podlaha
zparnit	parný, parní, pan, pařit, par, varný
význak	vyznat, vyznací
podvěs	vězet, vést, věsit
zimavět	zimavý, mívat
záplatkář	záplatka, záplatek, záplata
podýcháníčko	podýchání, podejchání
sviňačina	sviňák, sviňka, svinský
vdolečník	vlečný, vdoleček, vlečník
neschopenkář	neschopenka, neschopnost
popílkoviště	popílek, popílkový
kostkatý	kostka, kost
kručinka	kručený, Kručina, kručení
středečník	středa, středeční, středník, střední, střed
protolit	stolit, lot
Mezná	Mezný, Mez
kozáček	kozák, kožák, Kozák
škrabárna	škráb, škrabat, škrába, škrábat, škrabák
šidýlko	šídlo, sídlo
vpravdě	pravda, prvý
sprostit	prostý, prst
sebeoběť	sebeobětovat, oběť
zkušebka	zkušební, zkoušet, zkušebný, zkouška
zápětí	zpět, pět, zapnout, zpít, pnout
zaloktat	lokat, loknout, lok
přechůdce	přechodit, přecházet, přechod, přechodný
slinutý	slina, slynout
luštinatý	Luština, ruština, luštit
garážoviště	garáž, garážovat, garážový
Márvá	Marcel, Mar
zlatitý	zlatý, zlatit, zlato, zlát
šupačit	šupat, šup, šupák
záznamný	záznam, záznamka
kukátko	kukat, kuka, kukání
přípaž	připažit, přepažit
Rezá	Reza, Rez
obrazovečka	obrazovka, obrazový
obšlehat	šlehat, šleh
zhlavnička	hlavně, hlaveň
kulturník	kultura, kulturní
urozenka	urozenec, urozený, urodit, urosit
zasušit	sušit, suchý, usušit
dopraváček	dopravák, pravák
podhmat	hnát, hnout, hnít, Hnát
škvrně	skvrna, škvrna
krupař	kroupa, krupka
zlatočerveno	zlatočervený, zlatečka
poddůstojnictvo	poddůstojnický, důstojnictvo, důstojnický, poddůstojník
splatiště	splatit, splašit, platiště, platit
svahovitý	svah, stav
pojicí	pojit, jít, pojít, potit, pojmout
houbovatět	houbovatý, houba
zamčení	zamčít, zamčený
hlenovatět	hlínovatý, hlína
vdírat	vedrat, drát, vdrát, vřít
zelenisko	zelený, zelení, zeleno, zelenit, Zelený, zelenat
vyškviknout	kviknout, vykviknout
čáranina	čmáraný, čmáranina, čáraný
zápípí	zapípnout, zapípat, pípa
zásklenní	zasklení, zasklenit
vynalezený	vynalezovat, vyladit
vybízecí	vybízet, vybíjet
výzbroj	vyzbrojit, zbrojit
výzdobce	výzdoba, vyzdobit
zesklení	zesklít, zklít
kaligrafista	kaligrafie, kaligraf, kaligrafický
napjavší	napít, napnout, napsat
čtecí	číst, čest
rozpřadení	rozpříst, rozpadat, rozpadnout
rozseděný	rozsedět, sedět
žvástavý	žvást, žvastat, žvast
obracecí	obracet, obrace
zabíhat	běhat, zaběhnout, zaběhat
vobírat	obrat, obírat, orat, odřít, pobírat
nákazář	nákaza, nakázat
záhvězdný	hvězdný, hvězda, zhvězdit
žehnáček	žehnat, žehnač
bezkloubý	kloub, klub
zevzdálí	dál, zdálí
dolinatý	dolina, dolít, dol
zhvězdit	hvězdný, hvězda
ztloustlina	ztloustlý, ztlustlý
dosrat	srát, hrát, zrát, prát
podkovařina	podkovář, podkovářský, podkovářka
kliďásek	kliďas, klid
rákosnatý	rákos, rákosí, Rákos
poháreček	pohárek, hárek, pohár
přednožmo	noha, přednožit
klecovitý	klec, Klec
dvoulodní	dvojlodní, dvoulodí
zpravdit	pravda, pravý
závestí	zavést, zvěst, zvést
předregistrační	registrační, předregistrace
uhlířstvo	uhlířský, uhlí
pudlovna	pudl, pudlovat
říznatý	říza, řízný, říz, říje
chybící	chybět, chybit, chytit
stavárna	stavit, stávat, stát, stavovat, stav
dvouháček	dvojhák, dvojháček, dvoják
antipyretica	antipyretický, antipyretikum
zmrzačet	mrzačit, mrzet
krásnice	krása, krásný, kráska, krást, kras
bydýlko	bydlet, bydlo
přejízdné	jízdný, jízdní
pilníkárna	pilník, pilný, pilnice, Pilník, pila, plena
náhrdelní	hrdelní, hrdelný
náhončí	nahánět, nahonit, náhon, nahnat
luštinec	luštit, luštěný
zkáznit	kázeň, zkázný
vodrůst	růst, ostrý, odrůst, ostří, vrůst, ostra
vypláknout	vyplakat, plakat
zdymat	dýmat, zdýmat
zápovědní	zápověda, zápověď, zapovědět
záplatář	záplata, platař
zámostí	most, mást
vykejchat	kýchat, kejchat, kýchnout, kuchat, vykýchat
bezocasí	ocas, cosa
přeštíhlený	přeštíhlý, štíhlý, štíhlený
dvojkolejný	dvojkolejka, dvojkolý, dvojkolí
mandlovice	mandle, mandlový, mandl, Mandl
vývoziště	vyvozit, vyvézt, vývoz, vyvázat, vyvadit, vyvodit
slinutí	slinutý, slynout
poodrostlý	odrostlý, orostlý
lepenkárna	lepenka, lepenkář
umyvárna	umévat, umívat, umývat, umávat
nadtržní	tržní, nadtrhnout
urubnout	urubat, hubnout, burnout
nemačkavý	mačkat, mačka
zvířetina	zvíře, zvířit
pětkař	pětka, pět
stěrátko	stírat, stěrat, stěr, setřít
vršinatý	vršina, vrch, vršit
úpravnička	úpravna, úpravník, úpravný, úprava, úpravní
výplněk	vyplnění, vyplnit
zavřít	vřít, zřít, třít, mřít, vrýt
dvojný	dvojí, dvojit
zkoušenka	zkoušený, zkoušenec, zkoušení, zkušenec, zkušený
sladovina	sladový, slad, sladký, sladina, sladit
naprděný	prdět, prděný
zašktnout	škrtnout, zaškrtat
odtínat	odetnout, tnout
blicí	blít, mlít
vlažňoučce	vlažňoučký, vlažný
čtyřicetiletka	čtyřicetiletý, čtyřicetiletí
desukční	aukce, aukční
volíčkář	volíček, voláček
vodničit	ničit, nok
žebrákyně	žebrák, žebro, Žebrák, žebrový
hoblovačky	hoblovat, hoblovací
rýsovné	rýsovat, rýsovna
odpadliště	odpadlý, odpadle, odpadnout, odpadlík, odpad
puchýřkatý	puchýř, puchýřek, puchýřka
griloviště	gril, grilovat
rozstřižený	rozstřihnout, rozstříhnout
expolicejní	police, policejní
zkrásit	krása, krásný
předsoudní	soudní, soud, soudný
podzáhlaví	hálka, záhlaví
kusovitý	kus, kuse, kosa, kos, kusový
zbojnictvo	zbojnický, zbojnice
chvojníkovitý	chvojník, chvojka
zprofesionálnit	profesionální, profesionál
zvířetnice	zvířetník, zvíře
podřízenec	podřízený, podbízený
nadejchnout	dýchnout, dejchnout, dáchnout, dechnout, nadýchnout, dýchat
zalučnit	luční, luk
naškicnout	skicnout, škicnout
hnusoucí	hnus, hnusit, hnusný
výdavek	vydávat, vydat
plavkař	plavka, plavky
plavbička	plavba, plavec
vrátička	vrata, vrátka, vratka
zavinout	vinout, zavíjet, zavitý
vyžblunknout	žblunknout, žblunkat
poukazník	poukázat, poukázka
zvůra	zvor, zorat, vozit
zábludný	zabloudit, bloudit, bludný
křepelovitý	křepelka, křepel
mocnítko	mocnit, mocný
zevnitřek	zevnitř, vnitřek, uvnitř
orobincovitý	orobincový, orobinec
balíčkář	balíček, balík
vdolek	dol, dolek, důl
zkalnět	kalný, kal, klanět, kalený
zastkvět	stkvět, skvět, tkvít
zadušenina	zadušený, dušený, dušení, tušený, dušeně
morión	Moria, More
měděno	měděný, měď
bukařit	bukař, buk
kaštanář	kaštan, Kaštan
šedivoučce	šedivoučký, šedivý
ztřeštěnka	ztřeštěný, třeštěný, ztřeštění, ztřeštěnec, třeštění
cizáček	cizák, cizí
podokresní	okresní, krást, okres
roztržený	roztrhat, roztrhnout
šosáček	šosák, sosák
vytrženec	vytržený, vytrčený, vytrhnout
fešáctví	fešácký, fešák
dopřadený	dopřádat, dopříst, dopřát
svaživý	svah, svažovat, svažný
výprsk	vyprsknout, prsknout, prskat, vyprskat
oškicnout	skicnout, škicnout, oskický
kolkař	kolek, kolec, Kolek
austrokonzervativec	konzervativní, konzervativec
sviteček	svinout, svinec, svitek
měchatý	měch, Měch, měď
narozenec	narozený, narodit
zrnovitý	zrno, zrnový
mlaďounce	mlaďounký, mladý, mladík, mladit, mladina
ptáčkař	ptáček, pták, ptačka, pátek, Ptáček
rakvovitý	rakev, rak
příplateček	příplatek, přeplatek
seníček	seník, sen
podnárod	národ, národní
dodateček	dodatek, dodat, dodatý
blátisko	bláto, blato, blata
kouseček	kousek, kusek, účesek
rosítko	rosit, rosa, rosetový
přistižení	přistihnout, přistřihnout
tříměsíční	tříměsíčný, tříměsíčník
utlápat	utlapat, tlapat
zasápnout	zasápat, zaspat, zasypat
výhradce	výhrada, vyhradit
koupáníčko	koupání, houpání
dobíhat	běhat, doběhnout, doběhat
držadélko	držadlo, držet
mufloně	mufloní, muflon
pláneček	plánek, plán, pláň
prutovitý	prut, prutový
zatrnit	trní, trn, trnout
deportovanec	deportovaný, deportovat, deport
chladnice	chladný, chlad, chladit
chlastárna	chlastat, chlast
výkopný	výkop, vykopat, vykopnout
hnojařina	hnojařský, hnojař, hnůj
zábřesk	zabřesknout, zabřeskovat
dvoučárkovaný	dvoučárka, dvojčárkovaný, dvojčárka
vížící	věžit, vžít, vřít
upírstvo	upír, upírský
vpřádat	příst, přást, vpříst
záhlubeň	zahloubit, hloubit
vošklíbat	ošklíbat, šklebit
vblízce	vlízt, blízký
kotlíkovné	kotlík, kotlíkový, Kotlík
úročky	úročit, úrok
svržený	svrhnout, svrhat
vorařit	vorař, vorový
zpropadlina	propadlina, propadlý, propadlo
brašnařina	brašnář, brašnářský, brašna
pronárůdek	pronárod, pronárodní, nárůdek
brněnsku	brněnský, Brno, Brněnsko
výskat	skýtat, ský, skát, stýkat
mařinka	marina, mařit, mařič
čočkovka	čočkový, čočkovec, čočka
přihana	přihánět, přihnat, hana
palácovitý	palác, palácový
protržení	protrhnout, protrhat, protržený
zesrozumitelnit	srozumitelný, zrozumitelný
vykuknout	vykukat, kouknout, vykoukat
bádáníčko	bádání, badání
pošklebný	šklebit, šklebný
sedlíčko	sedlo, sedle
neznámo	známý, známit, neznámý
zotavenec	zotavený, zotavit
zubožet	zubit, zubožit
vyvařenina	vyvařený, vyvářený
stromkař	stromek, strom, strůmek
obalovina	obalový, obalovat
zhýral	zhýrat, zhýralý
zpromrzet	mrzet, mrznout
řízkárna	řízek, říza, řízný
dokrmě	krmit, dokrmit, krmě
hoblíček	hoblík, Hoblík, hobl
převaziště	převázat, převaz, převářet, převézt, převzít
záchodní	záchod, zachodit, chodit
rýhovač	rýhovat, rýha, rýžovat
přípočet	počet, přepočet, přepočítat, počít, pokovat, překotit
zdrobnit	drobný, drob, drobit
bodlákovitý	bodlák, Bodlák, bod
zavalina	val, zavalit, vale
změdlit	mdlít, mýdlo, mdlo
šasíčko	šasí, šasi
zptýlit	pyl, pytlík
zvrknout	zvrkat, vrknout, krknout, trknout
rozmoženina	rozmožený, rozmočený
zápoliště	zápolit, zápolí, zápola
fonetizátor	fonetizovat, fonovat, fonetizace
putnička	putna, put, puta
ukazadlo	ukázat, kázat
předsklepení	sklepit, sklepení
zdráhat	drhat, drhnout, zdražit
vsahat	vsáhnout, vsáhat, sahat, ves
zatmělec	zatmělý, zatměný, zatmět
zástřela	zastřelit, zastřelý, zastřelovat, střela, zastřele, zástřel
povržení	povrhnout, vržení, povrhat, povrch
zvolninka	zvolna, zvolný
idealizátor	idealizovat, idealizmus, idealizace, idea
Pará	para, Par, par, pára
desenzibilizační	desenzibilizace, senzibilizační, senzibilizace
závrat	zavrátit, zrát, zvrátit, znát, hrát
vodpoledne	poledne, odpoledne
rovinář	rovina, Rovina
zádušivý	zadušit, záducha, duše
soudnice	soud, soudit, soudní
vodpoledne	poledne, odpoledne
zchromět	chromý, chrom, chromit, chromnout, chromovat
výtržka	vytrhnout, vytržit, výtržný
zesprosťačet	zesprostačet, zesprostačit, zesprosťačit
obsílat	obeslat, slít
posevší	posít, poseknout, pojít, podít, set
podtištění	tištění, ta, otištění
lakýrničina	lakýrník, lakýrnice, lakýrnický
visací	vsít, vsát, viset
klidňoučko	klidňoučký, klidný
dvoustopa	dvoustopý, dvojstopa
četkař	četka, Četka, četa
poptavatel	poptávat, optávat
zkusit	kousnout, kousat, kuse, zkousnout
zamlkat	mlčet, mlknout
mačkář	mačka, máčka
chrámeček	chrámek, krámek
vznešenec	vznesený, vznešený
jadernička	jadernice, jádro
krakováček	Krakovák, krakovat
dvojnoží	dvojnohý, dvojný
vyžel	žel, želka, zelí
lopuchovitý	lopuch, Lopuch
nastupitel	nastoupit, nastupovat
jídélko	jídlo, dílo
sádélko	sádlo, Sádlo, dál
proškráb	proškrábat, škrába, škráb, proškrabat, škrábat, proškrábnout
navijárna	navíjet, naviják
vodíkárna	vodík, vodka, vodák
souboreček	souborek, soubor
zhlavec	hlava, Hlava
výsed	vysedět, vysednout
sklepéček	sklep, sklepák, sklepní
dupáček	dupák, dubák
zarážlivý	zarážet, zarážka
orostlý	růst, rostlý
struskař	struska, truska, struskový, struskovat, struk
povíjet	povinout, vinout, povědět, povít, víjet, povidat
znamínečko	znamínko, znamení, známení
chlopňovitý	chlopeň, chlop
topolovitý	topol, Topol
ozalid	lad, ladit
vykládat	kládat, vládat, hlad, vkládat, klást
okrouhnout	krouhat, okrouhat
opletačky	oplétat, oplést
čtyřicítka	čtyřicítina, čtyřicetina
putička	puta, puťka, puška, pouť
moureček	mourek, mour, Mourek
snadničko	snadno, snadný
jalůvka	jalový, jalovec
dvojvětý	dvojí, dvojka
výslad	sladit, slad, sladovat, vysladit
odvrat	vrátit, odvrátit, vdrát, zvrátit, drát, prát
zdefinitivnit	definitivní, finitivní
klášteříček	klášter, klášterník
kuchyňka	kuchyň, Kuchyňa, kuchyňkový
dvoulitrovka	dvoulitrový, dvoulitr
protimanévr	manévr, manevr
zestonásobnit	stonásobný, zestonásobit, stonásobek
zastřižený	zastřihnout, zastříhnout
ukazatel	ukázat, kázat
srostitý	srůst, růst
brouskař	brousek, brouk, Brousek
vodržku	držet, držkovat, držka
pocpat	cpát, chápat
zplodnět	plodní, plodný
zvlčilec	zvlčilý, zvlčit
jeskyňařina	jeskyňář, jeskyňářský
otorinolaryngoložka	otorinolaryngolog, otorinolaryngologie
vypářka	vypařit, vypírat
zútlit	útlý, tlít
vprostředku	střed, prostřed, prostředek, střední
podtržený	podtrhnout, tržený
pipovitý	pípa, pepa
zmedovět	medový, medovatý, medovat
záslužek	zásluha, záslužný, zasloužit
vápenička	vápenice, Vápenice, vápno, vápeník, vápenka, vápnička
dvoudenka	dvojdenka, dvoudenní
mokřinka	mokřina, močka
řízovitý	říza, říje, říz
sváteček	svátek, Svátek, svítek
podprda	prd, prda, prdnout, prdět
přetažek	přetahovat, přetah
přemalý	malý, mat, přemýt, mlat
přípověď	připovědět, připovídat
prostřednicví	prostřednický, prostřednice, prostřední
drážkovník	drážkový, drážka, drážkovat, Drážkov, drážkovka
tesaříkovitý	tesařík, Tesařík, stařík
paprskář	paprsek, paprskovat, paprskový
námluvčí	mluvit, mluvčí, namluvit, mluva
slabounko	slabounký, slabý
napadený	napadnout, napást, napadat
měsíčník	měsíc, měsíčný, měsíční
desorganizátor	desorganisovat, organizátor
ušloupnout	sloupnout, sloupat
apreciační	apreciace, apreciovat
výhas	vyhasnout, vyhasit
vystřehnout	vystřežit, vystříhat
připřáhnutí	připřáhnout, spřáhnout
podpacht	pacht, pach
zmilostnět	milostný, milost
laníčko	lano, laní, lání, lanko, lanč
zakákat	kakat, kukat
ohodit	hodit, hod
vybrakovanec	vybrakovaný, vybrakovat, vyvrakovaný
klempířina	klempíř, klempířský, Klempíř
instrumentátor	instrumentovat, instrument, instrumentace, instrumentovaný
loupežničit	loupežník, loupežnice, loupežný, loupit, loupež
pásovcovitý	pásovec, pásový
násled	sled, následovat, následný, sledný
jeřabatý	jeřabí, jeř
zavírka	zavírat, zavířit, zavřít
rámovitý	rám, rámový, Ráma
čnějící	čnít, čnět
megahertz	hertz, Hertz
zděnice	zděný, zdění, dělník
vlásečný	vlásek, Vlásek, vlas, Vlas
všiváček	všivák, všivý
zklamáníčko	zklamání, klamání
raubířina	raubířský, raubíř, raubířka
protiexplosivní	protiexplozní, protiexplosní
sporýšovitý	sporýš, Sporýš
podrámeček	rámeček, rámek
vodpovídat	povídat, odpovědět, podívat, odpovídat, vodpovědět
svrškař	vrch, svršek, vrchní
metyleter	methylether, eter, methyl
tahačky	tahač, tahačka, tahák, tahací
automodelářství	automodelářský, modelářský, modelářství
ztrpka	trpký, ztrpknout, trpknout
třínásobný	třínásobek, trojnásobek, trojnásobný
toustíček	toustík, toust
zdřímnutíčko	zdřimnutí, zdřímnutí
podděložní	děložní, děloha
běhanice	běhaný, běhat, Běhan
zeleňounce	zeleňounký, zelený
zastýlat	stlát, zastlat, týl
vyzáblec	vyzáblý, vyzáble
redaktořina	redaktor, redaktorský
chatoviště	chata, chat, chatový, chatovat
vzduchař	vzduch, vzduchovat
podpodlaží	podlaha, podlaží
síťkař	síťka, sítko, síť
uzlovatý	uzel, uzlit, uzlík
zámečničina	zámečnice, zámečnický, zámečník, zámečničit
zalehnout	zalehat, zaléhat, zalíhat, lehnout, zaležet, hnout
vyběhnout	vybíhat, vyběhat, sběhnout, vběhnout, zběhnout, říhnout
madélko	madlo, mádlo
záplavný	záplava, záplavka
spojařina	spojařský, spojař, spojařka
vysměvačný	vysměvač, vysmívat, vysměvačka, vysmívač, vysmívací
žalostno	žalostný, žalost
zabijáctvo	zabiják, zabijácký
úředničina	úřadník, úřadnice, úřednice, úřadnický, úřadní, úředník, úřednický
lavičník	lavice, lavina, lavička
lavičník	lavice, lavina, lavička
pláceček	plácek, plánek
svraštět	vraštit, svraštit, praštět
ťapťátko	ťapka, ťapat
zaklinknout	zaklinkat, zakliknout, klinkat
řepíkatý	řepík, Řepík
raněný	ranit, ronit
hipsteřina	hipsterský, hipster
oživeníčko	obživení, oživení
vzrůstní	vzrůst, růst, vrůst, vzrostný
přestřižení	přestřihnout, přestříhnout, přestřihovat
předústní	ústní, ústí, ústa, přídní
táceček	tácek, tác
podpříkaz	překazit, příkaz
zjevištnit	jevištní, jeviště
velikáš	veliký, Veliký, velký
vinklař	vinkl, vinklář, vinklovat, Vinklar
desetimiliónek	desetimilionek, desetimilionový
přelíbivý	líbivý, líbit, líbivě
sprchárna	sprcha, sprchnout
ostřírna	ostrý, ostří, ostřit
osněžený	sněžit, sněžený
sankcička	sankce, sankční
zubovačka	zubovat, zubovací, zubovka
sosákovitý	sosák, kosák, nosák
zátěrka	zatírat, těrka, zátěr
podejna	podej, podat, podnět
doplňkovka	doplňkový, doplněk
znojný	znojit, znoj, znít, znát, znýt
uvržený	uvrhnout, vržený
vzkvíst	kvíst, kvést, vzkvést, zkvést
nástrojařina	nástrojař, nástrojařský
milička	mile, milec, míle, milka, male, Milič
dichlorethan	dichloretan, chloretan
rozběžka	rozběhnout, rozběžný, rozběhat, rozběh, rozbíhat, rozebíhat
uákat	kát, kárat, kázat
přestupovitý	přestup, přestupový, přestupovat
zedňas	zední, zedně
zelenavět	zelenat, zelenavý, zelený
dvojsmysl	dvojsmyslný, dvojmysl
šedůvka	šedový, šedý, šedě
nezvanec	zvaný, zvaní
vyšťavit	šťáva, štvát, šťava
závidný	závidět, zvidět
vopuchnout	puchnout, opuchnout, opuchat, píchnout
pohraničář	pohraniční, pohraničí, hraničář
nájemnictvo	nájemnický, nájemník, nájemnice, nájemní
dozorství	dozor, dozírat
nedosyta	dosyta, sytý
ústrojenstvo	ustrojit, ústrojí, ustrojený, ústrojný
zpovšechnět	povšechný, zpovšechnit
tibetsku	tibetský, Tibet, tibet
obstruktivní	obstrukce, obstruovat
neutralista	neutralizmus, neutralismus, neutrum, neutrální
defektivní	defekt, defektní
zpíčit	píka, pícka
zasmáhnout	smahnout, zasmahnout, zmahnout
kvadrilióntina	kvadrilion, kvadriliontina
posmekat	smekat, posmeknout, smeknout
výjev	vyjevit, vyjít, vyjmout, vyjet
příhrádka	příhrada, přihradit
psychostimulační	stimulační, stimulace
lotosovitý	lotos, Lotos
předadopční	adopční, adopce
skokovitý	skok, Skok, skokový, kokovitý
proklusnout	proklusat, klusat, flusnout
strpeníčko	strpení, trpení
manikýrka	manikérka, manikýra, manikér
mindráček	mindrák, dráček
polénko	poleno, polo
účastlivý	účast, účastný
kořenovitý	kořen, koření, kořený
odzadu	zadu, zádu
škvařenina	škvařený, škvařit
klavírník	klavír, klavírovat, klavírový
podrežim	režim, podržet, předržet
čtverčátko	čtverče, čtverka
penízeček	penízek, peníz
jezírečko	jezírko, jezero
zniternit	niterný, niterní, nitro
garantační	garantka, garantovat
vysvleknout	vysvléci, svléknout, vysvléknout
prstýnčitý	prsť, prsten
zmasitět	masitý, maso
dvojstupňovitý	dvojstupňový, dvojstup
zároháček	zárohák, záhorák
vzkvitnout	vzkvétnout, kviknout, vzkvést, vzkvétat
výtav	vytavit, vytát, vytávat
utájet	utajit, utnout
rozcvičovna	rozcvička, rozcvičovat, rozcvičit
postresekční	sekční, resekční
vsouvnout	vsouvat, vsávat
kooperátor	kooperovat, operovat, kooperace
odřaděný	odřadit, odradit
vlibný	vlít, vlívat
biogerontolog	gerontolog, gerontologie, -bio-
platiště	platit, plat
svrabař	svrab, svrbět
vlasnatý	vlas, vlásek, Vlas
rozprask	prasknout, rozprasknout, práskat, prásknout
brančička	branka, branec
vypobízet	vypobídnout, pobízet
poutnictvo	poutnický, poutnice, poutník
ďáblovina	ďábel, ďáblovský
přeminulý	minulý, minový
podzástava	zástava, nástava
jedůvka	jedovka, jedový
smolovatý	smola, smůla, smolný, smolový
zastuzenina	zastuzený, zastuzení, zastuděný
lanička	Lanka, laňka
zrnivo	zrnit, zrnivý, zrní
brodicí	brodit, rodit, vřít
tratoliště	tratit, trata
plaviště	plavat, plavit, plavý, plavný
kudlásek	kudla, kudlat
zčerstvět	čerstvý, čerstvo
dotočná	točný, dotočit, točit
nástolec	stolec, stůl, nastolit
zpěknit	pěkný, pěkno
letadlíčko	letadlo, let
hrabiště	hrabat, hrábě, hrb
zpovolnit	povolný, zpovolna
převalák	vál, převal, válka, převálení
vampýrovitý	vampýr, vampír
zvodnit	voda, vodný, vodní, zvodit, vodit, odvodný, odvozný, odvoz
úpravčí	úprava, upravit, pravit, úpravce, oprava
úpravčí	úprava, upravit, pravit, úpravce, oprava
dráždič	dráždit, dláždit, dráždivý
koňačka	koňák, koňka
výběžný	výběh, vyběhnout, vybíhat, vyběhat
vyběrák	vybírat, vyběrač
nadlesní	lesní, lezní, les, lední, hles
plavčit	plavat, plavec, plavit, plavka, plavky, plak, plavý
vojevůdčí	vojevoda, voj
trápeníčko	trápení, trápený
bahňáček	bahňák, Bahňák
panďátko	panda, pandí
sosnoví	sosna, son
neživotí	život, živý, živo
vroucí	vřít, vrojit
přetěsný	těsný, česný
zježatit	ježatý, ježatit
novotina	novota, novo, nový, novotný
zdržlivý	zdržet, držet, zdrhnout
sušenkárna	sušenka, sušení, sušený
ušípaný	usípat, chcípat
pootáčecí	otáčecí, pootáčet, otáčet
zátylník	tyl, tál
probrzdění	probrzdit, brzděný
rousnatý	rous, ruda, Rous, rus, rousat
světloučce	světloučký, světlý, světlina, světle
svěravý	svírat, svěrka, svár
šedočernavý	šedočerno, šedočerný
práskačky	práskačka, práskač, práskat
prvorozenectví	prvorozenec, prvorozený
nadproduktivní	produktivní, nadprodukce, produkt
zápona	zapínat, zapnout
zápola	zapálit, zápolit, polo, pole
nahoru	hora, horovat
dodržka	držka, dodržet, drožka
nákupčí	nákup, nákupce, nákupní, nakupovat
výsuvka	výsuv, vysunout
ustátí	ustát, stát, ztát, ustáný, tát
nálepní	nálep, plec, lep, nalepit, ples
výhlubeň	vyhloubit, vyhlubovat
rekatolizátor	rekatolizovat, rekatolizace
zrozeniny	zrozený, zrosený, zrození
shrnovačky	shrnovat, shrnovač
černýšovitý	černýš, Černýš
zamoučit	mouka, koumat
zámlčka	zámlka, zamlčet
měkounce	měkounký, měkký
dramaturžka	dramaturg, drama
drabař	dráb, drobit, drát
zbujnit	zbujný, bujnět
zátržek	zatrhnout, zátrh, zatrhat
dekalog	dekalogie, deka
obstavný	obstavit, obstavět, obestavit, obstávat
přestrašný	přestrašit, strašný, strašit
referentík	referent, reference
slepičář	slepice, slepička
ježůvka	ježek, ježovka
isomerisace	izomerizace, izomer
přesmutno	přesmutný, smutno
ztrojnásobnit	trojnásobný, trojnásobek
vodníče	vodník, voda
vrčavý	vrčet, vrkat, vrkavý
lesňáček	lesně, Lesňák
tyčinka	tyč, tyčka
bergsonovec	Bergson, Berson, Bergsonův, Gerson
vrcholiště	vrchol, vrch, vrchní, vrcholit, vrcholec
rozsudí	rozsoudit, mus
bodýlko	bodlo, bod
trojmocnina	trojmocný, trojmoc
adresáříček	adresářík, adresář
vodočet	okotit, okout, okovat
zachrkat	hrkat, drchat, trkat
hodinečka	hodinka, hodina, hadač
zpitvořenina	zpitvořený, pitvoření, zpitvořit
jemňounko	jemňounký, jemný
vývárek	vyvařit, vývar, vyvářet
zbezpečit	bezpečný, bezpečí
souvládí	vláda, vládnout
dvoubytný	dvoubyt, dvojbyt
dvoudecovka	dvojdecový, dvoudecový
zmučenec	zmučený, zmoučený, zmáčený
pápěříčko	pápěří, pápeří
stojací	stát, stáj
nastřižení	nastřihnout, nastříhnout
gestapáček	gestapák, gestapo
pásovnice	pásový, pás, pásovat
zopravdy	pravda, zapravit, pravý
podstřešek	podstřešní, podstřeší
antigest	test, čest
linkař	link, linka, linie, lino
zprůtočnit	průtočný, průtočník
žeravět	žeravý, žeravit
ledovice	ledový, led
zamílat	mlít, mlat, mnout
úkrytiště	úkryt, úkrytný
špuntovné	špuntovat, špunt
valovitý	val, vale, valit, vál, Vala, Val
vobejvák	obejvat, obývat
šohaječka	šohajek, šohaj
ztučnit	tučnět, tučný, tuk
švestkáček	švestkáč, švestka
švagřička	švagřík, švagr
předzásoba	zásoba, předzásobit
výchoz	vychodit, vyjít, chodit
hraníčko	hraní, hra, Hranice
tužkařina	tužkařský, tužka
výpadný	výpad, vypadnout, vypadat
mlaďoučce	mlaďoučký, mladý, mladíček
žiloviště	žilovina, žíla, žilový, žiliště
čínsku	číst, čína, čínský
vladařstvo	vladařský, vladař
zvadat	dát, zvadnout, vést, vadnout, vdát
zrádlivý	zráda, zrada
rozhlasačka	rozhlasák, rozhlas
vodřenec	vodřený, odřený
dvojnažka	dvojnohý, dvojný
šťourálek	šťoural, Šťoural
zlostit	zlost, slout, lest
nápočet	počet, počít, započítat, napočítat
podmítat	podmést, metat, podmítnout
vsouknout	vsoukat, kouknout
dlanička	dlaň, dlaňka
vykoupenec	vykoupit, vykoupený
kopština	kopský, koptský, kopka
muškařina	muškařský, muškař
županovitý	župan, županovina, županka
keynesovec	keynesovský, Keynes
ovísek	oves, ověs, osev
výstavčí	vystavět, výstava, vystavit, výstavce, vystavovat
výstavčí	vystavět, výstava, vystavit, výstavce, vystavovat
předproduktivní	produktivní, produkt, produkce
dotýkat	tknout, týkat, dotknout
mrožovitý	mrož, mroží
výpich	vypíchnout, vypáchnout, vypnout
trojčlenný	trojčlen, trojčlenka
bouráček	bourák, šourák
stonkovitý	stonek, ston, sten
průplav	proplavit, plavat, plavit, pes
loupežnictvo	loupežnický, loupežník
utrápenec	utrápený, utrápit
předfinále	finale, finále
výběrka	výběr, výběrný, vybírat
bejváníčko	bejvání, bývání
šméčkař	šméčko, šém
hromadisko	hromada, hrom
přílepník	přílep, přilepit
mlýneček	mlýnek, mlýnec, Mlýnek, mlýn
upala	upálit, upnout
