neozednářský	zednářský
prachmiliónský	miliónský
tachometrický	tachometr
eurofilský	eurofil, -fil-, fil
čtyrboký	čtyřboký
klapský	klapka
krátkoruký	krátký
patognomický	gnomický
transalpský	alpský
novelský	novela
monumentalistický	monumentalista, monumentalizmus, monumentalismus
vagónářský	vagonář, vagónář, vagón
poststrukturalistický	poststrukturalizmus, poststrukturalismus
sedmihůrský	sedmihorský
psychoneurologický	neurologický
neoarktický	arktický
křivský	křivo
postmaterialistický	materialistický
voluntaristický	voluntarista, voluntarizmus, voluntarismus
románský	román
postchartistický	chartistický
čerňoučký	černý, černík, řečný, kerný
nadsvětský	světský
zmilitký	zmilitka
fysiokratický	fyziokrat, fyziokratický
předwimbledonský	wimbledonský
tříoký	trojoký
hernský	herna, herní
kryptický	krypta
celoučký	celý
exlitvínovský	litvínovský
zastávecký	zastávka
areografický	area
maliličký	malý, maliník
izostatický	izostat
okrouhlecký	okrouhlý
světlooký	světlo
egofuturistický	egofuturizmus, egofuturista
subatomický	atomický
protirácký	trácký
difuzionistický	difuzionista, difuzionizmus
kovanecký	kovanec
protibiologický	biologický
neoklasický	neoklasik, klasický
pohodnický	pohodnice, pohoda
předstalinský	stalinský
neofenomenologický	fenomenologický
sentimentalistický	sentimentální, sentimentalista, sentimentalizmus, sentimentalismus
beachházenkářský	beachházenkář
komorský	komora
seizmonastický	seizmonastie
empirický	empirik, empir
proteosyntetický	proteosyntéza, syntetický
chronický	chron
buclaťoučký	buclatý
eurofederalistický	eurofederalista, eurofederalismus
elegiacký	elegie
posarajevský	sarajevský
autsajderský	autsajdr
fantasmatický	fantazma
protisovětský	sovětský
dispašerský	dispašér
psychosociologický	psychosociolog
neohinduistický	hinduistický, hinduizmus
analistický	analista
syntagmatický	syntagmatika
alicyklický	cyklický
sociopsychologický	psychologický
molický	mol
pšánský	peán
protochetitský	chetitský
protikremelský	kremelský
nudistický	nudista, nudizmus, nudismus
stejnověký	stejně
obyčejnský	obyčejný
neolitický	neolit
protiakademický	akademický
šemický	šém
dvouoký	dvojoký
mimoetický	mimetický, mimetizmus
ultramikroskopický	mikroskopický
chromografický	chromograf
illitický	illit
metabolický	metabolizmus, metabolista
portugalský	portugal
chlupaťoučký	chlupatý
předplavecký	plavecký, plavec
meziměstský	meziměsto
modrokrký	modrý
protisklerotický	sklerotický
předpěstounský	pěstounský
protekcionalistický	protekcionalizmus, protekcionalismus
heterosylabický	sylabický
fosfatický	fosfát
protinovinářský	novinářský
judicialistický	judicielní
protimasarykovský	masarykovský
operacionalistický	operacionalizmus, operacionalismus, operace
kubofuturistický	kubofuturizmus, kubofuturista
exprostějovský	prostějovský
protivlastenecký	vlastenecký
protimarxistický	marxistický
turnianský	turn
mazovský	mazový, maz
protilidský	lidský, lipský
jasenský	jas
primitivistický	primitivizmus, primitivní, primitiv
hypnotický	hypnotikum, hypnóza
protidarwinovský	darwinovský
autosémantický	autosémantikum
purististický	purista, puristický, purizmus
stolický	stůl
proticentralistický	centralistický
celoirský	celý
ulický	ulice
lovenský	lovení
multipartistický	multipartizmus
trojoký	trojka
protifanouškovský	fanouškovský
kosmopolitický	kosmopolit
explosionalistický	explosionalismus
starovodský	star
postkumunistický	postkomunizmus
středolatinský	střed
myasthenický	myastenie
klientelistický	klientelizmus, klient, klientela
veselounký	veselý
protispartský	spartský
ultravysoký	vysoký
protiintelektuálský	intelektuálský
protisaddámovský	saddámovský
neorománský	románský
boccistický	boccista
termoelektrický	elektrický
termoplastický	termoplast
utilitarianistický	utilitarianista, utilitarianizmus, utilitarianismus
energistický	energie, energický
předivoký	divoký, předivý
pragmatický	pragmatika
staropacký	staropacky
paramilitaristický	militaristický, militarizmus
středomořský	střed
normativnětechnický	norma
sálský	sál
nadfyzický	fyzický
komparativistický	komparativní, komparativ
šoumenský	šoumen
ultrademokratický	ultrademokrat, demokratický
biochromatický	chromatický
logografický	logograf
pokřesťanský	křesťanský
prakticistický	prakticizmus, praktický, praktika, praktik, prakticismus, prakticista, praktikum
předsarajevský	sarajevský
monotónický	monotonie, tonus
subchronický	chronický
periskopický	periskop
vírský	vír
mládský	mládí, mladý, mlada
malučký	malý, maličký
senzitivistický	senzitivní, senzitiv
thatcheristický	thatcherizmus, thatcherista, thatcherismus
paleolitický	paleolit
ypsilonovský	ypsilon, ypsilonový
fizulský	fizule
protisandinovský	sandinovský
protisládkovský	sládkovský
noxický	nomický
encefalografický	encefalograf
anamorfický	anamorfa
šibenický	šibenice
oscilografický	oscilograf
podlipský	lipský
hydrochemický	chemický
dvojoký	dvojka, dvojný, dvojí
protiněmecký	německý
podnovinářský	novinářský
transatlantský	atlantský
perkusionistický	perkusionista
dereistický	reistický, reizmus
vibrafonistický	vibrafonista, vibrafon
polootrokářský	polootrok
sulfatický	sulfát
levoruký	levý
exotermický	termický
novářský	nova
popartistický	popartista
podegaullovský	degaullovský
protinacionalistický	nacionalistický
superstarovský	superstar, superstarový
novoitalský	nový
okenský	okno
prostořeký	prostý
jednooký	jedno
grálistický	grálista, grál
transasijský	asijský
transantarktický	antarktický
velkoměšťácký	velkoměšťák
protinacistický	nacistický
hnojnický	hnůj, hnojník
sapfický	sapa
pangalaktický	galaktický
ultrakvistický	ultrakvista
polodbornický	polodborník
ředinký	ředit, ředina
mandlooký	mandle
husický	husice
štěpnický	štěp, štěpnice
keratolytický	keratolytikum
poloautomatický	poloautomat, automatický
splavský	splav, splavení, splavit
mírňounký	mírný, mír
protimenclovský	menclovský
edématický	edém
exblšanský	blanský
atematický	tematický
zeleňounký	zelený, zelení, zeleno
vopravdovský	pravda, opravdu, opravdovský
polotmářský	polotma
protijakobínský	jakobínský
hekatombický	hekatomba
samotinký	samota, samo
protimadridský	madridský
protimarhoulovský	marhoulovský
autosyntagmatický	syntagmatický
eukaryontický	eukaryonta
předsóánský	sóánský
filumenistický	filumenie
zologický	zoologie, logický
homotypický	thema
dobrounký	dobrý, bodrý
amaterský	amatér
přioceánský	oceánský
protiosmanský	masný, osmanský
exšumperský	šumperský
prohibicionistický	prohibicionizmus, prohibicionista, prohibice
almaatský	alma
holotropický	holotropní
štítský	štít
protifašistický	fašistický, tašistický
pubický	pub
transhimálajský	malajský, himálajský
ořešský	ořech, ořeší
protiseizmický	seizmický
patetický	patetika, pata
pragocentrický	pragocentrizmus
protisymbolistický	symbolistický
proticastrovský	castrovský
protoislámský	islámský
byrokratickocentristický	byrokratický
bagský	bag
monopolitický	monopol, monopolní, monopolizmus
piktografický	piktograf
postmarxistický	marxistický, marka
intervokalický	vokalický
živounký	živý, divý, čivý
životický	život
alotropický	alotropní
automilionářský	milionář, milionářský
pravoruký	pravý
paleozoický	paleozoikum
maximalistický	maximalista
konceptualistický	konceptualizmus, konceptualista, konceptuální, konceptualismus, koncept
zoonotický	zoonóza
neoosvětářský	osvětářský
subekumenický	ekumenický
transaljašský	aljašský
hydroskopický	hydroskop
krásňounký	krásný
skřivánecký	skřivánek
antivirotický	antivirotikum
miniaturistický	miniaturista, miniatura, miniaturní
přikarpatský	karpatský
polorybářský	rybářský
servitský	servita
