# legenda: znak +: schválený derivát, začátek znak # komentář, auto+výroba - kompozitum, ? podívat se znova, všechno ostatní - lemma předka		
meziperioda	mez	perioda
renkloda	renklóda	+
anoda	anona	
dynoda	dyn	
apoda	apodní	
zespoda	spodní	+
dospoda	podepsat	spodní
příroda	přihradit	
bioúroda	úroda	+
pentoda	don	
darda	dařit	
garda	čarda	
škarda	Škarda	
zhrda	zhrdat	hrdý
barracuda	Barracuda	
necuda	cudný	+
barakuda	barák	
bouda	Bouda	
hrouda	Hrouda	
půda	podat	
Rudá	rudý	+
etuda	duda	
amplituda	tu	
magnituda	magnitudo	
mazda	Mazda	+
brázda	Brázda	
hrazda	hradit	+
tříhrazda	trojhrazda	tři+hrazda
matkovražda	matkovrah	matka+vražda
synovražda	syn	syn+vražda
výjezda	vyjezdit	
megahvězda	hvězda	+
tříhvězda	trojhvězda	tři+hvězda
dvojhvězda	dvojhvězdný	dva+hvězda
krasojízda	kras	krásný+jízda
uzda	zdít	
pyzda	pizda	
guinea	Guinea	
kornea	Kornea	
area	ar	
arborea	arbor	
chorea	area	
urea	area	
nauzea	nausea	
Mustafá	Mustafa	
hauptrefa	haupttrefa	
alfa	Alfa	
lymfa	nymfa	
katastrofa	katastr	
harfa	Harfa	
anamorfa	morfa	
morfa	mořit	
jaga	Jaga	
minisága	sága	+
bodega	toga	
giga	Giga	
extraliga	liga	+
profiliga	profilovat	liga
miniliga	-mini-	liga
interliga	liga	+
briga	triga	
riga	Riga	
sajga	sajka	
bojga	bit	
arakanga	arak	
kananga	Kananga	
doga	go	
jóga	Joga	
droga	draga	
pešmerga	Pešmerga	+
katorga	kata	
fuga	fuka	
stryga	striga	
Bahá	Bah	
yamaha	Yamaha	+
snaha	snažit	+
draha	dráha	?
malodráha	dráha	malý+dráha
dvoudráha	dvojdráha	dva+dráha
odvaha	odvažovat	
protiváha	protiva	váha
stereováha	stereo	stereo+váha
rovnováha	rovný	rovný+váha
macha	machna	
papacha	pnout	
vacha	vata	
cícha	cechovat	
všelicha	Všelicha	
mícha	cícha	
pleticha	plést	+
vícha	Vícha	
střemcha	Střemcha	
bioplocha	plocha	+
vlnoplocha	vlna	vlna+plocha
jircha	jer	
kombucha	kombinovat	
plucha	pluška	
perlucha	perlovina	
moucha	Moucha	
šrucha	šrum	
ovsucha	sucho	
děvucha	děva	+
pazucha	Pazucha	
bycha	Bycha	
pýcha	Pýcha	
buddha	Buddha	
něha	nahý	?
samotíha	samota	samo+tíha
stíha	setý	
mlha	vlha	
minoha	mina	
pětinoha	pět	pět+noha
protinoha	noha	+
duha	Duha	
sebeobsluha	sebeobsloužit	+
slouha	dlouhý	sluha
dýha	Dýha	
fabia	Fabia	+
Zénobiá	Zenobia	+
uncia	unce	
tragedia	tragédie	?
memorabilia	memorabilie	
aprilia	Aprilia	
bergamia	Bergamo	
byronia	Byron	
aria	ar	
canaria	Canaria	
pataria	pata	
militaria	militární	?
mykobakteria	mykobakterie	?
ekklésia	kles	
abája	Abaja	
májá	máj	
avidjá	vid	
mahdíja	majda	
alija	Alija	
burhámíja	burhamíja	
senúsija	sen	
badavíja	bádavý	
badawíja	badavíja	
akja	akija	
vrátja	vrata	
abaka	bika	
čáka	čakan	
nastojáka	stoják	+
klaka	klasa	
převlaka	převléci	+
farmaka	farmacie	+
kloaka	klaka	
taka	tak	
kocábka	Kocáb	
fábka	fábie	+
kobka	kobra	
třítrubka	trouba	tři+trubka
šubačka	šubka	
Zubacká	Kubacký	
Špičácká	Špičák	+
vlčačka	vlčák	+
zápaďačka	zápaďák	+
autosedačka	sedačka	+
čtyrsedačka	třísedačka	čtyři+sedačka
obvoďačka	obvoďák	+
bombarďačka	bombarďák	+
snowboarďačka	snowboarďák	+
tvrďačka	tvrďák	+
študačka	študák	+
kardiačka	kardiak	+
Wozniacká	Wozniak	+
zavíjačka	zavíjet	+
padesátikačka	padesátka	padesát+kačka
provokačka	provokovat	+
odvolačka	odvolat	+
gymplačka	gymplák	+
závislačka	závislák	+
sněhulačka	sněhulák	+
kulačka	kulatý	kulak
sedmačka	sedmák	+
farmačka	farmacie	+
osmačka	osma	osmák
ženačka	ženáč	žena
tajňačka	tajný	+
polňačka	polník	polní
jikernačka	jikernatý	+
správňačka	správňák	+
výčepačka	výčepák	+
dvouhoupačka	dvojhoupačka	+
madračka	madrace	+
štědračka	štědrý	+
záhoračka	záhorák	+
záporačka	záporák	+
demonstračka	demonstrace	+
předtáčka	předtáčet	+
baleťačka	baleťák	+
třeťačka	třeťák	+
eliťačka	eliťák	+
skejťačka	skejťák	+
ptačka	ptát	?
sporťačka	sporťák	+
čtvrťačka	čtvrťák	+
Zavacká	Závacký	+
exzpěvačka	zpěvačka	+
zbrojovačka	zbrojovka	?
ovinovačka	ovinovat	+
ošetřovačka	ošetřovat	+
rezervačka	rezerva	rezervovat
vačka	vak	?
nádražačka	nádražák	+
podrazačka	podrazák	+
svazačka	svazák	+
předžačka	předžák	+
minižačka	minižák	+
bonzačka	bonzák	+
prohlídečka	prohlídka	+
dvoudecka	dvojdecka	+
faječka	fajka	+
Podhájecká	Hájecká	Podhájecký
kopěječka	kopějka	+
autonabíječka	nabíječka	auto+nabíječka
troječka	trojka	+
Střelecká	střelecký	+
Dolecká	Locke	Dolecký
návlečka	návlek	+
smečka	smeč	
dýmečka	dýmka	+
fenečka	fenek	fenka
nástěnečka	nástěnka	+
sklínečka	sklínka	+
skupinečka	skupinka	+
šunečka	šunka	+
zápečka	zápec	zapékat
činoherečka	činoherec	+
žatečka	žatec	+
všetečka	všetečný	+
kvalitečka	kvalita	+
desítečka	desítka	+
devítečka	devítka	+
dvojtečka	dvojka	dva+tečka
griotečka	griotka	+
notéčka	nota	+
čtyřtečka	čtyrka	čtyři+tečka
dvoutečka	dvojtečka	+
přestávečka	přestávka	+
židovečka	židovka	+
miniknížečka	miniknížka	+
mřížečka	mřížka	+
hradbička	hradba	+
valbička	valba	+
vorbička	orba	?
Rubická	Rubik	Rubický
přístavbička	přístavba	+
lebčička	lebka	+
uličička	ulička	+
kazajčička	kazajka	+
hokejčička	hokejka	+
lekcička	lekce	+
minerálčička	minerálka	+
tabulčička	tabulka	+
bančička	banka	+
plenčička	plenka	+
myšlenčička	myšlenka	+
sušenčička	sušenka	+
čárčička	čárka	+
sekerčička	sekerka	+
sirčička	sirka	+
nestvůrčička	nestvůrka	+
sekyrčička	sekyrka	+
dávčička	dávka	+
sodovčička	sodovka	+
stovčička	stovka	+
