rank	lemma	freq	ipm	derivational family	deriavational family 2	root of DeriNet tree id	root from DeriNet	slovesná třída	vzor	prefix 4	prefix 3	prefix 2	prefix 1	foreign prefix 2	foreign prefix 1	odprefixované slovo	prefix-Jarka souhlasí se Slavíčkovou	morph segm Slavickova	morph segm DeriNet	morph segm FlatCat	ammel	foreign	odprefigované sloveso segmentované	bez KS	bez iterativních S	kandidát na kořen	derivační S	derivační S 2	derivační S 3	iterativní S	iterativní S 2	iterativní S 3	iterativní S 4	KS	number of frames	Derinet parent	note	compos 1	interfix	prefix 3	prefix 2	prefix	suffix	compos 2	comb form 1	comb form 2
4524	nabíjet	144	1191	bít		bít#V????--??-??I??	na(bí)jet	4	sází				na			bíjeti	Y	na bíj e t	na bí j e t	na bíj e t	tejíban	0	bíj e t	bíj	bíj	bíj								e		nabít#V????--??-??P??										
4522	opájet	144	1191	pojit		pojit#V????--??-??I??		4	sází				o			pájeti	Y	o páj e t	opáje t	o páj e t	tejápo	0	páj e t	páj	páj	páj								e		opojit#V????--??-??P??										
4526	osít	144	1191	sít		sít#V????--??-??I??	o(sí)t	3	kryje				o			síti	Y	o sí t	o sí t	o sít	tíso	0	sí t	sí	sí	sí										sít#V????--??-??I??										
4521	přirazit	144	1191	razit		razit#V????--??-??I??		4	prosí				při			raziti	Y	při raz i t	při raz i t	při raz it	tizariřp	0	raz i t	raz	raz	raz								i		razit#V????--??-??I??										
4536	rozkvétat	144	1191	květ		květ#NNI??-----A---?	roz(kvét)at	5	dělá				roz			kvétati	Y	roz kvét a t	roz kv é ta t	roz kvét a t	tatévkzor	0	kvét a t	kvét	kvét	kvét								a		rozkvést#V???---??-??P??										
4525	rozlétnout	144	1191	letět		letět#V????--??-??I??		2	mine				roz			létnouti	Y	roz lét nou t	rozlét no u t	roz lét nou t	tuontélzor	0	lét nou t	lét	lét	lét								nou		létat#V????--??-??I??										
4532	sondovat	144	1191	sonda		sonda#NNF??-----A---?	(sond)ovat	3	kupuje							sondovati	Y	sond ova t	sond ova t	sond ova t	tavodnos	1	sond ova t	sond	sond	sond								ova		sonda#NNF??-----A---?										
4523	spařit	144	1191	pára		pára#NNF??-----A---?		4	prosí				s			pařiti	Y	s pař i t	s pař i t	s pař it	tiřaps	0	pař i t	pař	pař	pař								i		pařit#V????--??-??I??										
4531	uzrát	144	1191	zrát		zrát#V???---??-??I??	u(zrá)t	3	kryje				u			zráti	Y	u zrá t	u zrá t	u zrá t	tárzu	0	zrá t	zrá	zrá	zrá										zrát#V???---??-??I??										
4529	ventilovat	144	1191	ven- vent-				3	kupuje							ventilovati	Y	ventil ova t	ventil ova t	ventil ova t	tavolitnev	1	ventil ova t	ventil	ventil	vent	il							ova		ventil#NNI??-----A---?										
4533	vyřádit	144	1191	řádit			vy(řád)it	4	prosí				vy			řáditi	Y	vy řád i t	vy řádi t	vy řád it	tidářyv	0	řád i t	řád	řád	řád								i		řádit#V????--??-??I??										
4534	vystřízlivět	144	1191	střízlivý		střízlivý#A????----??---?	vy(střízliv)ět	4	sází				vy			střízlivěti	Y	vy střízl iv ě t	vy střízliv ě t	vystřízliv ě t	těvilzířtsyv	0	stříz l iv ě t	stříz l iv	stříz l iv	stříz	l	iv						ě		střízlivět#V????--??-??I??										
4520	zaštiťovat	144	1191	štít		štít#NNI??-----A---?		3	kupuje				za			štiťovati	N		za štiť ova t	zaštiť ova t	tavoťitšaz	0	štiť  ova t	štiť	štiť	štiť								ova		zaštítit#V????--??-??P??										
4542	bortit	143	1183	bortit		bortit#V????--??-??I??		4	prosí							bortiti	Y	bort i t	bort i t	bor t it	titrob	0	bort i t	bort	bort	bort								i		None										
4544	burácet	143	1183	burácet		burácet#V????--??-??I??		4	sází							buráceti	Y	bur ác e t	buráce t	buráce t	tecárub	0	bur ác e t	bur ác	bur ác	bur	ác							e		None										
4538	dokoupit	143	1183	koupit		koupit#V????--??-??P??		4	prosí				do			koupiti	Y	do koup i t	do kou p i t	do koup it	tipuokod	0	koup i t	koup	koup	koup								i		koupit#V????--??-??P??										
4541	kvílet	143	1183	kvílet		kvílet#V????--??-??I??		4	sází							kvíleti	Y	kvíl e t	kvíl e t	kvíl e t	telívk	0	kvíl e t	kvíl	kvíl	kvíl								e		None										
4539	nacvičit	143	1183	cvičit		cvičit#V????--??-??I??		4	prosí				na			cvičiti	Y	na cvič i t	na cvič i t	na cvič it	tičivcan	0	cvič i t	cvič	cvič	cvič								i		cvičit#V????--??-??I??										
4546	oddychovat	143	1183	dýchat		dýchat#V????--??-??I??		3	kupuje				od			dychovati	Y	od dych ova t	od dy ch ova t	od dych ova t	tavohcyddo	0	dych ova t	dych	dych	dych								ova	2	oddechovat#V????--??-??I??										
4540	oschnout	143	1183	suchý		suchý#AA???----??---?	o(sch)nout	2	mine				o			schnouti	Y	o sch nou t	o sch no u t	o sch nou t	tuonhcso	0	sch nou t	sch	sch	sch								nou		schnout#V???---??-??I??										
4543	pošilhávat	143	1183	šilhat		šilhat#V????--??-??I??		5	dělá				po			šilhávati	Y	po šilh á v a t	pošilháva t	po šilh áva t	taváhlišop	0	šilh á v a t	šilh á v	šilh	šilh				á	v			a		šilhat#V????--??-??I??										
4545	přitakávat	143	1183	tak		tak#Db-----------?-		5	dělá				při			takávati	Y	při tak á v a t	přitaká va t	přitakáva t	tavákatiřp	0	tak á v a t	tak á v	tak	tak				á	v			a		přitakat#V????--??-??P??										
4548	rozmělnit	143	1183	mělký		mělký#AA???----??---?		4	prosí				roz			mělniti	Y	roz měl n i t	roz měln i t	roz měl n i t	tinlěmzor	0	měl n i t	měl n	měl n	měl	n							i		mělnit#V????--??-??I??										
4537	zachytat	143	1183	chytit		chytit#V????--??-??P??		5	dělá				za			chytati	N		za chyt a t	za chyt a t	tatyhcaz	0	chyt  a t	chyt	chyt	chyt								a		chytat#V????--??-??I??										
4547	zkonfiskovat	143	1183	konfiskovat		konfiskovat#V????--??-??B??		3	kupuje			z			kon	fiskovati	Y	z kon fisk ova t	z konfisk ova t	z konfisk ova t	tavoksifnokz	1	fisk ova t	fisk	fisk	fisk								ova		konfiskovat#V????--??-??B??										
4561	dohodit	142	1174	hodit		hodit#V????--??-??P??		4	prosí				do			hoditi	Y	do hod i t	do h od i t	do hod i t	tidohod	0	hod i t	hod	hod	hod								i		hodit#V????--??-??P??										
4559	lomit	142	1174	lámat		lámat#V????--??-??I??		4	prosí							lomiti	Y	lom i t	lom i t	lom it	timol	0	lom i t	lom	lom	lom								i		lámat#V????--??-??I??										
4568	osiřet	142	1174	sirý		sirý#AA???----1?---?	o(siř)et	4	trpí				o			siřeti	Y	o siř e t	osiře t	o s i řet	teřiso	0	siř e t	siř	siř	siř								e		sirý#AA???----1?---?										
4571	osladit	142	1174	sladit		sladit#V????--??-??I??		4	prosí				o			sladiti	Y	o slad i t	o s lad i t	osladi t	tidalso	0	slad i t	slad	slad	slad								i		sladit#V????--??-??I??										
4549	podhodnotit	142	1174	hodit		hodit#V????--??-??P??		4	prosí				pod			hodnotiti	Y	pod hod n ot i t	pod hodnot i t	pod hodno t it	titondohdop	0	hod n ot i t	hod n ot	hod n ot	hod	n	ot						i		hodnotit#V????--??-??I??										
4563	pokácet	142	1174	kácet		kácet#V????--??-??I??		4	sází				po			káceti	Y	po kác e t	po káce t	po káce t	tecákop	0	kác e t	kác	kác	kác								e		kácet#V????--??-??I??										
4554	pokropit	142	1174	kropit		kropit#V????--??-??I??		4	prosí				po			kropiti	Y	po krop i t	po krop i t	po krop it	tiporkop	0	krop i t	krop	krop	krop								i		kropit#V????--??-??I??										
4565	popraskat	142	1174	práskat		práskat#V????--??-??I??		5	dělá				po			praskati	Y	po prask a t	po prask a t	po prask a t	taksarpop	0	prask a t	prask	prask	prask								a		praskat#V????--??-??I??										
4550	přehodnocovat	142	1174	hodit		hodit#V????--??-??P??		3	kupuje				pře			hodnocovati	Y	pře hod n oc ova t	pře hodnoc ova t	přehodnoc ova t	tavocondoheřp	0	hod n oc ova t	hod n oc	hod n oc	hod	n	oc						ova	1	přehodnotit#V????--??-??P??										
4569	převrhnout	142	1174	vrhnout		vrhnout#V????--??-??P??		2	mine				pře			vrhnouti	Y	pře vrh nou t	pře vrh no u t	pře vrh nou t	tuonhrveřp	0	vrh nou t	vrh	vrh	vrh								nou		vrhnout#V????--??-??P??										
4572	přikrčit	142	1174	krk		krk#NNI??-----A---?		4	prosí				při			krčiti	Y	při krč i t	při krč i t	při krč i t	tičrkiřp	0	krč i t	krč	krč	krč								i		krčit#V????--??-??I??										
4570	promlčet	142	1174	mlčet		mlčet#V????--??-??I??	pro(mlč)et	4	trpí				pro			mlčeti	Y	pro mlč e t	pro mlč e t	pro mlč e t	tečlmorp	0	mlč e t	mlč	mlč	mlč								e		mlčet#V????--??-??I??										
4567	rámovat	142	1174	rám		rám#NNI??-----A---?	(rám)ovat	3	kupuje							rámovati	Y	rám ova t	rám ova t	rám ova t	tavomár	0	rám ova t	rám	rám	rám								ova		rám#NNI??-----A---?										
4560	recyklovat	142	1174	cycl-				3	kupuje						re	cyklovati	N		recykl ova t	recykl ova t	tavolkycer	1	cykl  ova t	cykl	cykl	cykl								ova		cyklus#NNI??-----A---?										
4555	reptat	142	1174	reptat		reptat#V????--??-??I??		5	dělá							reptati	Y	rept a t	repta t	rep t a t	tatper	0	rept a t	rept	rept	rept								a		None										
4566	rozmačkat	142	1174	mačkat		mačkat#V????--??-??I??		5	dělá				roz			mačkati	Y	roz mačk a t	roz mačk a t	roz mačk a t	takčamzor	0	mačk a t	mačk	mačk	mačk								a		mačkat#V????--??-??I??										
4558	šuškat	142	1174	šuškat		šuškat#V????--??-??I??		5	dělá							šuškati	Y	šušk a t	šuška t	šušk a t	takšuš	0	šušk a t	šušk	šušk	šušk								a		None										
4564	zalapat	142	1174	lapit		lapit#V????--??-??P??		5	dělá				za			lapati	Y	za lap a t	za lap a t	za lap a t	tapalaz	0	lap a t	lap	lap	lap								a		lapat#V????--??-??I??										
4553	zalhat	142	1174	lež		lež#NNF??-----A----	za(lh)at	1	maže				za			lhati	Y	za lh a t	zalha t	za lh a t	tahlaz	0	lh a t	lh	lh	lh								a		lhát#V????--??-??I??										
4562	zapečetit	142	1174	pečeť		pečeť#NNF??-----A---?	za(pečet)it	4	prosí				za			pečetiti	Y	za pečet i t	za pečet i t	za pečet it	titečepaz	0	pečet i t	pečet	pečet	pečet								i		pečetit#V????--??-??I??										
4551	zapéci	142	1174	péct		péct#Vf--------A----	za(péc)i	1	peče				za			péci	Y	za péc i	za p é ci	za péc i	icépaz	0	péc i	péc	péc	péc										péct#Vf--------A----										
4556	zastydět	142	1174	stydět		stydět#V????--??-??I??		4	trpí				za			styděti	Y	za styd ě t	za stydě t	zastyd ě t	tědytsaz	0	styd ě t	styd	styd	styd								ě		stydět#V????--??-??I??										
4557	znepříjemnit	142	1174	jmout		jmout#V????--??-??B??		4	prosí		z	ne	pří			jemniti	Y	z ne pří jem n i t	znepříjemn i t	znepříjemn it	tinmejířpenz	0	jem n i t	jem n	jem n	jem	n							i		příjemný#AA???----??---?										
4552	zpřísnět	142	1174	přísný		přísný#AA???----??---?		4	sází				z			přísněti	Y	z přísn ě t	z přísně t	z přísně t	těnsířpz	0	přísn ě t	přísn	přísn	přísn								ě		přísnět#V????--??-??I??										
4584	importovat	141	1166	port-				3	kupuje						im	portovati	Y	im port ova t	import ova t	import ova t	tavotropmi	1	port ova t	port	port	port								ova		import#NNI??-----A---?										
4590	křísit	141	1166	křísit		křísit#V????--??-??I??		4	prosí							křísiti	Y	křís i t	křísi t	křís it	tisířk	0	křís i t	křís	křís	křís								i		None										
4576	navršit	141	1166	vrch		vrch#NNI??-----A---?	na(vrš)it	4	prosí				na			vršiti	Y	na vrš i t	na vrš i t	navrš it	tišrvan	0	vrš i t	vrš	vrš	vrš								i		vršit#V????--??-??I??										
4588	odklízet	141	1166	klid		klid#NNI??-----A---?		4	sází				od			klízeti	Y	od klíz e t	odklíz e t	odklíze t	tezílkdo	0	klíz e t	klíz	klíz	klíz								e		odklidit#V????--??-??P??										
4575	parafovat	141	1166	parafa		parafa#NNF??-----A---?		3	kupuje							parafovati	Y	paraf ova t	paraf ova t	paraf ova t	tavofarap	1	paraf ova t	paraf	paraf	paraf								ova		parafa#NNF??-----A---?										
4583	poobědvat	141	1166	oběd		oběd#NNI??-----A---?		5	dělá				po			obědvati	Y	po oběd v a t	po obědva t	poobědv a t	tavděboop	0	oběd v a t	oběd v	oběd v	oběd	v							a		obědvat#V????--??-??I??										
4586	přetřásat	141	1166	třást		třást#V????--??-??I??	pře(třás)at	5	dělá				pře			třásati	Y	pře třás a t	pře tř ás a t	pře třás a t	tasářteřp	0	třás a t	třás	třás	třás								a		přetřást#V????--??-??P??										
4582	přikrývat	141	1166	krýt		krýt#V????--??-??I??	při(krý)vat	5	dělá				při			krývati	Y	při krý v a t	při kr ý v a t	přikrýv a t	tavýrkiřp	0	krý v a t	krý v	krý	krý				v				a	2	přikrýt#V????--??-??P??										
4580	přivírat	141	1166	zavřít		zavřít#V????--??-??P??		5	dělá				při			vírati	Y	při vír a t	při v íra t	při vír a t	taríviřp	0	vír a t	vír	vír	vír								a		přivřít#V????--??-??P??										
4574	prošít	141	1166	šít		šít#V????--??-??I??	pro(ší)t	3	kryje				pro			šíti	Y	pro ší t	pro š í t	pro ší t	tíšorp	0	ší t	ší	ší	ší										šít#V????--??-??I??										
4589	ubodat	141	1166	bodnout		bodnout#V????--??-??P??		5	dělá				u			bodati	Y	u bod a t	u bod a t	u bod a t	tadobu	0	bod a t	bod	bod	bod								a		bodat#V????--??-??I??										
4585	upouštět	141	1166	pustý		pustý#AA???----??---?	u(poušt)ět	4	sází				u			pouštěti	Y	u poušt ě t	u p oušt ě t	u poušt ě t	tětšuopu	0	poušt ě t	poušt	poušt	poušt								ě	4	upustit#V????--??-??P??										
4581	vadnout	141	1166	vadnout		vadnout#V????--??-??I??		2	mine							vadnouti	Y	vad nou t	vad no u t	vad nou t	tuondav	0	vad nou t	vad	vad	vad								nou		None										
4578	vyprovázet	141	1166	vést		vést#V????--??-??I??		4	sází			vy	pro			vázeti	Y	vy pro váz e t	vyprov áze t	vy pro váz e t	tezávorpyv	0	váz e t	váz	váz	váz								e		vyprovodit#V????--??-??P??										
4587	vyšlehnout	141	1166	šlehat		šlehat#V????--??-??I??		2	mine				vy			šlehnouti	Y	vy šleh nou t	vy šleh no u t	vy šleh nou t	tuonhelšyv	0	šleh nou t	šleh	šleh	šleh								nou		šlehnout#V????--??-??P??										
4573	zakotvovat	141	1166	kotva		kotva#NNF??-----A---?	za(kotv)ovat	3	kupuje				za			kotvovati	Y	za kotv ova t	za kotv ova t	zakotv ova t	tavovtokaz	0	kotv ova t	kotv	kotv	kotv								ova	3	zakotvit#V????--??-??P??										
4577	zanášet	141	1166	nést		nést#V????--??-??I??	za(náš)et	4	sází				za			nášeti	Y	za náš e t	za n áše t	za náš e t	tešánaz	0	náš e t	náš	náš	náš								e	8	zanést#V????--??-??P??										
4579	zatahat	141	1166	tahat		tahat#V????--??-??I??		5	dělá				za			tahati	Y	za tah a t	za tah a t	za tah a t	tahataz	0	tah a t	tah	tah	tah								a	9	tahat#V????--??-??I??										
4605	besedovat	140	1158	beseda		beseda#NNF??-----A---?		3	kupuje							besedovati	Y	besed ova t	besed ova t	besed ova t	tavodeseb	0	besed ova t	besed	besed	besed								ova		beseda#NNF??-----A---?										
4596	družit	140	1158	druh		druh#NNM??-----A---?		4	prosí							družiti	Y	druž i t	druž i t	druž it	tižurd	0	druž i t	druž	druž	druž								i		druh#NNM??-----A---?										
4604	hnusit	140	1158	hnus		hnus#NNI??-----A---?	(hnus)it	4	prosí							hnusiti	Y	hnus i t	hnus i t	hnus it	tisunh	0	hnus i t	hnus	hnus	hnus								i		hnus#NNI??-----A---?										
4611	klenout	140	1158	klenout		klenout#V????--??-??I??	(klen)out	2	mine							klenouti	Y	klen ou t	klen o u t	klen ou t	tuonelk	0	klen ou t	klen	klen	klen								ou		None										
4601	odreagovat	140	1158	ag- -ig- act-		akce#NNF??-----A---?	odre(ag)ovat	3	kupuje			od			re	agovati	N		od reag ova t	odreag ova t	tavogaerdo	1	ag ova t	ag	ag	ag								ova		reagovat#V????--??-??I??										
4610	opalovat	140	1158	pálit		pálit#V????--??-??I??		3	kupuje				o			palovati	Y	o pal ova t	o pal ova t	o pal ova t	tavolapo	0	pal ova t	pal	pal	pal								ova		opálit#V????--??-??P??										
4603	osmažit	140	1158	smažit		smažit#V????--??-??I??		4	prosí				o			smažiti	Y	o smaž i t	o smaž i t	o smaž it	tižamso	0	smaž i t	smaž	smaž	smaž								i		smažit#V????--??-??I??										
4600	povolávat	140	1158	volat		volat#V????--??-??I??		5	dělá				po			volávati	Y	po vol á v a t	po vol á va t	po vol áva t	taválovop	0	vol á v a t	vol á v	vol	vol				á	v			a	2	povolat#V????--??-??P??										
4599	prokládat	140	1158	klást		klást#V????--??-??I??	pro(klád)at	5	dělá				pro			kládati	Y	pro klád a t	pro klá da t	pro klád a t	tadálkorp	0	klád a t	klád	klád	klád								a		proklást#V????--??-??P??										
4592	pumpovat	140	1158	pumpnout		pumpnout#V????--??-??P??		3	kupuje							pumpovati	Y	pump ova t	pump ova t	pump ova t	tavopmup	1	pump ova t	pump	pump	pump								ova		pumpnout#V????--??-??P??										
4594	rozpakovat	140	1158	rozpaky		rozpaky#NNIP?-----A---?		3	kupuje				roz			pakovati	Y	roz pak ova t	roz pak ova t	roz pak ova t	tavokapzor	0	pak ova t	pak	pak	pak								ova												
4612	rozpřáhnout	140	1158	napřahat		napřahat#V????--??-??I??		2	tiskne				roz			přáhnouti	Y	roz přáh nou t	rozpřáh no u t	rozpřáh nou t	tuonhářpzor	0	přáh nou t	přáh	přáh	přáh								nou		rozpřahat#V????--??-??I??										
4607	rozřešit	140	1158	řešit		řešit#V????--??-??I??		4	prosí				roz			řešiti	Y	roz řeš i t	roz řeš i t	roz řeš it	tišeřzor	0	řeš i t	řeš	řeš	řeš								i		řešit#V????--??-??I??										
4602	rozříznout	140	1158	řezat		řezat#V????--??-??I??		2	mine				roz			říznouti	Y	roz říz nou t	roz říz no u t	roz říz nou t	tuonzířzor	0	říz nou t	říz	říz	říz								nou		říznout#V????--??-??P??										
4591	štěpit	140	1158	štěpit		štěpit#V????--??-??I??		4	prosí							štěpiti	Y	štěp i t	štěp i t	štěp it	tipětš	0	štěp i t	štěp	štěp	štěp								i		None										
4609	vehnat	140	1158	hnát		hnát#V????--??-??I??	ve(hn)at	2	začne				ve			hnati	Y	ve hn a t	vehna t	v ehn a t	tanhev	0	hn a t	hn	hn	hn								a		hnát#V????--??-??I??										
4597	vysát	140	1158	sát		sát#V????--??-??I??	vy(sá)t	3	kryje				vy			sáti	Y	vy sá t	vy sá t	vy sá t	tásyv	0	sá t	sá	sá	sá										sát#V????--??-??I??										
4606	zahanbit	140	1158	hanět		hanět#V????--??-??I??	za(han)bit	4	prosí				za			hanbiti	Y	za han b i t	za hanb i t	zahanb it	tibnahaz	0	han b i t	han b	han b	han	b							i		hanbit#V????--??-??I??										
4593	zapíjet	140	1158	pít		pít#V????--??-??I??	za(pí)jet	4	sází				za			píjeti	Y	za píj e t	za pí je t	za píj e t	tejípaz	0	píj e t	píj	píj	píj								e		zapít#V????--??-??P??										
4595	zastiňovat	140	1158	stín		stín#NNI??-----A---?	za(stiň)ovat	3	kupuje				za			stiňovati	Y	za stiň ova t	za stiň ova t	za stiň ova t	tavoňitsaz	0	stiň ova t	stiň	stiň	stiň								ova	2	zastínit#V????--??-??P??										
4598	zatratit	140	1158	tratit		tratit#V????--??-??I??		4	prosí				za			tratiti	Y	za trat i t	za tr at i t	za tra t it	titartaz	0	trat i t	trat	trat	trat								i		tratit#V????--??-??I??										
4608	zavděčit	140	1158	vděčit		vděčit#V????--??-??I??		4	prosí			za	v			děčiti	Y	za v děč i t	za vděč i t	zavděč it	tičědvaz	0	děč i t	děč	děč	děč								i		vděčit#V????--??-??I??										
4630	archivovat	139	1,15	arch- arche- archi-		archiv#NNI??-----A---?	(archiv)ovat	3	kupuje							archivovati	N		archiv ova t	archiv ova t	tavovihcra	1	archiv ova t	archiv	archiv	archiv								ova		archiv#NNI??-----A---?										
4626	luštit	139	1,15	luštit		luštit#V????--??-??I??		4	prosí							luštiti	Y	lušt i t	lušt i t	luš t it	titšul	0	lušt i t	lušt	lušt	lušt								i		None										
4622	odbít	139	1,15	bít		bít#V????--??-??I??	od(bí)t	3	kryje				od			bíti	Y	od bí t	od bí t	od bí t	tíbdo	0	bí t	bí	bí	bí										bít#V????--??-??I??										
4628	pohroužit	139	1,15	hroužit		hroužit#V????--??-??I??		4	prosí				po			hroužiti	Y	po hrouž i t	po hr ouži t	po hrouž it	tižuorhop	0	hrouž i t	hrouž	hrouž	hrouž								i		hroužit#V????--??-??I??										
4619	posilnit	139	1,15	síla		síla#NNF??-----A---?		4	prosí				po			silniti	Y	po sil n i t	posiln i t	po sil n i t	tinlisop	0	sil n i t	sil n	sil n	sil	n							i		síla#NNF??-----A---?										
4629	pozvedat	139	1,15	zvedat		zvedat#V????--??-??I??		5	dělá			po	z			vedati	S	po z ved a t	po zved a t	po z ved a t	tadevzop	0	ved a t	ved	ved	ved								a	5	zvedat#V????--??-??I??										
4631	překontrolovat	139	1,15	rot-			pře(kontrol)ovat	3	kupuje			pře			kont	rolovati	F	pře kontrol ova t	pře kontrol ova t	pře kontrol ova t	tavolortnokeřp	1	rol ova t	rol	rol	rol								ova		kontrolovat#V????--??-??I??										
4613	prodražovat	139	1,15	drahý		drahý#AA???----??---?		3	kupuje				pro			dražovati	N		prodraž ova t	pro draž ova t	tavožardorp	0	draž  ova t	draž	draž	draž								ova		prodražit#V????--??-??P??										
4615	prozkoumávat	139	1,15	koumat		koumat#V????--??-??I??		5	dělá			pro	z			koumávati	N		pro zkou má va t	pro zkoumáva t	tavámuokzorp	0	koum áv a t	koum áv	koum	koum				á	v			a	1	prozkoumat#V????--??-??P??										
4625	seslat	139	1,15	poslat		poslat#V????--??-??P??		1	bere				se			slati	Y	se sl a t	ses la t	se sla t	talses	0	sl a t	sl	sl	sl								a		None										
4620	smekat	139	1,15	mykat		mykat#V????--??-??I??		5	dělá				s			mekati	Y	s mek a t	smek a t	smek a t	takems	0	mek a t	mek	mek	mek								a		smeknout#V????--??-??P??										
4618	učesat	139	1,15	česat		česat#V????--??-??I??		1#5	maže#kopá				u			česati	Y	u čes a t	u čes a t	u čes a t	taseču	0	čes a t	čes	čes	čes								a		česat#V????--??-??I??										
4621	ukořistit	139	1,15	kořist		kořist#NNF??-----A---?	u(kořist)it	4	prosí				u			kořistiti	Y	u kořist i t	u kořist i t	u kořist i t	titsiřoku	0	kořist i t	kořist	kořist	kořist								i		kořistit#V????--??-??I??										
4617	uloupit	139	1,15	loupit		loupit#V????--??-??I??		4	prosí				u			loupiti	Y	u loup i t	u lou p i t	u loup it	tipuolu	0	loup i t	loup	loup	loup								i		loupit#V????--??-??I??										
4627	useknout	139	1,15	seknout		seknout#V????--??-??P??		2	mine				u			seknouti	Y	u sek nou t	u se k no u t	u sek nou t	tuonkesu	0	sek nou t	sek	sek	sek								nou		seknout#V????--??-??P??										
4624	vyloupnout	139	1,15	loupat		loupat#V????--??-??I??		2	mine				vy			loupnouti	Y	vy loup nou t	vy lou p no u t	vy loup nou t	tuonpuolyv	0	loup nou t	loup	loup	loup								nou		loupnout#V????--??-??P??										
4614	zamezovat	139	1,15	mez		mez#NNF??-----A---?		3	kupuje				za			mezovati	Y	za mez ova t	zamez ova t	zamez ova t	tavozemaz	0	mez ova t	mez	mez	mez								ova	2	zamezit#V????--??-??P??										
4623	zaplašit	139	1,15	plachý		plachý#AA???----??---?	za(plaš)it	4	prosí				za			plašiti	Y	za plaš i t	za plaš i t	za plaš it	tišalpaz	0	plaš i t	plaš	plaš	plaš								i		plašit#V????--??-??I??										
4616	zatajovat	139	1,15	taj		taj#NNI??-----A---?		3	kupuje				za			tajovati	Y	za taj ova t	za taj ova t	zataj ova t	tavojataz	0	taj ova t	taj	taj	taj								ova		zatajit#V????--??-??P??										
4637	bědovat	138	1141	běda		běda#NNF??-----A---?		3	kupuje							bědovati	Y	běd ova t	běd ova t	běd ova t	tavoděb	0	běd ova t	běd	běd	běd								ova		běda#NNF??-----A---?										
4653	dosazovat	138	1141	sadit		sadit#V????--??-??P??		3	kupuje				do			sazovati	Y	do saz ova t	do saz ova t	do saz ova t	tavozasod	0	saz ova t	saz	saz	saz								ova	6	dosadit#V????--??-??P??										
4650	hryzat	138	1141	hryzat		hryzat#V????--??-??I??		1#5	maže#kopá							hryzati	Y	hryz a t	hryz a t	hryz a t	tazyrh	0	hryz a t	hryz	hryz	hryz								a		None										
4644	naklepat	138	1141	klepat		klepat#V????--??-??I??		1#5	kopá#bere				na			klepati	Y	na klep a t	na klep a t	na klep a t	tapelkan	0	klep a t	klep	klep	klep								a		klepat#V????--??-??I??										
4646	nosívat	138	1141	nést		nést#V????--??-??I??	(nos)ívat	5	dělá							nosívati	N		n os í va t	nos ívat	tavíson	0	nos ív a t	nos ív	nos	nos				í	v			a		nosit#V????--??-??I??										
4643	ochabnout	138	1141	chabý		chabý#AA???----??---?	o(chab)nout	2	mine				o			chabnouti	Y	o chab nou t	o chab no u t	o chab nou t	tuonbahco	0	chab nou t	chab	chab	chab								nou		chabnout#V????--??-??I??										
4638	odumřít	138	1141	mřít		mřít#V????--??-??I??	odu(mř)ít	1	tře			od	u			mříti	Y	od u mř í t	od u m ří t	o dumřít	tířmudo	0	mř í t	mř	mř	mř								í		umřít#V????--??-??P??										
4647	pomlčet	138	1141	mlčet		mlčet#V????--??-??I??	po(mlč)et	4	trpí				po			mlčeti	Y	po mlč e t	po mlč e t	po mlč e t	tečlmop	0	mlč e t	mlč	mlč	mlč								e		mlčet#V????--??-??I??										
4649	popravovat	138	1141	pravý		pravý#AA???----??---?	po(prav)ovat	3	kupuje				po			pravovati	Y	po prav ova t	po prav ova t	po prav ova t	tavovarpop	0	prav ova t	prav	prav	prav								ova		popravit#V????--??-??P??										
4640	posrat	138	1141	srát		srát#V????--??-??I??	po(sr)at	1	bere				po			srati	Y	po sr a t	posra t	po sr a t	tarsop	0	sr a t	sr	sr	sr								a		srát#V????--??-??I??										
4642	přibírat	138	1141	brát			při(bír)at	5	dělá				při			bírati	Y	při bír a t	při b íra t	při bír a t	taríbiřp	0	bír a t	bír	bír	bír								a	2	přibrat#V????--??-??P??										
4634	promeškat	138	1141	meškat		meškat#V????--??-??I??		5	dělá				pro			meškati	Y	pro mešk a t	pro meška t	pro mešk a t	takšemorp	0	mešk a t	mešk	mešk	mešk								a		meškat#V????--??-??I??										
4656	rekapitulovat	138	1141	capit- -cipit-				3	kupuje						re	kapitulovati	Y	re kapitul ova t	re kapitul ova t	re kapitul ova t	tavolutipaker	1	kapitul ova t	kapitul	kapitul	kapit	ul							ova		kapitulovat#V????--??-??I??										
4635	slovit	138	1141	lovit		lovit#V????--??-??I??	s(lov)it	4	prosí				s			loviti	N		s lov i t	slov it	tivols	0	lov i t	lov	lov	lov								i		lovit#V????--??-??I??										
4639	ulomit	138	1141	lámat		lámat#V????--??-??I??		4	prosí				u			lomiti	Y	u lom i t	u lom i t	u lom it	timolu	0	lom i t	lom	lom	lom								i		lomit#V????--??-??I??										
4633	utěsnit	138	1141	těsný		těsný#AA???----??---?	u(těsn)it	4	prosí				u			těsniti	Y	u těsn i t	u těsn i t	u těsn it	tinsětu	0	těsn i t	těsn	těsn	těsn								i		těsnit#V????--??-??I??										
