rank	lemma	freq	ipm	derivational family	deriavational family 2	root of DeriNet tree id	root from DeriNet	slovesná třída	vzor	prefix 4	prefix 3	prefix 2	prefix 1	foreign prefix 2	foreign prefix 1	odprefixované slovo	prefix-Jarka souhlasí se Slavíčkovou	morph segm Slavickova	morph segm DeriNet	morph segm FlatCat	ammel	foreign	odprefigované sloveso segmentované	bez KS	bez iterativních S	kandidát na kořen	derivační S	derivační S 2	derivační S 3	iterativní S	iterativní S 2	iterativní S 3	iterativní S 4	KS	number of frames	Derinet parent	note	compos 1	interfix	prefix 3	prefix 2	prefix	suffix	compos 2	comb form 1	comb form 2
34	vrátit	33164	274,29	vrátit		vrátit#V????--??-??P??		4	prosí							vrátiti	Y	vrát i t	vr át i t	vrát it	titárv	0	vrát i t	vrát	vrát	vrát								i	7	None										
35	pracovat	31820	263174	práce		práce#NNF??-----A---?		3	kupuje							pracovati	Y	prac ova t	prac ov a t	prac ova t	tavocarp	0	prac ova t	prac	prac	prac								ova	6	práce#NNF??-----A---?										
36	snažit	31795	262967	snaha		snaha#NNF??-----A---?		4	prosí							snažiti	Y	snaž i t	snaži t	snaž i t	tižans	0	snaž i t	snaž	snaž	snaž								i	2	snaha#NNF??-----A---?										
37	tvrdit	31778	262826	tvrdý		tvrdý#A????----??---?	(tvrd)it	4	prosí							tvrditi	Y	tvrd i t	tvrd i t	tvrd i t	tidrvt	0	tvrd i t	tvrd	tvrd	tvrd								i		tvrdý#A????----??---?										
38	nechat	31662	261867	nechat		nechat#V????--??-??P??		5	dělá							nechati	Y	nech a t	necha t	nech a t	tahcen	0	nech a t	nech	nech	nech								a	20	None										
39	platit	31528	260759	platit		platit#V????--??-??I??		4	prosí							platiti	Y	plat i t	pl at i t	plat it	titalp	0	plat i t	plat	plat	plat								i	9	None										
40	mluvit	30659	253571	mluvit		mluvit#V????--??-??I??		4	prosí							mluviti	Y	mluv i t	ml uv i t	mluvi t	tivulm	0	mluv i t	mluv	mluv	mluv								i	10	None										
41	existovat	29442	243506	sist-				3	kupuje						ex	istovat	F	exist ova t	exist ova t	exist ova t	tavotsixe	1	ist ova t	ist	ist	ist								ova	1	None										
42	znát	28820	238362	znát		znát#V???---??-??I??	(zn)át	5	dělá							znáti	Y	zn á t	zná t	z ná t	tánz	0	zn á t	zn	zn	zn								á	4	None										
43	dít	28504	235748	dít		dít#V???---??-??I??		3#4	sází#kryje							díti	Y	dí t	d í t	d í t	tíd	0	dí t	dí	dí	dí																				
44	vzít	27682	228,95	vzít		vzít#V????--??-??P??		1	bere							vzíti	Y	vz í t	v z í t	vz í t	tízv	0	vz í t	vz	vz	vz								í	40	None										
45	jednat	27624	228,47	jednat		jednat#V????--??-??I??		5	dělá							jednati	Y	jedn a t	jedna t	jedn a t	tandej	0	jedn a t	jedn	jedn	jedn								a	6	None										
46	dodat	27610	228354	dát		dát#V????--??-??P??		5	dělá				do			dati	Y	do d a t	do d a t	doda t	tadod	0	d a t	d	d	d								a	6	dát#V????--??-??P??										
47	podařit	27394	226568	dařit		dařit#V????--??-??I??		4	prosí				po			dařiti	Y	po dař i t	po dař i t	pod ař it	tiřadop	0	dař i t	dař	dař	dař								i	1	dařit#V????--??-??I??										
48	dosáhnout	26745	221,2	sahat		sahat#V????--??-??I??		2	mine				do			sáhnouti	Y	do sáh nou t	do sáh no u t	do sáh nou t	tuonhásod	0	sáh nou t	sáh	sáh	sáh								nou	4	sáhnout#V????--??-??P??										
49	objevit	26481	219016	jevit		jevit#V????--??-??I??		4	prosí				ob			jeviti	Y	ob jev i t	ob jev i t	ob jev it	tivejbo	0	jev i t	jev	jev	jev								i	2	jevit#V????--??-??I??										
50	potřebovat	26328	217751	potřeba		potřeba#Db-------------		3	kupuje				po			třebovati	Y	po třeb ova t	potřeb ova t	potřebov a t	tavobeřtop	0	třeb ova t	třeb	třeb	třeb								ova	1	potřeba#Db-------------										
51	skončit	26119	216022	konec		konec#NNI??-----A---?	s(konč)it	4	prosí				s			končiti	Y	s konč i t	s konč i t	s konč it	tičnoks	0	konč i t	konč	konč	konč								i	6	končit#V????--??-??I??										
52	připravit	25970	214,79	pravý		pravý#AA???----??---?	při(prav)it	4	prosí				při			praviti	Y	při prav i t	připrav i t	při prav it	tivarpiřp	0	prav i t	prav	prav	prav								i	6	pravit#V????--??-??P??										
53	zdát	25757	213028	zdát		zdát#V????--??-??I??		5	dělá				z			dáti	Y	z dá t	zdá t	zd á t	tádz	0	dá t	dá	dá	dá									5	None										
54	dávat	24456	202268	dát		dát#V????--??-??P??		5	dělá							dávati	Y	d á v a t	d á v a t	d á v a t	tavád	0	d á v a t	d á v	d	d				á	v			a	35											
55	pokračovat	24383	201665	krok		krok#NNI??-----A---?	po(krač)ovat	3	kupuje				po			kračovati	Y	po krač ova t	pokrač ova t	po krač ova t	tavočarkop	0	krač ova t	krač	krač	krač								ova	3	pokročit#V????--??-??P??										
56	stačit	24182	200002	stačit		stačit#V????--??-??I??		4	prosí							stačiti	Y	stač i t	stač i t	stač it	tičats	0	stač i t	stač	stač	stač								i	5	None										
57	prohlásit	24080	199158	hlas		hlas#NNI??-----A---?	pro(hlás)it	4	prosí				pro			hlásiti	Y	pro hlás i t	pro hlás i t	pro hlás it	tisálhorp	0	hlás i t	hlás	hlás	hlás								i	3	hlásit#V????--??-??I??										
58	začínat	23957	198141	začít		začít#V????--??-??P??		5	dělá				za			čínati	Y	za č ín a t	začí na t	za č ín a t	taníčaz	0	č ín a t	č ín	č	č				ín				a	5	začít#V????--??-??P??										
59	psát	23743	196371	psát		psát#V????--??-??I??	(ps)át	1	maže							psáti	Y	ps á t	p s á t	ps á t	tásp	0	ps á t	ps	ps	ps								á	5	None										
60	představovat	23090	190971	stát		stát#V???---??-??I??	před(sta)vovat	3	kupuje				před			stavovati	Y	před stav ova t	před s ta v ova t	představ ova t	tavovatsdeřp	0	stav ova t	stav	stav	stav								ova	7	představit#V????--??-??P??										
61	změnit	22906	189449	měnit		měnit#V????--??-??I??		4	prosí				z			měniti	Y	z měn i t	z měn i t	z měn i t	tiněmz	0	měn i t	měn	měn	měn								i	4	měnit#V????--??-??I??										
62	věřit	22852	189002	víra		víra#NNF??-----A---?		4	prosí							věřiti	Y	věř i t	věř i t	věř it	tiřěv	0	věř i t	věř	věř	věř								i	4	víra#NNF??-----A---?										
63	hledat	22284	184304	hledat		hledat#V????--??-??I??		5	dělá							hledati	Y	hled a t	hled a t	hled a t	tadelh	0	hled a t	hled	hled	hled								a	2	None										
64	cítit	21944	181492	cítit		cítit#V????--??-??I??		4	prosí							cítiti	Y	cít i t	cít i t	cít it	titíc	0	cít i t	cít	cít	cít								i	7	None										
65	ukázat	21727	179698	kázat		kázat#V????--??-??I??	u(káz)at	1	maže				u			kázati	Y	u káz a t	u káz a t	u káz a t	tazáku	0	káz a t	káz	káz	káz								a	11	kázat#V????--??-??I??										
66	nabízet	21708	179,54	bízet		bízet#Vf--------A----		4	sází				na			bízeti	Y	na bíz e t	nabí ze t	na bíz e t	tezíban	0	bíz e t	bíz	bíz	bíz								e	3	bízet#Vf--------A----										
67	otevřít	21686	179358	zavřít		zavřít#V????--??-??P??	ote(vř)ít	1	tře				ote			vříti	Y	ote vř í t	ote v ří t	otevř í t	tířveto	0	vř í t	vř	vř	vř								í	6	None										
68	vytvořit	21589	178556	tvořit		tvořit#V????--??-??I??		4	prosí				vy			tvořiti	Y	vy tvoř i t	vy tv oř i t	vy tvoř it	tiřovtyv	0	tvoř i t	tvoř	tvoř	tvoř								i	6	tvořit#V????--??-??I??										
