
"+sto_" (309)
dvacetišestiletý	stodvacetišestiletý
šedesátilitrový	stošedesátilitrový
dvacetinásobek	stodvacetinásobek
třicetimetrový	stotřicetimetrový
osmasedmdesátka	stoosmasedmdesátka
devatenáctihektarový	stodevatenáctihektarový
osmačtyřicítka	stoosmačtyřicítka
třicetistránkový	stotřicetistránkový
dvacetilitrový	stodvacetilitrový
devítiminutový	stodevítiminutový
dvacetibodový	stodvacetibodový
třináctimetrový	stotřináctimetrový
desetipatrový	stodesetipatrový
osmiminutový	stoosmiminutový
dvacetipatrový	stodvacetipatrový
dvacetiprocentní	stodvacetiprocentní
dvaačtyřicítka	stodvaačtyřicítka
dvacetitisícový	stodvacetitisícový
dvaatřicetičlenný	stodvaatřicetičlenný
šestičlenný	stošestičlenný
dvacetisvazkový	stodvacetisvazkový
dvaadvacítka	stodvaadvacítka
desetilitrový	stodesetilitrový
šedesátičlenný	stošedesátičlenný
šestiletý	stošestiletý
desetibodový	stodesetibodový
devatenáctimilionový	stodevatenáctimilionový
osmatřicítka	stoosmatřicítka
dvaapadesátiletý	stodvaapadesátiletý
osmdesátitunový	stoosmdesátitunový
šedesátimiliónový	stošedesátimilionový
osmdesátihlavý	stoosmdesátihlavý
šedesátimilionový	stošedesátimiliónový
megawattový	stomegawattový
třiadvacítka	stotřiadvacítka
dvaadvacetiletý	stodvaadvacetiletý
dvaadvacetičlenný	stodvaadvacetičlenný
devětapadesátka	stodevětapadesátka
jedenáctistránkový	stojedenáctistránkový
šestka	stošestka
pětačtyřicetikilometrový	stopětačtyřicetikilometrový
třicetikilový	stotřicetikilový
frank	stofrank
pětaosmdesátikilometrový	stopětaosmdesátikilometrový
dvacetipětikilový	stodvacetipětikilový
třicátník	stotřicátník
třicetihlavý	stotřicetihlavý
desetiprocentní	stodesetiprocentní
třicetikoňový	stotřicetikoňový
dvaatřicetiletý	stodvaatřicetiletý
jedenadvacetiletý	stojedenadvacetiletý
pětatřicetikilometrový	stopětatřicetikilometrový
pětadvacetikilometrový	stopětadvacetikilometrový
dvacetipětičlenný	stodvacetipětičlenný
třímetrový	stotřímetrový
čtyřicetitunový	stočtyřicetitunový
pětašedesátikilometrový	stopětašedesátikilometrový
osmiletý	stoosmiletý
třicetibodový	stotřicetibodový
třicetičlenný	stotřicetičlenný
třicítka	stotřicítka
patnáctikilometrový	stopatnáctikilometrový
čtyřicetikilometrový	stočtyřicetikilometrový
osmdesátidenní	stoosmdesátidenní
třicetidenní	stotřicetidenní
devadesátidenní	stodevadesátidenní
čtyřicetikilogramový	stočtyřicetikilogramový
dvanáctibodový	stodvanáctibodový
čtyřicetiprocentní	stočtyřicetiprocentní
osmimilionový	stoosmimilionový
čtyřiadvacetiletý	stočtyřiadvacetiletý
dvacetina	stodvacetina
dvacetitunový	stodvacetitunový
osmipalcový	stoosmipalcový
mililitrový	stomililitrový
