\;formule_N;formulovat_V;*;;;;;
\;rys_N;rysice_N;*;;;;;
\;spárovat_V;spára_N;;;;;;
\;osmák_N;osmaèka_N;;;;;;
\;druh_N;druit_V;;;;;;
\;robota_N;robotárna_N;;;;;;
\;matka_N;matice_N;;;;;;
§;dohad_N;dohadovat_V;;hádat;;;;
\;inkvizitor_N;inkvizitorsko_N;;;;;;
\;prim_N;primární_A;*;;;;;
;rıe_N;rıovat_V;;;;;;
\;role_N;rolovat_V;;;;;;
;hlahol_N;hlaholice_N;*;;;;;
;Ratiboø_N;Ratiboøice_N;;;;;;
;brk_N;brko_N;;;;;;
;prs_N;prso_N;;;;;;
;kolektivní_A;kolektivum_N;;;;;;
;šikanovat_V;šikana_N;;;;;;
;váha_N;váhat_V;;;;;;
\;lyra_N;lyrika_N;;;;;;
;aféra_N;aférista_N;*;;;;;
\;exot_N;exotika_N;;;;;;
;andìl_N;andìlika_N;;;;;;
\;graf_N;grafika_N;;;;;;
§;smutek_N;smutnı_A;;*;;;;
\;taxa_N;taxativní_A;*;;;;;
\;svit_N;svitnout_V;;;;;;
;pech_N;pecháèek_N;;;;;;
\;kuelník_N;kuel_N;;;;;;
;houba_N;houbec_N;*;;;;;
;bohosloví_N;bohoslovec_N;%;;;;;
\;utrpení_N;utrpenec_N;;;;;;
;curling_N;curler_N;;;;;;
;gambling_N;gambler_N;;;;;;
;spinning_N;spinner_N;;;;;;
;busking_N;busker_N;;;;;;
\;jak_N;jakı_A;;;;;;
\;kvinteto_N;kvintet_N;;;;;;
\;okteto_N;oktet_N;;;;;;
\;noneto_N;nonet_N;;;;;;
\;septeto_N;septet_N;;;;;;
;slovo_N;slovnı_A;;;;;;
§;pastorace_N;pastor_N;;;;;;
\;Macková_N;Macka_N;;;;;;
\;Srbová_N;Srba_N;;;;;;
\;drogista_N;droga_N;drogerie;*;;;;
;Gruzie_N;Gruzín_N;;;;;;
;sekrece_N;sekret_N;;;;;;
\;kompozice_N;kompozit_N;;;;;;
;obec_N;obcovat_V;*;;;;;
;snaha_N;snait_V;;;;;;
§;regres_N;regrese_N;;;;;;
;veøej_N;veøeje_N;;;;;;
\;desetitisíc_N;desetitisíce_N;;;;;;
;kytka_N;kytice_N;;;;;;
\;Louny_N;Loun_N;;;;;;
\;mour_N;mourek_N;;mourovatı;;;;
\;hlt_N;hltan_N;hltat;hltat;;;;
\;sejr_N;sejøit_V;;;;;;
\;rum_N;rumíèek_N;*;rumík;;;;
\;olej_N;olejíèek_N;;olejík;;;;
\;hlad_N;hladíèek_N;;hladík;;;;
\;ksicht_N;ksichtíèek_N;*;ksichtík;;;;
\;jetel_N;jetelíèek_N;*;jetelík;;;;
\;oktet_N;okteto_N;;;;;;
\;kvintet_N;kvinteto_N;;;;;;
\;disk_N;disko_N;*;diskotéka;;;;
\;nonet_N;noneto_N;;;;;;
\;septet_N;septeto_N;;;;;;
\;sak_N;sako_N;*;*;;;;
\;decimovat_V;decima_N;*;*;;;;
;butan_N;butanol_N;*;;;;;
;metan_N;metanol_N;*;;;;;
;oktan_N;oktanol_N;*;;;;;
;hrb_N;hrbol_N;*;;;;;
;propan_N;propanol_N;*;;;;;
;etan_N;etanol_N;*;;;;;
;pentan_N;pentanol_N;*;;;;;
\;Masaryk_N;Masaryèka_N;*;Masarykova;;;;
;úsek_N;úseèka_N;useknout;;;;;
;pøesmyk_N;pøesmyèka_N;pøesmyknout;;;;;
;zvuk_N;zvuèka_N;;;;;;
\;hoøet_V;hoøe_N;*;*;;;;
\;tøískat_V;tøíska_N;*;*;;;;
\;nástup_N;nástupce_N;nastoupit;nastoupit;;;;
\;návod_N;návodce_N;navést;navést;;;;
\;zájem_N;zájemce_N;zajímat;zajímat;;;;
\;úvod_N;úvodce_N;uvést;uvést;;;;
\;pøíruèní_A;pøíruèí_N;ruka;ruka;;;;
\;katastrofa_N;katastrofista_N;*;katastrofismus;;;;
\;magnetismus_N;magnetizovat_V;magnetickı;magnetickı;;;;
\;automatismus_N;automatizovat_V;automatickı;automatickı;;;;
\;bohemismus_N;bohemizovat_V;;;;;;
\;antagonismus_N;antagonizovat_V;antagonickı;antagonickı;;;;
\;byrokratismus_N;byrokratizovat_V;byrokratickı;byrokratickı;;;;
\;aktivismus_N;aktivizovat_V;aktivní;aktivní;;;;
\;hampejz_N;hampejznice_N;*;hampejzník;;;;
\;veterináø_N;veterinární_A;veterina;veterina;;;;
\;humanitáø_N;humanitární_A;humanita;humanita;;;;
;šíp_N;šípek_N;*;;;;;
;vısledek_N;vıslednı_A;;;;;;
\;náramek_N;náramnı_A;;;;;;
\;leh_N;lehárna_N;leet;lehávat;;;;
;panel_N;panelárna_N;*;;;;;
\;pozitiv_N;pozitivismus_N;;pozitivní;;;;
\;pepøit_V;peprnı_A;pepø;pepø;;;;
\;ivoèich_N;ivoèichopis_N;%;%;;;;
\;dluh_N;dluhopis_N;;%;;;;
\;nerost_N;nerostopis_N;rùst;%;;;;
\;fakulta_N;fakultativní_A;*;*;;;;
;butan_N;butyl_N;*;;;;;
;metan_N;metyl_N;*;;;;;
;pentan_N;pentyl_N;*;;;;;
;propan_N;propyl_N;*;;;;;
;etan_N;etyl_N;*;;;;;
\;puk_N;puèet_V;*;*;;;;
\;podkova_N;podkovièka_N;;podkùvka;;;;
\;kolektiv_N;kolektivizovat_V;;kolektivní;;;;
\;ètvrt_N;ètvrák_N;;ètvrtı;;;;
\;reflexe_N;reflex_N;;;;;;
\;štafle_N;štafl_N;;;;;;
\;pikle_N;pikl_N;pikel;*;;;;
