\;Lukavská_N;Lukava_N;Lukavský;;;;;
\;píď_N;pnout_V;;;;;;
\;jarní_A;zjara_D;jaro;jaro;;;;
\;soutěžní_A;nekalosoutěžní_A;soutěž;%;;;;
\;osoba_N;odosobnit_V;;osobní;;;;
\;snídaně_N;snídáníčko_N;;snídání;;;;
\;padesátiny_N;padesátník_N;padesátý;padesát;;;;
\;pažení_N;přepažit_V;pažit;pažit;;;;
\;fix_N;fixírka_N;fixovat;fixovat;;;;
\;oko_N;okounět_V;*;*;;;;
\;Vavřinec_N;Vávra_N;;;;;;
\;hodit_V;hezký_A;;;;;;
\;přefiknout_V;skřípat_V;fiknout;;;;;
;Parma_N;parmazán_N;;;;;;
;žmolit_V;žmoulat_V;;;;;;
\;lízat_V;vylizovat_V;;vylízat;;;;
\;Havel_N;Havlíčková_N;;Havlíček;;;;
\;slunce_N;slunečko_N;;slunko;;;;
\;číhat_V;Čihák_N;;;;;;
\;bloudit_V;bludařit_V;;bludař;;;;
;Descartes_N;kartézský_A;;;;;;
\;Kovařík_N;Kovář_N;kovařík;kovář;;;;
\;přechodník_N;přechodnice_N;přechod;přechod;;;;
\;Ganga_None;Ganges_N;;;;;;
\;okamžik_N;mžikat_V;%;;;;;
\;omílat_V;semílat_V;omlít;semlít;;;;
§;kanafas_N;kanava_N;;;;;;
\;miminko_N;mimčo_N;mimino;mimino;;;;
\;černoprdelník_N;černoprdeláč_N;%;%;;;;
\;marně_D;marno_D;marný;marný;;;;
\;téct_V;roztok_N;*;roztéct;;;;
\;papaláš_N;papacha_N;;;;;;
\;trh_N;tržnice_N;*;;;;;
\;počet_N;odpočet_N;počítat;odpočítat;;;;
\;decimovat_V;decimální_A;decima;decima;;;;
\;zevní_A;zevnitř_D;vně;vnitro;;;;
\;rafinovat_V;fajn_A;;;;;;
\;Mikuláš_N;Mikša_N;;;;;;
\;tlačit_V;protlak_N;;protlačit;;;;
§;poryv_N;rvát_V;;;;;;
;vysoký_A;navýšit_V;;;;;;
\;roztomilý_A;roztomilůstka_N;;roztomilost;;;;
\;meč_N;Mečislav_N;;%;;;;
\;tužit_V;výztuha_N;tuhý;vyztužit;;;;
\;kód_N;kodek_N;;;;;;
\;džihád_N;mudžáhid_N;;;;;;
\;říct_V;ráčit_V;;;;;;
\;psota_N;peskovat_V;psí;;;;;
\;pasáž_N;pasé_A;;;;;;
\;uzávěrka_N;sifon_N;uzavřít;;;;;
\;ugrofinistika_N;Ugrofin_N;ugrofinský;%;;;;
;třepat_V;třepit_V;;;;;;
\;flotila_N;eskadra_N;;;;;;
\;paměť_N;rozpomínat_V;*;pomnít;;;;
\;demence_N;dementi_N;;;;;;
\;ordinace_N;ordinérní_A;ordinovat;;;;;
\;letní_A;podletí_N;léto;léto;;;;
\;stejný_A;lhostejný_A;;;;;;
\;jímat_V;zajímat_V;jmout;zajmout;;;;
\;národ_N;znárodnit_V;narodit;národní;;;;
;žlutý_A;žluč_N;;;;;;
\;voj_N;Slavoj_N;vést;;;;;
§;pikle_N;pikel_N;;;;;;
\;div_N;obdivovat_V;;divit;;;;
\;lnout_V;přilnavý_A;;přilnout;;;;
\;třeskutě_D;třesk_N;třeskutý;třísknout;;;;
\;hluboký_A;hloubit_V;hloub;hloub;;;;
\;letět_V;slétat_V;;létat;;;;
\;Atlas_N;atlant_N;;Atlant;;;;
