\	doma–D	domov–N						
	dům–N	domov–N						
\	domácí–N	domov–N						
\	domácnost–N	domov–N						
\	bezdomovec–N	domov–N						
	chovat–V	chov–N						
\	chovankyně–N	chov–N						
\	výchova–N	chov–N						
\	Ján–N	Janov–N						
	Jan–N	Janov–N						
	Beneš–N	Benešov–N						
\	Benešův–A	Benešov–N						
\	proslovit–V	oslovit–V						
	slovo–N	oslovit–V						
\	vyslovit–V	oslovit–V						
\	oslovit–V	proslovit–V						
	slovo–N	proslovit–V						
\	vyslovit–V	proslovit–V						
\	zápasit–V	zápas–N						
\	zápasník–N	zápas–N						
	užasnout–V	úžas–N						
\	žasnout–V	úžas–N						
	bimbat–V	bimbas–N						
\	bimbásek–N	bimbas–N						
	kvasit–V	kvas–N						
\	kvašený–A	kvas–N						
\	kost–N	kostitřas–N						
\	kostižer–NC	kostitřas–N						
	Sasko–N	Sas–N						
\	saský–A	Sas–N						
\	navlas–D	vlas–N						
\	vlásenka–N	vlas–N						
\	vlásečnice–N	vlas–N						
\	zavírat–V	závěr–N						
	zavřít–V	závěr–N						
\	víra–N	závěr–N						
\	zavřít–V	uzávěr–N						
\	závěr–N	uzávěr–N						
\	uzavřený–A	uzávěr–N						
\	zavřený–A	uzávěr–N						
\	hromadný–A	hromadit–V						
\	dohromady–D	hromadit–V						
	hromada–N	hromadit–V						
\	radnice–N	radit–V						
	rada–N	radit–V						
\	hospodářský–A	hospodárný–A						
\	hospodář–N	hospodárný–A						
\	hospodářství–N	hospodárný–A						
\	ústava–N	ústavodárný–A						
\	zákonodárný–A	ústavodárný–A						
\	paramedik–N	medik–N						
\	medina–N	medik–N						
	medicína–N	medik–N						
\	fanoušek–N	fanatik–N						
\	zfanatizovat–V	fanatik–N						
\	menšina–N	menševik–N						
\	zmenšit–V	menševik–N						
	nahnat–V	náhon–N						
\	hnát–N	náhon–N						
	zahnat–V	záhon–N						
\	hnát–N	záhon–N						
\	útulný–A	útulek–N						
\	tulit–V	útulek–N						
\	sen–N	snílek–N						
	snít–V	snílek–N						
\	klekání–N	klek–N						
	klečet–V	klek–N						
\	klekat–V	klek–N						
	Matěj–N	Mates–N						
\	Matouš–N	Mates–N						
\	psí–A	pes–N						
\	pejsek–N	pes–N						
\	psinec–N	pes–N						
\	česat–V	účes–N						
\	pačesy–N	účes–N						
\	učesat–V	účes–N						
\	zjevný–A	najevo–D						
\	jev–N	najevo–D						
\	dřevnatět–V	dřevo–N						
\	dřevořezba–NC	dřevo–N						
	jachta–N	jachting–N						
\	jachtařka–N	jachting–N						
	magie–N	mág–N						
\	magický–A	mág–N						
	strategie–N	stratég–N						
\	strategický–A	stratég–N						
	pedagogika–N	pedagog–N						
\	pedagogický–A	pedagog–N						
\	kanit–V	kanec–N						
\	svině–N	kanec–N						
\	exsenátor–N	exposlanec–N						
\	poslanec–N	exposlanec–N						
\	tanečnice–N	tanec–N						
\	taneční–N	tanec–N						
\	tanečník–N	tanec–N						
\	tancovat–V	tanec–N						
\	tančit–V	tanec–N						
\	taneční–A	tanec–N						
\	zákusek–N	kusanec–N						
	kus–N	kusanec–N						
\	sestřenice–N	bratranec–N						
	bratr–N	bratranec–N						
\	modlení–N	modla–N						
	modlit–V	modla–N						
\	modlitba–N	modla–N						
\	rod–N	rodidla–N						
	rodit–V	rodidla–N						
	srát–V	sranda–N						
\	sračka–N	sranda–N						
\	šepot–N	šeptanda–N						
	šeptat–V	šeptanda–N						
\	medina–N	medicína–N						
\	medik–N	medicína–N						
\	špinavý–A	špína–N						
\	ušpinit–V	špína–N						
\	špinit–V	špína–N						
\	zašpinit–V	špína–N						
\	pošpinit–V	špína–N						
\	čínský–A	Čína–N						
\	Číňanka–N	Čína–N						
\	čínsky–D	Čína–N						
\	Číňan–N	Čína–N						
\	čínština–N	Čína–N						
\	dojímat–V	dojem–N						
\	doják–N	dojem–N						
	dojmout–V	dojem–N						
\	jímat–V	dojem–N						
\	jímat–V	pojem–N						
	pojmout–V	pojem–N						
\	pojímat–V	pojem–N						
	utéci–V	útěk–N						
\	utéct–V	útěk–N						
\	štěknout–V	štěk–N						
	štěkat–V	štěk–N						
\	medvědice–N	medvědář–N						
	medvěd–N	medvědář–N						
\	vodohospodář–NC	hospodář–N						
\	zhospodárnit–V	hospodář–N						
	buben–N	bubnovat–V						
\	bubeník–N	bubnovat–V						
\	trenérka–N	trénovat–V						
\	trenér–N	trénovat–V						
\	trén–N	trénovat–V						
	snovat–V	osnovat–V						
\	osnova–N	osnovat–V						
\	džihádista–N	islamista–N						
	islám–N	islamista–N						
\	bohemismus–N	bohemista–N						
	bohemistika–N	bohemista–N						
\	málo–N	malý–A						
\	málo–D	malý–A						
\	odmala–D	malý–A						
\	pomálu–D	malý–A						
\	pomalu–D	pomalý–A						
\	zpomalit–V	pomalý–A						
	koupat–V	koupaliště–N						
\	koupání–N	koupaliště–N						
\	koupel–N	koupaliště–N						
\	byt–N	bydliště–N						
\	bydlení–N	bydliště–N						
	bydlet–V	bydliště–N						
	opus–N	opera–N						
\	opereta–N	opera–N						
\	literát–N	litera–N						
\	literatura–N	litera–N						
\	liteřina–N	litera–N						
\	zítřek–N	nazítří–D						
\	zítřejší–A	nazítří–D						
\	pozítří–D	nazítří–D						
\	nazítří–D	pozítří–D						
	zítra–D	pozítří–D						
	hřebík–N	hřebíkář–N						
\	hřeb–N	hřebíkář–N						
\	taxík–N	taxikář–N						
	taxi–N	taxikář–N						
	pokrok–N	pokrokář–N						
\	pokrokový–A	pokrokář–N						
\	dům–N	domkář–N						
	domek–N	domkář–N						
\	psát–V	odpis–N						
	odepsat–V	odpis–N						
\	psát–V	podpis–N						
	podepsat–V	podpis–N						
\	podepsaný–A	podpis–N						
	střetnout–V	střet–N						
\	střetat–V	střet–N						
\	večer–N	večeřet–V						
	večeře–N	večeřet–V						
\	sirotek–N	osiřet–V						
	sirý–A	osiřet–V						
	táhnout–V	tah–N						
\	tahat–V	tah–N						
\	tažný–A	tah–N						
\	vztahovat–V	vztah–N						
\	tah–N	vztah–N						
\	vztahovačný–A	vztah–N						
	vztáhnout–V	vztah–N						
\	táhnout–V	výtah–N						
\	tah–N	výtah–N						
	vytáhnout–V	výtah–N						
	potáhnout–V	potah–N						
\	táhnout–V	potah–N						
\	tah–N	potah–N						
\	stahovat–V	stah–N						
\	tah–N	stah–N						
	stáhnout–V	stah–N						
\	znát–V	znamenitý–A						
\	znamení–N	znamenitý–A						
\	hliník–N	hlinitý–A						
	hlína–N	hlinitý–A						
