\	kopat–V	kop–N						
	kopnout–V	kop–N						
\	vykopat–V	výkop–N						
\	kopat–V	výkop–N						
\	vykopávka–N	výkop–N						
	vykopnout–V	výkop–N						
\	kovkop–N	zlatokop–NC						
\	zlato–N	zlatokop–NC						
\	sušárna–N	sušit–V						
	suchý–A	sušit–V						
\	sucho–N	sušit–V						
\	jednoduše–D	zjednodušit–V						
	jednoduchý–AC	zjednodušit–V						
\	hluchota–N	ohlušit–V						
	hluchý–A	ohlušit–V						
\	předem–D	předek–N						
\	kupředu–D	předek–N						
\	vpřed–D	předek–N						
\	prostřednictví–N	prostředek–N						
\	střed–N	prostředek–N						
\	sahat–V	sáh–N						
\	sáhodlouhý–AC	sáh–N						
	sáhnout–V	sáh–N						
\	vraždit–V	vrah–N						
\	vraždychtivý–AC	vrah–N						
\	zavraždit–V	vrah–N						
\	povraždit–V	vrah–N						
\	vražedný–A	vrah–N						
\	vrahoun–N	vrah–N						
\	vražný–A	vrah–N						
\	sebevrah–N	vrah–N						
\	vražda–N	vrah–N						
\	vražedkyně–N	vrah–N						
\	sebevražda–NC	vrah–N						
\	vyvraždit–V	vrah–N						
\	vraždychtivost–N	vrah–N						
\	veletrh–NC	trh–N						
\	trhavina–N	trh–N						
\	trhnout–V	trh–N						
\	tržiště–N	trh–N						
\	trhat–V	trh–N						
\	tržba–N	trh–N						
\	sněhulák–N	sníh–N						
\	zasněžený–A	sníh–N						
\	sněžení–N	sníh–N						
\	sněženka–N	sníh–N						
\	sněžit–V	sníh–N						
\	zásněžka–N	sníh–N						
\	sněžnice–N	sníh–N						
\	poděbradský–A	poděbradka–N						
	Poděbrady–N	poděbradka–N						
\	kadit–V	kadibudka–N						
\	budka–N	kadibudka–N						
\	čeledín–N	čeládka–N						
	čeleď–N	čeládka–N						
\	čeledník–N	čeládka–N						
\	Venušin–A	Venušan–N						
	Venuše–N	Venušan–N						
	Rakousko–N	Rakušan–N						
	Rakousko–N	Rakušan–N						
\	žádat–V	žádostivý–A						
	žádost–N	žádostivý–A						
\	čest–N	ctižádostivý–AC						
\	ctít–V	ctižádostivý–AC						
	ctižádost–N	ctižádostivý–AC	%					
\	žádost–N	ctižádostivý–AC						
\	stolek–N	stolice–N						
\	stůl–N	stolice–N						
	Cyril–N	cyrilice–N						
\	cyrilský–A	cyrilice–N						
\	pálka–N	palice–N						
\	palička–N	palice–N						
\	nepaličák–N	palice–N						
	vysoký–A	zvýšit–V						
\	vysoko–D	zvýšit–V						
\	prachový–A	prášit–V						
	prach–N	prášit–V						
\	ticho–N	tišit–V						
	tichý–A	tišit–V						
\	poplach–N	plašit–V						
	plachý–A	plašit–V						
\	lenost–N	lenošit–V						
	líný–A	lenošit–V						
\	lenivý–A	lenošit–V						
\	vozík–N	vézt–V						
\	vozíček–N	vézt–V						
\	vůz–N	vézt–V						
\	horolezkyně–N	lézt–V						
\	ležet–V	lézt–V						
\	stromolezkyně–N	lézt–V						
\	prvolezkyně–N	lézt–V						
\	provazolezkyně–N	lézt–V						
\	spolulezkyně–N	lézt–V						
\	všeumělkyně–N	um–N						
\	umělkyně–N	um–N						
\	umět–V	um–N						
\	publikovat–V	publikum–N						
\	publikace–N	publikum–N						
	Klement–N	Klementinum–N						
\	Kliment–N	Klementinum–N						
\	evakuovat–V	vakuum–N						
\	evakuace–N	vakuum–N						
\	centralismus–N	centrum–N						
\	centralizmus–N	centrum–N						
\	data–N	datum–N						
\	datový–A	datum–N						
\	dorozumívání–N	rozum–N						
	rozumět–V	rozum–N						
\	um–N	rozum–N						
\	lomit–V	zlomek–N						
\	zlom–N	zlomek–N						
	zlomit–V	zlomek–N						
\	lomit–V	úlomek–N						
	ulomit–V	úlomek–N						
\	unosit–V	únos–N						
	unést–V	únos–N						
\	nést–V	únos–N						
\	nést–V	přenos–N						
\	přenosit–V	přenos–N						
\	přenosný–A	přenos–N						
	přenést–V	přenos–N						
	odnést–V	odnos–N						
\	odnášet–V	odnos–N						
\	nést–V	odnos–N						
\	odnosit–V	odnos–N						
\	nést–V	přínos–N						
\	přinášet–V	přínos–N						
	přinést–V	přínos–N						
	vynést–V	výnos–N						
\	nést–V	výnos–N						
\	vynosit–V	výnos–N						
\	nést–V	nános–N						
	nanést–V	nános–N						
\	obrovský–A	obr–N						
\	obří–A	obr–N						
\	vybraný–A	výběr–N						
\	brát–V	výběr–N						
	vybrat–V	výběr–N						
\	vybírat–V	výběr–N						
\	kyperský–A	Kypr–N						
\	Kypřanka–N	Kypr–N						
\	hajzl–N	hajzlpapír–NC						
\	papír–N	hajzlpapír–NC						
\	škvára–N	škvár–N						
	škvařit–V	škvár–N						
	hlas–N	hláska–N						
\	dvojhláska–NC	hláska–N						
\	hláskovat–V	hláska–N						
\	hlas–N	souhláska–N						
\	dvojhláska–NC	souhláska–N						
\	nesouhlas–N	souhláska–N						
\	souhlasit–V	souhláska–N						
	hláska–N	souhláska–N						
\	potichu–D	tichý–A						
\	utišit–V	tichý–A						
\	tišit–V	tichý–A						
\	plazit–V	plachý–A						
\	poplach–N	plachý–A						
\	malíř–N	malba–N						
\	malebný–A	malba–N						
\	malířka–N	malba–N						
