\	klíčit–V	klíček–N						
\	proteze–N	protetický–A						
\	partie–N	parta–N						
\	klarina–N	klarinet–N						
\	věno–N	věnovat–V	vést					
\	reflektovat–V	reflektor–N						
\	absoluce–N	absolvovat–V						
\	Maria–N	Marie–N						
\	vyžla–N	vyžle–N						
\	Jugoslávie–N	Jugoslávka–N	%	Jugoslávec				
\	major–N	majorita–N						
\	všudy–D	všude–D						
\	ondy–D	onde–D						
\	Zdenek–N	Zdeněk–N						
\	Věnek–N	Věněk–N						
\	koloniál–N	kolonie–N	koloniální					
\	Odry–N	Odra–N						
\	primátorky–N	primátorka–N	primátorský					
\	sperma–N	spermie–N						
\	děvenka–N	děva–N	dívka					
\	botanizovat–V	botanik–N	botanický	botanika				
\	principál–N	princip–N	princ					
\	lemůvka–N	lem–N						
\	kombinačky–N	kombinace–N	kombinovaný					
\	Titan–N	Titán–N		*				
\	pan–N	pán–N		*				
\	normála–N	norma–N						
\	garance–N	garant–N	garantovat	garantovat				
\	prezence–N	prezent–N						
\	softball–N	softbal–N						
\	naturalismus–N	naturel–N						
\	dualismus–N	duel–N						
\	hydrant–N	hydra–N						
\	roštěnec–N	roštěnka–N	roštěná	roštěná				
\	kosatec–N	kosatka–N	kosatý	kosatý				
\	hřeb–N	hřeben–N		hrabat				
\	dynamit–N	dynamický–A						
\	východo–A	východ–N						
\	západo–A	západ–N						
\	ablativ–N	ablace–N						
\	kolektiv–N	kolekce–N						
\	publikovat–V	publikum–N						
\	tanker–N	tank–N	tankovat					
\	entusiasmus–N	entuziasmus–N	*					
\	abilympiáda–N	olympiáda–N	%					
\	fusak–N	fusekle–N						
\	rdousit–V	hrdlo–N		*				
\	stěžej–N	stěžeň–N						
\	vzít–V	jímat–V						
\	Markyta–N–Markyta-2_;Y	Markéta–N						
\	racemát–N	racemický–A						
\	depka–N	deptat–V	deprese	*				
\	Lubek–N	Lubor–N		*				
\	Frankfort–N	Frankfurt–N						
\	ordál–N	ortel–N						
\	Jozef–N	Josef–N						
\	vztažný–A	vztah–N	vztáhnout	vztáhnout				
\	dlužný–A	dluh–N	dlužit					
\	oběžný–A	oběh–N	oběhnout	oběhnout				
\	desátka–N	desátek–N						
\	zvonek–N–zvonek-2_^(^DI*2)	zvonit–V	zvon	zvon				
\	aktiv–N	aktivismus–N		aktivní				
\	masarykovec–N	masarykovský–A	Masaryk	Masaryk				
\	darwinovec–N	darwinovský–A	Darwin	Darwin				
\	chrom–N	chromý–A	*	*				
\	uhelna–N	uhelný–A	uhlí	uhlí				
\	normál–N	norma–N	normální	*				
\	morna–N	mor–N	mřít	mřít				
\	kruháč–N	kruh–N	kruhový	*				
\	hitlerismus–N	hitlerovský–A	Hitler	Hitler				
\	darwinismus–N	darwinovský–A	Darwin	Darwin				
\	menu–N	menuet–N	*	*				
\	prosinec–N	proso–N	*	*				
\	maturiťák–N	maturita–N	maturitní					
\	cesťák–N	cesta–N	cestovní					
\	nezvyk–N	nezvyklý–A	zvyk	zvyklý				
\	racionalismus–N	racionalita–N	racionální	racionální				
\	konformismus–N	konformita–N	konformní	konformní				
\	curium–N	curie–N	Curie–N–Curie_;S	Curie–N–Curie_;S				
\	úpravce–N	úprava–N	upravit	upravit				
\	popravce–N	poprava–N	popravit	popravit				
\	člunkovitý–A	člun–N	člunek					
\	drátkovitý–A	drát–N	drátek					
\	energetička–N	energetika–N	energetik	energie				
\	estetička–N	estetika–N	estetik	*				
\	obratel–N	obrat–N	obrátit	obrátit				
\	oratorium–N	oratoř–N	orace	orace				
\	autor–N	autorita–N	*	*				
\	sportoviště–N	sport–N	sportovat	*				
\	zvláště–D	zvláštní–A	zvlášť	zvlášť				
\	orientalista–N	orient–N	orientalistika	*				
\	snad–D	snadný–A	*	*				
\	pediatrička–N	pediatrie–N	pediatr					
\	Žofička–N	Žofie–N	Žofka					
\	rušno–D	ruch–N	rušný					
\	vzdušno–D	vzduch–N	vzdušný					
\	gerontoložka–N	gerontologie–NC	gerontolog					
\	japanoložka–N	japanologie–NC	japanolog					
\	žirafečka–N	žirafa–N	žirafka	*				
\	bičivka–N	bič–N	bičík	bít				
\	Hronková–N	Hronová–N	Hronek	Hron				
\	Bartoňková–N	Bartoňová–N		Bartoň				
\	komponent–N	kompozice–N	komponovat	komponovat				
\	exponent–N	expozice–N	exponovat	exponovat				
\	stolník–N	stolní–A	stůl	stůl				
\	kriminálník–N	kriminální–A	kriminál	kriminál				
\	mimóza–N	mim–N	*	mimika				
\	tábořiště–N	tábor–N–tábor-1	tábořit					
\	amerikanizovat–V	amerikanizmus–N	americký	americký				
\	anglikanizovat–V	anglikanizmus–N	anglický	anglický				
\	magistrála–N	magistr–N		*				
\	advent–N	adventista–N						
