	mat–N	matovat–V	*					
\	hod–N	hodovat–V						
\	rys–N	rysí–A	*					
\	hrad–N	hradit–V						
	dohadovat–V	dohad–N						
\	stopovat–V	stop–N–stop-1_^(zastavení,_i_stopování)		*				
\	krk–N	krkat–V						
\	tok–N	tokat–V		*				
	garant–N	garantovat–V						
	inzult–N	inzultovat–V						
	sofistika–N	sofistikovat–V						
	šikana–N	šikanovat–V						
	štět–N	štětit–V	*					
§	brod–N	brodit–V		*				
§	kvas–N	kvasit–V		*				
§	kaz–N	kazit–V		*				
	šprtat–V	šprt–N	*					
	přednost–N	přednosta–N	přední					
\	tragik–N	tragika–N						
§	šermovat–V	šerm–N		*				
§	šprt–N	šprtat–V		*				
	trest–N	trestat–V	*					
	vejr–N	vejrat–V	*					
	parketa–N	parket–N						
\	Pavlína–N	Pavlín–N						
\	podpora–N	podpor–N						
\	klidit–V	klid–N						
§	marodit–V	marod–N						
	klestit–V	klest–N						
	odstavit–V	odstav–N						
	zboží–N	zbožní–A						
§	lopota–N	lopotit–V						
	vina–N	vinit–V						
	chvála–N	chválit–V						
	vévoda–N	vévodit–V						
	širý–A	širo–D						
\	příjem–N	příjemný–A	přijmout					
	vagón–N	vagónka–N	*					
\	nálev–N	nálevka–N	nalévat					
\	věno–N	věnovat–V						
\	mok–N	mokvat–V						
	inkaso–N	inkasovat–V						
§	švadronit–V	švadrona–N						
\	lahodit–V	lahoda–N	lahodný					
§	negativ–N	negativní–A						
\	orient–N	orientovat–V	*					
\	prezent–N	prezentovat–V						
\	marka–N	markovat–V	*	*				
\	rejda–N	rejdovat–V		rejd				
\	reklama–N	reklamovat–V	*	*				
\	pěst–N	pěstit–V	*	*				
\	med–N	medit–V	*					
\	lev–N	leva–N	*	*				
\	faun–N	fauna–N	*	*				
\	skript–N	skripta–N	*	*				
\	úpon–N	úpona–N	upnout	upnout				
\	patron–N	patrona–N		*				
\	katarakta–N	katarakt–N	*	*				
\	skripta–N	skript–N	*	*				
\	fauna–N	faun–N	*	*				
\	obora–N	obor–N	oborat	obírat				
\	statek–N	statečný–A		*				
\	akt–N	aktovka–N	*	akta				
\	lítý–A	líto–D	*					
\	šestistěn–N	šestistěnný–A	%					
\	odměr–N	odměrný–A	odměřit	odměřit				
\	návrat–N	návratný–A	navrátit	navrátit				
\	průvod–N	průvodný–A	provázet	provést				
\	Pákistán–N	Pákistánka–N	*	Pákistánec				
\	odměr–N	odměrka–N	odměřit	odměrný				
\	Alois–N	Aloisie–N	*	*				
\	personál–N	personálie–N						
