\	multicelulární–AC	celulární–A						
	zlatý–N	nazlátlý–A						
§	olympiáda–N	Olympie–N						
\	názor–N	znázornit–V	nazřít	názorný				
\	Alpy–N	alpa–N						
	angažmá–N	angažovat–V						
	Antiochos–N	Antiochie–N						
\	Atlantik–N	Atlantida–N						
\	audience–N	auditorium–N						
	vlna–N	bavlna–N						
\	benefiční–A	beneficium–N						
\	dálka–N	daleký–A						
\	detektor–N	detekovat–V						
\	gesce–N	digestoř–N						
\	dolní–A	dolů–D						
\	sled–N	důsledek–N						
	exantém–N	exantematický–A						
	flanda–N	flanďák–N						
\	formaldehyd–N	formalín–N						
\	frazeologie–NC	frazém–N						
§	gubernátor–N	gubernium–N						
\	hoch–N	hoša–N						
§	hřmět–V	hrom–N						
§	chlív–N	chlév–N						
	nerv–N	inervovat–V						
\	Jaroslav–N	Jaruš–N						
\	Dětřich–N	Jetřich–N						
	jiný–A	jinaký–A						
\	judaismus–N	judaikum–N						
\	kalorie–N	kalorifer–N						
\	kanovník–N	kanonikát–N						
\	kombinovat–V	kombinačka–N						
\	krušení–N	krušec–N						
\	laxní–A	laxativum–N						
\	lexikologie–NC	lexém–N						
§	mág–N	magie–N						
\	Marathón–N	Marathon–N						
\	Marius–N	Marouš–N						
	mázdra–N	mázdřivka–N						
	Mikuláš–N	Miky–N						
\	mouka–N	moučnivka–N						
	skrz–D	naskrze–D						
\	níže–N	nízko–D		nízký				
\	nořit–V	nora–N						
	boj–N	odboj–N						
\	závěť–N	odvětit–V						
	střežit–V	ostraha–N						
\	ouřada–N	ouřední–A						
\	planout–V	plamen–N						
	voda–N	povodeň–N						
	privilegium–N	privilegovat–V						
§	promenoár–N	promenáda–N						
	Rus–N	rus–N						
	řídký–A	ředit–V						
§	skrutátor–N	skrutinium–N						
§	slintat–V	slina–N						
	boj–N	souboj–N						
\	specialista–N	speciál–N		*				
\	spořit–V	sporý–A						
§	strejda–N	strýc–N						
	sunnita–N	sunita–N						
	Vavřinec–N	Vavřík–N						
\	Virginie–N	viržinko–N						
	zpět–D	zpátky–D						
	opodál–D	zpovzdáli–D						
	věřit–V	zpronevěřit–V						
\	administrátor–N	administrativa–N	administrovat					
\	agilní–A	agenda–N						
\	achilovka–N	Achilles–N	Achyllův					
\	akademizmus–N	akademie–N	akademický					
\	akord–N	akordeon–N						
\	alegorie–N	alegorizace–N		alegorický				
\	alexandrinizmus–N	Alexandrie–N	Alexandr					
\	alef–N	alfa–N						
\	Amazonka–N	amazoňan–N		Amazonie				
\	amerikanizmus–N	amerikanistika–N	americký	Amerika				
\	Ondřej–N	Andrej–N						
	Antonín–N	Antonie–N						
\	apriorizmus–N	apriorní–A	apriori	apriori				
\	Arnošt–N	Arne–N						
\	babka–N	babča–N		baba				
	balet–N	balerína–N						
\	Bartoloměj–N	Bartoň–N						
\	barva–N	barvínek–N		barvit				
\	batoh–N	baťůžkář–N		baťůžek				
\	brouk–N	beruška–N						
\	Alžběta–N	Bětulinka–N		Bětulka				
\	zbožný–A	bezbožný–A						
\	duše–N	bezduchý–A		duch				
\	zabezpečení–N	bezpečí–N	zabezpečit					
\	vajíčko–N	bezvaječný–A	vejce	vejce				
\	blondýna–N	blonďatý–A	blond	blond				
\	Bohumír–NC	Bohouš–N		Bohumil				
\	bráhmanismus–N	bráhma–N	Bráhma	Bráhma				
\	brk–N	brkoslav–N						
\	žravý–A	býložravý–A	žrát					
\	geocaching–NC	cache–N						
\	vercajk–NC	cajk–N						
\	cizí–A	cizoložit–V						
\	koncert–N	concerto–N						
\	častý–A	častuška–N						
\	Černý–N	Černoch–N	černý	černoch				
\	čpět–V	čpavek–N		čpavý				
§	čtvrť–N	čtvrt–N						
\	dávit–V	dav–N						
\	Edita–N	Dita–N						
\	div–N	dívat–V						
\	žena–N	divoženka–NC						
\	domino–N	domina–N		dominantní				
	dotknout–V	dotek–N						
\	drak–N	drakonický–A		Drakón				
\	dramatik–N	dramaturgie–N	drama					
\	drásat–V	draslík–N						
\	nikdy–D	druhdy–D	kdy	druhý				
\	duel–N	duál–N						
\	dunění–N	dunit–N	dunět					
\	duch–N	duše–N						
\	elativ–N	eferentní–A						
\	elektrikář–N	elektro–N	elektrika					
\	existovat–V	existencializmus–N		existence				
\	František–N	Ferenc–N						
\	financování–N	finance–N	financovat					
\	fonetický–A	foném–N	fonetika	fon				
\	funebrák–N	funus–N						
\	Gabriel–N	Gábina–N		Gabriela				
\	granát–N	grenadýr–N						
\	hlas–N	halas–N						
\	tříhektarový–AC	hektarový–A		hektar				
\	kilometrovník–N	hektometrovník–N	kilometr	hektometr				
\	špitál–N	hospitalizovat–V						
§	přehršel–N	hrst–N						
\	kutat–V	huť–N						
\	starý–A	chef–N						
