\	výše–N	vysoký–A						
\	zvýšit–V	vysoký–A						
\	zvyšovat–V	vysoký–A						
\	výška–N	vysoký–A						
\	vysokanánský–A	vysoký–A						
\	hlubina–N	hluboký–A						
	hloub–N	hluboký–A						
\	hloubka–N	hluboký–A						
\	hluboce–D	hluboký–A						
\	divoch–N	divoký–A						
	divý–A	divoký–A						
\	širák–N	široký–A						
\	šířit–V	široký–A						
\	šíře–N	široký–A						
\	rozšířený–A	široký–A						
\	šířka–N	široký–A						
	studený–A	studna–N						
\	studánka–N	studna–N						
\	střed–N	ústředna–N						
	ústřední–A	ústředna–N						
\	jaro–N	Jaroslava–N						
	Jaroslav–N	Jaroslava–N						
\	dobrý–A	Dobroslava–N						
	Dobroslav–NC	Dobroslava–N						
\	dramatický–A	drama–N						
\	zdramatizovat–V	drama–N						
\	dramatik–N	drama–N						
\	láma–N	dalajlama–NC						
\	dalajláma–N	dalajlama–NC						
\	bolet–V	bolestivý–A						
	bolest–N	bolestivý–A						
\	líto–D	lítostivý–A						
\	lítý–A	lítostivý–A						
	závist–N	závistivý–A						
\	závidět–V	závistivý–A						
\	psát–V	opis–N						
\	opisovačka–N	opis–N						
	opsat–V	opis–N						
\	psát–V	cestopis–N						
\	cesta–N	cestopis–N						
\	psát–V	strojopis–N						
\	stroj–N	strojopis–N						
\	psát–V	těsnopis–N						
\	těsný–A	těsnopis–N						
	Vídeň–N	Vídeňan–N						
	Vídeň–N	Vídeňan–N						
	Kladno–N	Kladeňan–N						
\	Kladeňák–N	Kladeňan–N						
	Kladno–N	Kladeňan–N						
\	mraveniště–N	mravenčí–A						
	mravenec–N	mravenčí–A						
\	mravenečník–N	mravenčí–A						
\	ukočírovat–V	kočí–N						
\	kočovný–A	kočí–N						
\	kočár–N	kočí–N						
	zajíc–N	zaječí–A						
\	jek–N	zaječí–A						
	žebrák–N	žebračí–A						
\	žebrat–V	žebračí–A						
	provést–V	průvodčí–N						
\	průvodkyně–N	průvodčí–N						
\	vést–V	průvodčí–N						
\	provádět–V	průvodčí–N						
\	výběr–N	výběrčí–N						
	vybírat–V	výběrčí–N						
\	Polsko–N	Velkopolsko–N						
\	velkopolský–AC	Velkopolsko–N						
\	Polsko–N	Malopolsko–N						
\	malopolský–AC	Malopolsko–N						
\	dvojbob–NC	bob–N						
\	čtyřbob–NC	bob–N						
\	způsobit–V	způsob–N						
\	způsobený–A	způsob–N						
	působit–V	způsob–N						
\	dělat–V	dílo–N						
\	dít–V	dílo–N						
\	celnice–N	clo–N						
\	bezcelní–A	clo–N						
\	celní–A	clo–N						
\	prosklený–A	sklo–N						
\	sklivec–N	sklo–N						
\	vysklít–V	sklo–N						
\	kouzelný–A	kouzlo–N						
