\	uspořádat–V	řád–N						
\	napořád–D	řád–N						
\	mimořádně–D	řád–N						
\	řád–N	pořád–D						
\	napořád–D	pořád–D						
\	přít–V	nápor–N						
	napřít–V	nápor–N						
\	přít–V	zápor–N						
	zapřít–V	zápor–N						
	gen–N	genetika–N						
\	genový–A	genetika–N						
\	poeta–N	poetika–N						
	poezie–N	poetika–N						
\	atletka–N	atletika–N						
\	atlet–N	atletika–N						
\	vhodit–V	vhod–D						
\	hod–N	vhod–D						
	hodit–V	vhod–D						
\	házet–V	vhod–D						
	vhodit–V	vhod–N						
\	hod–N	vhod–N						
\	hodit–V	vhod–N						
\	házet–V	vhod–N						
\	plac–N	buzerplac–N						
\	buzerace–N	buzerplac–N						
\	buzerovat–V	buzerplac–N						
\	byzantismus–N	Byzanc–N						
\	byzantinizmus–N	Byzanc–N						
\	náměsíčník–N	měsíc–N						
\	měsíčně–D	měsíc–N						
\	hlediště–N	hledět–V						
\	nadhled–N	hledět–V						
\	hledisko–N	hledět–V						
	hledět–V	pohledět–V						
\	pohlednice–N	pohledět–V						
\	pohled–N	pohledět–V						
\	atomizmus–N	atomizovat–V						
\	atomismus–N	atomizovat–V						
\	akademizmus–N	akademizovat–V						
\	akademismus–N	akademizovat–V						
\	islamista–N	islamizovat–V						
	islám–N	islamizovat–V						
\	sahat–V	zásah–N						
\	zasahovat–V	zásah–N						
	zasáhnout–V	zásah–N						
\	sahat–V	obsah–N						
\	zásah–N	obsah–N						
\	obsahující–A	obsah–N						
	obsáhnout–V	obsah–N						
\	obsahovat–V	obsah–N						
\	sahat–V	přesah–N						
\	zásah–N	přesah–N						
	přesáhnout–V	přesah–N						
	sahat–V	rozsah–N						
\	zásah–N	rozsah–N						
\	sahat–V	dosah–N						
\	zásah–N	dosah–N						
\	dosažení–N	dosah–N						
	dosáhnout–V	dosah–N						
\	dosahovat–V	dosah–N						
\	spěchat–V	spěch–N						
	spět–V	spěch–N						
\	pěšky–D	spěch–N						
\	úspěšně–D	úspěch–N						
\	spět–V	úspěch–N						
	uspět–V	úspěch–N						
\	úspěšný–A	úspěch–N						
\	prospívat–V	prospěch–N						
\	spět–V	prospěch–N						
\	prospěšný–A	prospěch–N						
\	prospět–V	prospěch–N						
\	směšovat–V	směs–N						
	smísit–V	směs–N						
