
\	aldehyd–N	formaldehyd–N						
	alergie–N	alergen–N						
	alpinský–A	alpinka–N						
	Antiochos–N	Antiocheia–N						
\	arbitrární–A	arbitráž–N						
	asketismus–N	asketik–N						
	balotina–N	balotáž–N						
\	bank–N	vabank–D						
\	byznysmen–N	byznys–N						
\	čapka–N	čepec–N						
	dát–V	zavdat–V						
\	doba–N	podobat–V						
\	dolní–A	důl–N						
	Ebola–N	ebola–N						
\	fólie–N	folio–N						
\	Fuka–N	fuka–N						
\	glukóza–N	glykémie–N						
\	hacker–N	hacknout–V						
\	helénský–A	Helada–N						
\	chrup–N	chřupan–N						
\	chvat–N	chvátat–V						
	Jiří–N	Jura–N						
	kancelář–N	kancelista–N						
	koncept–N	koncipient–N						
	korupce–N	korumpovat–V						
	křemen–N	křemík–N						
\	Kujebák–N	Kujeba–N						
	kultura–N	kultivovat–V						
	lokalita–N	lokace–N						
\	lucký–A	Lučan–N						
\	majstrštyk–NC	majstr–N						
\	matka–N	máma–N						
§	obětovat–V	oběť–N						
\	paměť–N	připomínat–V						
	plamatý–A	podplamatý–A						
	plocha–N	plochý–A						
\	pogrom–N	pohroma–N						
\	pohoří–N	hořejší–A						
\	primát–N	premiant–N						
§	profanace–N	profánní–A						
	rána–N	ranit–V						
§	řádek–N	řad–N						
\	sled–N	naposledy–D						
\	sociální–A	societa–N						
\	submerzní–A	emerzní–A						
\	Šalamoun–N	Šalomoun–N						
\	šnuptychl–N	šňupat–V						
\	továrna–N	tovaryš–N						
	vozit–V	vozataj–N						
\	zmršit–V	mrcha–N	mršit	mršit				
	žvýkat–V	žvejkat–V						
\	adventní–A	předvánoční–A	advent	vánoční				
\	afektovaný–A	afektivní–A		afekt				
\	agent–N	agens–N	*	*				
\	Achilles–N	achilovka–N	*	Achillova				
\	Alan–N	Alena–N	*					
\	Američan–N	Jihoameričan–N	Amerika					
\	anexionizmus–N	anekční–A	anexe	anexe				
\	báječný–A	báj–N	bájit	*				
\	banka–N	bankrot–N						
\	běhat–V	rozbíhat–V	běžet					
\	běhat–V	obíhat–V	*					
\	Bengálsko–N	bengál–N						
\	Blažej–N	Bláha–N						
\	Blažej–N	Blažek–N						
\	Bohumír–NC	Božík–N						
	bok–N	odbočit–V						
§	bombardovat–V	bomba–N						
\	Borislav–N	Bořislav–N						
\	bosenský–A	Bosňačka–N	Bosna	Bosňák				
\	box–N	jukebox–N	*					
\	brzda–N	vybržďovat–V		brzdit				
\	celý–A	zcela–D		cele				
\	cenný–A	drahocenný–A	cena					
\	cvičiště–N	cvik–N	cvičit	cvičit				
	Dana–N	Danuše–N						
\	dekorativní–A	dekoratér–N	dekorace	dekorace				
\	démonizovat–V	demonetizace–N						
	den–N	týden–N						
\	denní–A	jednodenní–A	den					
\	děrovačka–N	díra–N	děrovat					
\	desetinný–A	desátek–N	desetina	desátý				
\	determinace–N	determinismus–N						
	díra–N	ďoura–N						
\	diskrétní–A	diškrece–N						
\	dít–V	zdát–V						
\	Doněck–N	Donbas–N						
\	dout–V	doutnat–V						
\	editorial–N	editovat–V		edice				
\	Ema–N	Emanuel–N						
\	embolie–N	emblém–N						
\	epilátor–N	epilace–N	epilovat					
\	éra–N	eratém–N						
\	erudovaný–A	erudice–N	erudovat					
\	esoterický–A	esoterik–N	esoterie	esoterie				
\	evangelík–N	evangelium–N						
\	femininum–N	feminismus–N	femina	femina				
