\	spadat–V	tempo–N						
\	Laponsko–N	Lopar–N						
\	stroužek–N	stručný–A	struk					
\	letuška–N	stevard–N						
\	Dorota–N	důra–N						
\	zastaralý–A	starý–A						
\	zelí–N	vepř–N						
\	klestit–V	klíště–N						
\	jinoch–N	junák–N						
\	Judita–N	Jitka–N						
\	fingovat–V	finta–N						
\	klepat–V	klapat–V						
	Abrahám–N	Abrhám–N						
\	kolébat–V	kolísat–V						
\	Jindřich–N	Jindrák–N						
§	březen–N	bříza–N						
\	hodit–V	hodlat–V						
\	Dobříš–N	Dobřív–N						
\	lišaj–N	lišej–N						
\	Karel–N	Karolína–N						
	Zdeněk–N	Zdenko–N						
\	maštal–N	štolba–N						
\	revoluce–N	revolver–N						
\	František–N	Franěk–N						
\	kupa–N	kýbl–N						
\	syčet–V	sýkora–N						
\	Bartoloměj–N	Bart–N						
\	pupek–N	pupen–N						
\	Prus–N	Průša–N						
\	raketa–N	rachejtle–N						
\	Václav–N	Vacek–N						
\	Lubor–N	Luboš–N						
\	oko–N	babočka–N						
\	fakulta–N	fakule–N						
\	žhnout–V	žehlit–V						
\	harašit–V	hartusit–V						
	bdít–V	budit–V						
\	klepat–V	klenout–V						
\	Marius–N	Mario–N						
\	Marius–N	Marek–N						
\	brousit–V	brusinka–N		brusnice				
	saně–N	sanice–N						
\	Arnošt–N	Arno–N						
\	Agáta–N	Agaton–N						
\	kometa–N	koma–N						
\	žár–N	žárlit–V						
\	Karolína–N	Karol–N						
\	Punkva–N	koniklec–N						
\	Bartoloměj–N	Bárta–N						
\	pinďa–N	pinda–N						
\	mula–N	mezek–N						
\	Klement–N	Kliment–N						
\	pikola–N	pikolo–N						
\	Kliment–N	Klement–N						
\	Natálie–N	Nataša–N						
\	dít–V	úd–N						
\	zdrhnout–V	drhnout–V						
\	tak–D	také–D						
\	mořit–V	mařit–V						
\	Búr–N	buran–N						
\	šelak–N	lak–N						
\	terminál–N	termín–N						
\	Blažej–N	Blažík–N						
\	mise–N	emise–N						
\	Cínovec–N	cín–N	cínovec					
\	Heřmanův–A	Heřmaň–N	Heřman					
\	holínka–N	holý–A	holeň					
\	institucionální–A	institut–N	instituce					
\	kolonizovat–V	kolona–N	kolonie					
\	křivit–V	křivdit–V	křivý					
\	legitimace–N	legitimní–A						
\	loutkařit–V	loutka–N	loutkař					
\	malířství–N	malovat–V	malířský					
\	mlhavo–D	mlha–N	mlhavý					
\	mohamedánský–A	Muhammad–N	mohamedán					
\	název–N	zvát–V	nazvat					
\	vynulovat–V	nula–N	nulovat					
§	očumovat–V	čumět–V						
\	odhad–N	hádat–V	odhadnout					
\	podunajský–A	Dunaj–N						
§	pošuk–N	šukat–V						
\	potrat–N	tratit–V	potratit					
\	rabínský–A	rabbi–N	rabín					
\	zrecenzovat–V	recenze–N	recenzovat					
\	Scheinpflugová–N	Schein–N	Scheinpflug					
\	slabozrakost–N	slabý–A	slabozraký					
\	odstranit–V	strana–N						
\	tloustnout–V	týt–V	tlustý					
\	utuchnout–V	poťouchlý–A						
\	upoceně–D	pot–N	upocený					
\	velikost–N	velký–A	veliký					
\	zdlábnout–V	dlabat–V	zdlabat					
\	Urban–N	urbanismus–N						
\	algoritmus–N	algoritmizace–N		algoritmizovat				
\	angorizmus–N	angorák–N		angorský				
\	barevný–A	bezbarvý–A		barva				
\	Bělohlávek–N	Bělohlavý–N	bělohlavý	bělohlavý				
\	bít–V	bicista–N		bicí–N				
\	Blažej–N	Blažíček–N		Blažek				
\	bosý–A	naboso–D		boso				
\	berně–N	berní–A	brát	brát				
\	břichomluvec–NC	břich–N		břicho				
\	metropole–N	Sevastopol–N						
\	botulizmus–N	botulotoxin–N						
\	bába–N	zemlbába–NC						
\	agitace–N	agitprop–N	agitovat					
\	portfolio–N	portfej–N						
\	univerzitní–A	univerzální–A	univerzita					
\	centrum–N	centralizovat–V		centrální				
\	cvičit–V	cvičenka–N		cvičenec				
\	čistit–V	zčistajasna–D	čistý					
\	čtení–N	čítárna–N	číst	číst				
\	oddíl–N	díl–N	oddělit					
\	denotát–N	denotace–N	denotovat					
\	žasnout–V	děsit–V		děs				
\	desetitisícina–N	desetitisíc–NC						
\	déšť–N	deštivo–D		deštivý				
\	diplomacie–N	diplomovat–V		diplom				
\	Dobříš–N	Dobřichovice–N	dobrý	dobrý				
\	dohodit–V	dohodce–N	hodit	dohoda				
\	dokumentární–A	dokumentarista–N	dokument	dokument				
\	dům–N	domácí–A		doma				
\	stihnout–V	nedostižný–A		dostihnout				
\	stoupat–V	dostupný–A		dostoupit				
\	vést–V	důvod–N		dovodit				
\	dřevěný–A	dřevnatý–A	dřevo	dřevo				
\	dub–N	Dubina–N	*	dubina				
\	dužina–N	neduh–N		duh				
\	denní–A	dvoudenní–A	den					
