	chunks	related_compounds
118	-poly-	['polygynie', 'polymyxa', 'polyaromatický', 'polycistronický', 'polyester', 'polygenetický', 'polykarbamát', 'polyreakce', 'polysylogizmus', 'polytetrafluorethylen']
119	-rhynch-	['Rhynchocephalia']
120	-peri-	['pericholecystitida', 'perigeum', 'peripetie', 'perianální', 'perisperm', 'perityflitida']
121	-metr-	['astrometrie', 'enantiometrie', 'fonometrie', 'telemetrie']
122	-hypo-	['hypokortikalismus', 'hypoestrinní']
123	-ekt-	['ektogenní', 'ektotermie']
124	-enter-	['enteroskopie']
125	-turb-	['turbokartáč', 'turbosféra']
126	-retr-	['retroohlédnutí']
127	-cykl-	['cyklodelegace', 'cyklochata', 'cyklooáza', 'cykloopravář', 'cyklooř', 'cyklooxygenáza', 'cyklopodjezd', 'cykloprotest', 'cyklopřilba', 'cyklopřívěs', 'cyklorozcestník', 'cyklosezóna', 'cykloshow', 'cykloskelet', 'cyklostav', 'cykloterorismus', 'cyklotrialistický', 'cykloubytovna', 'cykloúčastník', 'cyklovak', 'cyklovětšina', 'motocykl', 'třícyklový']
128	-andr-	['andragogika']
129	-tachy-	['tachypnoe']
130	-arci-	['arcičaroděj', 'arcičíšník', 'arcipresbyter']
131	-hod-	['exodus']
132	-ent-	['entoderm']
133	-astr-	['astrokartografie', 'astrometrie', 'astromedicína']
134	-onk-	['onkohematologie']
135	-pan-	['panotypie', 'pansexualizmus']
136	-intra-	['intramuskulární']
137	-kinet-	['bradykinéza']
138	-pyr-	['pyrovůz']
139	-blank-	['blankoakceptant']
140	-naut-	['ufonaut']
141	-ly-	['pneumatolýza', 'trombolýza']
142	-arch-	['architektura', 'archetyp']
143	-pat-	['osteopatie', 'telepatie', 'embryopatie']
144	-free-	['freeware']
145	-elektr-	['elektrovelkoobchod', 'elektrofonický', 'elektrokapilární', 'elektrosmog', 'elektospotřebič', 'elektrošrot']
146	chemický.-chemo-	['chemosyntéza']
147	-ex-	['exmístopředseda', 'exodus', 'exkarvinský', 'exmistr', 'exmonarcha', 'exsevillský', 'extřetiligový', 'exoparazit']
148	-ultra-	['ultramontánský', 'ultramoravista', 'ultraodstředivka', 'ultraparodie', 'ultrapokrokový', 'ultrapravý']
149	-scinti-	['scintigrafie']
150	-multi-	['multidatabázový', 'multifokální', 'multilaterální', 'multimilionář', 'multimixér', 'multividový']
151	-geo-	['perigeum']
152	-dermat-	['entoderm']
153	-fil-	['filantropie', 'anglofil', 'adolescentofilie']
154	-gnos-	['gnoseologie']
155	-circum-	['cirkumpolární']
156	-my-	['myocard', 'myofibrila']
157	-angi-	['angiokardiografie']
158	-poli-	['monopol']
159	-spor-	['oxysporum']
160	-orth-	['ortostatický']
161	-euro-	['eurofobní', 'eurokarta', 'eurokraj', 'europrodukt', 'euroskepse', 'eurozásuvka']
162	-psych-	['psychopatologie', 'psychotropní', 'psychoanalitický', 'psychothriller']
163	-daktyl-	['Dactylopteriformes']
164	-semi-	['semiaktivní']
165	-sub-	['subvirový']
166	-al-	['alogamie']
167	-top-	['ektopie']
168	-sof-	['antropozofie']
169	-leuk-	['leukosafír']
170	-nomie-	['gastronomie']
171	-mim-	['pantomima']
172	-video-	['videozařízení']
173	-felin-	['felinoterapie']
174	-bronch-	['bronchologie', 'bronchiální', 'bronchitida']
175	-semit-	['semitologie']
