# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
lobbismus	N
marxismus	N
pesimismus	N
populismus	N
postmodernismus	N
protekcionismus	N
separatismus	N
terorismus	N
šovinismus	N

# Required by AddOrDeleteLinksInClusters
najezený	A
upřimný	A
upřimnost	N
vyhostěný	A
stenat	V
stenání	N
zastenat	V
čtyřtisícovka	N
uklizečka	N
vydíračka	N
Marina	N
oborný	A
vyhostěný	A
křovák	N
nepomíjející	A
stalinismus	N
stenat	V
brždění	N
bržděný	A
zabrždění	N
zabržděný	A
zbrždění	N
sázečka	N
Malika	N

# Required by AddDerivationsFromList otaznickovi.tsv
cikánčin	A
čertíkův	A
kavčin	A
šestistovka	N

# Missing from MorfFlex-2016-11-15, but referenced in techlemma suffixes
adresářík	N
aktualisovávat	V
Alméné	N
amortisovávat	V
Androkles	N
ankylosovávat	V
anonsovávat	V
Antiopé	N
archívovávat	V
Aštart	N
Atlantos	N
auditek	N
automatisovávat	V
autorisovávat	V
avisovávat	V
babičkovaný	A
babičkovatelný	A
babičkovávat	V
beagle	N
biorozložit	V
bookovávat	V
Boróro	N
Bráhman	N
Britannicus	N
Břek	N
Buonaparte	N
Buontempo	N
bydlit	V
Cassiodurus	N
Cato	N
celerák	N
censurovávat	V
centimetřík	N
centralisovávat	V
Cernnunos	N
Claira	N
Clousea	N
Čantanja	N
čechisovávat	V
Dalmatinec	N
Dámoklés	N
decentralisovávat	V
Delavare	N
Démeter	N
Déméter	N
demobilisovávat	V
Demonikus	N
demoralisovávat	V
Démosthenés	N
desertovávat	V
desinformovávat	V
Desiserius	N
desorganisovávat	V
detektovávat	V
diazokopírovat	V
dieselák	N
Diodoros	N
Diomedes	N
disassemblovávat	V
dispensarisovávat	V
dispensovávat	V
diversifikovávat	V
doarchívovávat	V
doautomatisovávat	V
dobržďovávat	V
docensurovávat	V
docentralisovávat	V
dodecentralisovávat	V
dodiversifikovávat	V
dogeneralisovávat	V
