@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: Adrian --> Adrianka	 pravidlo: N- --> N-ka
novy par: Adrian --> Adrianův	 pravidlo: N- --> A-ův
@ novy par: Adrianova --> Adrianovová	 pravidlo: N-a --> N-ová
novy par: adsorbce --> adsorbční	 pravidlo: N-ce --> A-ční
novy par: adventura --> adventurka	 pravidlo: N-a --> N-ka
novy par: Adzovič --> Adzovičová	 pravidlo: N- --> N-ová
novy par: Adžátašatru --> Adžátašatruův	 pravidlo: N- --> A-ův
novy par: Adžubej --> Adžubejová	 pravidlo: N- --> N-ová
novy par: Aeli --> Aeliův	 pravidlo: N- --> A-ův
novy par: aerobus --> aerobusový	 pravidlo: N- --> A-ový
novy par: aerolinka --> aerolinkový	 pravidlo: N-a --> A-ový
novy par: aerologie --> aerologický	 pravidlo: N-e --> A-cký
novy par: aeronomie --> aeronomický	 pravidlo: N-e --> A-cký
novy par: aeroradiometrie --> aeroradiometrický	 pravidlo: N-e --> A-cký
novy par: Aeschbacher --> Aeschbacherová	 pravidlo: N- --> N-ová
novy par: afakie --> afakický	 pravidlo: N-e --> A-cký
novy par: afekce --> afekční	 pravidlo: N-ce --> A-ční
novy par: afektace --> afektační	 pravidlo: N-ce --> A-ční
novy par: afilace --> afilační	 pravidlo: N-ce --> A-ční
novy par: afinace --> afinační	 pravidlo: N-ce --> A-ční
novy par: afinita --> afinitový	 pravidlo: N-a --> A-ový
novy par: Afolabi --> Afolabiová	 pravidlo: N- --> N-ová
novy par: Afrikán --> Afrikánec	 pravidlo: N- --> N-ec
novy par: afrikánský --> afrikánství	 pravidlo: A-ký --> N-tví
novy par: Aftab --> Aftabová	 pravidlo: N- --> N-ová
novy par: Aganovič --> Aganovičová	 pravidlo: N- --> N-ová
novy par: Agasi --> Agasiová	 pravidlo: N- --> N-ová
novy par: agentomanie --> agentomanický	 pravidlo: N-e --> A-cký
novy par: agentský --> agentství	 pravidlo: A-ký --> N-tví
novy par: agentura --> agenturový	 pravidlo: N-a --> A-ový
novy par: agitátor --> agitátorský	 pravidlo: N- --> A-ský
novy par: agitátorský --> agitátorství	 pravidlo: A-ký --> N-tví
novy par: agnát --> agnátský	 pravidlo: N- --> A-ský
novy par: Agnelli --> Agnelliová	 pravidlo: N- --> N-ová
novy par: agnoskace --> agnoskační	 pravidlo: N-ce --> A-ční
novy par: Agostini --> Agostiniová	 pravidlo: N- --> N-ová
