# v případě manuální anotace: 1. sloupec: @ = label nesprávně; % = label správně; PRÁZDNO = label manuálně neanotován
	dozvědět–V	dovídat–V	ned.
%	pohrát–V	pohrávat–V	ned.
	olupovat–V	oloupávat–V	ned.
	nasedávat–V	nasedat–V	ned.
	poslechnout si–V	poslouchat–V	ned.
	vymezovat–V	vymezit–V	dok.
%	vyndat–V	vyndávat–V	ned.
	vyhlížet–V	vyhlédat–V	ned.
	dopouštět–V	dopustit–V	dok.
	zabíjet–V	zabít–V	dok.
	péct–V	pekávat–V	nás.
	prohlídnout–V	prohlížet–V	ned.
	utajovat–V	utajit–V	dok.
	rozkládat–V	rozložit–V	dok.
	zaostávat–V	zaostat–V	dok.
	zachytnout–V	zachytávat–V	ned.
	mrknout–V	mrkávat–V	nás.
	uhádnout–V	uhodnout–V	dok.
%	předat–V	předávat–V	ned.
	vtiskat–V	vtiskovat–V	ned.
%	představit–V	představovat–V	ned.
	přednášívat–V	přednášet–V	ned.
%	spojit–V	spojovat–V	ned.
	postesknout–V	postýskávat–V	ned.
	vsazovat–V	vsázet–V	ned.
	probouzívat–V	probudit–V	dok.
%	hladit–V	hladívat–V	nás.
	vyřazovat–V	vyřadit–V	dok.
%	vyhodnotit–V	vyhodnocovat–V	ned.
	vybírávat–V	vybrat–V	dok.
	hrávat–V	hrát–V	ned.
	vyházet–V	vyhodit–V	dok.
	zařizovat–V	zařídit–V	dok.
	přenášet–V	přenést–V	dok.
	roztahovat–V	roztáhnout–V	dok.
	odletět–V	odlétnout–V	dok.
%	brečet–V	brečívat–V	nás.
	posouvat–V	posunout–V	dok.
%	přiklonit–V	přiklánět–V	ned.
	rozbírat–V	rozebrat–V	dok.
%	rozrůst–V	rozrůstat–V	ned.
	vyzdvihovat–V	vyzdvihávat–V	ned.
	vracívat–V	vrátit–V	dok.
	ohlašovat–V	ohlásit–V	dok.
	vytrhnout–V	vytrhávat–V	ned.
	přiházet–V	přihazovat–V	ned.
	usuzovat–V	usoudit–V	dok.
	vtrhávat–V	vtrhovat–V	ned.
	potírávat–V	potřít–V	dok.
%	odlišit–V	odlišovat–V	ned.
	přestávat–V	přestat–V	dok.
	sbírávat–V	sbírat–V	ned.
%	hodnotit–V	hodnotívat–V	nás.
	šlapávat–V	šlápnout–V	dok.
	zatlačovat–V	zatlačit–V	dok.
%	hrozit–V	hrozívat–V	nás.
	odvracet–V	odvrátit–V	dok.
	odpadávat–V	odpadat–V	dok.
%	odsunout–V	odsouvat–V	ned.
	splétat–V	splést–V	dok.
%	zmírnit–V	zmírňovat–V	ned.
	sbírávat–V	sebrat–V	dok.
	nakazovat–V	nakazit–V	dok.
	obléct–V	obléknout–V	dok.
%	vyděsit–V	vyděšovat–V	ned.
	roztrhnout–V	roztrhat–V	dok.
%	volat–V	volávat–V	nás.
	vymazávat–V	vymazat–V	dok.
	vyndávat–V	vyndavat–V	ned.
%	běhat–V	běhávat–V	nás.
	vytěžovat–V	vytížit–V	dok.
	povzdychat–V	povzdychávat–V	ned.
	splývávat–V	splynout–V	dok.
	koukávat–V	kouknout–V	dok.
	odlétnout–V	odletět–V	dok.
	poslouchávat–V	poslouchat–V	ned.
	odejet–V	odjíždívat–V	nás.
	pozdvihovat–V	pozdvihat–V	ned.
	očišťovat–V	očisťovat–V	ned.
	zapírat–V	zapřít–V	dok.
	odvinout–V	odvíjet–V	ned.
	otřásat–V	otřást–V	dok.
	přejít–V	přechodit–V	dok.
	zarážet–V	zarazit–V	dok.
%	odvolat–V	odvolávat–V	ned.
%	dýchnout–V	dechnout–V	dok.
	vracívat–V	vracet–V	ned.
	nakažovat–V	nakazovat–V	ned.
	rozmýšlet–V	rozmyslet–V	dok.
	ztrácívat–V	ztratit–V	dok.
	vzhlédnout–V	vzhlížet–V	ned.
	vypořádávat–V	vypořádat–V	dok.
	písknout–V	pískávat–V	nás.
%	prověřit–V	prověřovat–V	ned.
%	zdráhat–V	zdráhávat–V	nás.
	přestavovat–V	přestavit–V	dok.
	vyhovovat–V	vyhovět–V	dok.
	pochvalovávat–V	pochválit–V	dok.
%	vyznamenat–V	vyznamenávat–V	ned.
	zapadnout–V	zapadávat–V	ned.
%	vsadit–V	vsázet–V	ned.
	scházívat–V	sejít–V	dok.
	žádávat–V	žádat–V	ned.
	potlačovat–V	potlačit–V	dok.
	vypovídat–V	vypovědět–V	dok.
	vystřihat–V	vystříhat–V	dok.
	sundávat–V	sundavat–V	ned.
	obviňovat–V	obvinit–V	dok.
%	rozpustit–V	rozpouštět–V	ned.
	porážet–V	porazit–V	dok.
%	lepit–V	lepívat–V	nás.
	nadávat–V	nadat–V	dok.
%	splývat–V	splynout–V	dok.
	uveřejňovat–V	uveřejnit–V	dok.
%	ovlivnit–V	ovlivňovat–V	ned.
%	vypovědět–V	vypovídat–V	ned.
	dotahovat–V	dotáhnout–V	dok.
	konávat–V	konat–V	ned.
%	sejít–V	scházet–V	ned.
	zbývat–V	zbýt–V	dok.
%	podstoupit–V	podstupovat–V	ned.
	navrhovat–V	navrhnout–V	dok.
%	ocitat–V	ocítat–V	ned.
	dozvídat–V	dovídat–V	ned.
	nudívat–V	nudit–V	ned.
	odvíjet–V	odvinout–V	dok.
%	proměnit–V	proměňovat–V	ned.
	vtiskávat–V	vtiskat–V	ned.
	vystřihat–V	vystříhávat–V	ned.
	sejít–V	scházívat–V	nás.
%	cestovat–V	cestovávat–V	nás.
	přilévat–V	přilít–V	dok.
	odlétat–V	odletět–V	dok.
%	rozmístit–V	rozmisťovat–V	ned.
%	svědčit–V	svědčívat–V	nás.
	vystřelovat–V	vystřelit–V	dok.
	odečítat–V	odečíst–V	dok.
	přicházet–V	přijít–V	dok.
%	setrvat–V	setrvávat–V	ned.
%	vařit–V	vařívat–V	nás.
	otevírat–V	otvírat–V	ned.
	utvářet–V	utvořit–V	dok.
	otevírat–V	otevřít–V	dok.
%	chopit–V	chápat–V	ned.
	odpadávat–V	odpadnout–V	dok.
%	nalézt–V	naleznout–V	dok.
%	vrhat–V	vrhnout–V	dok.
%	zírat–V	zírávat–V	nás.
	ukazovat–V	ukázat–V	dok.
	hladívat–V	hladit–V	ned.
%	ujistit–V	ujišťovat–V	ned.
	vyzdvihovat–V	vyzdvíhat–V	ned.
	ležet–V	léhat–V	nás.
	tlouct–V	tlouci–V	ned.
	pověřovat–V	pověřit–V	dok.
	povzdychávat–V	povzdychnout–V	dok.
	svléknout–V	svlékat–V	ned.
	probojovávat–V	probojovat–V	dok.
	rozesmívat–V	rozesmávat–V	ned.
%	brzdit–V	brzdívat–V	nás.
%	unést–V	unášet–V	ned.
	účastnívat–V	účastnit–V	ned.
	překonávat–V	překonat–V	dok.
%	zasedat–V	zasednout–V	dok.
	napomáhat–V	napomoct–V	dok.
	ubytovávat–V	ubytovat–V	dok.
	zavládnout–V	zavládat–V	ned.
%	prožít–V	prožívat–V	ned.
	shrnovat–V	shrnout–V	dok.
	zabraňovat–V	zabránit–V	dok.
	převzít–V	přebírat–V	ned.
	donášet–V	donést–V	dok.
%	říci–V	říkat–V	ned.
	požínat–V	požít–V	dok.
	vybírávat–V	vybírat–V	ned.
	narovnávat–V	narovnat–V	dok.
%	prát–V	právat–V	nás.
%	řadit–V	řadívat–V	nás.
	zastávat–V	zastat–V	dok.
%	míchat–V	míchávat–V	nás.
%	dusit–V	dusívat–V	nás.
%	přikývnout–V	přikyvovat–V	ned.
	povzdychnout–V	povzdechovat–V	ned.
	vyhrkovat–V	vyhrknout–V	dok.
%	utěšit–V	utěšovat–V	ned.
%	zranit–V	zraňovat–V	ned.
%	vláčet–V	vláčit–V	ned.
	zdvihávat–V	zdvihat–V	ned.
	vysypávat–V	vysypat–V	dok.
	odstraňovat–V	odstranit–V	dok.
	utíkávat–V	utéct–V	dok.
	vhazovat–V	vházet–V	dok.
	zkusit–V	zkoušívat–V	nás.
%	spravovat–V	spravovávat–V	nás.
	šlápnout–V	šlapávat–V	nás.
%	zamyslet–V	zamýšlet–V	ned.
	půjčovat–V	půjčit–V	dok.
	prasknout–V	praskat–V	ned.
	objíždět–V	obejet–V	dok.
%	prohnat–V	prohánět–V	ned.
%	rozmyslet–V	rozmýšlet–V	ned.
	ztvárňovat–V	ztvárnit–V	dok.
	řadívat–V	řadit–V	ned.
	krmívat–V	krmit–V	ned.
	zaručovat–V	zaručit–V	dok.
%	zvykat–V	zvyknout–V	dok.
	protínat–V	protnout–V	dok.
	odpadat–V	odpadat–V	dok.
	svírat–V	sevřít–V	dok.
%	vymoci–V	vymáhat–V	ned.
	zažívat–V	zažít–V	dok.
%	zříci–V	zříkat–V	ned.
