zakončení substantiva	zakončení adjektiva	derivační typ	slova se změnou v kořeni	výjimky	derivační typ výjimky
ilnost	ilní	_^(*3í)		pilnost, vilnost, dochvilnost, lidumilnost, násilnost, nedochvilnost, úsilnost, světlomilnost, nenásilnost, černožilnost, dvanáctižilnost, horkomilnost, chladnomilnost, horomilnost, jednožilnost, jilnost, kratochvilnost, krvesmilnost, květomilnost, luskovinoobilnost, padesátižilnost, pískomilnost, přepilnost, přesilnost, rezavožilnost, rostlinomilnost, silnost, slanomilnost, slunomilnost, smilnost, sněhomilnost, staromilnost, stínomilnost, středněsilnost, sladkomilnost, studenomilnost, suchomilnost, supersilnost, teplomilnost, vápnomilnost, vědymilnost, velepilnost, velesilnost, vlhkomilnost, vodomilnost, židomilnost, 	_^(*3ý)
ílnost	ílný	_^(*3ý)			
olnost	olný	_^(*3ý)		frivolnost, okolnost, polnost, dvojpolnost, řeholnost	_^(*3í)
plnost	plný	_^(*3ý)			
slnost	slný	_^(*3ý)			
ulnost	ulný	_^(*3ý)			
ylnost	ylný	_^(*3ý)			
mnost	mný	_^(*3ý)		přízemnost, autonomnost, extrémnost, intimnost, konformnost, legitimnost, nekonformnost, nelegitimnost, anonymnost, konzumnost, uniformnost, synonymnost, nonkonformnost, homonymnost, heteronymnost, ilegitimnost, multiplatformnost, pozemnost	_^(*3í)
annost	anný	_^(*3ý)			
ánnost	ánní	_^(*3í)			
ennost	enný	_^(*3ý)		rovnodennost, všednodennost, každodennost, homogennost, nehomogennost, heterogennost, dennost	_^(*3í)
ěnnost	ěnný	_^(*3ý)			
énnost	énní	_^(*3í)			
innost	inný	_^(*3ý)			
onnost	onný	_^(*3ý)		synchronnost, asynchronnost, autochtonnost	_^(*3í)
ónnost	ónní	_^(*3í)			
rnnost	rnný	_^(*3ý)			
unnost	unný	_^(*3ý)			
ynnost	ynný	_^(*3ý)			
pnost	pný	_^(*3ý)		stereotypnost, izotropnost	_^(*3í)
arnost	arní	_^(*3í)		marnost, rozmarnost, varnost, švarnost, výtvarnost, výparnost, odparnost, zmarnost, nezmarnost, pravovarnost, rychlovarnost, svarnost, útvarnost	_^(*3ý)
árnost	ární	_^(*3í)		jednotvárnost, hospodárnost, nehospodárnost, blahodárnost, beztvárnost, tvárnost, suchopárnost, zdárnost, mnohotvárnost, dvojtvárnost, životadárnost, životodárnost, stáložárnost, různotvárnost, nezdárnost, netvárnost, čárnost, černočárnost, červenočárnost, dvoutvárnost, chlebodárnost, jehlotvárnost, kárnost, koruškotvárnost, lososotvárnost, manodárnost, mravokárnost, papírodárnost, plynožárnost, přetvárnost, ropušnicotvárnost, rudodárnost, slizodárnost, štikotvárnost, velikotvárnost, velkotvárnost, vitamínodárnost, vitaminodárnost, voskodárnost, zákonodárnost, zlatodárnost, zpěvodárnost, zrnodárnost, železodárnost, živototvárnost, ústavodárnost	_^(*3ý)
drnost	drný	_^(*3ý)			
ernost	erný	_^(*3ý)		charakternost, bezcharakternost, modernost, nemodernost, postmodernost, perifernost, externost, internost, supermodernost, hernost, veselohernost, hypermodernost	_^(*3í)
érnost	érní	_^(*3í)			
ěrnost	ěrný	_^(*3ý)			
írnost	írný	_^(*3ý)			
krnost	krný	_^(*3ý)			
ornost	orný	_^(*3ý)		provizornost, kontradiktornost, obligatornost, bezprizornost, iluzornost, akcesornost, deklaratornost, inferiornost, superiornost	_^(*3í)
prnost	prný	_^(*3ý)			
trnost	trný	_^(*3ý)			
urnost	urní	_^(*3í)		pochmurnost, vzpurnost, chmurnost, pošmournost, pošmurnost, burnost, lazurnost	_^(*3ý)
ůrnost	ůrný	_^(*3ý)			
řnost	řný	_^(*3ý)		vnitřnost, žalářnost	_^(*3í)
snost	sný	_^(*3ý)		kompromisnost, nekompromisnost, bezkompromisnost, luxusnost, dvojprofesnost, dvouprofesnost, okresnost, secesnost, virtuosnost, virtuóznost, zápisnost, 	_^(*3í)
šnost	šný	_^(*3ý)		vnějšnost, zevnějšnost, vezdejšnost	_^(*4í)
atnost	atný	_^(*3ý)			
átnost	átní	_^(*3í)		brunátnost, památnost, posvátnost, malátnost, rádobyposvátnost, věkopamátnost, velepamátnost	_^(*3ý)
ctnost	ctný	_^(*3ý)			
ětnost	ětný	_^(*3ý)			
itnost	itný	_^(*3ý)		elitnost, explicitnost, kvalitnost, nekvalitnost, implicitnost, monolitnost, deficitnost	_^(*3í)
ktnost	ktní	_^(*3í)			
ltnost	ltný	_^(*3ý)			
ntnost	ntní	_^(*3í)			
etnost	etný	_^(*3ý)		koketnost, kompletnost, nekompletnost	_^(*3í)
étnost	étní	_^(*3í)			
otnost	otný	_^(*3ý)		prvotnost, bigotnost, heterozygotnost, devotnost, homozygotnost	_^(*3í)
ótnost	ótní	_^(*3í)			
ptnost	ptní	_^(*3í)		šeptnost	_^(*3ý)
rtnost	rtní	_^(*3í)		smrtnost, posmrtnost, nesmrtnost, předsmrtnost, závrtnost, zeměvrtnost, zásmrtnost	_^(*3ý)
astnost	astný	_^(*3ý)		vlastnost, kontrastnost, nekontrastnost, oblastnost	_^(*3í)
estnost	estní	_^(*3í)		bolestnost, bezbolestnost, beztrestnost, trestnost, počestnost, mravopočestnost, zcestnost, scestnost, neřestnost, nečestnost, nepočestnost, bezšelestnost, čestnost, čtyřcestnost, čtyrcestnost, dvojcestnost, dvoucestnost, jednocestnost, mnohacestnost, mnohocestnost, nácestnost, osmicestnost, pěticestnost, pocestnost, přebolestnost, sedmibolestnost, sedmicestnost, stobolestnost, středocestnost, šelestnost, šesticestnost, trojcestnost, třícestnost, vcestnost, vícecestnost, vodocestnost	_^(*3ý)
ěstnost	ěstný	_^(*3ý)			
istnost	istní	_^(*3í)		nenávistnost, matematickopojistnost, očistnost, pojistnost, samoočistnost, sebenenávistnost, sebeočistnost, zajistnost, závistnost, zdravotněpojistnost	_^(*3ý)
ístnost	ístný	_^(*3ý)		místnost	_^(*3í)
lstnost	lstný	_^(*3ý)			
ostnost	ostný	_^(*3ý)		celostnost, slavnostnost	_^(*3í)
ustnost	ustný	_^(*3ý)		robustnost	_^(*3í)
ůstnost	ůstný	_^(*3ý)			
ústnost	ústní	_^(*3í)			
štnost	štný	_^(*3ý)		zvláštnost	_^(*3í)
utnost	utný	_^(*3ý)		rezolutnost, absolutnost, akutnost, neakutnost	_^(*3í)
ytnost	ytný	_^(*3ý)			
avnost	avný	_^(*3ý)		pohlavnost, protiústavnost, ústavnost, neústavnost, obojpohlavnost, oboupohlavnost, dvojpohlavnost, dvoupohlavnost, mimoústavnost, nadústavnost, 	_^(*3í)
ávnost	ávný	_^(*3ý)		právnost, protiprávnost, státoprávnost, veřejnoprávnost, dvojprávnost, dvouprávnost	_^(*3í)
evnost	evný	_^(*3ý)		duševnost, církevnost, zevnost	_^(*3í)
ěvnost	ěvní	_^(*3í)		zpěvnost, úsměvnost, bezúsměvnost, hněvnost, chvalozpěvnost, opěvnost, výsměvnost, žalozpěvnost	_^(*3ý)
aivnost	aivní	_^(*3í)			
civnost	civní	_^(*3í)			
divnost	divný	_^(*3ý)			
livnost	livný	_^(*3ý)			
sivnost	sivní	_^(*3í)			
tivnost	tivní	_^(*3í)		protivnost	_^(*3ý)
xivnost	xivní	_^(*3í)			
zivnost	zivní	_^(*3í)			
živnost	živný	_^(*3ý)			
ívnost	ívní	_^(*3í)			
ovnost	ovný	_^(*3ý)		sportovnost, nesportovnost, zánovnost, neduchovnost, duchovnost	_^(*3í)
uvnost	uvný	_^(*3ý)		smluvnost, protismluvnost	_^(*3í)
yvnost	yvný	_^(*3ý)			
xnost	xní	_^(*3í)			
aznost	azný	_^(*3ý)			
áznost	ázný	_^(*3ý)			
eznost	ezný	_^(*3ý)			
éznost	ézní	_^(*3í)			
iznost	izní	_^(*3í)			
íznost	ízní	_^(*3í)		říznost, dvojříznost, dvouříznost, věkožíznost, 	_^(*3ý)
oznost	ozný	_^(*3ý)		provoznost	_^(*3í)
óznost	ózní	_^(*3í)			
rznost	rzní	_^(*3í)		zámrznost	_^(*3ý)
uznost	uzný	_^(*3ý)			
ůznost	ůzný	_^(*3ý)			
žnost	žný	_^(*3ý)		prestižnost, knižnost, podlažnost, reportážnost	_^(*3í)
post	pý	_^(*3ý)			
rost	rý	_^(*3ý)			
sost	sý	_^(*3ý)			
tost	tý	_^(*3ý)	svátost<svatý		
vost	vý	_^(*3ý)			
zost	zí	_^(*3í)		drzost, bezmrazost	_^(*3ý)
