### Number of DeriNets roots with parents in SSJC (in this file): 511 ###

piktografický_AC	piktograf_None
dolnorakouský_AC	Dolní_None
novotvoření_NC	novotvorba_None
veledobrý_AC	dobrý_None
slovanofil_NC	slavjanofil_None
velesnadný_AC	snadný_None
polokeřík_NC	polokeř_None
bezodtokový_AC	bezodtoký_None
velesmutný_AC	smutný_None
pětisetletý_AC	pětsetletý_None
středoslovenský_AC	střední_None
velezkušený_AC	zkušený_None
dřevořezba_NC	dřevořez_None
prométheovský_AC	Prométheus_None
hornolužický_AC	Horní_None
východomoravský_AC	východní_None
velesmělý_AC	smělý_None
vinorodý_AC	vínorodý_None
křesťanskosociální_AC	křesťanský_None
bezmyšlenkový_AC	bezmyšlenkovitý_None
protialkoholický_AC	protialkoholní_None
trojlodní_AC	trojlodí_None
supravodivý_AC	supravodič_None
velkostatkář_NC	velkostatek_None
čtyřlistý_AC	čtyřlístek_None
tříčlenný_AC	trojčlen_None
sebeničivý_AC	sebeničení_None
trojčíslo_NC	trojčíslí_None
severoafrický_AC	severní_None
trojstěžňový_AC	trojstěžník_None
tříkrokový_AC	trojkrok_None
pravdaže_DC	pravda_None
bezkyslíkový_AC	bezkyslíkatý_None
teplovzdušný_AC	teplý_None
velenutný_AC	nutný_None
hornorakouský_AC	Horní_None
celočíselný_AC	číslo_None
zemětřas_NC	zemětřes_None
všemoc_NC	mocný_None
polosvětlý_AC	polosvětlo_None
polyhistorie_NC	polyhistor_None
veleschopný_AC	schopný_None
velezajímavý_AC	zajímavý_None
pětiúhlý_AC	pětiúhelník_None
epidermis_NC	epiderm_None
saframentský_AC	safraholtský_None
spolurodák_NC	sourodák_None
svobodymilovný_AC	svobodomilovný_None
středolabský_AC	střední_None
padesátiletý_AC	padesátiletí_None
čtyřdvéřový_AC	čtyřdveřový_None
polobožský_AC	polobůh_None
východofranský_AC	východní_None
poloostrůvek_NC	poloostrov_None
hypotaktický_AC	hypotaxe_None
místokrálovský_AC	místokrál_None
polovlněný_AC	polovlna_None
epilogický_AC	epilog_None
světonázor_NC	světový_None
polohedvábný_AC	polohedvábí_None
časomíra_NC	časoměr_None
zakarpatský_AC	Zakarpatí_None
polotón_NC	půltón_None
zajordánský_AC	Zajordání_None
vysokomýtský_AC	Vysoké_None
spektroskopie_NC	spektroskop_None
zelenohorský_AC	Zelená_None
mravokárný_AC	mravokárce_None
všehojivý_AC	všehoj_None
velenadějný_AC	nadějný_None
diapozitiv_NC	diapositiv_None
monogramový_AC	monogram_None
úzkoprofilový_AC	úzký_None
menologium_NC	menolog_None
hornoslezský_AC	Horní_None
podunajský_AC	Podunají_None
východoberlínský_AC	východní_None
červenobělomodrý_AC	červenobílomodrý_None
všehomír_NC	vesmír_None
veleoblíbený_AC	oblíbený_None
velerozmanitý_AC	rozmanitý_None
nadsmyslový_AC	nadsmyslný_None
novoguinejský_AC	Nová_None
samostatný_AC	osamocený_None
plnozvučný_AC	plnozvuk_None
křesťanskodemokratický_AC	křesťanský_None
dvojspřežní_AC	dvojspřeží_None
čarozvučný_AC	čarozvuk_None
linoleoryt_NC	linoryt_None
staropacký_AC	Stará_None
dvojslovný_AC	dvojsloví_None
zlozvučný_AC	zlozvuk_None
velenepříznivý_AC	nepříznivý_None
kovolitec_NC	kovolijec_None
východoseverovýchod_NC	východní_None
sapropelit_NC	sapropel_None
antiseptikum_NC	antisepse_None
dvojstupňový_AC	dvojstupňovitý_None
cyklonální_AC	cyklóna_None
veleobsáhlý_AC	obsáhlý_None
stereotypér_NC	stereotyp_None
šestilampový_AC	šestilampovka_None
velkoburžoazie_NC	velkoburžoa_None
sebeomezování_NC	sebeomezení_None
autochthonní_AC	autochton_None
veleskvostný_AC	veleskvost_None
východoasijský_AC	východní_None
čtyřnásobek_NC	čtyřnásobný_None
poloautomatický_AC	poloautomat_None
velkokřižník_NC	velkokříž_None
velkokapitalismus_NC	velkokapitál_None
sebetrýznivý_AC	sebetrýzeň_None
zlobůh_NC	zloboh_None
zeměvládce_NC	zeměvláda_None
všeliskde_DC	všelikde_None
velebásník_NC	velebáseň_None
severopolární_AC	severní_None
poloproletář_NC	poloproletariát_None
hrubovací_AC	hrubování_None
vědeckoatheistický_AC	vědeckoateistický_None
trojbarvý_AC	trojbarevný_None
dvoulampový_AC	dvoulampovka_None
písmolijna_NC	písmolijec_None
velkodílenský_AC	velkodílna_None
samovařič_NC	samovar_None
mezivrstevní_AC	mezivrstva_None
velevzácný_AC	vzácný_None
zlověst_NC	zlověstící_None
všeobsažný_AC	všeobsáhlý_None
polonahota_NC	polonahý_None
mnohomilionový_AC	mnohomiliónový_None
polosedě_DC	vpolosedě_None
západofranský_AC	západní_None
porýnský_AC	Porýní_None
samouk_NC	samoučení_None
nefrolitiáza_NC	nefrolitiasa_None
polokeřovitý_AC	polokeř_None
bezeztrátový_AC	bezztrátový_None
spoluakceptant_NC	spoluakcept_None
předopatrový_AC	přední_None
středosibiřský_AC	střední_None
sebetrýznění_NC	sebetrýzeň_None
západoafrický_AC	západní_None
plynoměr_NC	plynojem_None
zlombidlo_NC	slonbidlo_None
všesměrový_AC	všesměrný_None
jindřichohradecký_AC	Jindřichův_None
antropofagie_NC	antropofág_None
všespasitelný_AC	všespásný_None
kamenotiskárna_NC	kamenotisk_None
čerchman_NC	čechman_None
nízkotlakový_AC	nízkotlaký_None
staropanenský_AC	stará_None
velepěkný_AC	pěkný_None
středoruský_AC	střední_None
velezběhlý_AC	zběhlý_None
velevhod_DC	vhodný_None
zlatochtivý_AC	zlatachtivý_None
hornopolicejní_AC	horní_None
všehltající_AC	všehltavý_None
podzemský_AC	podzemní_None
polobláznivý_AC	poloblázen_None
polopouštní_AC	polopoušť_None
půlstoletý_AC	půlstoletí_None
vicekonzul_NC	vicekonsul_None
theodolit_NC	teodolit_None
velemužný_AC	mužný_None
velevtipný_AC	velevtip_None
vzduchovodný_AC	vzduchovod_None
vlastimilovný_AC	Vlastimil_None
třímiliónový_AC	třímilionový_None
termoplastický_AC	termoplast_None
vnitroslovní_AC	vnitroslovný_None
ledolam_NC	ledolom_None
západoslovanský_AC	západní_None
středoafrický_AC	střední_None
ultrareakční_AC	ultrareakcionář_None
jednolistový_AC	jednolistý_None
veledobře_DC	veledobrý_None
východoevropský_AC	východní_None
biográfek_NC	biograf_None
velepoučný_AC	poučný_None
malodušný_AC	maloduchý_None
tříkrálovský_AC	tříkrálový_None
monologický_AC	monolog_None
holosečný_AC	holoseč_None
malostranský_AC	Malá_None
velechytrý_AC	chytrý_None
havlíčkobrodský_AC	Havlíčkův_None
velkomoravský_AC	Velká_None
safraportský_AC	safraholtský_None
velkoobročník_NC	velkoobročnictví_None
zemětřesení_NC	zemětřes_None
protoplazma_NC	protoplasma_None
nadčasový_AC	nečasový_None
heřmanoměstecký_AC	Heřmanův_None
tichooceánský_AC	Tichý_None
vodoznačný_AC	vodoznak_None
osmiveršový_AC	osmiverší_None
středocestní_AC	středocestí_None
světovládce_NC	světovláda_None
zlobůžek_NC	zloboh_None
veledojímavý_AC	veledojemný_None
zlozvěstný_AC	zlověstný_None
provensálský_AC	Provence_None
východoslovenský_AC	východní_None
spolubytí_NC	soubytí_None
dvojkolejný_AC	dvojkolejka_None
vícevrstvový_AC	vícevrstvý_None
středomořský_AC	středomoří_None
velevýmluvný_AC	výmluvný_None
státoprávník_NC	státoprávní_None
mimoto_DC	mimo_None
velepříjemný_AC	příjemný_None
oligarcha_NC	oligarch_None
veleznamenitý_AC	znamenitý_None
hornoegyptský_AC	Horní_None
sebeobdivný_AC	sebeobdiv_None
sebepřekonávání_NC	sebepřekonání_None
pětiaktový_AC	pětiaktovka_None
velepřísný_AC	přísný_None
západoslovenský_AC	západní_None
šestisetletý_AC	šestsetletý_None
fotometricky_DC	fotometr_None
Vlastimil_NC	Vlasta_None
severočeský_AC	severní_None
všelikams_DC	všelikam_None
pantografický_AC	pantograf_None
panegyrikon_NC	panegyrik_None
stolistý_AC	stolistka_None
lymfózní_AC	lymfa_None
čarolesklý_AC	čarolesk_None
starozákonný_AC	starozákonní_None
třítaktový_AC	trojtakt_None
mladoboleslavský_AC	Mladá_None
tajůplný_AC	tajuplný_None
vysokopecní_AC	vysokopecař_None
velesilný_AC	silný_None
protilidový_AC	protiletecký_None
velectnostný_AC	ctnostný_None
velepotřebný_AC	potřebný_None
věkobytný_AC	věkobylý_None
velevtip_NC	vtipný_None
čtyřistamilionový_AC	čtyřistamiliónový_None
vysokorodý_AC	vysokorodí_None
dolnomoravský_AC	dolní_None
staromládenecký_AC	starý_None
východoněmecký_AC	východní_None
svémocný_AC	svémoc_None
čtyřhodinový_AC	čtyřhodinný_None
velechvalný_AC	chvalný_None
semifinalista_NC	semifinále_None
bezrozměrový_AC	bezrozměrný_None
velikolepý_AC	velkolepý_None
velkorozměrový_AC	velkorozměrný_None
církevněslovanský_AC	církevní_None
stomiliónový_AC	stomilionový_None
poloobloukový_AC	polooblouk_None
desetiletka_NC	desetiletí_None
velečinný_AC	činný_None
polosytý_AC	dopolosyta_None
porúrský_AC	Porúří_None
šestiřadový_AC	šestiřadý_None
kardiografický_AC	kardiograf_None
novozélandský_AC	Nový_None
diametrální_AC	diametr_None
bigbeat_NC	beat_None
východoafrický_AC	východní_None
kontraadmirál_NC	kontradmirál_None
fysiognomie_NC	fyziognomie_None
veletruchlý_AC	truchlivý_None
šestiveslový_AC	šestiveslice_None
věkuvzdorný_AC	věkovzdorný_None
předežňový_AC	předžňový_None
veledůkladný_AC	důkladný_None
královéhradecký_AC	Hradec_None
čtyřsetmilionový_AC	čtyřsetletý_None
světločivný_AC	světločivý_None
dvojčíslo_NC	dvojčíslí_None
severomoravský_AC	severní_None
panmundžonský_AC	Panmundžon_None
vlastimil_NC	Vlastimil_None
velejemný_AC	jemný_None
velepřesný_AC	přesný_None
slovotvorný_AC	slovotvorba_None
velevhodný_AC	velevhod_None
mnohotisícový_AC	mnoho_None
vysokorozený_AC	vysokorodý_None
božíhodový_AC	hodobožový_None
čtyřsetkorunový_AC	čtyřsetletý_None
veledojemný_AC	dojemný_None
vodoprávní_AC	vodní_None
neolitický_AC	neolit_None
antikrist_NC	Antikrist_None
šestiveršový_AC	šestiverší_None
oscilografický_AC	oscilograf_None
zoogamní_AC	zoogamie_None
vysokodojivý_AC	vysokodojný_None
tlustospis_NC	tlustopis_None
vysokofrekventní_AC	vysokofrekvenční_None
dolnolužický_AC	Dolní_None
pololeže_DC	vpololeže_None
velkostatek_NC	velkostatkář_None
ultramontánní_AC	ultramontanismus_None
velkopáteční_AC	Velký_None
velezrádce_NC	velezrada_None
západomoravský_AC	západní_None
vodospád_NC	vodopád_None
čtyřruký_AC	čtyřruční_None
pracovněprávní_AC	pracovní_None
třílampový_AC	třílampovka_None
vodoměrka_NC	vodoměr_None
dřevoplynový_AC	dřevoplyn_None
tisíceronásobný_AC	tisícinásobný_None
spolupůsobit_VC	spoluúčinkovat_None
ultrarevoluční_AC	ultrarevolucionář_None
různobarvý_AC	různobarevný_None
mnohohlasý_AC	mnohohlas_None
všehojící_AC	všehoj_None
malodohodový_AC	Malá_None
paleolitický_AC	paleolit_None
jednostěžňový_AC	jednostěžník_None
spolubydlení_NC	spolubydlitel_None
hornomoravský_AC	horní_None
heliografický_AC	heliograf_None
pateronásobný_AC	pět_None
různopohlavný_AC	různopohlavní_None
tolikeronásobný_AC	tolikanásobný_None
severoněmecký_AC	severní_None
středouší_NC	střední_None
spoluhra_NC	souhra_None
bioptický_AC	biopsie_None
