našlapávati_None	našlápnouti_None
našlapávati_None	našlapati_None
milostně_None	milostný_None
čtyrčtyřkolý_None	čtyřkolý_None
bleší_None	blecha_None
zazelenávati_None	zazelenati_None
zabředlost_None	zabředlý_None
zprimitizovati_None	zprimitivisovati_None
podavačka_None	podavač_None
přepalovati_None	přepáliti_None
vyšněrovati_None	šněrovati_None
módný_None	móda_None
módný_None	módní_None
rozsýpati_None	rozsypati_None
zprubovat_None	prubovat_None
otestovati_None	testovati_None
oratorní_None	oratorium_None
obřadnický_None	obřadník_None
elektrisační_None	elektrisace_None
dovlékati_None	vlékati_None
dovlékati_None	dovlíkat_None
podagristický_None	podagrista_None
manství_None	man_None
manství_None	galoman_None
nabručeně_None	nabručený_None
poklůpek_None	poklopec_None
poklůpek_None	poklop_None
ošplíchati_None	šplíchati_None
talířový_None	talíř_None
jánošíkovsky_None	janošíkovský_None
odkrývati_None	odkrýti_None
polníčkový_None	polníček_None
mlékový_None	mléko_None
vyhýčkanost_None	vyhýčkaný_None
líčivý_None	líčiti_None
Bohdanka_None	Bohdan_None
pomníkovost_None	pomníkový_None
borový_None	bor_None
brisa_None	bríza_None
mefisto_None	Mefisto_None
žabka_None	žába_None
kálek_None	hekal_None
syrově_None	syrový_None
slípečka_None	slípka_None
vyskloňovati_None	skloňovati_None
pochlebovačnost_None	pochlebný_None
inscenačně_None	inscenace_None
půjčkový_None	půjčka_None
šňupička_None	šňupka_None
zavlhati_None	vlhati_None
žehravost_None	žehravý_None
lícový_None	líc_None
wagneriánský_None	wagnerián_None
láteřívati_None	láteřiti_None
zatrpklost_None	zatrpklý_None
nakrucovati_None	nakroutiti_None
turkologie_None	turkolog_None
zornamentalisovati_None	ornamentalizovati_None
rezko_None	rezký_None
ředinký_None	řídký_None
ostříleti_None	stříleti_None
látečka_None	látka_None
ovsový_None	oves_None
procvičovati_None	procvičiti_None
rozezlívati_None	rozezlíti_None
rozplánovati_None	plánovati_None
vybedniti_None	bedniti_None
státovědec_None	státověda_None
slunečníček_None	slunečník_None
přilbovitý_None	přílbovitý_None
radiotelefonista_None	radiotelefon_None
průsakový_None	průsak_None
bezbolestnost_None	bezbolestný_None
čuníček_None	čuník_None
obmeškati_None	meškati_None
obmeškati_None	omeškati_None
jsoucno_None	jsoucný_None
materiálový_None	materiál_None
doosídliti_None	osídliti_None
věrecký_None	věrec_None
odkrevňovati_None	odkrevniti_None
anekdotičnost_None	anekdotický_None
uhrýzti_None	uhryznouti_None
organisovatelnost_None	organisovatelný_None
amórek_None	Amor_None
zrakově_None	zrakový_None
luznost_None	luzný_None
úkonný_None	úkon_None
tygřátko_None	tygře_None
sokolíček_None	sokol_None
zmalicherněti_None	malicherněti_None
zatrudniti_None	zatruditi_None
překarikovati_None	karikovati_None
přihopsati_None	hopsati_None
dezoxidace_None	desoxidace_None
