*;kojièka;kojit;
*;prosívka;prosít;
*;obouvátko;obouvat;
*;obracák;obracet;
*;kolébavka;kolébat;
*;obrušovátko;obrušovat;
*;koledovaèka;koledovat;
*;kolíbavka;kolíbat;
%;obstávka;obstát;obstavit
*;zasekávaèka;zasekávat;
%;sídlo;sít;sídlit
*;prostøihovaèka;prostøihovat;
*;obtahovaèka;obtahovat;
*;sípavka;sípat;
*;veršovaèka;veršovat;
*;skákaèka;skákat;
*;skákavka;skákat;
%;odbíraèka;odbírat;odbíraè
*;vìšitel;vìšet;
*;skartovaèka;skartovat;
%;dozdívka;dozdít;dozdívat
*;vìštièka;vìštit;
*;zastrkovátko;zastrkovat;
*;skruovaèka;skruovat;
*;drbátko;drbat;
*;kopátko;kopat;
*;drèák;drèet;
%;kopièka;kopit;kopa
*;zaškrtávátko;zaškrtávat;
*;odhalovaèka;odhalovat;
*;drkaèka;drkat;
*;drnèák;drnèet;
%;vichøièka;vichøit;vichøice
%;druièka;druit;druka
*;drák;dret;
%;slívka;slít;slíva
*;pruidlo;pruit;
%;dudaèka;dudat;dudák
%;pøádlo;pøát;pøíst
*;pøebalovaèka;pøebalovat;
*;koštovaèka;koštovat;
*;smilovaèka;smilovat;
*;koukaèka;koukat;
*;dusátko;dusat;
*;koupaèka;koupat;
*;koupátko;koupat;
*;kousátko;kousat;
*;odlívka;odlít;
*;kovadlo;kovat;
*;zatrhovátko;zatrhovat;
*;pøedatel;pøedat;
*;pøedèistièka;pøedèistit;
*;pøedehrávka;pøedehrát;
*;zatykatel;zatykat;
*;vlaièka;vlait;
%;dvojièka;dvojit;dvojice
*;zaválcovaèka;zaválcovat;
%;vlnièka;vlnit;vlna
%;zavazák;zavazet;vaz
*;odpichovadlo;odpichovat;
*;odpoèívátko;odpoèívat;
*;zavírátko;zavírat;
*;voblbovaèka;voblbovat;
*;vobraceèka;vobracet;
*;pøedstavovaèka;pøedstavovat;
*;odráeèka;odráet;
*;odráedlo;odráet;
*;spájeèka;spájet;
*;spájedlo;spájet;
*;spárovaèka;spárovat;
*;dıchátko;dıchat;
%;dychtivka;dychtit;dychtivec
*;dımaèka;dımat;
*;krouhátko;krouhat;
%;zazdívka;zazdívat;
*;vochlovaèka;vochlovat;
%;volavka;volat;vole
*;odstrkovadlo;odstrkovat;
*;odstøeïovaèka;odstøeïovat;
%;køivdièka;køivdit;køivda
*;voraèka;vorat;
%;kuklièka;kuklit;kukla
*;spouštìdlo;spouštìt;
*;babraèka;babrat;
%;odvykaèka;odvykat;odvykací
%;bahnièka;bahnit;bahnice
%;vraštièka;vraštit;vráska
%;stáèeèka;stáèet;stáèeè
*;vrèák;vrèet;
%;kušnièka;kušnit;kušna
*;vroubkovaèka;vroubkovat;
*;kvasidlo;kvasit;
*;vrzátko;vrzat;
%;vrzavka;vrzat;vrzavı
*;kverlaèka;kverlat;
*;pøemıšlitel;pøemıšlet;
*;vøeštidlo;vøeštit;
*;kvièák;kvièet;
*;vøískaèka;vøískat;
*;kvrdlaèka;kvrdlat;
*;stehovaèka;stehovat;
%;stìhovaèka;stìhovat;stìhovací
*;ohøívátko;ohøívat;
*;ohıbadlo;ohıbat;
*;pøepínátko;pøepínat;
§;láèka;lát;
*;okecávaèka;okecávat;
*;stiskátko;stiskat;
*;zelenaèka;zelenat;
*;lajnovaèka;lajnovat;
*;zelenidlo;zelenit;
*;lámadlo;lámat;
*;fackovaèka;fackovat;
%;baštièka;baštit;bašta
%;pøerıvka;pøerıt;pøerıvat
*;lapadlo;lapat;
%;stopièka;stopit;stopa
*;stopovaèka;stopovat;
%;pøesívka;pøesít;pøesívat
*;stoupátko;stoupat;
*;olizovaèka;olizovat;
%;stranièka;stranit;strana
*;pøesmykovaèka;pøesmykovat;
%;lávka;lát;lávka
*;bìhadlo;bìhat;
*;bìhátko;bìhat;
*;strojièka;strojit;
*;lekaèka;lekat;
*;pøešlapovaèka;pøešlapovat;
*;støásaèka;støásat;
%;opalovaèka;opalovat;opalovací
*;vyclívka;vyclít;
*;opékaèka;opékat;
*;fièák;fièet;
*;fidlovaèka;fidlovat;
*;pøetahovaèka;pøetahovat;
%;støídavka;støídat;støídavı
*;støíkátko;støíkat;
*;stıskavka;stıskat;
*;leák;leet;
*;líbaèka;líbat;
*;líbadlo;líbat;
*;oprašovaèka;oprašovat;
*;oprašovátko;oprašovat;
%;opravièka;opravit;oprava
*;oraèka;orat;
*;oradlo;orat;
*;flusaèka;flusat;
*;fofrovaèka;fofrovat;
*;pøezkoušitel;pøezkoušet;
*;surfovaèka;surfovat;
%;osívka;osít;osívat
%;oslavièka;oslavit;oslava
*;lízaèka;lízat;
*;foukátko;foukat;
*;svaøovaèka;svaøovat;
*;vyhlíitel;vyhlíet;
%;pøíèka;pøít;pøíèit
*;frèák;frèet;
*;svíjedlo;svíjet;
*;vyhrávka;vyhrát;
*;svlíkaèka;svlíkat;
*;losovaèka;losovat;
*;loupátko;loupat;
%;ostıchavka;ostıchat;ostıchavı
*;sypavka;sypat;
*;blikavka;blikat;
*;blinkaèka;blinkat;
*;vykaèka;vykat;
%;šálièka;šálit;šála
*;blıskavka;blıskat;
*;otírátko;otírat;
*;vyklepávaèka;vyklepávat;
*;bodátko;bodat;
*;šavlovaèka;šavlovat;
*;otvíraèka;otvírat;
*;máèedlo;máèet;
*;maèkátko;maèkat;
%;šedavka;šedat;šedavı
§;zubovaèka;zubovat;
*;ovládaèka;ovládat;
*;ovládátko;ovládat;
*;vykopávaèka;vykopávat;
*;máchadlo;máchat;
