-,2A_str29,spoluobyvatel,obývat,NO_PARENT_IN_DERINET
-,2A_str29,spolupachatel,páchat,NO_PARENT_IN_DERINET
-,2A_str29,spolupodnikatel,podnikat,NO_PARENT_IN_DERINET
-,2A_str29,spolupřekladatel,překládat,NO_PARENT_IN_DERINET
-,2A_str29,spolupřihlašovatel,přihlašovat,NO_PARENT_IN_DERINET
-,2A_str29,spoluprovozovatel,provozovat,NO_PARENT_IN_DERINET
-,2A_str29,spoluředitel,řídit,NO_PARENT_IN_DERINET
-,2A_str29,spoluřešitel,řešit,NO_PARENT_IN_DERINET
-,2A_str29,spoluručitel,ručit,NO_PARENT_IN_DERINET
-,2A_str29,spoluuživatel,užívat,NO_PARENT_IN_DERINET
-,2A_str29,spoluvelitel,velet,NO_PARENT_IN_DERINET
-,2A_str29,spoluvěřitel,věřit,NO_PARENT_IN_DERINET
-,2A_str29,spoluvydavatel,vydávat,NO_PARENT_IN_DERINET
-,2A_str29,spoluzakladatel,zakládat,NO_PARENT_IN_DERINET
,2A_str29,spotřebitel,spotřebovat,NO_PARENT_IN_DERINET
,2A_str29,spravovatel,spravovat,NO_PARENT_IN_DERINET
,2A_str29,stvrzovatel,stvrzovat,NO_PARENT_IN_DERINET
-,2A_str29,subdodavatel,dodávat,NO_PARENT_IN_DERINET
-,2A_str29,subprovozovatel,provozovat,NO_PARENT_IN_DERINET
-,2A_str29,subvystavovatel,vystavovat,NO_PARENT_IN_DERINET
,2A_str29,světitel,světit,NO_PARENT_IN_DERINET
-,2A_str29,takypodnikatel,podnikat,NO_PARENT_IN_DERINET
,2A_str29,tlumočitel,tlumočit,NO_PARENT_IN_DERINET
,2A_str29,třímatel,třímat,NO_PARENT_IN_DERINET
,2A_str29,ubližovatel,ubližovat,NO_PARENT_IN_DERINET
,2A_str29,umravňovatel,umravňovat,NO_PARENT_IN_DERINET
,2A_str29,umrtvovatel,umrtvovat,NO_PARENT_IN_DERINET
,2A_str29,upíratel,upírat,NO_PARENT_IN_DERINET
,2A_str29,uspokojovatel,uspokojovat,NO_PARENT_IN_DERINET
,2A_str29,ustavitel,ustavit,NO_PARENT_IN_DERINET
