+	zavolaná_^(jako_na_zavolanou) N	0.999084076837548	NEW: zavolaný_^(*2t) A	OLD: zavolat_:W V
+	foukaná_^(u_kadeřníka) N	0.999061994777993	NEW: foukaný_^(*2t) A	OLD: foukat_:T V
+	chytaná_^(hra) N	0.999061994777993	NEW: chytaný_^(*2t) A	OLD: chytat_:T V
+	prostná_^(cvičení) N	0.999061994777993	NEW: prostný A	OLD:  
+	setkaná_^(organiz._setkání) N	0.999061994777993	NEW: setkaný_^(*2t) A	OLD: setkat_:W V
+	skotská_^(whisky) N	0.999061994777993	NEW: skotský A	OLD:  
+	vybraná N	0.999061994777993	NEW: vybraný_^(*2t) A	OLD:  
+	zkušená_^(jít_na_z._do_světa) N	0.999061994777993	NEW: zkušený A	OLD: zkusit_:W V
+	prodloužená_^(v_tanečních) N	0.999050011420549	NEW: prodloužený_^(*3it) A	OLD: prodloužit_:W V
+	divoká_^(zvěř) N	0.999039380852306	NEW: divoký A	OLD:  
+	čekaná_^(myslivecký_výraz,_šel_na_čekanou) N	0.999039380852306	NEW: čekaný_^(*2t) A	OLD: čekat_:T V
+	ženská_^(osoba) N	0.999039380852306	NEW: ženský A	OLD:  
+	číhaná_^(při_lovu) N	0.999039380852306	NEW: číhaný_^(*2t) A	OLD: číhat_:T V
+	kopaná_^(fotbal) N	0.999039380852306	NEW: kopaný_^(*2t) A	OLD: kopat_:T V
+	májová N	0.999039380852306	NEW: májový A	OLD: máj-1 N
+	sekaná_^(pečeně_z_mletého_masa) N	0.999039380852306	NEW: sekaný_^(*2t) A	OLD: sekat_:T V
+	skočná_^(lid._tanec) N	0.999039380852306	NEW: skočný A	OLD:  
+	ňukaná N	0.999039380852306	NEW: ňukaný_^(*2t) A	OLD:  
+	přilepšená_^(na_přilepšenou) N	0.999027108875080	NEW: přilepšený_^(*3it) A	OLD: přilepšit_:W V
+	rozloučená_^(na_rozloučenou) N	0.999027108875080	NEW: rozloučený_^(*3it) A	OLD: rozloučit_:W V
+	rozmyšlená_^(k_rozmýšlení) N	0.999027108875080	NEW: rozmyšlený_^(*5slet) A	OLD: rozmyslit_:W V
+	žitná N	0.999016222274992	NEW: žitný A	OLD:  
+	možná-1_^(snad) D	0.999008291814767	NEW: možný A	OLD:  
+	podbíjená_^(hra) N	0.999003654740366	NEW: podbíjený_^(*2t) A	OLD:  
+	srozuměná_^(dát_na_srozuměnou) N	0.999003654740366	NEW: srozuměný_^(*2t) A	OLD:  
+	dovolená_^(ze_zaměstnání) N	0.998979635758697	NEW: dovolený_^(*3it) A	OLD: dovolit_:W V
+	odbíjená_^(hra) N	0.998979635758697	NEW: odbíjený_^(*2t) A	OLD:  
+	povážená_^(na_pováženou) N	0.998979635758697	NEW: povážený_^(vážením)_(*3it) A	OLD: povážit_:W_^(vážením) V
+	pořízená_^(vrátit_se_s_p.) N	0.998979635758697	NEW: pořízený_^(*4dit) A	OLD:  
+	zotavená_^(dovolená_na_z.) N	0.998979635758697	NEW: zotavený_^(*3it) A	OLD: zotavit_:W V
+	záslibná_,n N	0.998979635758697	NEW: záslibný_,s A	OLD:  
+	neznámá-2_^(veličina) N	0.998955038355016	NEW: neznámý A	OLD:  
+	neznámá-2_^(veličina) N	0.998955038355016	NEW: neznámý A	OLD:  
+	skopová N	0.998955038355016	NEW: skopový A	OLD:  
+	slyšená_^(ve_spojení_'na_slyšenou') N	0.998955038355016	NEW: slyšený_^(*2t) A	OLD:  
+	vepřová N	0.998955038355016	NEW: vepřový A	OLD: vepř N
+	vyučená_^(zkušenost;_dostat_na_v.) N	0.998955038355016	NEW: vyučený_^(*3it) A	OLD: vyučit_:W V
+	zapřená_^(nechat_se_zapřít) N	0.998955038355016	NEW: zapřený_^(*3ít) A	OLD:  
+	zmýlená_^(omyl;př.:_z._neplatí) N	0.998955038355016	NEW: zmýlený_^(*3it) A	OLD: zmýlit_:W V
+	honěná N	0.998929848629393	NEW: honěný_^(*3it) A	OLD:  
