mutra_N	mutr_None
Bohdana_N	Bohdan_None
zora_N	zor_None
šansona_N	šanson_None
brambora_N	brambor_None
kmotra_N	kmotr_None
brauna_N	braun_None
šprota_N	šprot_None
šupa_N	šup_None
vrapa_N	vrap_None
Michaela_N	Michael_None
Rafaela_N	Rafael_None
Petra_N	Petr_None
nopa_N	nop_None
Jana_N	Jan_None
hřada_N	hřad_None
čakana_N	čakan_None
bárina_N	bárin_None
Jaroslava_N	Jaroslav_None
luska_N	lusk_None
Johana_N	Johan_None
ataka_N	atak_None
Jaromíra_N	Jaromír_None
teoréma_N	teorém_None
výprosa_N	výpros_None
Freda_N	Fred_None
narda_N	nard_None
Leopolda_N	Leopold_None
Marcela_N	Marcel_None
Svatoslava_N	Svatoslav_None
fuksa_N	fuks_None
dožera_N	dožer_None
štuka_N	štuk_None
epopeja_N	epopej_None
spahia_N	spahi_None
Daniela_N	Daniel_None
prostora_N	prostor_None
mula_N	mul_None
zároda_N	zárod_None
pohova_N	pohov_None

nepřehledno_N	nepřehledný_None
jsoucno_N	jsoucný_None
slano_N	slaný_None
prašno_N	prašný_None
měkko_N	měkký_None
současno_N	současný_None
oblačno_N	oblačný_None
modročerno_N	modročerný_None
vlídno_N	vlídný_None
husto_N	hustý_None
zelenavo_N	zelenavý_None
bezvětrno_N	bezvětrný_None
nadskutečno_N	nadskutečný_None
přehluboko_N	přehluboký_None
řídko_N	řídký_None
nedozírno_N	nedozírný_None
vábivo_N	vábivý_None
bezedno_N	bezedný_None
mělko_N	mělký_None
čtvero_N	čtverý_None
desatero_N	desaterý_None
teskno_N	teskný_None
volno_N	volný_None
červeno_N	červený_None
nepamětno_N	nepamětný_None
vzdušno_N	vzdušný_None
soumračno_N	soumračný_None
bezmezno_N	bezmezný_None
prudko_N	prudký_None
vnadno_N	vnadný_None
teplo_N	teplý_None
nadreálno_N	nadreálný_None
vyprahlo_N	vyprahlý_None
tajno_N	tajný_None
užitečno_N	užitečný_None
vlhko_N	vlhký_None
éterno_N	éterný_None
zářivo_N	zářivý_None
tlusto_N	tlustý_None

rybničný_A	rybniční_None
výhostný_A	výhostní_None
věčnostný_A	věčnostní_None
zápecný_A	zápecní_None
zápětný_A	zápětní_None
výložný_A	výložní_None
slovný_A	slovní_None
průvodný_A	průvodní_None
bezpohlavný_A	bezpohlavní_None
výplatný_A	výplatní_None
cvičebný_A	cvičební_None
zkušebný_A	zkušební_None
zárovný_A	zárovní_None
čtverečný_A	čtvereční_None
výučný_A	výuční_None
hrdelný_A	hrdelní_None
jednopohlavný_A	jednopohlavní_None
návratný_A	návratní_None
ženný_A	ženní_None
ideálný_A	ideální_None
pokrevný_A	pokrevní_None
výjezdný_A	výjezdní_None
zrcadelný_A	zrcadelní_None
zásvětný_A	zásvětní_None
výmazný_A	výmazní_None
viničný_A	viniční_None
výražný_A	výražní_None
klenebný_A	klenební_None
nástupný_A	nástupní_None
námezdný_A	námezdní_None
lesný_A	lesní_None
vrstevný_A	vrstevní_None
vazebný_A	vazební_None
výpadný_A	výpadní_None
učebný_A	učební_None
výčepný_A	výčepní_None
bočný_A	boční_None
jatečný_A	jateční_None
zákupný_A	zákupní_None
zápisný_A	zápisní_None
smutečný_A	smuteční_None
těžný_A	těžní_None
třicetiletý_A	třicetiletí_None
žalářný_A	žalářní_None
úložný_A	úložní_None
pobočný_A	poboční_None
čajný_A	čajní_None
tržný_A	tržní_None

motáček_N	moták_None
úvodníček_N	úvodník_None
křižáček_N	křižák_None
vrtulníček_N	vrtulník_None
květáček_N	květák_None
moučníček_N	moučník_None
ručníček_N	ručník_None
řezníček_N	řezník_None
pláteček_N	plátek_None
trávníček_N	trávník_None
květníček_N	květník_None
Mireček_N	Mirek_None
kriminálníček_N	kriminálník_None
krváček_N	krvák_None
navijáček_N	naviják_None
jaderníček_N	jaderník_None
víneček_N	vínek_None
domovníček_N	domovník_None
krápníček_N	krápník_None
slepáček_N	slepák_None
Jiříček_N	Jiřík_None
měďáček_N	měďák_None
grošáček_N	grošák_None
bocháneček_N	bochánek_None
bijáček_N	biják_None
Toníček_N	Toník_None
březňáček_N	březňák_None
makovníček_N	makovník_None
Karlíček_N	Karlík_None
klíneček_N	klínek_None
ležáček_N	ležák_None
malíček_N	malík_None
bouřliváček_N	bouřlivák_None
obleček_N	oblek_None
Janeček_N	Janek_None
svíteček_N	svítek_None
Kubíček_N	Kubík_None
broček_N	brok_None

vítáníčko_N	vítání_None
závětříčko_N	závětří_None
zůstáváníčko_N	zůstávání_None
poleženíčko_N	poležení_None
zátišíčko_N	zátiší_None
pojednáníčko_N	pojednání_None
podloubíčko_N	podloubí_None
pohoříčko_N	pohoří_None
bydleníčko_N	bydlení_None
chmýříčko_N	chmýří_None
ústíčko_N	ústí_None
hnutíčko_N	hnutí_None
čepeníčko_N	čepení_None
žebrovíčko_N	žebroví_None
panstvíčko_N	panství_None
královstvíčko_N	království_None
úskalíčko_N	úskalí_None
čteníčko_N	čtení_None
vyraženíčko_N	vyražení_None
utkáníčko_N	utkání_None
veršováníčko_N	veršování_None
řízeníčko_N	řízení_None
nábřežíčko_N	nábřeží_None
políbeníčko_N	políbení_None
uhlíčko_N	uhlí_None
vyspáníčko_N	vyspání_None
odděleníčko_N	oddělení_None
škrábnutíčko_N	škrábnutí_None
vysvětleníčko_N	vysvětlení_None
vzkázáníčko_N	vzkázání_None
uměníčko_N	umění_None
zápecíčko_N	zápecí_None
obočíčko_N	obočí_None
vyživeníčko_N	vyživení_None
zdáníčko_N	zdání_None
cukrovíčko_N	cukroví_None
veselíčko_N	veselí_None
zákampíčko_N	zákampí_None
říkáníčko_N	říkání_None
oseníčko_N	osení_None

námezdní_A	námezdný_None
obstarožní_A	obstarožný_None
ústrojní_A	ústrojný_None
směneční_A	směnečný_None
památeční_A	památečný_None
výložní_A	výložný_None
čivní_A	čivný_None
závětní_A	závětný_None
bezprizorní_A	bezprizorný_None
úmluvní_A	úmluvný_None
záslibní_A	záslibný_None
příční_A	příčný_None
výtažní_A	výtažný_None
morní_A	morný_None
zárovní_A	zárovný_None
vážní_A	vážný_None
obilní_A	obilný_None
vzdušní_A	vzdušný_None
niterní_A	niterný_None
stavební_A	stavebný_None
podnební_A	podnebný_None
záštní_A	záštný_None
