lemma	parents
megafirma	-mega- firma
megaampérhodina	-mega- ampérhodina
megaparsek	-mega- parsek
megafauna	-mega- fauna
megastruktura	-mega- struktura
megahit	-mega- hit
megahvězda	-mega- hvězda
megalopole	-mega- pole
supermono	-super- mono
superkamion	-super- kamion
supermotard	-super- motard
supertěžký	-super- těžký
gigawatt	-giga- watt
gigaampér	-giga- ampér
gigapascal	-giga- pascal
gigabyte	-giga- byte
gigahertz	-giga- hertz
gigavolt	-giga- volt
gigabit	-giga- bit
gigawatthodina	-giga- watthodina
gigatuna	-giga- tuna
gigajoul	-giga- joul
gigaohm	-giga- ohm
gigaflops	-giga- flops
gigaampérhodina	-giga- ampérhodina
gigakalorie	-giga- kalorie
pidižena	píď žena
pidizem	píď zem
pidistrana	píď strana
piditrh	píď trh
pidigarsonka	píď garsonka
pidirole	píď role
pidibarák	píď barák
pidistát	píď stát
pidimuž	píď muž
pidiměsto	píď město
pidiauto	píď auto
pidichata	píď chata
pidiprostý	píď prostý
pidilyže	píď lyže
pidikancelář	píď kancelář
mimozemšťan	mimo zemšťan
mimoglobální	mimo globální
telefeérie	-tel- feérie
teleturnaj	-tel- turnaj
telesoutěž	-tel- soutěž
telekopie	-tel- kopie
teleprinter	-tel- printer
teleport	-tel- port
telekonference	-tel- konference
telefax	-tel- fax
telegymnastika	-tel- gymnastika
telekomunikovat	-tel- komunikovat
teleprezence	-tel- prezence
telekonvertor	-tel- konvertor
teletéka	-tel- téka
televize	-tel- vize
telenovela	-tel- novela
telefonotéka	-tel- fonotéka
teleservis	-tel- servis
telemarketing	-tel- marketing
telekarta	-tel- karta
teleshopping	-tel- shopping
teletext	-tel- text
telemost	-tel- most
telekviz	-tel- kviz
telefoto	-tel- foto
telemechanika	-tel- mechanika
telefotografie	-tel- fotografie
telesetkat	-tel- setkat
telomera	tel mera
telofáze	tel fáze
mikrowatt	-mikr- watt
mikroampér	-mikr- ampér
mikrovolt	-mikr- volt
mikroampérhodina	-mikr- ampérhodina
sportcentrum	sport centrum
polosvět	půl svět
polokoule	půl koule
polotovar	půl tovar
polotuhý	půl tuhý
polosen	půl sen
polonahý	půl nahý
polosamostatný	půl samostatný
polobdít	půl bdít
polotvrdý	půl tvrdý
polomrtvý	půl mrtvý
polotvar	půl tvar
polosyrový	půl syrový
polodlouhý	půl dlouhý
polohad	půl had
polosoukromý	půl soukromý
polomontovat	půl montovat
poloteplý	půl teplý
poloosa	půl osa
poloplášť	půl plášť
poločerný	půl černý
poloreforma	půl reforma
poloparazit	půl parazit
polovysokoškolský	půl vysokoškolský
polostrmý	půl strmý
polosladký	půl sladký
polokruh	půl kruh
polokošile	půl košile
polounciála	půl unciála
polootrok	půl otrok
polobedna	půl bedna
poloverš	půl verš
polobůh	půl bůh
polohořký	půl hořký
polodetail	půl detail
polokov	půl kov
poloobr	půl obr
polovlna	půl vlna
polopergamen	půl pergamen
polovodič	půl vodič
polopravý	půl pravý
polostín	půl stín
polostrom	půl strom
poloslinutý	půl slinutý
polovysoký	půl vysoký
poloreportáž	půl reportáž
poloparuka	půl paruka
polokeř	půl keř
polohoror	půl horor
poloreliéf	půl reliéf
polosuchý	půl suchý
pololán	půl lán
polosenzace	půl senzace
polohlas	půl hlas
polosedět	půl sedět
poloostrý	půl ostrý
poloproletář	půl proletář
polosamohláska	půl samohláska
polobratr	půl bratr
polobalada	půl balada
polohotový	půl hotový
polozrát	půl zrát
polovat	půl vat
polobohatý	půl bohatý
polodrahý	půl drahý
poloměkký	půl měkký
poloprázdný	půl prázdný
pololegální	půl legální
poloosel	půl osel
poloopice	půl opice
polohustý	půl hustý
polosamočinný	půl samočinný
poloblbý	půl blbý
poloslabý	půl slabý
polokarakul	půl karakul
polomaska	půl maska
polotma	půl tma
poloruina	půl ruina
polotón	půl tón
poloagrární	půl agrární
poločas	půl čas
polohrubý	půl hrubý
polokůže	půl kůže
poloperzián	půl perzián
polotyp	půl typ
poločlověk	půl člověk
polootevřít	půl otevřít
polokonfekce	půl konfekce
polokřídlo	půl křídlo
polokanton	půl kanton
poloprodukt	půl produkt
polofáma	půl fáma
poloraný	půl raný
polokolonie	půl kolonie
poloduplex	půl duplex
polosirota	půl sirota
poloautonomní	půl autonomní
polopatro	půl patro
polosyntetický	půl syntetický
polovina	půl vina
polokřeslo	půl křeslo
polopodzemní	půl podzemní
polokarton	půl karton
polosvéprávný	půl svéprávný
polovrak	půl vrak
polojemnovlnný	půl jemnovlnný
polokomedie	půl komedie
pologénius	půl génius
polofabrikát	půl fabrikát
polojemný	půl jemný
polokonzerva	půl konzerva
pološvestka	půl švestka
poloblb	půl blb
polospát	půl spát
polorafinovat	půl rafinovat
polokoks	půl koks
polodrážkovník	půl drážkovník
polopřímý	půl přímý
poloprezident	půl prezident
polostabilní	půl stabilní
poloslepý	půl slepý
poloklabonosý	půl klabonosý
polopás	půl pás
pološkola	půl škola
polosamota	půl samota
polopenze	půl penze
polomaketa	půl maketa
polooblý	půl oblý
polohedvábí	půl hedvábí
polokupé	půl kupé
polozdravý	půl zdravý
polostep	půl step
polověnec	půl věnec
polosytý	půl sytý
poloprofil	půl profil
pološikmý	půl šikmý
polokaskáda	půl kaskáda
poloautomat	půl automat
poloacetal	půl acetal
polokopec	půl kopec
poloblázen	půl blázen
polotěžký	půl těžký
polosloup	půl sloup
poloamatér	půl amatér
polobřevno	půl břevno
polopermanentní	půl permanentní
polofeudální	půl feudální
polointeligence	půl inteligence
polodlouhosrstý	půl dlouhosrstý
poloparlament	půl parlament
polobarbar	půl barbar
poloostrov	půl ostrov
poloveřejný	půl veřejný
polokmen	půl kmen
pološeře	půl šeře
půlhodina	půl hodina
půlden	půl den
půlstoletý	půl stoletý
půlkilo	půl kilo
půlmilionář	půl milionář
půlvteřina	půl vteřina
půlkrupon	půl krupon
půldeci	půl deci
půlakt	půl akt
půlverš	půl verš
půlstrana	půl strana
půlvlna	půl vlna
půlarch	půl arch
půllitr	půl litr
půlšašlik	půl šašlik
půllán	půl lán
půlbyte	půl byte
půlkrok	půl krok
půlobraz	půl obraz
půlhektar	půl hektar
půltisícový	půl tisícový
půlmetr	půl metr
půltón	půl tón
půlprocento	půl procento
půlstovka	půl stovka
půlpenny	půl penny
půlpinta	půl pinta
půlkanton	půl kanton
půltuna	půl tuna
půlfáze	půl fáze
půlkolo	půl kolo
půlbilionový	půl bilionový
půldruhý	půl druhý
půletapa	půl etapa
půlminuta	půl minuta
půlmilionový	půl milionový
půltisíciletý	půl tisíciletý
půldecilitrový	půl decilitrový
půldolar	půl dolar
půlmost	půl most
půlšilink	půl šilink
půlnoc	půl noc
půltucet	půl tucet
půlmiliardový	půl miliardový
půlperioda	půl perioda
půlbochník	půl bochník
půlvěnec	půl věnec
půlměsíc	půl měsíc
půlsekunda	půl sekunda
půlslabika	půl slabika
půloliva	půl oliva
půlpár	půl pár
půlkůň	půl kůň
polylinie	-poly- linie
polyethylen	-poly- ethylen
polyfenol	-poly- fenol
polyamid	-poly- amid
polymethylmetakrylát	-poly- methylmetakrylát
polyen	-poly- en
polypropylenglykol	-poly- propylenglykol
polyolefin	-poly- olefin
polygen	-poly- gen
polycenóza	-poly- cenóza
polyfenylen	-poly- fenylen
polyazobarvivo	-poly- azobarvivo
polysulfid	-poly- sulfid
polypeptid	-poly- peptid
polykrystal	-poly- krystal
polyterpen	-poly- terpen
polyaxiální	-poly- axiální
polyneuritida	-poly- neuritida
polyvinyl	-poly- vinyl
polyfont	-poly- font
polyteizmus	-poly- teizmus
polyvalence	-poly- valence
polynukleotid	-poly- nukleotid
polymorf	-poly- morf
polysacharid	-poly- sacharid
polyfenylalanin	-poly- fenylalanin
polyizobutylen	-poly- izobutylen
polyakrylonitril	-poly- akrylonitril
polyhalit	-poly- halit
polygeneze	-poly- geneze
polyvinylchlorid	-poly- vinylchlorid
polyhistorie	-poly- historie
polyneuritis	-poly- neuritis
polytyp	-poly- typ
polyekran	-poly- ekran
polysulfit	-poly- sulfit
polyfosforečný	-poly- fosforečný
polyvinylether	-poly- vinylether
polykaprolaktam	-poly- kaprolaktam
polyamin	-poly- amin
polyisopren	-poly- isopren
polyhydroxyderivát	-poly- hydroxyderivát
polynitrosloučenina	-poly- nitrosloučenina
polychloropren	-poly- chloropren
polyvinylacetát	-poly- vinylacetát
polysyntetický	-poly- syntetický
polyimid	-poly- imid
polypropylén	-poly- propylén
polyisobutylen	-poly- isobutylen
polysulfon	-poly- sulfon
polyarteriitis	-poly- arteriitis
polyhydroxykarboxylový	-poly- hydroxykarboxylový
polymethylen	-poly- methylen
polyneuropatie	-poly- neuropatie
polynukleární	-poly- nukleární
polyadukt	-poly- adukt
polyserozitida	-poly- serozitida
polytechnika	-poly- technika
polyarteriitida	-poly- arteriitida
polystyrén	-poly- styrén
polyethylenglykol	-poly- ethylenglykol
polyaldehyd	-poly- aldehyd
polyfylogeneze	-poly- fylogeneze
polyhydroxysloučenina	-poly- hydroxysloučenina
polyfág	-poly- fág
polyglot	-poly- glot
polyacetal	-poly- acetal
polyhybrid	-poly- hybrid
multiatribut	-multi- atribut
multisíť	-multi- síť
multimodel	-multi- model
multivitamin	-multi- vitamin
multiport	-multi- port
multimédium	-multi- médium
multiplet	-multi- plet
multinacionální	-multi- nacionální
multifont	-multi- font
multistandard	-multi- standard
multikára	-multi- kára
multibyte	-multi- byte
multiprogram	-multi- program
multivideo	-multi- video
multidrop	-multi- drop
multidownload	-multi- download
multimetr	-multi- metr
multiprojekt	-multi- projekt
multiplayer	-multi- player
multithreading	-multi- threading
multiprotokol	-multi- protokol
multikoncern	-multi- koncern
multikino	-multi- kino
multiverze	-multi- verze
multiservis	-multi- servis
multikriteriální	-multi- kriteriální
multipól	-multi- pól
multiadaptér	-multi- adaptér
multinomický	-multi- nomický
multilicence	-multi- licence
multifil	-multi- fil
multitask	-multi- task
multikarta	-multi- karta
multicasting	-multi- casting
multimilionový	-multi- milionový
multimiliardář	-multi- miliardář
multimiliardový	-multi- miliardový
multitalent	-multi- talent
radiodiagnostika	-radi- diagnostika
radioautomobil	-radi- automobil
radiovelkoobchod	-radi- velkoobchod
radioteleskop	-radi- teleskop
radioastrofyzika	-radi- astrofyzika
radiopotřeba	-radi- potřeba
radionika	-radi- nika
radionotebook	-radi- notebook
radiokarbon	-radi- karbon
radioimunostanovení	-radi- imunostanovení
radioimunoanalýza	-radi- imunoanalýza
radiotelefon	-radi- telefon
radiomagnetofon	-radi- magnetofon
radiobiologie	-radi- biologie
radiomodem	-radi- modem
radiokompas	-radi- kompas
radiodálnopis	-radi- dálnopis
radioastronomie	-radi- astronomie
radioindikátor	-radi- indikátor
radiofobie	-radi- fobie
radiomost	-radi- most
radioizotop	-radi- izotop
radiofotografie	-radi- fotografie
radiomrakodrap	-radi- mrakodrap
radiointerferometrie	-radi- interferometrie
nitroskupina	-nitr- skupina
nitrochlorbenzen	-nitr- chlorbenzen
nitrofenol	-nitr- fenol
nitroblána	-nitr- blána
nitroglycerol	-nitr- glycerol
nitroanilin	-nitr- anilin
nitrobarva	-nitr- barva
nitropyridin	-nitr- pyridin
nitrodiazonaftolsulfokyselina	-nitr- diazonaftolsulfokyselina
nitrocelulosa	-nitr- celulosa
nitrolátka	-nitr- látka
nitropropan	-nitr- propan
nitrobifenyl	-nitr- bifenyl
nitroglycerin	-nitr- glycerin
nitrobenzen	-nitr- benzen
nitroglykol	-nitr- glykol
nitroska	-nitr- ska
nitrotoluen	-nitr- toluen
nitroalkan	-nitr- alkan
nitroester	-nitr- ester
nitrobenzaldehyd	-nitr- benzaldehyd
nitrometan	-nitr- metan
nitronaftalen	-nitr- naftalen
nitrolak	-nitr- lak
nitrocelulóza	-nitr- celulóza
