lemma	parents
biometeorologie	-bio- meteorologie
bioklima	-bio- klima
bioceler	-bio- celer
biošunka	-bio- šunka
biocyklus	-bio- cyklus
biopřítel	-bio- přítel
biokaše	-bio- kaše
biosponzor	-bio- sponzor
biopalác	-bio- palác
biogeneze	-bio- geneze
bioevoluce	-bio- evoluce
biocena	-bio- cena
biovřeteno	-bio- vřeteno
biokiwi	-bio- kiwi
biokocovina	-bio- kocovina
biojatky	-bio- jatky
biosliz	-bio- sliz
biobota	-bio- bota
biomouka	-bio- mouka
biomunice	-bio- munice
biopolenta	-bio- polenta
biomolekula	-bio- molekula
biocigareta	-bio- cigareta
biobáze	-bio- báze
bioagens	-bio- agens
biodesign	-bio- design
biotyp	-bio- typ
biošťáva	-bio- šťáva
biopomeranč	-bio- pomeranč
bioplyn	-bio- plyn
biozboží	-bio- zboží
biorána	-bio- rána
biokočka	-bio- kočka
biočlověk	-bio- člověk
biokúra	-bio- kúra
biokerosin	-bio- kerosin
biorám	-bio- rám
bioteror	-bio- teror
biolátka	-bio- látka
bioverze	-bio- verze
biostatistika	-bio- statistika
biohruška	-bio- hruška
biofarma	-bio- farma
biovinohrad	-bio- vinohrad
biožrout	-bio- žrout
biopole	-bio- pole
biotest	-bio- test
biofikce	-bio- fikce
biokout	-bio- kout
bioboom	-bio- boom
biobýk	-bio- býk
biosynagoga	-bio- synagoga
biomimikry	-bio- mimikry
bioindex	-bio- index
biolexikon	-bio- lexikon
biowhisky	-bio- whisky
biomatematika	-bio- matematika
biokatedra	-bio- katedra
biopaprika	-bio- paprika
bioherbicid	-bio- herbicid
biotábor	-bio- tábor
biokopr	-bio- kopr
biogeochemie	-bio- geochemie
biokapr	-bio- kapr
bioskutek	-bio- skutek
biodobytek	-bio- dobytek
biotransformovat	-bio- transformovat
bioluminiscence	-bio- luminiscence
biomák	-bio- mák
biohrách	-bio- hrách
biorakev	-bio- rakev
biokotel	-bio- kotel
biosauna	-bio- sauna
bioplán	-bio- plán
bioproud	-bio- proud
biodatle	-bio- datle
biohouba	-bio- houba
biodžem	-bio- džem
bioradar	-bio- radar
biopšenice	-bio- pšenice
biořízek	-bio- řízek
biomeruňka	-bio- meruňka
bioveletrh	-bio- veletrh
biopast	-bio- past
biolegislativa	-bio- legislativa
bioprotéza	-bio- protéza
biostroj	-bio- stroj
biostyl	-bio- styl
bioovoce	-bio- ovoce
biorežim	-bio- režim
biobanka	-bio- banka
bioerror	-bio- error
biooblast	-bio- oblast
biobanán	-bio- banán
