vliv		vlít		
zákaz				zakazovat
odkaz				odkazovat
příkaz				přikazovat
důkaz			dokázat / dokazovat	
poukaz				poukazovat
rozkaz				rozkazovat
vzkaz				vzkazovat
náraz		narazit		
odraz		odrazit		
dotaz				dotazovat
krádež				krást
lež				lhát
zátěž				zatěžovat
obtíž		obtížit		
pozdrav			pozdravit / pozdravovat	
předpověď		přepodvědět		
slib				slibovat
příslib				přislibovat
dohad				dohadovat
výklad				vykládat
rozklad				rozkládat
odpověď		odpovědět		
výpověď		vypovědět		
úraz ?		urazit		
				
požadavek				požadovat
polibek		políbit		
				
žádost				žádat
stížnost				stěžovat
lítost				litovat
				
bázeň				bát se
				
hádanice				hádat
				
koupě		koupit		
pře				přít se
rozepře		rozepřít		
