lemma	tag	wordform	parents
osmatřicátý	CrFP1----------	osmatřicáté	osmatřicet
osmačtyřicátý	CrFP1----------	osmačtyřicáté	osmačtyřicet
osmašedesátý	CrFP1----------	osmašedesáté	osmašedesát
osmdesátimilióntý	CrFP1----------	osmdesátimiliónté	osmdesát milión
osmdesátitisící	CrFP1----------	osmdesátitisící	osmdesát tisíc
osmdesátý	CrFP1----------	osmdesáté	osmdesát
osmimiliontý_,s_^(^DD**osmimilióntý)	CrFP1----------	osmimilionté	osmimiliontý
osmimilióntý	CrFP1----------	osmimiliónté	osmimilióntý
osmistý	CrFP1----------	osmisté	osmset
osmitisící	CrFP1----------	osmitisící	osm tisíc
osmnáctý	CrFP1----------	osmnácté	osmnáct
osmý	CrFP1----------	osmé	osm
padesátimiliontý_,s_^(^DD**padesátimilióntý)	CrFP1----------	padesátimilionté	padesátimiliontý
padesátimilióntý	CrFP1----------	padesátimiliónté	padesátimilióntý
padesátitisící	CrFP1----------	padesátitisící	padesátitisící
padesátý	CrFP1----------	padesáté	padesátý
patnáctistý`1500	CrFP1----------	patnáctisté	pětset tisíc
patnáctitisící	CrFP1----------	patnáctitisící	patnáctitisící
patnáctý	CrFP1----------	patnácté	patnáctý
první-1	CrFP1----------	první	první
pátý	CrFP1----------	páté	pátý
pětadevadesátý	CrFP1----------	pětadevadesáté	pětadevadesátý
pětadvacetimiliontý_,s_^(^DD**pětadvacetimilióntý)	CrFP1----------	pětadvacetimilionté	pětadvacetimiliontý
pětadvacetimilióntý	CrFP1----------	pětadvacetimiliónté	pětadvacetimilióntý
pětadvacetitisící`25000	CrFP1----------	pětadvacetitisící	pět dvacet tisíc
pětadvacátý`25	CrFP1----------	pětadvacáté	pět dvacet
pětaosmdesátý	CrFP1----------	pětaosmdesáté	pětaosmdesátý
pětapadesátý	CrFP1----------	pětapadesáté	pětapadesátý
pětapůltý`5.5	CrFP1----------	pětapůlté	pět půl
pětasedmdesátý	CrFP1----------	pětasedmdesáté	pětasedmdesátý
pětatřicátý	CrFP1----------	pětatřicáté	pětatřicátý
pětačtyřicátý	CrFP1----------	pětačtyřicáté	pětačtyřicátý
pětašedesátitisící	CrFP1----------	pětašedesátitisící	pětašedesátitisící
pětašedesátý	CrFP1----------	pětašedesáté	pětašedesátý
pětiačtvrtmiliontý_,s_^(^DD**pětiačtvrtmilióntý)	CrFP1----------	pětiačtvrtmilionté	pětiačtvrtmiliontý
pětiačtvrtmilióntý	CrFP1----------	pětiačtvrtmiliónté	pětiačtvrtmilióntý
pětimiliardtý	CrFP1----------	pětimiliardté	pětimiliardtý
pětimiliontý_,s_^(^DD**pětimilióntý)	CrFP1----------	pětimilionté	pětimiliontý
pětimilióntý	CrFP1----------	pětimiliónté	pětimilióntý
pětisetmilióntý	CrFP1----------	pětisetmiliónté	pětisetmilióntý
pětisettisící	CrFP1----------	pětisettisící	pětisettisící
pětistý	CrFP1----------	pětisté	pětistý
pětitisící	CrFP1----------	pětitisící	pětitisící
půlmiliontý_,s_^(^DD**půlmilióntý)	CrFP1----------	půlmilionté	půlmiliontý
půlmilióntý`500000	CrFP1----------	půlmiliónté	pětset tisíc
půlpátý	CrFP1----------	půlpáté	půlpátý
půltý`0.5	CrFP1----------	půlté	půl
půlčtvrtý	CrFP1----------	půlčtvrté	půlčtvrtý
sedmadevadesátý	CrFP1----------	sedmadevadesáté	sedmadevadesátý
sedmadvacetitisící`27000	CrFP1----------	sedmadvacetitisící	sedm dvacet tisíc
sedmadvacátý	CrFP1----------	sedmadvacáté	sedmadvacátý
sedmaosmdesátý	CrFP1----------	sedmaosmdesáté	sedmaosmdesátý
sedmapadesátý	CrFP1----------	sedmapadesáté	sedmapadesátý
sedmasedmdesátý`77	CrFP1----------	sedmasedmdesáté	sedm sedmdesát
sedmatřicátý	CrFP1----------	sedmatřicáté	sedmatřicátý
sedmačtyřicátý	CrFP1----------	sedmačtyřicáté	sedmačtyřicátý
sedmašedesátý	CrFP1----------	sedmašedesáté	sedmašedesátý
sedmdesátimilióntý	CrFP1----------	sedmdesátimiliónté	sedmdesátimilióntý
sedmdesátitisící	CrFP1----------	sedmdesátitisící	sedmdesátitisící
sedmdesátý	CrFP1----------	sedmdesáté	sedmdesátý
sedmimiliontý_,s_^(^DD**sedmimilióntý)	CrFP1----------	sedmimilionté	sedmimiliontý
sedmimilióntý	CrFP1----------	sedmimiliónté	sedmimilióntý
sedmisetosmdesátý	CrFP1----------	sedmisetosmdesáté	sedmisetosmdesátý
sedmisetpadesátý	CrFP1----------	sedmisetpadesáté	sedmisetpadesátý
sedmistý	CrFP1----------	sedmisté	sedmistý
sedmitisící	CrFP1----------	sedmitisící	sedmitisící
sedmnáctý	CrFP1----------	sedmnácté	sedmnáctý
sedmý	CrFP1----------	sedmé	sedmý
stodesátý	CrFP1----------	stodesáté	stodesátý
stodevadesátý	CrFP1----------	stodevadesáté	stodevadesátý
stodevatenáctý`119	CrFP1----------	stodevatenácté	sto devatenáct
stodevátý	CrFP1----------	stodeváté	stodevátý
stodevětadevadesátý`199	CrFP1----------	stodevětadevadesáté	sto devět devadesát
stodevětatřicátý`139	CrFP1----------	stodevětatřicáté	sto devět třicet
stodruhý`2	CrFP1----------	stodruhé	dva
stodvaasedmdesátý`172	CrFP1----------	stodvaasedmdesáté	sto dva sedmdesát
stodvaatřicátý`132	CrFP1----------	stodvaatřicáté	sto dva třicet
stodvaačtyřicátý`142	CrFP1----------	stodvaačtyřicáté	sto dva čtyřicet
stodvaašedesátý`162	CrFP1----------	stodvaašedesáté	sto dva šedesát
stodvacátý	CrFP1----------	stodvacáté	stodvacátý
stodvanáctý	CrFP1----------	stodvanácté	stodvanáctý
stojedenapadesátý`151	CrFP1----------	stojedenapadesáté	sto jeden padesát
stojedenačtyřicátý`141	CrFP1----------	stojedenačtyřicáté	sto jeden čtyřicet
stojedenašedesátý`161	CrFP1----------	stojedenašedesáté	sto jeden šedesát
stojedenáctý	CrFP1----------	stojedenácté	stojedenáctý
stojednadvacátý`121	CrFP1----------	stojednadvacáté	sto jeden dvacet
stojednaosmdesátý`181	CrFP1----------	stojednaosmdesáté	sto jeden osmdesát
stojednapadesátý`151	CrFP1----------	stojednapadesáté	sto jeden padesát
stojednačtyřicátý`141	CrFP1----------	stojednačtyřicáté	sto jeden čtyřicet
stomiliontý_,s_^(^DD**stomilióntý)	CrFP1----------	stomilionté	stomiliontý
stomilióntý	CrFP1----------	stomiliónté	stomilióntý
stoosmadevadesátý`198	CrFP1----------	stoosmadevadesáté	sto osm devadesát
stoosmadvacátý`128	CrFP1----------	stoosmadvacáté	sto osm dvacet
stoosmapadesátý`158	CrFP1----------	stoosmapadesáté	sto osm padesát
stoosmdesátý	CrFP1----------	stoosmdesáté	stoosmdesátý
stoosmnáctý`118	CrFP1----------	stoosmnácté	sto osmnáct
stoosmý	CrFP1----------	stoosmé	stoosmý
stopadesátý	CrFP1----------	stopadesáté	stopadesátý
stopatnáctý	CrFP1----------	stopatnácté	stopatnáctý
stopátý	CrFP1----------	stopáté	stopátý
stopětadvacátý	CrFP1----------	stopětadvacáté	stopětadvacátý
stopětaosmdesátý`185	CrFP1----------	stopětaosmdesáté	sto pět osmdesát
stopětapadesátý`155	CrFP1----------	stopětapadesáté	sto pět padesát
stopětatřicátý	CrFP1----------	stopětatřicáté	stopětatřicátý
stosedmapadesátý`157	CrFP1----------	stosedmapadesáté	sto sedm padesát
stosedmasedmdesátý`177	CrFP1----------	stosedmasedmdesáté	sto sedm sedmdesát
stosedmašedesátý`167	CrFP1----------	stosedmašedesáté	sto sedm šedesát
stosedmdesátý	CrFP1----------	stosedmdesáté	stosedmdesátý
stosedmnáctý	CrFP1----------	stosedmnácté	stosedmnáctý
stosedmý	CrFP1----------	stosedmé	stosedmý
stotisící	CrFP1----------	stotisící	stotisící
stotřetí	CrFP1----------	stotřetí	stotřetí
stotřiadvacátý`123	CrFP1----------	stotřiadvacáté	sto tři dvacet
stotřiapadesátý`153	CrFP1----------	stotřiapadesáté	sto tři padesát
stotřiasedmdesátý`173	CrFP1----------	stotřiasedmdesáté	sto tři sedmdesát
stotřiatřicátý`133	CrFP1----------	stotřiatřicáté	sto tři třicet
stotřiačtyřicátý`143	CrFP1----------	stotřiačtyřicáté	sto tři čtyřicet
stotřiašedesátý`163	CrFP1----------	stotřiašedesáté	sto tři šedesát
stotřicátý	CrFP1----------	stotřicáté	stotřicátý
stotřináctý	CrFP1----------	stotřinácté	stotřináctý
stočtrnáctý	CrFP1----------	stočtrnácté	stočtrnáctý
stočtvrtý	CrFP1----------	stočtvrté	stočtvrtý
stočtyřiadvacátý`124	CrFP1----------	stočtyřiadvacáté	sto čtyři dvacet
stočtyřiatřicátý`134	CrFP1----------	stočtyřiatřicáté	sto čtyři třicet
stočtyřicátý	CrFP1----------	stočtyřicáté	stočtyřicátý
stošedesátý	CrFP1----------	stošedesáté	stošedesátý
stošestadvacátý`126	CrFP1----------	stošestadvacáté	sto šest dvacet
stošestasedmdesátý`176	CrFP1----------	stošestasedmdesáté	sto šest sedmdesát
stošestašedesátý`166	CrFP1----------	stošestašedesáté	sto šest šedesát
stošestnáctý	CrFP1----------	stošestnácté	stošestnáctý
stošestý	CrFP1----------	stošesté	stošestý
stý	CrFP1----------	sté	sto
tisící	CrFP1----------	tisící	tisící
třetí	CrFP1----------	třetí	třetí
třiadevadesátý	CrFP1----------	třiadevadesáté	třiadevadesátý
třiadvacátý	CrFP1----------	třiadvacáté	třiadvacátý
třiaosmdesátý	CrFP1----------	třiaosmdesáté	třiaosmdesátý
třiapadesátý	CrFP1----------	třiapadesáté	třiapadesátý
třiapůltý`3.5	CrFP1----------	třiapůlté	tři půl
třiasedmdesátý`73	CrFP1----------	třiasedmdesáté	tři sedmdesát
třiatřicátý	CrFP1----------	třiatřicáté	třiatřicátý
třiačtyřicátý	CrFP1----------	třiačtyřicáté	třiačtyřicátý
třiašedesátý	CrFP1----------	třiašedesáté	třiašedesátý
třicetimilióntý	CrFP1----------	třicetimiliónté	třicetimilióntý
třicetitisící	CrFP1----------	třicetitisící	třicetitisící
třicátý	CrFP1----------	třicáté	třicátý
třináctý	CrFP1----------	třinácté	třináctý
třistapadesátý	CrFP1----------	třistapadesáté	třistapadesátý
třistatisící	CrFP1----------	třistatisící	třistatisící
tříapůltý`3.5	CrFP1----------	tříapůlté	tři půl
třímiliontý_,s_^(^DD**třímilióntý)	CrFP1----------	třímilionté	třímiliontý
třímilióntý	CrFP1----------	třímiliónté	třímilióntý
třísetdevadesátý	CrFP1----------	třísetdevadesáté	třísetdevadesátý
třísetmiliontý_,s_^(^DD**třísetmilióntý)	CrFP1----------	třísetmilionté	třísetmiliontý
třísetmilióntý	CrFP1----------	třísetmiliónté	třísetmilióntý
třísetpadesátý`350	CrFP1----------	třísetpadesáté	třista padesát
třísettisící	CrFP1----------	třísettisící	třísettisící
třístý	CrFP1----------	třísté	třístý
třítisící	CrFP1----------	třítisící	třítisící
čtrnáctistý`1400	CrFP1----------	čtrnáctisté	čtrnáct sto
čtrnáctý	CrFP1----------	čtrnácté	čtrnáctý
čtvrtý	CrFP1----------	čtvrté	čtvrtý
čtyřiadevadesátý`94	CrFP1----------	čtyřiadevadesáté	čtyři devadesát
čtyřiadvacátý	CrFP1----------	čtyřiadvacáté	čtyřiadvacátý
čtyřiaosmdesátý	CrFP1----------	čtyřiaosmdesáté	čtyřiaosmdesátý
čtyřiapadesátý	CrFP1----------	čtyřiapadesáté	čtyřiapadesátý
čtyřiapůltý	CrFP1----------	čtyřiapůlté	čtyřiapůltý
čtyřiasedmdesátý	CrFP1----------	čtyřiasedmdesáté	čtyřiasedmdesátý
čtyřiatřicátý	CrFP1----------	čtyřiatřicáté	čtyřiatřicátý
čtyřiačtyřicátý	CrFP1----------	čtyřiačtyřicáté	čtyřiačtyřicátý
čtyřiašedesátý	CrFP1----------	čtyřiašedesáté	čtyřiašedesátý
čtyřicetimilióntý	CrFP1----------	čtyřicetimiliónté	čtyřicetimilióntý
čtyřicetitisící	CrFP1----------	čtyřicetitisící	čtyřicetitisící
čtyřicátý	CrFP1----------	čtyřicáté	čtyřicátý
čtyřistapadesátý`450	CrFP1----------	čtyřistapadesáté	čtyřista padesát
čtyřistapětapadesátý`455	CrFP1----------	čtyřistapětapadesáté	čtyřista pět padesát
čtyřistatisící`400000	CrFP1----------	čtyřistatisící	čtyřista tisíc
čtyřistatřináctý`430	CrFP1----------	čtyřistatřinácté	čtyřista třicet
čtyřistačtvrtý`404	CrFP1----------	čtyřistačtvrté	čtyřista čtyři
čtyřmiliontý_,s_^(^DD**čtyřmilióntý)	CrFP1----------	čtyřmilionté	čtyřmiliontý
čtyřmilióntý	CrFP1----------	čtyřmiliónté	čtyřmilióntý
čtyřsetdvacátý`420	CrFP1----------	čtyřsetdvacáté	čtyřista dvacet
čtyřsettisící	CrFP1----------	čtyřsettisící	čtyřsettisící
čtyřstý	CrFP1----------	čtyřsté	čtyřstý
čtyřtisící	CrFP1----------	čtyřtisící	čtyřtisící
šedesátimiliontý_,s_^(^DD**šedesátimilióntý)	CrFP1----------	šedesátimilionté	šedesátimiliontý
šedesátimilióntý	CrFP1----------	šedesátimiliónté	šedesátimilióntý
šedesátitisící	CrFP1----------	šedesátitisící	šedesátitisící
šedesátý	CrFP1----------	šedesáté	šedesátý
šestadevadesátý	CrFP1----------	šestadevadesáté	šestadevadesátý
šestadvacátý	CrFP1----------	šestadvacáté	šestadvacátý
šestaosmdesátý	CrFP1----------	šestaosmdesáté	šestaosmdesátý
šestapadesátý	CrFP1----------	šestapadesáté	šestapadesátý
šestasedmdesátý	CrFP1----------	šestasedmdesáté	šestasedmdesátý
šestatřicátý	CrFP1----------	šestatřicáté	šestatřicátý
šestačtyřicátý	CrFP1----------	šestačtyřicáté	šestačtyřicátý
šestašedesátý	CrFP1----------	šestašedesáté	šestašedesátý
šestimiliontý_,s_^(^DD**šestimilióntý)	CrFP1----------	šestimilionté	šestimiliontý
šestimilióntý	CrFP1----------	šestimiliónté	šestimilióntý
šestistý	CrFP1----------	šestisté	šestistý
šestitisící	CrFP1----------	šestitisící	šestitisící
šestnáctistý`1600	CrFP1----------	šestnáctisté	šestset tisíc
šestnáctý`16	CrFP1----------	šestnácté	šestnáct
šestsetdruhý`602	CrFP1----------	šestsetdruhé	šestset dva
šestý	CrFP1----------	šesté	šestý
čtyřicátýpátý	CrIS1----------	čtyřicátýpátý	čtyřicátýpátý
šedesátýpátý	CrIS1----------	šedesátýpátý	šedesátýpátý
dvacátýčtvrtý	CrMS1----------	dvacátýčtvrtý	dvacátýčtvrtý
bůhvíkolikátý	CwFP1----------	bůhvíkolikáté	bůhvíkolikátý
kdovíkolikátý	CwFP1----------	kdovíkolikáté	kdovíkolikátý
kolikátý	CwFP1----------	kolikáté	kolikátý
několikátý	CwFP1----------	několikáté	několikátý
tolikátý	CwFP1----------	tolikáté	tolikátý
nejeden	CyFS1----------	nejedna	nejeden
biliarda	CzFP1----------	biliardy	biliarda
desetimiliarda	CzFP1----------	desetimiliardy	desetimiliarda
jedenapůlmiliarda	CzFP1----------	jedenapůlmiliardy	jedenapůlmiliarda
miliarda`1000000000	CzFP1----------	miliardy	miliarda
nula	CzFP1----------	nuly	nula
pětimiliarda	CzFP1----------	pětimiliardy	pětimiliarda
půlmiliarda	CzFP1----------	půlmiliardy	půlmiliarda
stamiliarda`100000000000	CzFP1----------	stamiliardy	sto miliard
stomiliarda`100000000000	CzFP1----------	stomiliardy	sto miliard
triliarda	CzFP1----------	triliardy	triliarda
čtvrt	CzFP1----------	čtvrtě	čtvrt
čtvrtmiliarda	CzFP1----------	čtvrtmiliardy	čtvrtmiliarda
bilion`1000000000000_,s_^(^DD**bilión)	CzIP1----------	biliony	bilion
bilión`1000000000000	CzIP1----------	bilióny	bilion
desetimilion`10000000_,s_^(^DD**desetimilión)	CzIP1----------	desetimiliony	deset milionů
desetimilión`10000000	CzIP1----------	desetimilióny	deset milionů
desetitisíc`10000	CzIP1----------	desetitisíce	deset tisíc
dvaapůltisíc`2500	CzIP1----------	dvaapůltisíce	dva půl tisíc
dvoumilión`2000000	CzIP1----------	dvoumilióny	dva miliony
kvadrilión	CzIP1----------	kvadrilióny	kvadrilión
milion`1000000_,s_^(^DD**milión)	CzIP1----------	miliony	milion
milión`1000000	CzIP1----------	milióny	milion
osmsettisíc`800000	CzIP1----------	osmsettisíce	osmset tisíc
pětimilion`5000000_,s_^(^DD**pětimilión)	CzIP1----------	pětimiliony	pět milionů
pětimilión`5000000	CzIP1----------	pětimilióny	pět milionů
půlbilion	CzIP1----------	půlbiliony	půlbilion
půlmilion`500000_,s_^(^DD**půlmilión)	CzIP1----------	půlmiliony	pětset tisíc
půlmilión`500000	CzIP1----------	půlmilióny	pětset tisíc
sextilion	CzIP1----------	sextiliony	sextilion
stamilion`100000000_,s_^(^DD**stamilión)	CzIP1----------	stamiliony	sto milionů
stamilión`100000000	CzIP1----------	stamilióny	sto milionů
statisíc`100000	CzIP1----------	statisíce	sto tisíc
stotisíc`100000	CzIP1----------	stotisíce	sto tisíc
tisíc`1000	CzIP1----------	tisíce	tisíc
trilion_,s_^(^DD**trilión)	CzIP1----------	triliony	trilion
trilión	CzIP1----------	trilióny	trilión
čtvrtmilion`250000_,s_^(^DD**čtvrtmilión)	CzIP1----------	čtvrtmiliony	čtvrt milion
čtvrtmilión`250000	CzIP1----------	čtvrtmilióny	čtvrt milión
šestsettisíc`600000	CzIP1----------	šestsettisíce	šestset tisíc
desettisíc`10000	CzIS1----------	desettisíc	deset tisíc
sto-1`100	CzNP1----------	sta	sto
