32879	begonie	begonie	N		
33711	beletrie	beletrie	N		
35768	bergenie	bergenie_;L	N		
35769	bergénie	bergénie_;L	N		
36959	bestie	bestie	N		
40146	bigoterie	bigoterie	N		
40990	bimbeloterie	bimbeloterie	N	<<<?>>>	
43623	bižutérie	bižutérie	N		
44535	blasfemie	blasfemie	N		
44536	blasfémie	blasfémie	N		
47478	boehmerie	boehmerie_;L	N		
50223	borderkolie	borderkolie_;L_,h_^(plemeno_psa)	NC		
53942	brasserie	brasserie_,t_^(francouzská_pekárna)	N		
54974	brekcie	brekcie_;L_^(druh_horniny)	N		
56483	bromélie	bromélie_;L_^(rostlina)	N		
56593	bronchie	bronchie	N		
61131	bulektomie	bulektomie_^(operace)	N		
61260	bulimie	bulimie	N		
64260	caddie	caddie_,l_,t_^(pomocník_při_golfu)	N		
66348	causerie	causerie	N		
66365	cavalerie	cavalerie	N		
66488	cecidie	cecidie	N		
66961	celiakie	celiakie_;U	N		
68021	centurie	centurie	N		
68253	ceremonie	ceremonie	N		
68326	cerkarie	cerkarie_^(larva)	N		
68327	cerkárie	cerkárie	N		
69387	cikorie	cikorie	N		
69433	cilie	cilie	N		
69553	cimelie	cimelie	N		
69736	cínie	cínie	N		
71456	coeliakie	coeliakie	N		
74270	curie	curie-2	N	74267	Curie–N–Curie_;S
74938	cyanobakterie	cyanobakterie	N		
74970	cydonie	cydonie_;L	N		
75937	cystektomie	cystektomie	N		
86750	dacie	dacie_;R	N		
86874	dafnie	dafnie_;L	N		
86914	daguerotypie	daguerotypie	N		
86919	daguerrotypie	daguerrotypie	N		
86948	dahlie	dahlie_;L	N		
87164	dalbergie	dalbergie_;L	N		
89972	dederonie	dederonie_,h	N		
92743	demagogie	demagogie	N		
93209	démonie	démonie	N		
94393	deponie	deponie	N		
96190	despocie	despocie_;p	N		
96973	deutzie	deutzie_;L	N		
98204	devocionálie	devocionálie	N		
99385	didaskalie	didaskalie_^(záznamy_o_provedení_dramatu)	N		
99442	diefenbachie	diefenbachie	N		
99658	die	die-1_;K_,t_^(souč._něm._názvů,_např._Die_Presse_[člen_f.])	A		
99682	difenbachie	difenbachie	N		
99764	diffenbachie	diffenbachie	N		
99809	diftérie	diftérie	N		
99810	difterie	difterie_^(záškrt)	N		
99814	diftongie	diftongie_;U	N	99836	diftong
99950	diglosie	diglosie	N	181695	glosa
100014	dichotomie	dichotomie	N		
100038	dichromatopsie	dichromatopsie_;U	N		
100476	dimorfie	dimorfie	N		
100502	dinanderie	dinanderie	N		
100687	dionýzie	dionýzie_;u	N	100678	Dionýsos
100699	dioptrie	dioptrie	N		
100763	diplakuzie	diplakuzie_;U	N		
100769	diploidie	diploidie	N		
100774	diplomacie	diplomacie	N		
100828	diplopie	diplopie_^(dvojité_vidění)	N		
100839	dipodie	dipodie	N		
101205	disharmonie	disharmonie	N	192386	harmonie
102256	distrofie	distrofie	N		
102727	divterie	divterie	N		
115213	dolichokranie	dolichokranie_;U	N		
137603	dramaturgie	dramaturgie	N		
137805	draperie	draperie	N		
137806	drapérie	drapérie	N		
139574	drogérie	drogérie	N		
139634	drolerie	drolerie	N		
142638	durancie	durancie_;L_^(strom)	N		
145174	dvojbiografie	dvojbiografie	NC		
145373	dvojfotografie	dvojfotografie	NC		
149257	dynastie	dynastie	N		
149355	dysenterie	dysenterie	N		
149356	dysfagie	dysfagie_;U	N		
149359	dysfonie	dysfonie	N	<<<?>>>	
149369	dysgrafie	dysgrafie	N	184056	graf
149372	dyskalkulie	dyskalkulie_;U	N	244050	kalkul
149378	dyslalie	dyslalie_;U	N	<<<?>>>	
149386	dyslexie	dyslexie	N	<<<?>>>	
149387	dyslipidemie	dyslipidemie_^(onemocnění)	N	<<<?>>>	
149390	dysmikrobie	dysmikrobie_;U	N	327999	mikrob
149396	dyspaurenie	dyspaurenie_;U	N	<<<?>>>	
149397	dyspepsie	dyspepsie	N	453571	pepsin
149400	dyspinxie	dyspinxie_^(porucha_kreslení)	N	<<<?>>>	
149404	dysplazie	dysplazie	N	<<<?>>>	
149407	dyspraxie	dyspraxie_^(porucha_učení)	N	505722	praxe
149409	dysrytmie	dysrytmie_;U	N	627160	rytmus
149410	dystonie	dystonie_;U	N	730285	tón
149414	dystopie	dystopie	N	<<<?>>>	
149426	dysurie	dysurie_;U	N	762526	urin
149461	dyzentérie	dyzentérie	N	<<<?>>>	
149462	dyzenterie	dyzenterie_;U	N	<<<?>>>	
151134	echolalie	echolalie_;U	N		
151144	echopraxie	echopraxie_;U	N		
151545	eklampsie	eklampsie	N		
152009	ekumenie	ekumenie	N	152005	ekumena
152321	elegie	elegie	N		
152959	eleuzínie	eleuzínie	N		
153723	embolektomie	embolektomie	N		
153727	embolie	embolie	N		
153729	embolofrazie	embolofrazie_;U	N		
153730	embololalie	embololalie_;U	N		
153819	emetropie	emetropie	N		
154125	empirie	empirie	N		
154235	enantiomerie	enantiomerie_;H	N		
154304	endemie	endemie	N		
154340	endivie	endivie	N		
154549	energie	energie	N		
154734	enharmonie	enharmonie_;u	N		
154903	entalpie	entalpie	N		
154907	entelechie	entelechie	N		
155015	entropie	entropie	N		
155151	eparchie	eparchie	N		
156783	estancie	estancie	N		
157386	etiopie	etiopie	N	157385	Etiopie
157684	eufónie	eufónie	N		
157689	euforie	euforie	N		
157755	eucharistie	eucharistie	N		
157846	eupepsie	eupepsie	N	453571	pepsin
158252	eurytmie	eurytmie	N	627160	rytmus
158280	eutanazie	eutanazie	N		
158291	euthanasie	euthanasie	N		
158300	eutrofie	eutrofie	N		
159141	exercicie	exercicie_^(duchovní_cvičení_pomn.])	N		
159146	exergie	exergie	N		
160869	exuvie	exuvie	N		
161354	facie	facie	N		
161580	fagotrofie	fagotrofie	N		
161905	faksimilie	faksimilie	N		
161965	faktorie	faktorie	N		
162069	falanstérie	falanstérie	N		
162478	famílie	famílie_,h	N		
162744	fantasmagorie	fantasmagorie	NC		
162767	fantazie	fantazie	N		
162793	fantazmagorie	fantazmagorie	NC		
163051	farmacie	farmacie	N		
163054	farmagnosie	farmagnosie	N		
163256	fascie	fascie	N		
164246	féerie	féerie	N		
164548	felicie	felicie	N	164549	Felicie
164597	felonie	felonie	N		
164820	fenokopie	fenokopie	NC		
164985	fenylketonurie	fenylketonurie	N		
165147	férie	férie	N		
166599	filantropie	filantropie	N		
166615	filárie	filárie_;L	N		
166616	filarie	filarie	N		
166627	filatelie	filatelie	N		
166760	filharmonie	filharmonie	N		
167065	filokartie	filokartie_^(sbírání_pohlednic)	N		
167258	filumenie	filumenie	N		
167277	fimbrie	fimbrie	N		
167816	fisiparie	fisiparie	N		
168315	flakonérie	flakonérie	N		
169825	fobie	fobie	N		
170140	folie	folie	N		
170141	fólie	fólie	N		
170360	fonastenie	fonastenie	N		
170675	forézie	forézie	N		
171037	forsytie	forsytie	N		
171146	forzýtie	forzýtie	N		
171297	fosílie	fosílie	N		
172926	frátrie	frátrie_;p	N	172914	fráter
173328	frenezie	frenezie_;U_^(bouřlivé_nadšení;;chorobná_rozčilenost)	N		
173480	frézie	frézie	N		
174699	fuchsie	fuchsie	N		
174957	funastenie	funastenie	N		
175167	funkie	funkie_;L	N		
175244	fúrie	fúrie	N		
175588	fylogenie	fylogenie	N		
176370	galantérie	galantérie	N		
176445	galaxie	galaxie	N		
176534	galerie	galerie	N		
176535	galérie	galérie	N		
177085	gamogonie	gamogonie	N		
177192	ganglie	ganglie	N		
177317	garancie	garancie	N		
177450	gardénie	gardénie_;L_^(rostlina)	N		
178779	gemiparie	gemiparie	N		
178848	generálie	generálie	N		
179516	geránie	geránie_;L_^(rostlina)	N		
179915	gerusie	gerusie	N		
179916	gerúsie	gerúsie_;p	N		
181503	glie	glie_;U	N		
181663	glorie	glorie	N		
181714	glosolálie	glosolálie	N		
181775	gloxínie	gloxínie	N		
181888	glycínie	glycínie_;L	N		
181898	glykémie	glykémie	N		
181934	glykosurie	glykosurie	N		
182107	godecie	godecie_;L	N		
183816	grácie	grácie	N		
184059	grafognozie	grafognozie	N		
184060	grafognózie	grafognózie	N		
186457	gubernie	gubernie	N		
187651	gynekomastie	gynekomastie_;U	N		
191762	haploidie	haploidie	N		
192386	harmonie	harmonie	N		
193347	haterie	haterie_;L_^(živočich)	N		
193688	haustorie	haustorie	N		
193774	havarie	havarie	N		
193775	havárie	havárie	N		
195835	helikonie	helikonie_;L_^(rostlina)	N		
196191	hematurie	hematurie	N		
196207	hemeralopie	hemeralopie_;U	N		
196316	hemoragie	hemoragie_;U	N		
196319	hemorrhagie	hemorrhagie	N		
196690	hepatektomie	hepatektomie	N		
196733	heptarchie	heptarchie_;p	N		
