18395	arvernský	arvernský	A	<<<Averna>>>		
18868	asijiský	asijiský	A	<<<preklep>>>		
18959	askanijský	askanijský	A	<<<Askanie>>>		
18962	askánský	askánský	A	<<<?>>>		
18972	askeranský	askeranský	A	<<<Askeran>>>		
19382	astijský	astijský	A	<<<?>>>		
19421	astracháňský	astracháňský	A	19411	Astrachaň	Astrachaň_;G
19665	aškeranský	aškeranský	A	<<<Askeran>>>		
19888	athabaský	athabaský	A	<<<?>>>		
20370	auburnský	auburnský	A	20373	Auburn	Auburn-1_;G
20683	augustinovský	augustinovský	A	20688	Augustin	Augustin_;S_;Y
20686	augustinský	augustinský	A	20688	Augustin	Augustin_;S_;Y
20952	austroasijský	austroasijský	AC			
20973	austronéský	austronéský	A	<<<Austronésie>>>		
22048	autsajderský	autsajderský_,h	A	<<<autsajder>>>		
22248	aventýnský	aventýnský	A	22240	Aventin	Aventin_;S
22425	avizský	avizský	A	22364	Avis	Avis_;Y
22589	axminsterský	axminsterský	A	<<<Axminster>>>		
22613	ayacušský	ayacušský	A	22611	Ayacucho	Ayacucho_;G
23226	babijarský	babijarský	AC			
23524	baburádovský	baburádovský	A	<<<Baburád>>>		
24002	badachšanský	badachšanský	A	24000	Badachšán	Badachšán_;G
24042	badárský	badárský	A	24045	Badar	Badar_;Y
24704	bahijský	bahijský	A	24701	Bahia	Bahia_;G
24815	bahranský	bahranský	A	<<<preklep>>>		
24830	bahtuský	bahtuský	A	<<<?>>>		
25168	bajcířský	bajcířský_,l	A	<<<?>>>		
26336	balineský	balineský	A	26271	Bali	Bali_;G
26349	balintovský	balintovský	A	20692	Balint	Balint-1_;S
26813	baltofinský	baltofinský	AC			
26818	baltoslovanský	baltoslovanský	AC			
26952	balzakovský	balzakovský	A	26929	Balzac	Balzac_;S
27335	banderovský	banderovský	A	27326	Bandera	Bandera-1_;S
27600	bankivský	bankivský	A	27598	bankiva	bankiva_;L_,t
27912	banyoleský	banyoleský	A	27910	Banyoles	Banyoles_;G
27932	baodajovský	baodajovský	AC			
28023	baraganský	baraganský	A	<<<Baragan>>>		
28659	barchesterský	barchesterský	A	<<<Barchester>>>		
28689	barídšáhovský	barídšáhovský	A	<<<?>>>		
30233	baskervilský	baskervilský	A	30227	Baskerville	Baskerville_;G
30267	baskitský	baskitský	A	30226	Bask	Bask_;E
30629	baškortostánský	baškortostánský	A	30627	Baškortostán	Baškortostán_;G
30670	bašťanský	bašťanský	A	<<<Baška>>>		
31167	batumský	batumský	A	31165	Batumi	Batumi_;G
31598	bavorskočeský	bavorskočeský	AC			
34061	belmondovský	belmondovský	A	34058	Belmondo	Belmondo_;S
34172	bělojarský	bělojarský	A	<<<Bělojarsk>>>		
34468	beltwilský	beltwilský	A	<<<?>>>		
34487	běluňský	běluňský	A	<<<Běluň>>>		
34870	benedinkýnský	benedinkýnský	A	<<<preklep>>>		
34918	benegesseritský	benegesseritský	AC			
34996	beneventský	beneventský	A	34994	Benevento	Benevento_;G
35644	berehovský	berehovský	A	35642	Berehovo	Berehovo_;G
35748	bergamský	bergamský	A	35741	Bergamo	Bergamo_;G
35772	bergenský	bergenský	A	35777	Bergen	Bergen-1_;G
35927	berchtesgadenský	berchtesgadenský	A	35924	Berchtesgaden	Berchtesgaden_;G
35941	berijovský	berijovský	A	35938	Berija	Berija-1_;S_^(muž)
35980	berkeleyský	berkeleyský	A	35984	Berkeley	Berkeley-2_;G
36031	berkshirský	berkshirský	A	<<<Berkshire>>>		
36690	berzdorfský	berzdorfský	A	<<<Berzdorf>>>		
36711	beřkovský	beřkovský	A	36706	Beřkovice	Beřkovice_;G
36727	besarabský	besarabský	A	36725	Besarábie	Besarábie_;G
36841	beslanský	beslanský	A	36844	Beslan	Beslan-1_;G
37193	betlemářský	betlemářský	A	37201	betlém	betlém
37339	beuronský	beuronský	A	<<<Beuron>>>		
37700	bezenský	bezenský	A	38161	Bezno	Bezno_;G
39729	bídarský	bídarský	A	<<<Bídar>>>		
41787	biokovský	biokovský	A	41733	Bioko	Bioko_;G
42979	birmanský	birmanský	A	<<<Barma>>>		
42990	birnamský	birnamský	A	<<<?>>>		
43144	biskajský	biskajský	A	<<<Biskajsko>>>		
43297	bitcevský	bitcevský	A	<<<?>>>		
43325	bíthýnský	bíthýnský	A	<<<Bithýnie>>>		
43941	blagoveščenský	blagoveščenský	A	<<<Blagověščensk>>>		
45712	blíževedelský	blíževedelský	A	45714	Blíževedly	Blíževedly_;G
45776	bloemfonteinský	bloemfonteinský	A	45774	Bloemfontein	Bloemfontein_;G
46855	bobrujský	bobrujský	A	<<<Bobrujsk>>>		
47383	bodrogkeresztúrský	bodrogkeresztúrský	A	<<<Bodrogkeresztúr>>>		
47629	bogdanečský	bogdanečský	A	<<<Bogdaneč>>>		
48071	boholidský	boholidský	AC			
49142	bollingenský	bollingenský	A	<<<Bollingen>>>		
49260	boltanský	boltanský	A	<<<Boltaña>>>		
49317	bolzanský	bolzanský	A	49315	Bolzano	Bolzano-2_;G
49835	bononský	bononský	A	<<<Bononia>>>		
50031	booleanovský	booleanovský	A	50036	Boole	Boole_;S
50039	boolovský	boolovský	A	50036	Boole	Boole_;S
50245	bordovský	bordovský	A	50238	Bordovice	Bordovice_;G
50251	bordóžský	bordóžský_,h_^(bordóžská_doga)	A	<<<?>>>		
50437	borisoglebský	borisoglebský	A	<<<Borisoglebsk>>>		
50560	bornejský	bornejský	A	50570	Borneo	Borneo_;G
50641	boromejský	boromejský	A	<<<Borromeo>>>		
51232	bosenskosrbský	bosenskosrbský	AC			
51654	botlichský	botlichský	A	<<<Botlich>>>		
51660	botlišský	botlišský	A	<<<Botlich>>>		
51750	botticelliovský	botticelliovský	A	51752	Botticelli	Botticelli_;S
52155	bouloňský	bouloňský	A	52150	Boulogne	Boulogne_;G
52973	braclavský	braclavský	A	<<<Braclav>>>		
53230	brachtovský	brachtovský	A	<<<Bracht>>>		
53484	brandejský	brandejský	A	53490	Brandejs	Brandejs-2_;K
53744	brankařský	brankařský	A	53738	branka	branka
53883	braquovský	braquovský	A	53880	Braque	Braque_;S
53906	brasilský	brasilský	A	53901	Brasilia	Brasilia_;G
55148	breslovský	breslovský	A	<<<Breslov>>>		
55175	brestlitevský	brestlitevský	AC			
55178	brestovanský	brestovanský	A	<<<Brestovany>>>		
55183	brestský	brestský	A	55170	Brest	Brest
55218	bretoňský	bretoňský	A	<<<Bretaň>>>		
55241	brettonwoodský	brettonwoodský	AC			
55819	britskoitalský	britskoitalský	AC			
55826	britskošvédský	britskošvédský	AC			
55888	brjanský	brjanský	A	55886	Brjansk	Brjansk_;G
57730	brummelloský	brummelloský	A	<<<preklep>>>		
58613	břaský	břaský	A	58615	Břasy	Břasy_;G
58782	břevský	břevský	A	59167	Břve	Břve_;G
58884	březohorský	březohorský	AC			
58949	břežský	břežský	A	58521	Brzeg	Brzeg_;G
59099	břístevský	břístevský	A	59101	Bříství	Bříství_;G
59525	buckinghamský	buckinghamský	A	59529	Buckingham	Buckingham-2_;G
59754	budatínský	budatínský	A	<<<Budatín>>>		
60021	buďonnovský	buďonnovský	A	60019	Buďonnovsk	Buďonnovsk_;G
60025	buďonovský	buďonovský	A	<<<Buďonnyj>>>		
60074	budovský	budovský	A	59715	Buda	Buda_;G
60110	budyňský	budyňský	A	60108	Budyně	Budyně_;G
60140	buenosaireský	buenosaireský	AC			
60194	buffalský	buffalský	A	60191	Buffalo	Buffalo-1_;G_^(město)
60332	buhenský	buhenský	A	<<<?>>>		
60771	bújovský	bújovský	A	<<<?>>>		
60955	bukovohorský	bukovohorský	AC			
60970	bukowský	bukowský	A	<<<Buków>>>		
61347	buloňský	buloňský	A	52150	Boulogne	Boulogne_;G
62169	burgundánský	burgundánský	A	62172	Burgund	Burgund_;E
62612	burundský	burundský	A	62610	Burundi	Burundi_;G
63365	bybloský	bybloský	A	63363	Byblos	Byblos_;G
