16867	argumentovat	argumentovat_:T	V	16858	argument
16932	archaizovat	archaizovat_:T	V	16910	archaický
17161	archivovat	archivovat_:T_:W	V	17148	archiv
17318	aristokratizovat	aristokratizovat_:T	V	17306	aristokratický
17404	arizovat	arizovat_:T_:W	V	17261	árijský
17682	armovat	armovat_:T	V		
17866	aromatizovat	aromatizovat_:T_:W	V	17850	aromatický
17894	arondovat	arondovat_:T	V		
18232	artikulovat	artikulovat_:T	V		
18515	asamblovat	asamblovat_:T_,t_^(fixovat)	V		
18548	asanovat	asanovat_:T_:W	V		
18638	asekurovat	asekurovat_:T	V		
18715	asfaltovat	asfaltovat_:T	V	18699	asfalt
18852	asignovat	asignovat_:T	V		
18898	asimilovat	asimilovat_:T_:W	V		
18941	asistovat	asistovat_:T	V		
19075	asociovat	asociovat_:T	V		
19126	aspektovat	aspektovat_:T	V	19117	aspekt
19197	aspirovat	aspirovat_:T	V		
19277	assimilovat	assimilovat_:T	V		
19734	atakovat	atakovat_:T	V		
19869	atestovat	atestovat_:T	V		
20084	atomizovat	atomizovat_:T	V	20057	atomický
20136	atrahovat	atrahovat_:T	V		
20163	atraktivizovat	atraktivizovat_:T	V	20176	atraktivní
20242	atrofovat	atrofovat_:T	V		
20549	auditovat	auditovat_:T	V		
20873	auskultovat	auskultovat_:T	V		
21066	autentizovat	autentizovat_:T	V	21027	autentický
21550	automatizovat	automatizovat_:T	V	21526	automatický
21833	autorizovat	autorizovat_:T	V	21858	autorský
22001	autovat	autovat_:T	V	21105	aut
22118	avalovat	avalovat_:T	V		
22143	avansovat	avansovat_:T_:W_^(být_povyšován)	V		
22400	avizovat	avizovat_:T	V		
22401	avízovat	avízovat_:T	V		
22556	axiomatizovat	axiomatizovat_:T_:W	V	22544	axiomatický
22915	ažurovat	ažurovat_:T	V		
23755	backtestovat	backtestovat_:T	V		
23776	backupovat	backupovat_:T	V		
23959	bačovat	bačovat_:T	V	23866	bača
24352	bafrovat	bafrovat_:T	V		
24429	bagatelizovat	bagatelizovat_:T	V	24443	bagatelní
24578	bagovat	bagovat_:T	V	24649	bag
24622	bagrovat	bagrovat_:T	V	24613	bagr
25314	bajlovat	bajlovat_:T_,h	V		
